side,K,n_cond_exc,n_cond_clusters,powered
above,5,287,218,True
above,10,347,260,True
above,15,366,271,True
above,20,381,278,True
above,30,395,285,True
above,45,408,296,True
above,60,421,307,True
below,5,310,230,True
below,10,371,268,True
below,15,394,282,True
below,20,409,291,True
below,30,431,307,True
below,45,447,318,True
below,60,454,321,True
