run_id,K,bin_width,va_pct,va_expansion_rule,construction,placebo_type,timestamp,git_sha
bar_b1.0_v75_paired_K15,15,1.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:08.432968+00:00,583018da
bar_b1.0_v75_paired_K20,20,1.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:08.432974+00:00,583018da
bar_b1.0_v75_paired_K30,30,1.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:08.432979+00:00,583018da
bar_b1.0_v75_paired_K45,45,1.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:08.432984+00:00,583018da
bar_b1.0_v75_paired_K60,60,1.0,0.75,paired,bar_uniform,none,2026-08-07T04:59:08.432989+00:00,583018da
bar_b1.0_v75_single_K5,5,1.0,0.75,single,bar_uniform,none,2026-08-07T04:59:10.643097+00:00,583018da
bar_b1.0_v75_single_K10,10,1.0,0.75,single,bar_uniform,none,2026-08-07T04:59:10.643144+00:00,583018da
bar_b1.0_v75_single_K15,15,1.0,0.75,single,bar_uniform,none,2026-08-07T04:59:10.643152+00:00,583018da
bar_b1.0_v75_single_K20,20,1.0,0.75,single,bar_uniform,none,2026-08-07T04:59:10.643158+00:00,583018da
bar_b1.0_v75_single_K30,30,1.0,0.75,single,bar_uniform,none,2026-08-07T04:59:10.643163+00:00,583018da
bar_b1.0_v75_single_K45,45,1.0,0.75,single,bar_uniform,none,2026-08-07T04:59:10.643168+00:00,583018da
bar_b1.0_v75_single_K60,60,1.0,0.75,single,bar_uniform,none,2026-08-07T04:59:10.643173+00:00,583018da
bar_b2.0_v68_paired_K5,5,2.0,0.68,paired,bar_uniform,none,2026-08-07T04:59:12.295428+00:00,583018da
bar_b2.0_v68_paired_K10,10,2.0,0.68,paired,bar_uniform,none,2026-08-07T04:59:12.295467+00:00,583018da
bar_b2.0_v68_paired_K15,15,2.0,0.68,paired,bar_uniform,none,2026-08-07T04:59:12.295474+00:00,583018da
bar_b2.0_v68_paired_K20,20,2.0,0.68,paired,bar_uniform,none,2026-08-07T04:59:12.295479+00:00,583018da
bar_b2.0_v68_paired_K30,30,2.0,0.68,paired,bar_uniform,none,2026-08-07T04:59:12.295484+00:00,583018da
bar_b2.0_v68_paired_K45,45,2.0,0.68,paired,bar_uniform,none,2026-08-07T04:59:12.295489+00:00,583018da
bar_b2.0_v68_paired_K60,60,2.0,0.68,paired,bar_uniform,none,2026-08-07T04:59:12.295494+00:00,583018da
bar_b2.0_v68_single_K5,5,2.0,0.68,single,bar_uniform,none,2026-08-07T04:59:13.866319+00:00,583018da
bar_b2.0_v68_single_K10,10,2.0,0.68,single,bar_uniform,none,2026-08-07T04:59:13.866364+00:00,583018da
bar_b2.0_v68_single_K15,15,2.0,0.68,single,bar_uniform,none,2026-08-07T04:59:13.866387+00:00,583018da
bar_b2.0_v68_single_K20,20,2.0,0.68,single,bar_uniform,none,2026-08-07T04:59:13.866393+00:00,583018da
bar_b2.0_v68_single_K30,30,2.0,0.68,single,bar_uniform,none,2026-08-07T04:59:13.866398+00:00,583018da
