placebo,draw,side,lift,real
stale_5d,0,above,0.3906789413118527,0.07884990253411306
stale_5d,0,below,0.33625000000000005,0.062348012071137715
shuffled_rel,1,above,0.10762902286210219,0.07884990253411306
shuffled_rel,1,below,0.08474691969009185,0.062348012071137715
shuffled_rel,2,above,0.11729707833308012,0.07884990253411306
shuffled_rel,2,below,0.08772331653687582,0.062348012071137715
shuffled_rel,3,above,0.1210526315789473,0.07884990253411306
shuffled_rel,3,below,0.09011859677097867,0.062348012071137715
shuffled_rel,4,above,0.13621967544976654,0.07884990253411306
shuffled_rel,4,below,0.09306033932899604,0.062348012071137715
shuffled_rel,5,above,0.09426025694156648,0.07884990253411306
shuffled_rel,5,below,0.10343176376695928,0.062348012071137715
shuffled_rel,6,above,0.13355577800022245,0.07884990253411306
shuffled_rel,6,below,0.12618511461400772,0.062348012071137715
shuffled_rel,7,above,0.12239649479298953,0.07884990253411306
shuffled_rel,7,below,0.09411764705882353,0.062348012071137715
shuffled_rel,8,above,0.07584150978827287,0.07884990253411306
shuffled_rel,8,below,0.08217120789530141,0.062348012071137715
shuffled_rel,9,above,0.1144537815126051,0.07884990253411306
shuffled_rel,9,below,0.08813430951779844,0.062348012071137715
shuffled_rel,10,above,0.1309112567004168,0.07884990253411306
shuffled_rel,10,below,0.08664050467329154,0.062348012071137715
shuffled_rel,11,above,0.09515755562267192,0.07884990253411306
shuffled_rel,11,below,0.06975609756097556,0.062348012071137715
shuffled_rel,12,above,0.10992075638540288,0.07884990253411306
shuffled_rel,12,below,0.15846439102850507,0.062348012071137715
shuffled_rel,13,above,0.10982730263157892,0.07884990253411306
shuffled_rel,13,below,0.10833333333333328,0.062348012071137715
shuffled_rel,14,above,0.10102306225073698,0.07884990253411306
shuffled_rel,14,below,0.06270473660911913,0.062348012071137715
shuffled_rel,15,above,0.08137562380416985,0.07884990253411306
shuffled_rel,15,below,0.09955634427684112,0.062348012071137715
shuffled_rel,16,above,0.10652826797027426,0.07884990253411306
shuffled_rel,16,below,0.06053722301928899,0.062348012071137715
shuffled_rel,17,above,0.11238095238095236,0.07884990253411306
shuffled_rel,17,below,0.09600198546996974,0.062348012071137715
shuffled_rel,18,above,0.11609816503433523,0.07884990253411306
shuffled_rel,18,below,0.09836771609457773,0.062348012071137715
shuffled_rel,19,above,0.11093617021276592,0.07884990253411306
shuffled_rel,19,below,0.09673913043478255,0.062348012071137715
shuffled_rel,20,above,0.09490304709141273,0.07884990253411306
shuffled_rel,20,below,0.12268870278964017,0.062348012071137715
