date,kind,day_range,R,entry_min,direction,skip,R_if_up_first,R_if_down_first,skip_up,skip_down
2025-11-10,decidable,316.75,0.0,5.0,long,,,,,
2025-11-11,decidable,283.0,,,,no close through the level,,,,
2025-11-12,ambiguous,341.25,,,,,,0.0,limit never filled,
2025-11-13,decidable,719.0,-1.0,6.0,short,,,,,
2025-11-14,decidable,667.25,-1.0,7.0,long,,,,,
2025-11-17,ambiguous,754.25,,,,,2.0,,,no close through the level
2025-11-18,ambiguous,483.25,,,,,-1.0,-1.0,,
2025-11-20,decidable,1292.0,2.0,3.0,short,,,,,
2025-11-21,ambiguous,691.75,,,,,-1.0,2.0,,
2025-11-24,decidable,631.75,,,,no close through the level,,,,
2025-11-25,decidable,594.5,,,,no close through the level,,,,
2025-11-26,decidable,257.5,-1.0,4.0,long,,,,,
2025-11-27,decidable,82.25,,,,no close through the level,,,,
2025-11-28,decidable,168.75,-1.0,6.0,short,,,,,
2025-12-01,ambiguous,302.5,,,,,2.0,-1.0,,
2025-12-02,decidable,352.25,,,,no close through the level,,,,
2025-12-03,ambiguous,263.75,,,,,,,no close through the level,limit never filled
2025-12-04,decidable,243.75,,,,no close through the level,,,,
2025-12-05,ambiguous,288.25,,,,,-1.0,,,limit never filled
2025-12-08,decidable,296.0,0.0,12.0,short,,,,,
2025-12-09,ambiguous,175.75,,,,,-1.0,0.0,,
2025-12-11,decidable,471.25,,,,limit never filled,,,,
2025-12-12,decidable,586.25,,,,no close through the level,,,,
2025-12-15,decidable,564.5,-1.0,6.0,long,,,,,
2025-12-16,ambiguous,370.75,,,,,2.0,-1.0,,
2025-12-17,decidable,620.75,-1.0,6.0,long,,,,,
2025-12-18,decidable,458.75,2.0,7.0,short,,,,,
2025-12-19,decidable,333.5,0.0,4.0,short,,,,,
2025-12-22,decidable,166.75,,,,no close through the level,,,,
2025-12-23,decidable,218.75,,,,no close through the level,,,,
2025-12-24,decidable,114.5,,,,no close through the level,,,,
2025-12-26,decidable,101.0,,,,no close through the level,,,,
2025-12-29,ambiguous,208.0,,,,,,-1.0,limit never filled,
2025-12-31,decidable,287.75,-1.0,5.0,long,,,,,
2026-01-02,decidable,538.5,2.0,6.0,short,,,,,
2026-01-05,decidable,253.0,,,,no close through the level,,,,
2026-01-06,decidable,317.25,0.0,5.0,short,,,,,
2026-01-07,ambiguous,269.25,,,,,2.0,-1.0,,
2026-01-08,decidable,249.0,2.0,5.0,long,,,,,
2026-01-09,ambiguous,370.0,,,,,-1.0,-1.0,,
2026-01-12,decidable,387.75,-1.0,2.0,long,,,,,
2026-01-13,decidable,242.25,0.0,5.0,short,,,,,
2026-01-14,decidable,462.5,-1.0,10.0,long,,,,,
2026-01-15,decidable,376.25,-1.0,8.0,short,,,,,
2026-01-16,decidable,299.5,2.0,4.0,long,,,,,
2026-01-19,decidable,203.25,0.0,13.0,short,,,,,
2026-01-20,ambiguous,334.5,,,,,2.0,,,no close through the level
2026-01-21,decidable,628.5,0.0,5.0,short,,,,,
2026-01-22,decidable,256.0,,,,no close through the level,,,,
2026-01-23,decidable,305.5,,,,no close through the level,,,,
2026-01-26,decidable,420.75,-1.0,13.0,short,,,,,
2026-01-27,decidable,311.0,-1.0,3.0,long,,,,,
2026-01-29,decidable,744.5,,,,no close through the level,,,,
2026-01-30,decidable,371.25,-1.0,3.0,short,,,,,
2026-02-02,ambiguous,810.5,,,,,,,no close through the level,limit never filled
2026-02-03,ambiguous,808.75,,,,,2.0,,,no close through the level
2026-02-04,decidable,730.75,2.0,14.0,long,,,,,
2026-02-05,ambiguous,884.0,,,,,,,limit never filled,no close through the level
2026-02-06,decidable,791.25,,,,no close through the level,,,,
2026-02-09,decidable,473.25,-1.0,3.0,short,,,,,
2026-02-10,decidable,249.0,2.0,3.0,long,,,,,
2026-02-11,ambiguous,407.0,,,,,,-1.0,limit never filled,
2026-02-12,decidable,710.0,2.0,4.0,long,,,,,
2026-02-13,decidable,416.75,,,,no close through the level,,,,
2026-02-16,decidable,349.0,,,,limit never filled,,,,
2026-02-17,ambiguous,440.5,,,,,-1.0,2.0,,
2026-02-18,decidable,376.25,,,,no close through the level,,,,
2026-02-19,decidable,305.0,-1.0,12.0,long,,,,,
2026-02-20,ambiguous,461.0,,,,,-1.0,-1.0,,
2026-02-23,decidable,372.0,-1.0,3.0,long,,,,,
2026-02-24,decidable,420.0,-1.0,13.0,long,,,,,
2026-02-25,decidable,477.25,2.0,4.0,short,,,,,
2026-02-26,ambiguous,553.5,,,,,,,limit never filled,no close through the level
2026-02-27,ambiguous,316.75,,,,,,,no close through the level,limit never filled
2026-03-02,decidable,624.0,2.0,3.0,long,,,,,
2026-03-03,ambiguous,498.0,,,,,-1.0,-1.0,,
2026-03-04,decidable,751.0,-1.0,4.0,short,,,,,
2026-03-05,decidable,437.25,2.0,2.0,short,,,,,
2026-03-09,ambiguous,971.75,,,,,-1.0,0.0,,
2026-03-10,decidable,354.25,2.0,5.0,long,,,,,
2026-03-11,ambiguous,484.5,,,,,-1.0,-1.0,,
2026-03-12,decidable,436.75,,,,no close through the level,,,,
2026-03-13,decidable,471.5,2.0,5.0,short,,,,,
2026-03-16,decidable,345.25,0.0,9.0,long,,,,,
2026-03-19,ambiguous,364.75,,,,,-1.0,0.0,,
2026-03-20,ambiguous,651.25,,,,,-1.0,2.0,,
2026-03-23,decidable,990.5,-1.0,3.0,long,,,,,
2026-03-24,decidable,416.0,-1.0,6.0,short,,,,,
2026-03-25,decidable,292.0,,,,limit never filled,,,,
2026-03-26,ambiguous,621.75,,,,,2.0,-1.0,,
2026-03-27,ambiguous,743.5,,,,,,2.0,no close through the level,
2026-03-31,ambiguous,813.25,,,,,,,limit never filled,no close through the level
2026-04-01,ambiguous,533.25,,,,,,2.0,no close through the level,
2026-04-02,ambiguous,600.75,,,,,-1.0,,,limit never filled
2026-04-07,decidable,1177.25,,,,no close through the level,,,,
2026-04-08,decidable,330.5,0.0,9.0,short,,,,,
2026-04-09,decidable,350.75,0.0,4.0,long,,,,,
2026-04-10,decidable,190.25,,,,limit never filled,,,,
2026-04-13,decidable,569.75,0.0,2.0,short,,,,,
2026-04-14,decidable,478.0,-1.0,5.0,short,,,,,
2026-04-15,decidable,531.5,2.0,6.0,long,,,,,
2026-04-17,decidable,444.75,,,,no close through the level,,,,
2026-04-20,decidable,269.75,,,,no close through the level,,,,
2026-04-21,ambiguous,350.0,,,,,0.0,-1.0,,
2026-04-22,decidable,370.5,-1.0,6.0,short,,,,,
2026-04-23,decidable,474.0,-1.0,6.0,long,,,,,
2026-04-24,decidable,446.25,-1.0,2.0,long,,,,,
2026-04-27,decidable,241.5,,,,no close through the level,,,,
2026-04-29,decidable,528.75,,,,no close through the level,,,,
2026-04-30,ambiguous,511.25,,,,,-1.0,-1.0,,
2026-05-01,ambiguous,380.75,,,,,-1.0,0.0,,
2026-05-04,decidable,352.75,-1.0,14.0,long,,,,,
2026-05-05,decidable,603.75,0.0,3.0,long,,,,,
2026-05-06,decidable,500.0,-1.0,9.0,short,,,,,
2026-05-07,decidable,403.75,,,,no close through the level,,,,
2026-05-08,ambiguous,628.5,,,,,-1.0,0.0,,
2026-05-11,decidable,253.0,,,,no close through the level,,,,
2026-05-12,decidable,595.5,-1.0,2.0,long,,,,,
2026-05-13,decidable,618.0,2.0,3.0,short,,,,,
2026-05-14,decidable,333.75,,,,no close through the level,,,,
2026-05-15,ambiguous,473.75,,,,,,2.0,no close through the level,
2026-05-18,decidable,605.0,-1.0,9.0,long,,,,,
2026-05-20,ambiguous,527.0,,,,,2.0,,,limit never filled
2026-05-21,decidable,476.5,-1.0,8.0,short,,,,,
2026-05-22,decidable,313.0,,,,no close through the level,,,,
2026-05-25,decidable,224.75,,,,no close through the level,,,,
2026-05-26,ambiguous,415.25,,,,,2.0,,,limit never filled
2026-05-27,decidable,583.25,2.0,2.0,long,,,,,
2026-05-28,ambiguous,599.0,,,,,0.0,,,limit never filled
2026-05-29,ambiguous,276.0,,,,,2.0,-1.0,,
2026-06-01,ambiguous,401.5,,,,,-1.0,-1.0,,
2026-06-02,ambiguous,405.75,,,,,-1.0,0.0,,
2026-06-03,ambiguous,455.25,,,,,,,no close through the level,limit never filled
2026-06-04,ambiguous,551.0,,,,,-1.0,-1.0,,
2026-06-05,decidable,1477.75,,,,no close through the level,,,,
2026-06-08,ambiguous,770.25,,,,,,2.0,no close through the level,
2026-06-09,decidable,1620.5,-1.0,4.0,long,,,,,
2026-06-10,ambiguous,984.25,,,,,-1.0,,,limit never filled
2026-06-11,decidable,1068.0,-1.0,11.0,short,,,,,
2026-06-12,ambiguous,530.0,,,,,,,no close through the level,limit never filled
2026-06-15,ambiguous,445.0,,,,,,-1.0,no close through the level,
2026-06-18,ambiguous,499.25,,,,,,,no close through the level,limit never filled
2026-06-19,decidable,317.0,,,,no close through the level,,,,
2026-06-22,ambiguous,667.0,,,,,2.0,-1.0,,
2026-06-23,decidable,840.0,,,,no close through the level,,,,
2026-06-24,ambiguous,903.75,,,,,-1.0,-1.0,,
2026-06-25,ambiguous,1103.25,,,,,,,no close through the level,limit never filled
2026-06-26,ambiguous,534.5,,,,,,,no close through the level,limit never filled
2026-06-29,ambiguous,857.0,,,,,,,limit never filled,no close through the level
2026-06-30,decidable,602.75,0.0,4.0,long,,,,,
2026-07-01,decidable,522.0,2.0,2.0,short,,,,,
2026-07-02,ambiguous,991.5,,,,,,-1.0,limit never filled,
2026-07-03,decidable,191.25,,,,no close through the level,,,,
2026-07-07,ambiguous,534.0,,,,,-1.0,-1.0,,
2026-07-08,ambiguous,673.25,,,,,,,limit never filled,no close through the level
2026-07-09,ambiguous,531.0,,,,,2.0,-1.0,,
2026-07-10,decidable,402.75,-1.0,8.0,short,,,,,
2026-07-13,ambiguous,496.25,,,,,2.0,-1.0,,
2026-07-14,ambiguous,648.0,,,,,,,limit never filled,no close through the level
2026-07-15,decidable,665.5,2.0,15.0,short,,,,,
