day,t,dir,net,R,risk,train,ctrR,ctr_net
2023-01-05,04:45:00,-1,-300.0,-1.0344827586206897,14.5,True,-1.0129032258064516,-785.0
2023-01-09,07:15:00,1,1180.0,2.8433734939759034,20.75,True,-1.0571428571428572,-185.0
2023-01-10,06:30:00,1,-190.0,-1.0555555555555556,9.0,True,0.5734265734265734,410.0
2023-01-18,05:15:00,1,-240.0,-1.0434782608695652,11.5,True,-1.0444444444444445,-235.0
2023-01-23,04:30:00,1,-370.0,-1.0277777777777777,18.0,True,-1.0150375939849625,-675.0
2023-01-23,05:45:00,1,-395.0,-1.025974025974026,19.25,True,-1.0350877192982457,-295.0
2023-01-23,07:30:00,1,400.0,0.898876404494382,22.25,True,,
2023-02-01,05:30:00,1,-115.0,-1.0952380952380953,5.25,True,-1.0194174757281553,-525.0
2023-02-01,06:00:00,1,335.0,2.9130434782608696,5.75,True,-1.0266666666666666,-385.0
2023-02-01,06:15:00,1,740.0,2.96,12.5,True,-1.0454545454545454,-230.0
2023-02-07,06:00:00,-1,370.0,0.4625,40.0,True,,
2023-02-07,06:15:00,-1,510.0,0.7727272727272727,33.0,True,-1.0444444444444445,-235.0
2023-02-14,04:00:00,1,590.0,2.95,10.0,True,-1.019047619047619,-535.0
2023-02-22,05:00:00,-1,-335.0,-1.0307692307692307,16.25,True,-1.0141843971631206,-715.0
2023-02-23,04:45:00,1,1230.0,1.968,31.25,True,-1.011111111111111,-910.0
2023-02-23,06:00:00,1,1265.0,2.976470588235294,21.25,True,,
2023-02-23,06:45:00,1,865.0,1.5175438596491229,28.5,True,,
2023-03-02,06:30:00,-1,-335.0,-1.0307692307692307,16.25,True,-1.0132450331125828,-765.0
2023-03-06,06:00:00,1,-455.0,-1.0224719101123596,22.25,True,-1.1,-110.0
2023-03-17,05:30:00,1,-335.0,-1.0307692307692307,16.25,True,0.22727272727272727,150.0
2023-03-17,06:00:00,1,-440.0,-1.0232558139534884,21.5,True,-1.0350877192982457,-295.0
2023-03-17,06:45:00,1,-415.0,-1.0246913580246915,20.25,True,2.9411764705882355,500.0
2023-04-07,04:15:00,1,-210.0,-1.05,10.0,True,-1.0952380952380953,-115.0
2023-04-07,06:45:00,1,-125.0,-1.0869565217391304,5.75,True,-1.0465116279069768,-225.0
2023-04-07,07:00:00,1,-245.0,-1.0425531914893618,11.75,True,,
2023-04-12,05:00:00,-1,-320.0,-1.032258064516129,15.5,True,-1.021505376344086,-475.0
2023-04-12,05:15:00,-1,-390.0,-1.0263157894736843,19.0,True,-1.0425531914893618,-245.0
2023-04-12,07:00:00,-1,-615.0,-1.0165289256198347,30.25,True,,
2023-04-17,04:45:00,1,-125.0,-1.0869565217391304,5.75,True,1.2719298245614035,725.0
2023-04-21,05:15:00,-1,710.0,2.9583333333333335,12.0,True,-1.0185185185185186,-550.0
2023-04-21,05:30:00,-1,1055.0,2.971830985915493,17.75,True,-1.0235294117647058,-435.0
2023-04-21,05:45:00,-1,620.0,2.9523809523809526,10.5,True,-1.0175438596491229,-580.0
2023-04-21,06:00:00,-1,325.0,0.5752212389380531,28.25,True,,
2023-04-26,06:00:00,-1,560.0,2.9473684210526314,9.5,True,-1.04,-260.0
2023-04-26,06:15:00,-1,1070.0,2.9722222222222223,18.0,True,,
2023-05-01,06:15:00,1,-300.0,-1.0344827586206897,14.5,True,2.935483870967742,455.0
2023-05-02,06:45:00,1,-260.0,-1.04,12.5,True,0.9210526315789473,350.0
2023-05-12,06:30:00,1,-180.0,-1.0588235294117647,8.5,True,0.6666666666666666,180.0
2023-05-16,06:30:00,1,-370.0,-1.0277777777777777,18.0,True,2.9545454545454546,650.0
2023-05-29,04:30:00,1,-115.0,-1.0952380952380953,5.25,True,-1.0363636363636364,-285.0
2023-05-31,05:45:00,-1,305.0,2.9047619047619047,5.25,True,-1.0128205128205128,-790.0
2023-05-31,06:00:00,-1,695.0,2.9574468085106385,11.75,True,-1.0169491525423728,-600.0
2023-06-05,06:30:00,1,765.0,2.593220338983051,14.75,True,-1.0689655172413792,-155.0
2023-06-06,04:45:00,1,-145.0,-1.0740740740740742,6.75,True,1.4956521739130435,860.0
2023-06-06,05:00:00,1,-210.0,-1.05,10.0,True,1.5576923076923077,810.0
2023-06-06,05:45:00,1,-220.0,-1.0476190476190477,10.5,True,-1.064516129032258,-165.0
2023-06-12,06:45:00,1,485.0,2.9393939393939394,8.25,True,-0.4178082191780822,-305.0
2023-07-04,05:15:00,1,-145.0,-1.0740740740740742,6.75,True,-1.0465116279069768,-225.0
2023-07-04,05:30:00,1,-110.0,-1.1,5.0,True,-1.04,-260.0
2023-07-04,06:00:00,1,-195.0,-1.054054054054054,9.25,True,,
2023-07-07,05:30:00,-1,-200.0,-1.0526315789473684,9.5,True,2.98019801980198,1505.0
2023-07-07,05:45:00,-1,-190.0,-1.0555555555555556,9.0,True,2.9789473684210526,1415.0
2023-07-07,06:00:00,-1,-425.0,-1.0240963855421688,20.75,True,,
2023-07-11,05:15:00,1,-45.0,-0.1125,20.0,True,-1.0588235294117647,-180.0
2023-07-11,05:30:00,1,-95.0,-0.2111111111111111,22.5,True,,
2023-07-14,05:15:00,1,-115.0,-1.0952380952380953,5.25,True,-1.3557692307692308,-705.0
2023-07-17,06:30:00,1,1295.0,4.886792452830188,13.25,True,-1.0227272727272727,-450.0
2023-07-17,07:15:00,1,1145.0,2.7590361445783134,20.75,True,,
2023-07-19,04:15:00,1,515.0,2.942857142857143,8.75,True,-1.0266666666666666,-385.0
2023-08-04,06:30:00,1,-205.0,-1.0512820512820513,9.75,True,2.981818181818182,1640.0
2023-08-18,04:30:00,-1,2150.0,2.986111111111111,36.0,True,-1.0285714285714285,-360.0
2023-08-24,06:30:00,1,-790.0,-1.0128205128205128,39.0,True,-1.0909090909090908,-120.0
2023-08-28,05:30:00,1,1490.0,2.98,25.0,True,-1.0350877192982457,-295.0
2023-08-28,06:30:00,1,845.0,2.9649122807017543,14.25,True,-1.0327868852459017,-315.0
2023-08-29,06:00:00,1,-870.0,-1.0116279069767442,43.0,True,,
2023-09-13,04:45:00,-1,-710.0,-0.9281045751633987,38.25,True,-1.064516129032258,-165.0
2023-09-13,05:30:00,-1,-320.0,-1.032258064516129,15.5,True,-1.0277777777777777,-370.0
2023-09-13,05:45:00,-1,-460.0,-1.0222222222222221,22.5,True,-1.064516129032258,-165.0
2023-09-14,06:15:00,1,-400.0,-1.0256410256410255,19.5,True,,
2023-09-28,03:45:00,-1,1295.0,2.9770114942528734,21.75,True,-1.025974025974026,-395.0
2023-10-03,03:00:00,1,-650.0,-1.015625,32.0,True,,
2023-10-03,06:30:00,1,-625.0,-1.016260162601626,30.75,True,,
2023-10-04,04:45:00,-1,-180.0,-1.0588235294117647,8.5,True,,
2023-10-04,05:00:00,-1,-360.0,-1.0285714285714285,17.5,True,2.9869281045751634,2285.0
2023-10-06,04:45:00,1,710.0,2.9583333333333335,12.0,True,-1.0227272727272727,-450.0
2023-10-09,06:15:00,1,-435.0,-1.0235294117647058,21.25,True,2.96,740.0
2023-10-11,05:30:00,1,1015.0,2.2808988764044944,22.25,True,-1.0327868852459017,-315.0
2023-10-18,05:00:00,-1,-270.0,-1.0384615384615385,13.0,True,-1.021505376344086,-475.0
2023-10-18,05:15:00,-1,-190.0,-1.0555555555555556,9.0,True,-1.018348623853211,-555.0
2023-10-20,06:30:00,-1,-715.0,-1.0141843971631206,35.25,True,-1.0666666666666667,-160.0
2023-10-20,06:45:00,-1,-515.0,-1.0198019801980198,25.25,True,-1.0869565217391304,-125.0
2023-10-20,07:00:00,-1,-660.0,-1.0153846153846153,32.5,True,,
2023-10-26,05:15:00,-1,-465.0,-1.021978021978022,22.75,True,2.982608695652174,1715.0
2023-10-26,06:00:00,-1,-525.0,-1.0194174757281553,25.75,True,-1.024390243902439,-420.0
2023-11-09,05:00:00,1,560.0,2.24,12.5,True,-1.0210526315789474,-485.0
2023-11-09,07:30:00,1,555.0,2.2653061224489797,12.25,True,-1.0666666666666667,-160.0
2023-11-14,06:30:00,1,-145.0,-1.0740740740740742,6.75,True,-1.018348623853211,-555.0
2023-11-14,06:45:00,1,-255.0,-1.0408163265306123,12.25,True,-1.0246913580246915,-415.0
2023-11-16,05:15:00,1,-310.0,-1.0333333333333334,15.0,True,2.96,740.0
2023-11-17,06:30:00,1,-130.0,-1.0833333333333333,6.0,True,-1.0285714285714285,-360.0
2023-11-28,07:00:00,-1,345.0,0.9857142857142858,17.5,True,,
2023-11-30,05:00:00,1,-560.0,-1.12,25.0,True,-1.0952380952380953,-115.0
2023-11-30,05:15:00,1,875.0,2.9661016949152543,14.75,True,-1.0689655172413792,-155.0
2023-11-30,05:30:00,1,-330.0,-1.03125,16.0,True,,
2023-11-30,06:30:00,1,-280.0,-1.037037037037037,13.5,True,-1.0689655172413792,-155.0
2023-12-06,05:30:00,1,-390.0,-1.0263157894736843,19.0,True,-1.0769230769230769,-140.0
2023-12-06,05:45:00,1,-530.0,-1.0192307692307692,26.0,True,,
2023-12-12,04:45:00,1,800.0,2.962962962962963,13.5,True,-1.0666666666666667,-160.0
2023-12-12,05:45:00,1,425.0,2.9310344827586206,7.25,True,-1.0408163265306123,-255.0
2023-12-12,06:15:00,1,-180.0,-1.0588235294117647,8.5,True,-1.064516129032258,-165.0
2023-12-12,06:30:00,1,-160.0,-1.0666666666666667,7.5,True,-1.0666666666666667,-160.0
2023-12-13,04:30:00,1,-130.0,-1.0833333333333333,6.0,True,-1.0555555555555556,-190.0
2023-12-13,04:45:00,1,-150.0,-1.0714285714285714,7.0,True,-1.0625,-170.0
2023-12-14,05:45:00,1,-645.0,-1.015748031496063,31.75,True,,
2023-12-26,05:00:00,1,-210.0,-1.05,10.0,True,-1.24,-310.0
2023-12-26,05:45:00,1,-200.0,-1.0526315789473684,9.5,True,,
2023-12-26,06:45:00,1,-240.0,-1.0434782608695652,11.5,True,,
2023-12-27,07:00:00,1,-130.0,-1.0833333333333333,6.0,True,,
2023-12-28,07:00:00,1,290.0,2.9,5.0,True,-1.1,-110.0
2024-01-11,05:45:00,1,-180.0,-1.0588235294117647,8.5,True,-1.0571428571428572,-185.0
2024-01-11,07:00:00,1,-265.0,-1.0392156862745099,12.75,True,-1.0357142857142858,-290.0
2024-01-11,07:30:00,1,-295.0,-1.0350877192982457,14.25,True,-1.0444444444444445,-235.0
2024-01-15,04:30:00,1,-580.0,-1.0175438596491229,28.5,True,0.475,380.0
2024-01-22,04:45:00,1,860.0,2.9655172413793105,14.5,True,-1.04,-260.0
2024-01-22,05:00:00,1,-320.0,-1.032258064516129,15.5,True,-1.0714285714285714,-150.0
2024-01-22,05:15:00,1,-410.0,-1.025,20.0,True,-1.0909090909090908,-120.0
2024-01-22,06:00:00,1,620.0,2.9523809523809526,10.5,True,-1.0454545454545454,-230.0
2024-01-22,06:15:00,1,680.0,2.9565217391304346,11.5,True,-1.0512820512820513,-205.0
2024-01-25,05:15:00,1,-185.0,-1.0571428571428572,8.75,True,-1.0256410256410255,-400.0
2024-01-25,05:30:00,1,-115.0,-1.0952380952380953,5.25,True,-1.0210526315789474,-485.0
2024-01-25,05:45:00,1,-220.0,-1.0476190476190477,10.5,True,-1.0240963855421688,-425.0
2024-01-25,06:00:00,1,-190.0,-1.0555555555555556,9.0,True,-1.0224719101123596,-455.0
2024-01-25,06:30:00,1,695.0,2.9574468085106385,11.75,True,,
2024-02-02,05:15:00,1,-235.0,-1.0444444444444445,11.25,True,-1.0188679245283019,-540.0
2024-02-02,05:30:00,1,-455.0,-1.0224719101123596,22.25,True,-1.0454545454545454,-230.0
2024-02-02,06:15:00,1,-345.0,-1.0298507462686568,16.75,True,-1.04,-260.0
2024-02-05,05:15:00,1,330.0,0.7021276595744681,23.5,True,-1.0194174757281553,-525.0
2024-02-06,06:00:00,1,-465.0,-1.021978021978022,22.75,True,2.933333333333333,440.0
2024-02-07,06:00:00,-1,-520.0,-1.0196078431372548,25.5,True,2.92,365.0
2024-02-07,06:15:00,-1,-430.0,-1.0238095238095237,21.0,True,-1.0465116279069768,-225.0
2024-02-08,04:45:00,1,-465.0,-1.021978021978022,22.75,True,2.9047619047619047,305.0
2024-02-08,05:00:00,1,-440.0,-1.0232558139534884,21.5,True,,
2024-02-19,06:45:00,-1,-290.0,-1.0357142857142858,14.0,True,-1.0689655172413792,-155.0
2024-03-11,06:45:00,1,-955.0,-1.0105820105820107,47.25,True,-1.064516129032258,-165.0
2024-03-11,07:15:00,1,-625.0,-1.016260162601626,30.75,True,2.984375,1910.0
2024-03-12,06:45:00,1,-540.0,-1.0188679245283019,26.5,True,2.935483870967742,455.0
2024-03-13,07:00:00,1,-545.0,-1.0186915887850467,26.75,True,-1.0952380952380953,-115.0
2024-03-19,06:45:00,1,-540.0,-1.0188679245283019,26.5,True,2.96875,950.0
2024-03-22,07:15:00,1,-215.0,-1.048780487804878,10.25,True,2.9672131147540983,905.0
2024-03-28,06:45:00,-1,-295.0,-1.0350877192982457,14.25,True,-0.13333333333333333,-90.0
2024-03-28,07:30:00,-1,-335.0,-1.0307692307692307,16.25,True,-1.0833333333333333,-130.0
2024-04-01,05:15:00,1,-345.0,-1.0298507462686568,16.75,True,2.9797979797979797,1475.0
2024-04-09,05:15:00,1,-700.0,-1.0144927536231885,34.5,True,-1.0666666666666667,-160.0
2024-04-09,05:30:00,1,-540.0,-1.0188679245283019,26.5,True,-1.0952380952380953,-115.0
2024-04-16,05:45:00,-1,-495.0,-1.0206185567010309,24.25,True,-1.0434782608695652,-240.0
2024-04-17,04:30:00,-1,-225.0,-1.0465116279069768,10.75,True,0.6134453781512605,730.0
2024-04-17,05:15:00,-1,-470.0,-1.0217391304347827,23.0,True,0.8322147651006712,620.0
2024-04-17,05:30:00,-1,-500.0,-1.0204081632653061,24.5,True,2.9770114942528734,1295.0
2024-04-17,05:45:00,-1,-485.0,-1.0210526315789474,23.75,True,2.9696969696969697,980.0
2024-04-19,04:45:00,-1,-895.0,-1.0112994350282485,44.25,True,2.967741935483871,920.0
