mo,lvltype,level,dir,risk,maxfav,stopped,cvd,hit30,hit50,hit80,hit100,hit150
2026-02,VWAP,VWAP+1^VAH,short,14.12,35.1,True,True,True,False,False,False,False
2026-02,VWAP,VWAP+1^VAH,short,35.5,34.8,True,True,True,False,False,False,False
2026-02,BB,BBbasis^POC,short,11.75,68.0,True,True,True,True,False,False,False
2026-02,BB,BBlower^VAL,long,26.5,24.0,True,True,False,False,False,False,False
2026-02,BB,BBlower^VAL,long,31.0,0.0,True,False,False,False,False,False,False
2026-02,BB,BBlower^VAL,long,25.88,0.0,True,False,False,False,False,False,False
2026-02,BB,BBlower^VAL,short,33.12,359.6,False,True,True,True,True,True,True
2026-02,VWAP,VWAP-2^VAL,long,30.38,0.0,True,False,False,False,False,False,False
2026-02,VWAP,VWAP-1^VAL,long,34.5,0.5,True,True,False,False,False,False,False
2026-02,BB,BBbasis^VAL,long,28.5,158.5,False,False,True,True,True,True,True
2026-02,BB,BBupper^POC,long,20.88,10.1,True,True,False,False,False,False,False
2026-02,BB,BBupper^POC,short,22.0,31.8,True,True,True,False,False,False,False
2026-03,BB,BBupper^VAH,short,33.38,28.6,True,True,False,False,False,False,False
2026-03,BB,BBupper^VAH,long,41.5,30.5,True,True,True,False,False,False,False
2026-03,BB,BBbasis^VAH,short,17.0,0.0,True,True,False,False,False,False,False
2026-03,BB,BBbasis^VAH,long,20.0,29.5,True,True,False,False,False,False,False
2026-03,BB,BBbasis^VAH,long,17.0,0.0,True,True,False,False,False,False,False
2026-03,BB,BBbasis^VAH,short,31.12,0.0,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,short,40.5,177.5,True,False,True,True,True,True,True
2026-03,BB,BBbasis^POC,short,24.75,0.0,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,short,42.5,168.2,True,True,True,True,True,True,True
2026-03,BB,BBbasis^POC,short,35.5,26.5,True,False,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,16.12,0.0,True,True,False,False,False,False,False
2026-03,VWAP,VWAP+1^POC,short,17.88,44.4,True,True,True,False,False,False,False
2026-03,VWAP,VWAP+1^POC,long,20.25,0.0,True,True,False,False,False,False,False
2026-03,VWAP,VWAP+1^POC,short,35.25,11.5,True,False,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,39.5,313.0,False,False,True,True,True,True,True
2026-03,BB,BBupper^VAH,long,27.38,28.1,True,True,False,False,False,False,False
2026-03,BB,BBupper^VAH,short,15.88,39.9,True,False,True,False,False,False,False
2026-03,BB,BBupper^VAH,long,12.88,0.0,True,True,False,False,False,False,False
2026-03,BB,BBupper^VAH,long,19.75,0.0,True,True,False,False,False,False,False
2026-03,BB,BBupper^POC,long,29.5,0.0,True,False,False,False,False,False,False
2026-03,BB,BBupper^POC,short,31.0,20.2,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,21.88,6.9,True,True,False,False,False,False,False
2026-03,VWAP,VWAP+1^VAH,short,11.62,0.0,True,False,False,False,False,False,False
2026-03,VWAP,VWAPmid^POC,long,33.0,19.0,True,False,False,False,False,False,False
2026-03,BB,BBupper^VAH,long,34.12,27.9,True,True,False,False,False,False,False
2026-03,BB,BBbasis^VAH,short,15.5,21.2,True,True,False,False,False,False,False
2026-03,BB,BBbasis^VAH,long,16.12,0.0,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,39.12,259.9,True,True,True,True,True,True,True
2026-03,VWAP,VWAP-1^POC,long,26.12,0.0,True,True,False,False,False,False,False
2026-03,VWAP,VWAP-1^POC,short,19.88,30.6,True,True,True,False,False,False,False
2026-03,VWAP,VWAP-1^POC,long,18.12,73.9,True,False,True,True,False,False,False
2026-03,VWAP,VWAP-1^POC,long,24.88,17.1,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,short,11.62,0.0,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,36.25,257.2,True,True,True,True,True,True,True
2026-03,BB,BBbasis^POC,long,31.75,14.0,True,False,False,False,False,False,False
2026-03,BB,BBbasis^POC,short,31.25,83.2,True,True,True,True,True,False,False
2026-03,BB,BBbasis^POC,short,38.12,68.9,True,True,True,True,False,False,False
2026-03,BB,BBbasis^POC,short,27.88,0.0,True,False,False,False,False,False,False
2026-03,BB,BBbasis^POC,short,23.38,60.9,True,True,True,True,False,False,False
2026-03,BB,BBbasis^POC,long,39.75,57.5,True,False,True,True,False,False,False
2026-03,BB,BBupper^VAH,short,31.0,133.5,True,True,True,True,True,True,False
2026-03,BB,BBbasis^POC,short,28.0,82.8,True,False,True,True,True,False,False
2026-03,BB,BBlower^VAL,long,14.75,22.0,True,False,False,False,False,False,False
2026-03,BB,BBlower^VAL,long,22.25,0.0,True,True,False,False,False,False,False
2026-03,BB,BBupper^POC,short,27.0,30.8,True,True,True,False,False,False,False
2026-03,BB,BBupper^POC,short,31.12,35.1,True,True,True,False,False,False,False
2026-03,VWAP,VWAPmid^POC,long,31.38,133.6,True,True,True,True,True,True,False
2026-03,VWAP,VWAP+1^POC,long,44.75,0.0,True,True,False,False,False,False,False
2026-03,VWAP,VWAP+1^POC,long,31.88,0.0,True,True,False,False,False,False,False
2026-03,VWAP,VWAP+1^POC,short,39.88,236.1,False,True,True,True,True,True,True
2026-03,VWAP,VWAP+1^POC,short,27.75,212.0,False,False,True,True,True,True,True
2026-03,VWAP,VWAPmid^POC,long,18.88,0.0,True,False,False,False,False,False,False
2026-03,BB,BBlower^VAL,short,24.88,205.6,False,True,True,True,True,True,True
2026-03,BB,BBlower^VAL,long,23.62,14.4,True,True,False,False,False,False,False
2026-03,BB,BBbasis^VAL,short,28.38,0.0,True,False,False,False,False,False,False
2026-03,BB,BBbasis^VAL,long,17.75,36.0,True,True,True,False,False,False,False
2026-03,BB,BBupper^VAH,short,42.0,0.0,True,False,False,False,False,False,False
2026-03,VWAP,VWAP+1^VAH,short,34.25,380.5,False,True,True,True,True,True,True
2026-03,VWAP,VWAP+1^VAH,short,15.25,0.0,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,10.75,14.8,True,False,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,12.38,0.0,True,False,False,False,False,False,False
2026-03,VWAP,VWAP+1^POC,long,14.5,18.5,True,False,False,False,False,False,False
2026-03,VWAP,VWAP+1^POC,long,32.75,64.2,True,False,True,True,False,False,False
2026-03,VWAP,VWAP+1^POC,long,15.38,66.4,True,True,True,True,False,False,False
2026-03,BB,BBupper^VAH,long,14.12,0.0,True,True,False,False,False,False,False
2026-03,BB,BBupper^VAH,long,9.62,22.9,True,True,False,False,False,False,False
2026-03,BB,BBupper^VAH,long,13.5,0.0,True,True,False,False,False,False,False
2026-03,BB,BBupper^VAH,short,16.88,14.1,True,True,False,False,False,False,False
2026-03,BB,BBlower^POC,long,7.88,14.9,True,False,False,False,False,False,False
2026-03,BB,BBbasis^POC,short,6.62,76.4,True,True,True,True,False,False,False
2026-03,BB,BBbasis^VAL,long,21.0,0.0,True,False,False,False,False,False,False
2026-03,BB,BBbasis^VAL,long,31.88,40.1,True,False,True,False,False,False,False
2026-03,BB,BBbasis^VAL,short,10.38,29.6,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,13.12,27.6,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,short,19.0,44.8,True,True,True,False,False,False,False
2026-03,BB,BBbasis^POC,short,18.62,10.9,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,short,10.12,0.0,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,16.75,25.2,True,True,False,False,False,False,False
2026-03,VWAP,VWAP-1^VAL,short,16.88,0.0,True,False,False,False,False,False,False
2026-03,VWAP,VWAP-1^VAL,short,39.12,21.4,True,False,False,False,False,False,False
2026-03,VWAP,VWAP-1^VAL,long,33.62,151.6,True,True,True,True,True,True,True
2026-03,BB,BBbasis^VAL,long,36.62,61.9,True,True,True,True,False,False,False
2026-03,BB,BBbasis^POC,long,15.12,0.0,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,short,32.25,466.8,False,True,True,True,True,True,True
2026-03,BB,BBlower^VAL,long,15.12,0.0,True,False,False,False,False,False,False
2026-03,BB,BBlower^VAL,short,26.0,74.2,True,True,True,True,False,False,False
2026-03,BB,BBlower^VAL,long,24.38,29.6,True,True,False,False,False,False,False
2026-03,BB,BBbasis^VAH,long,32.25,186.0,True,True,True,True,True,True,True
2026-03,BB,BBbasis^VAH,short,28.38,0.4,True,True,False,False,False,False,False
2026-03,BB,BBbasis^POC,long,11.12,0.0,True,True,False,False,False,False,False
2026-03,VWAP,VWAP+1^POC,short,34.62,39.6,True,True,True,False,False,False,False
2026-03,BB,BBbasis^POC,long,29.62,133.1,True,True,True,True,True,True,False
2026-03,VWAP,VWAP+1^POC,long,33.88,99.9,True,True,True,True,True,False,False
2026-03,VWAP,VWAP-1^VAL,short,24.88,0.0,True,False,False,False,False,False,False
