day,ent,dir,entry,risk,net,R,win,mae_R,room,cvd_ASIA,asia_cov,cvd_cov,cvd_ok,early_tight,sub7,mism
2026-02-13,10:45:00,-1,24755.25,53.0,-1070.0,-1.009433962264151,False,1.2830188679245282,2.1320754716981134,-1021.0,True,True,True,False,False,False
2026-02-17,10:15:00,-1,24654.0,43.75,2615.0,2.9885714285714284,True,0.33714285714285713,2.1885714285714286,-1094.0,True,True,True,False,False,False
2026-02-24,11:15:00,-1,24828.75,37.0,-750.0,-1.0135135135135136,False,1.9864864864864864,1.6689189189189189,650.0,True,True,False,False,False,False
2026-03-16,10:00:00,1,24705.0,15.5,920.0,2.967741935483871,True,0.016129032258064516,6.064516129032258,775.0,True,True,True,False,False,True
2026-03-16,10:15:00,1,24740.0,50.5,3020.0,2.99009900990099,True,0.07425742574257425,1.1683168316831682,775.0,True,True,True,False,False,True
2026-03-19,10:15:00,-1,24595.75,54.75,3275.0,2.990867579908676,True,0.4200913242009132,0.954337899543379,225.0,True,True,False,False,False,True
2026-03-19,10:45:00,-1,24582.25,68.25,4085.0,2.9926739926739927,True,0.45787545787545786,0.5677655677655677,225.0,True,True,False,False,False,True
2026-04-01,10:30:00,1,24038.0,34.75,2075.0,2.985611510791367,True,0.2158273381294964,3.9928057553956835,1137.0,True,True,True,False,False,False
2026-04-16,11:00:00,1,26458.25,31.0,-630.0,-1.0161290322580645,False,1.403225806451613,0.8951612903225806,1666.0,True,True,False,False,False,False
2026-04-21,10:30:00,1,26826.75,22.25,1325.0,2.9775280898876404,True,0.2808988764044944,1.3707865168539326,601.0,True,True,True,False,False,False
2026-04-22,12:15:00,1,26819.0,13.25,785.0,2.9622641509433962,True,0.9811320754716981,2.849056603773585,1341.0,True,True,True,False,False,False
2026-04-22,12:30:00,1,26819.25,8.5,-180.0,-1.0588235294117647,False,1.5588235294117647,4.411764705882353,1341.0,True,True,False,False,False,False
2026-04-29,12:30:00,-1,27260.25,28.5,1700.0,2.982456140350877,True,0.868421052631579,2.4035087719298245,19.0,True,True,True,False,False,False
2026-05-04,10:15:00,1,27910.25,46.25,-935.0,-1.0108108108108107,False,5.324324324324325,1.2,1805.0,True,True,True,False,False,False
2026-05-07,11:30:00,1,28725.25,35.25,2105.0,2.9858156028368796,True,0.5673758865248227,0.6666666666666666,413.0,True,True,True,False,False,False
2026-05-28,10:30:00,-1,29967.25,31.0,1850.0,2.9838709677419355,True,0.4274193548387097,6.588709677419355,-2832.0,True,True,False,False,False,False
2026-05-28,10:45:00,-1,29947.75,50.5,-1020.0,-1.00990099009901,False,1.6386138613861385,3.6584158415841586,-2832.0,True,True,False,False,False,False
2026-05-28,11:15:00,-1,29951.75,46.5,-940.0,-1.010752688172043,False,1.6935483870967742,4.059139784946237,-2832.0,True,True,False,False,False,False
2026-05-29,10:00:00,1,30318.25,40.75,2435.0,2.9877300613496933,True,0.5214723926380368,1.0736196319018405,981.0,True,True,True,False,False,False
2026-06-05,11:00:00,-1,30202.0,57.25,3425.0,2.9912663755458517,True,0.5938864628820961,2.6157205240174672,343.0,True,True,True,False,False,False
2026-06-05,11:15:00,-1,30202.5,56.75,3395.0,2.9911894273127753,True,0.5903083700440529,2.647577092511013,343.0,True,True,False,False,False,False
2026-06-05,12:00:00,-1,30185.5,50.75,3035.0,2.9901477832512313,True,0.1921182266009852,2.625615763546798,343.0,True,True,True,False,False,False
2026-06-05,12:15:00,-1,30180.5,55.75,3335.0,2.991031390134529,True,0.24663677130044842,2.3004484304932737,343.0,True,True,False,False,False,False
2026-06-05,12:45:00,-1,30172.25,64.0,3830.0,2.9921875,True,0.12890625,1.875,343.0,True,True,True,False,False,False
2026-06-30,10:00:00,1,30081.5,63.0,-1270.0,-1.007936507936508,False,1.2182539682539681,2.1507936507936507,797.0,True,True,False,False,False,False
2026-06-30,10:15:00,1,30087.0,68.5,-1380.0,-1.0072992700729928,False,1.2007299270072993,1.897810218978102,797.0,True,True,False,False,False,False
2026-06-30,10:45:00,1,30075.75,57.25,-1155.0,-1.0087336244541485,False,1.240174672489083,2.467248908296943,797.0,True,True,True,False,False,False
2026-07-13,11:30:00,-1,29741.5,36.75,-745.0,-1.0136054421768708,False,1.3537414965986394,5.408163265306122,-1149.0,True,True,False,False,False,False
2026-07-13,11:45:00,-1,29740.75,37.5,-760.0,-1.0133333333333334,False,1.3466666666666667,5.28,-1149.0,True,True,False,False,False,False
2026-07-15,10:45:00,1,29947.25,49.75,-1005.0,-1.0100502512562815,False,1.2311557788944723,2.2311557788944723,1579.0,True,True,True,False,False,False
2026-07-15,11:15:00,1,29946.75,32.75,-665.0,-1.015267175572519,False,1.8549618320610688,3.404580152671756,1579.0,True,True,False,False,False,False
2026-07-15,12:00:00,1,29949.75,64.0,-1290.0,-1.0078125,False,1.1875,1.6953125,1579.0,True,True,False,False,False,False
