day,time,bias,tier,score,direction,draws
2023-02-01,09:30,NEUTRAL,NEUTRAL,4,bearish,12119.00:AsiaH|12104.00:LondonL|12040.38:equal-lows
2023-02-01,09:45,NEUTRAL,NEUTRAL,4,bearish,12102.12:equal-lows|12040.38:equal-lows|12024.00:equal-lows
2023-02-01,10:00,NEUTRAL,NEUTRAL,4,bearish,12119.00:AsiaH|12104.00:LondonL|12040.38:equal-lows
2023-02-02,08:00,BULLISH,MEDIUM,4,bullish,
2023-02-02,09:30,BULLISH,MEDIUM,4,bullish,
2023-02-03,08:00,NEUTRAL,NEUTRAL,3,bullish,12949.75:PDH
2023-02-03,09:00,NEUTRAL,NEUTRAL,3,bearish,12102.12:equal-lows|12074.50:equal-lows|11923.88:equal-lows
2023-02-03,09:30,NEUTRAL,NEUTRAL,3,bearish,12102.12:equal-lows|12074.50:equal-lows|11923.88:equal-lows
2023-02-03,09:45,NEUTRAL,NEUTRAL,4,bearish,12618.75:AsiaL|12102.12:equal-lows|12074.50:equal-lows
2023-02-06,08:00,BULLISH,MEDIUM,4,bullish,12550.00:PDL|12576.25:LondonH|12603.50:AsiaH
2023-02-06,09:30,NEUTRAL,NEUTRAL,6,bearish,12102.12:equal-lows|12457.25:LondonL|11871.00:PWL
2023-02-07,08:00,NEUTRAL,NEUTRAL,4,bearish,12550.62:equal-lows|12456.50:equal-lows|12529.00:AsiaL
2023-02-07,08:15,NEUTRAL,NEUTRAL,4,bearish,12456.50:equal-lows|12529.00:AsiaL|12475.50:LondonL
2023-02-07,09:30,NEUTRAL,NEUTRAL,4,bearish,12456.50:equal-lows|12475.50:LondonL|11871.00:PWL
2023-02-08,08:00,NEUTRAL,NEUTRAL,5,bearish,12580.00:equal-lows|12550.62:equal-lows|12479.25:equal-lows
2023-02-08,09:30,NEUTRAL,NEUTRAL,4,bearish,12580.00:equal-lows|12550.62:equal-lows|12479.25:equal-lows
2023-02-09,08:00,BEARISH,MEDIUM,5,bearish,12567.50:AsiaL|12515.00:equal-lows|12479.25:equal-lows
2023-02-09,09:30,BULLISH,MEDIUM,4,bullish,12776.00:equal-highs|12808.50:PDH|12949.75:PWH
2023-02-10,08:00,BEARISH,LOW,3,bearish,12270.50:LondonL|11871.00:PWL
2023-02-10,08:15,BEARISH,LOW,3,bearish,12270.50:LondonL|11871.00:PWL
2023-02-10,09:30,BULLISH,MEDIUM,5,bullish,12776.00:equal-highs|12366.50:PDL|12378.25:AsiaL
2023-02-13,08:00,NEUTRAL,NEUTRAL,4,bullish,12433.50:LondonH|12818.50:PWH
2023-02-13,09:30,BEARISH,MEDIUM,5,bearish,12367.00:PDH|12315.50:AsiaH|12301.75:LondonL
2023-02-13,09:45,BEARISH,MEDIUM,4,bearish,12401.25:equal-lows|12367.00:PDH|12315.50:AsiaH
2023-02-13,10:00,NEUTRAL,NEUTRAL,4,bullish,12818.50:PWH
2023-02-14,08:00,NEUTRAL,NEUTRAL,3,bullish,12818.50:PWH
2023-02-14,09:00,BEARISH,MEDIUM,4,bearish,12401.25:equal-lows|12504.75:AsiaL|12283.25:PDL
2023-02-14,09:30,BEARISH,MEDIUM,4,bearish,12401.25:equal-lows|12283.25:PDL|12243.25:PWL
2023-02-14,09:45,BEARISH,MEDIUM,4,bearish,12401.25:equal-lows|12283.25:PDL|12243.25:PWL
2023-02-14,10:00,NEUTRAL,NEUTRAL,3,bullish,12600.75:LondonH|12818.50:PWH
2023-02-15,08:00,NEUTRAL,NEUTRAL,3,bullish,12620.25:LondonH|12687.00:PDH|12818.50:PWH
2023-02-15,09:30,NEUTRAL,NEUTRAL,3,bullish,12603.75:AsiaH|12620.25:LondonH|12687.00:PDH
2023-02-15,09:45,NEUTRAL,NEUTRAL,3,bullish,12620.25:LondonH|12687.00:PDH|12818.50:PWH
2023-02-16,08:00,BEARISH,MEDIUM,6,bearish,12533.50:equal-lows|12524.25:PDL|12243.25:PWL
2023-02-16,09:00,BEARISH,MEDIUM,5,bearish,12533.50:equal-lows|12524.25:PDL|12243.25:PWL
2023-02-16,09:30,BEARISH,MEDIUM,4,bearish,12243.25:PWL
2023-02-17,08:00,BEARISH,MEDIUM,5,bearish,12338.00:LondonL|12243.25:PWL
2023-02-17,09:30,BEARISH,MEDIUM,4,bearish,12338.00:LondonL|12243.25:PWL
2023-02-17,10:00,BEARISH,MEDIUM,5,bearish,12243.25:PWL
2023-02-20,08:00,BULLISH,MEDIUM,4,bullish,12417.75:LondonH|12792.75:PWH
2023-02-20,09:30,BULLISH,MEDIUM,5,bullish,12404.62:equal-highs|12417.12:equal-highs|12792.75:PWH
2023-02-21,08:00,BULLISH,MEDIUM,4,bullish,12333.75:PDL|12360.88:equal-highs|12404.62:equal-highs
2023-02-21,09:30,BULLISH,MEDIUM,4,bullish,12333.75:PDL|12360.88:equal-highs|12404.62:equal-highs
2023-02-22,08:00,BULLISH,MEDIUM,5,bullish,12360.50:PDH|12404.62:equal-highs|12417.12:equal-highs
2023-02-22,09:30,BULLISH,MEDIUM,5,bullish,12143.25:AsiaH|12360.50:PDH|12404.62:equal-highs
