tape,day,ts,i,dir,entry,risk,res,r,held,atr,risk_atr,wick,wick_atr,wick_body,bar_rng_atr,mins_in,stretch,slope,vol_z,day_rng_atr,fib_depth,vix,d_pdh,d_pdl,d_ppoc,d_pvah,d_pval,d_onh,d_onl,d_asiah,d_asial,d_ldnh,d_ldnl,d_orh,d_orl,d_sma15,d_round50,d_round100,d_fib0.382,d_fib0.5,d_fib0.618,d_fib0.705,d_fib0.786
2023-26,2023-01-05,2023-01-05 10:06:00,3726,1,10862.0,9.5,TARGET,2.9210526315789473,2,16.321428571428573,0.5820568927789934,7.0,0.42888402625820565,3.5,0.612691466083151,36,2.692013129102844,1.0530634573304156,1.0170505533951542,6.8315098468271325,,22.46,12.652078774617067,0.09190371991247263,11.273522975929977,12.25382932166302,1.8380743982494527,11.319474835886213,1.6542669584245075,8.853391684901531,4.411378555798687,11.319474835886213,1.6542669584245075,3.844638949671772,2.5426695842450764,6.849890590809583,0.7352297592997811,2.3282275711159737,,,,,
2023-26,2023-01-06,2023-01-06 09:53:00,5093,-1,10819.5,8.75,STOP,-1.0857142857142856,1,20.410714285714285,0.42869641294838146,7.25,0.3552055993000875,7.25,0.600174978127734,23,4.0952755905511635,-2.1832895888014,0.516652875465453,9.94575678040245,,21.13,5.2790901137357835,0.710411198600175,2.3762029746281716,4.62992125984252,0.2694663167104112,7.349081364829397,3.356080489938758,3.2458442694663168,0.0857392825896763,7.349081364829397,3.356080489938758,6.148731408573928,2.057742782152231,0.13289588801398045,0.9553805774278216,0.9553805774278216,,,,,
2023-26,2023-01-09,2023-01-09 09:41:00,6459,1,11223.75,15.5,STOP,-1.0483870967741935,1,18.678571428571427,0.829827915869981,13.25,0.7093690248565966,7.571428571428571,1.0172084130019121,11,2.429923518164475,0.9957934990439966,0.9212414782920704,3.9617590822179736,-0.5221674876847291,21.97,3.105162523900574,24.493307839388148,5.875717017208413,3.5736137667304018,23.864244741873808,0.9904397705544934,5.541108986615679,2.4493307839388145,5.3804971319311665,0.9904397705544934,5.541108986615679,1.191204588910134,1.552581261950287,2.8301147227533074,1.27151051625239,1.27151051625239,2.456638623326988,2.7772466539196943,3.0978546845124004,3.3342351816443325,3.5543135755257764
2023-26,2023-01-09,2023-01-09 10:09:00,6487,1,11311.25,12.75,STOP,-1.0588235294117647,4,12.589285714285714,1.0127659574468086,6.5,0.5163120567375887,1.1304347826086956,1.0723404255319149,39,4.528652482269561,2.772198581560255,0.9030654515327258,12.173049645390071,-0.9175257731958762,21.97,11.557446808510639,43.290780141843975,15.66808510638298,12.252482269503547,42.35744680851064,8.419858156028369,15.17163120567376,10.584397163120569,14.933333333333334,8.419858156028369,15.17163120567376,5.182978723404256,9.25390070921986,10.071063829787263,0.8936170212765958,0.8936170212765958,7.509599999999933,8.191489361702128,8.873378723404324,9.376127659574445,9.844204255319196
2023-26,2023-01-11,2023-01-11 10:04:00,9242,-1,11334.25,10.75,STOP,-1.069767441860465,1,14.053571428571429,0.7649301143583227,9.25,0.6581956797966964,9.25,0.9250317662007623,34,1.5440914866582474,-0.2695044472680032,0.9542060397806119,5.141041931385006,,21.09,3.4155019059720457,15.191867852604828,8.271918678526049,3.4332909783989836,14.46251588310038,0.035578144853875476,6.724269377382465,2.3303684879288435,6.724269377382465,0.035578144853875476,6.421855146124523,1.689961880559085,3.0775095298602286,1.7219822109276248,1.1207115628970774,2.43710292249047,,,,,
2023-26,2023-01-13,2023-01-13 09:45:00,11983,1,11436.5,28.25,TARGET,2.9734513274336285,39,22.767857142857142,1.2407843137254901,25.75,1.1309803921568629,12.875,1.2407843137254901,15,1.3698039215686275,0.5671372549019768,1.2080159279778393,3.403921568627451,,18.35,6.072156862745098,5.501176470588235,4.1945098039215685,5.6439215686274515,4.7654901960784315,4.304313725490196,2.0862745098039217,4.381176470588235,1.5372549019607844,4.304313725490196,2.0862745098039217,1.3176470588235294,0.8894117647058823,0.9300392156862426,0.5929411764705882,1.603137254901961,,,,,
2023-26,2023-01-13,2023-01-13 09:55:00,11993,1,11464.5,20.5,STOP,-1.0365853658536586,5,18.857142857142858,1.0871212121212122,14.75,0.7821969696969697,2.8095238095238093,1.259469696969697,25,1.4437500000000192,0.5859848484848099,0.815906249233862,4.46780303030303,0.03278688524590164,18.35,5.846590909090909,8.12689393939394,3.5795454545454546,5.329545454545454,7.238636363636363,3.712121212121212,4.003787878787879,3.804924242424242,0.3712121212121212,3.712121212121212,4.003787878787879,0.10606060606060606,2.558712121212121,0.36193181818185677,0.7689393939393939,1.8825757575757576,1.129651515151498,1.5113636363636362,1.8930757575757744,2.1745075757575334,2.4365303030302985
2023-26,2023-01-20,2023-01-20 10:20:00,18677,1,11473.75,10.25,STOP,-1.0731707317073171,5,9.571428571428571,1.0708955223880596,5.0,0.5223880597014926,1.0526315789473684,1.1492537313432836,50,3.0533582089552618,0.8671641791045916,0.8202935173486248,10.369402985074627,0.15319148936170213,19.85,2.037313432835821,17.26492537313433,9.376865671641792,3.421641791044776,15.854477611940299,2.6380597014925375,11.335820895522389,4.257462686567164,9.638059701492537,2.6380597014925375,11.335820895522389,2.925373134328358,9.42910447761194,4.86082089552235,2.4813432835820897,2.7425373134328357,1.4044402985073792,2.128731343283582,2.8530223880597854,3.3870335820896282,3.8842164179104253
2023-26,2023-01-24,2023-01-24 10:27:00,21443,1,11893.75,10.25,STOP,-1.0731707317073171,3,16.875,0.6074074074074074,7.0,0.4148148148148148,2.5454545454545454,0.8,57,2.502222222222244,0.5755555555556418,0.5263450113819332,6.711111111111111,0.4379746835443038,19.2,5.288888888888889,13.155555555555555,2.2666666666666666,4.933333333333334,12.666666666666666,3.022222222222222,3.437037037037037,3.022222222222222,0.9777777777777777,2.311111111111111,3.437037037037037,0.5037037037037037,3.1703703703703705,0.7407407407407407,0.37037037037037035,0.37037037037037035,0.3275555555555642,0.362962962962963,1.0534814814814901,1.562592592592571,2.03659259259261
2023-26,2023-01-26,2023-01-26 10:10:00,24186,-1,11955.75,22.5,STOP,-1.0333333333333334,2,20.660714285714285,1.0890233362143475,11.25,0.5445116681071738,1.0465116279069768,1.1858254105445116,40,3.0498703543647716,-0.9885911840967669,0.9227596872583554,6.19533275713051,0.068359375,18.73,2.5289541918755405,17.00086430423509,3.8599827139152985,3.569576490924806,16.92826274848747,3.3880726015557476,2.0933448573898015,0.04840103716508211,4.283491789109767,3.3880726015557476,1.948141745894555,5.771823681936041,2.2506482281763183,0.7145203111495599,0.2783059636992221,2.1417458945548833,3.4052065687121558,2.674157303370787,1.9431080380294175,1.4041140881590426,0.9022921348314523
