tape,day,ts,dir,entry,risk,res,r,hold,vwin,disp,risk_atr,atr,mins_in,vol_z,lrlq,lrlq_wrong,bar_delta,bar_ratio,vwin_delta,wick_delta,d_sma20,bb_w,d_vwap,d_vwap_p1,d_vwap_m1,d_vwap_p2,d_vwap_m2,vwap_sd,D15_ok,D15_conflict,D60_ok,D60_conflict,D240_ok,D240_conflict,d_fib0.382,d_fib0.5,d_fib0.618,d_fib0.705,d_fib0.786,fib_depth
2020-22,2020-01-02,2020-01-02 10:31:00,-1,8811.0,8.5,STOP,-1.088235294117647,14,3,0.9629629629629629,1.5404530744336569,5.517857142857143,61,0.7312149119168119,1,4,,,,,0.8110032362460206,2.2292968127624637,1.5153987118729912,5.091631190153168,2.060833766407186,8.667863668433345,5.637066244687363,-0.4237416669851829,False,False,False,False,False,False,6.101825242718422,5.663430420711974,5.225035598705525,4.901812297734733,4.60088025889979,-1.024390243902439
2020-22,2020-01-03,2020-01-03 09:30:00,1,8791.5,23.0,TARGET,1.9673913043478262,13,4,0.8478260869565217,4.583629893238434,5.017857142857143,0,10.604210334457305,5,7,,,,,1.639145907473382,2.1268091373805085,2.6569163516100436,10.288669196783626,4.974836493563538,17.92042204195721,12.60658933873712,-0.34813972694232814,False,False,False,False,False,False,,,,,,
2020-22,2020-01-03,2020-01-03 09:46:00,-1,8831.25,9.75,TARGET,1.9230769230769231,14,2,0.6571428571428571,1.1494736842105262,8.482142857142858,16,0.7134569761199716,8,0,,,,,1.9202105263158322,4.8135242045305375,2.832928917321597,1.3610915815510394,7.026949416194233,5.555112080423676,11.220969915066869,0.6754685433900675,False,False,False,False,False,False,,,,,,
2020-22,2020-01-03,2020-01-03 10:19:00,-1,8819.25,14.5,STOP,-1.0517241379310345,23,3,0.9473684210526315,2.475609756097561,5.857142857142857,49,0.9181613703212411,7,2,,,,,0.042682926829268296,2.4688611481577274,1.652483252796473,3.995288009389608,7.300254514982554,9.643059271575689,12.948025777168635,0.29259032919064387,False,False,False,False,False,False,1.33913414634161,0.6189024390243902,0.10132926829282951,0.6323475609757092,1.126743902439069,0.3986013986013986
2020-22,2020-01-03,2020-01-03 10:31:00,-1,8825.25,7.5,STOP,-1.1,5,3,0.78125,1.4000000000000001,5.357142857142857,61,1.205704038937751,8,2,,,,,0.06533333333340124,1.8986660753895817,2.838476537958292,3.245330268627052,8.922283344543636,9.329137075212056,15.006090151128642,0.4665625698182697,False,False,False,False,False,False,0.3441200000001603,0.44333333333333336,1.230786666666827,1.8113666666667754,2.3519066666667157,0.5664335664335665
2020-22,2020-01-03,2020-01-03 10:40:00,1,8829.0,6.0,STOP,-1.125,10,2,0.7222222222222222,1.3548387096774193,4.428571428571429,70,1.327309549774108,3,7,,,,,0.6661290322582287,1.84634432033316,4.189811769369454,3.108943030434661,11.48856656917357,10.407697830238776,18.787321368977686,0.5740447356146193,False,False,False,False,False,False,3.5573548387098612,5.475806451612903,7.394258064515944,8.808709677419404,10.12561290322593,0.16319444444444445
2020-22,2020-01-03,2020-01-03 10:49:00,-1,8828.75,9.0,TARGET,1.9166666666666667,15,6,0.7647058823529411,2.230088495575221,4.035714285714286,79,0.817639429312581,7,2,,,,,0.3469026548671665,1.6889210583179795,4.403100686069641,3.5520665332497523,12.358267905389035,11.507233752569146,20.313435124708427,0.5534893943368719,False,False,False,False,False,False,0.34677876106183153,0.4646017699115044,1.2759823008848403,1.8742035398228467,2.43116814159287,0.5675675675675675
2020-22,2020-01-06,2020-01-06 09:31:00,1,8753.0,24.25,TARGET,1.9690721649484537,32,4,0.8833333333333333,5.203065134099617,4.660714285714286,1,8.193264085615361,4,0,,,,,1.1505747126435222,2.204213347854978,0.9654047171035188,4.510350292284317,2.579540858077279,8.055295867465116,6.1244864332580775,-0.2723327330785048,False,False,False,False,False,False,,,,,,
2020-22,2020-01-07,2020-01-07 09:38:00,-1,8855.25,23.0,STOP,-1.0326086956521738,80,3,0.9454545454545454,2.9406392694063928,7.821428571428571,8,2.5461165698374875,1,2,,,,,0.9557077625571242,1.3693377188184341,1.8633839640946188,2.905016933189273,0.8217509949999648,3.946649902283927,0.21988197409468926,-1.7889064760635203,False,False,False,False,True,False,,,,,,
2020-22,2020-01-07,2020-01-07 09:53:00,-1,8846.75,6.5,STOP,-1.1153846153846154,5,1,0.6470588235294118,0.9553805774278215,6.803571428571429,23,0.6522250209907641,1,2,,,,,0.34908136482939633,3.5941757451270955,2.7122077770730395,4.555618005786805,0.8687975483592749,6.39902823450057,0.9746126803544899,-1.4712990819008116,False,False,False,False,True,False,,,,,,
