tape,tf,sess,trend,W,U,buf,tgt,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,1,NY,SLOPE,2.0,0.5,2,R1,854,-0.08845731656854858,-75.54254834954048,0.5140515222482436,0.5,0.014051522248243575,1.0,12.5,-2.5675747917887444,-0.1044475962727165,-0.07246703686438061,-0.09223135483591985,0.0
2023-26,1,NY,SLOPE,2.0,0.5,2,R2,854,-0.07674771469501228,-65.54254834954048,0.34660421545667447,0.3333333333333333,0.013270882123341154,2.0,12.5,-1.5625269340329009,-0.14191832226803267,-0.011577107121991843,-0.08400573791465062,0.0
2023-26,1,NY,SLOPE,2.0,0.5,2,DOL,854,-0.07656039456474208,-65.38257695828973,0.4098360655737705,0.41337057392557885,-0.003534508351808352,1.4191368788142982,12.5,-1.650850221493744,-0.1105754695268806,-0.04254531960260354,-0.0958469179100351,0.0
2023-26,1,NY,NONE,2.0,0.5,2,R1,1506,-0.12021487495144596,-181.0436016768776,0.49734395750332006,0.5,-0.0026560424966799445,1.0,12.75,-4.640250631903202,-0.13092704752401743,-0.10953111662973013,-0.12241773364817711,0.0
2023-26,1,NY,NONE,2.0,0.5,2,R2,1506,-0.11237461437214157,-169.2361692444452,0.3339973439575033,0.3333333333333333,0.0006640106241699861,2.0,12.75,-3.070477703063098,-0.15378950439578282,-0.07106957816819168,-0.11655739805257531,0.0006640106241699867
2023-26,1,NY,NONE,2.0,0.5,2,DOL,1506,-0.09857984625077301,-148.46124845366415,0.4103585657370518,0.45141886521949165,-0.04106029948243983,1.215237503452085,12.75,-2.90106051707431,-0.10582558892440672,-0.09135332305372718,-0.10954384473507275,0.0
2023-26,1,LONDON,SLOPE,2.0,0.5,2,R1,1050,-0.3375411038352644,-354.4181590270276,0.4780952380952381,0.5,-0.021904761904761927,1.0,4.75,-10.768999716343158,-0.3833394496154458,-0.2919168962519658,-0.3412337235065304,0.0
2023-26,1,LONDON,SLOPE,2.0,0.5,2,R2,1050,-0.3189855482797088,-334.9348256936943,0.32476190476190475,0.3333333333333333,-0.008571428571428563,2.0,4.75,-7.303969565611851,-0.347079907630713,-0.290998011587834,-0.32545266232665127,0.0009523809523809524
2023-26,1,LONDON,SLOPE,2.0,0.5,2,DOL,1050,-0.33190024884218655,-348.49526128429585,0.3952380952380952,0.44999999999999996,-0.054761904761904734,1.2222222222222223,4.75,-8.372700032796393,-0.36372246626942933,-0.3001990284393819,-0.3478177011262345,0.0
2023-26,1,LONDON,NONE,2.0,0.5,2,R1,1841,-0.3410236224423576,-627.8244889163803,0.4780010863661054,0.5,-0.021998913633894612,1.0,4.75,-14.42325570148686,-0.40050229615846966,-0.2816095292623108,-0.34314055151940226,0.0
2023-26,1,LONDON,NONE,2.0,0.5,2,R2,1841,-0.31577466354320866,-581.3411555830471,0.3269961977186312,0.3333333333333333,-0.006337135614702116,2.0,4.75,-9.564514641148568,-0.35702403528890453,-0.2745700793889847,-0.31947750088021293,0.0005431830526887561
2023-26,1,LONDON,NONE,2.0,0.5,2,DOL,1841,-0.3252841973353148,-598.8482072943145,0.39923954372623577,0.47368421052631576,-0.07444466680008,1.1111111111111112,4.75,-10.646911697487003,-0.3815611278417421,-0.26906837098796066,-0.3391856405300951,0.0
2023-26,1,ALLDAY,SLOPE,2.0,0.5,2,R1,15944,-0.35811436965068294,-5709.775509710489,0.48331660812844957,0.5,-0.016683391871550435,1.0,4.75,-44.02816179070232,-0.41330802404161865,-0.30310043160466454,-0.358366592078685,0.00043903662819869544
2023-26,1,ALLDAY,SLOPE,2.0,0.5,2,R2,15944,-0.33763336065744287,-5383.2263023222695,0.3286502759658806,0.3333333333333333,-0.004683057367452725,2.0,4.75,-29.860553363645593,-0.3894821725455842,-0.28595337395516157,-0.3380699226483971,0.0011289513296537882
