tape,tf,sess,trend,W,U,buf,tgt,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,1,NY,SLOPE,1.0,0.5,2,R1,1518,0.019762845849802372,30.0,0.5098814229249012,0.5,0.00988142292490124,1.0,13.25,0.769887203801079,0.021108179419525065,0.018421052631578946,0.01782178217821782,0.0
2023-26,1,NY,SLOPE,1.0,0.5,2,R2,1518,0.02898207619675011,43.99479166666667,0.3425559947299078,0.3333333333333333,0.00922266139657446,2.0,13.25,0.792892970216982,-0.022427440633245383,0.0802563048245614,0.025079070407040677,0.0006587615283267457
2023-26,1,NY,SLOPE,1.0,0.5,2,R3,1518,0.08104454320635487,123.0256165872467,0.26811594202898553,0.25,0.018115942028985532,3.0,13.25,1.7795052154693893,0.011818732482572404,0.15008818074402214,0.07526443339092195,0.0032938076416337285
2023-26,1,NY,SLOPE,1.0,0.5,2,DOL,1518,0.0271303121919725,41.183813907414255,0.4150197628458498,0.4428934242020062,-0.02787366135615643,1.2578795379537953,13.25,0.8006980911015735,0.01538526574478011,0.03884445062219859,0.016100658337164134,0.0
2023-26,1,NY,SLOPE,2.0,0.5,2,R1,854,0.02810304449648712,24.0,0.5140515222482436,0.5,0.014051522248243575,1.0,12.5,0.8211064301810465,0.0351288056206089,0.02107728337236534,0.024676850763807285,0.0
2023-26,1,NY,SLOPE,2.0,0.5,2,R2,854,0.03981264637002342,34.0,0.34660421545667447,0.3333333333333333,0.013270882123341154,2.0,12.5,0.8144589928153901,-0.00234192037470726,0.08196721311475409,0.03290246768507638,0.0
2023-26,1,NY,SLOPE,2.0,0.5,2,R3,854,0.0902069844331175,77.03676470588235,0.2716627634660422,0.25,0.02166276346604218,3.0,12.5,1.4800068948520269,0.00234192037470726,0.17807204849152775,0.07994919471901565,0.00117096018735363
2023-26,1,NY,SLOPE,2.0,0.5,2,DOL,854,0.0399999665002936,34.159971391250735,0.4098360655737705,0.41337057392557885,-0.003534508351808352,1.4191368788142982,12.5,0.8640023521450669,0.0290009323664448,0.050999000634142415,0.02053465300384138,0.0
2023-26,1,NY,SIDE,1.0,0.5,2,R1,959,0.01981230448383733,19.0,0.5099061522419187,0.5,0.009906152241918709,1.0,12.75,0.6133424184310735,0.03765690376569038,0.002079002079002079,0.016736401673640166,0.0
2023-26,1,NY,SIDE,1.0,0.5,2,R2,959,0.054223149113660066,52.0,0.35140771637122004,0.3333333333333333,0.01807438303788672,2.0,12.75,1.1718032566997083,0.04184100418410042,0.06652806652806653,0.04811715481171548,0.0
2023-26,1,NY,SIDE,1.0,0.5,2,R3,959,0.10531184589645222,100.99406021469768,0.27424400417101147,0.25,0.02424400417101147,3.0,12.75,1.8242773119335713,0.06895104439704997,0.14144586485012017,0.0962280964588888,0.0031282586027111575
2023-26,1,NY,SIDE,1.0,0.5,2,DOL,959,0.04528132336873576,43.424789110617596,0.410844629822732,0.43243243243243246,-0.021587802609700446,1.3125,12.75,1.0280505950572174,0.05403234689021114,0.036584880035544,0.028560505182403006,0.0
2023-26,1,NY,SIDE,2.0,0.5,2,R1,547,0.04570383912248629,25.0,0.5228519195612431,0.5,0.022851919561243106,1.0,12.0,1.0690624218725393,0.0695970695970696,0.021897810218978103,0.04044117647058824,0.0
2023-26,1,NY,SIDE,2.0,0.5,2,R2,547,0.10786106032906764,59.0,0.3692870201096892,0.3333333333333333,0.03595368677635591,2.0,12.0,1.7407718135676375,0.10989010989010989,0.10583941605839416,0.0974264705882353,0.0
2023-26,1,NY,SIDE,2.0,0.5,2,R3,547,0.170018281535649,93.0,0.29250457038391225,0.25,0.042504570383912255,3.0,12.0,2.1832516886622377,0.0989010989010989,0.24087591240875914,0.15441176470588236,0.0
2023-26,1,NY,SIDE,2.0,0.5,2,DOL,547,0.09591014732251509,52.46285058541575,0.42230347349177333,0.40789473684210525,0.014408736649668075,1.4516129032258065,12.0,1.6077094606224533,0.11784935736642847,0.07405100738825102,0.06853771944204728,0.0
2023-26,1,NY,HHHL,1.0,0.5,2,R1,861,0.017421602787456445,15.0,0.5087108013937283,0.5,0.008710801393728262,1.0,13.25,0.5109792329901167,-0.018604651162790697,0.05336426914153132,0.013986013986013986,0.0
2023-26,1,NY,HHHL,1.0,0.5,2,R2,861,0.027874564459930314,24.0,0.3426248548199768,0.3333333333333333,0.009291521486643473,2.0,13.25,0.5741428873544621,-0.09302325581395349,0.14849187935034802,0.02097902097902098,0.0
2023-26,1,NY,HHHL,1.0,0.5,2,R3,861,0.1025872520352058,88.32762400231219,0.27409988385598144,0.25,0.02409988385598144,3.0,13.25,1.6854512155594612,0.013953488372093023,0.19101536891487747,0.09245643823113307,0.003484320557491289
2023-26,1,NY,HHHL,1.0,0.5,2,DOL,861,0.05426352609440439,46.72089596728218,0.4065040650406504,0.4155844155844156,-0.009080350543765214,1.40625,13.25,1.143239921308235,0.012276235085182441,0.09615339879502027,0.03641842498201787,0.0
2023-26,1,NY,HHHL,2.0,0.5,2,R1,473,0.006342494714587738,3.0,0.5031712473572939,0.5,0.003171247357293905,1.0,12.5,0.1377970273271923,-0.00847457627118644,0.02109704641350211,0.0,0.0
2023-26,1,NY,HHHL,2.0,0.5,2,R2,473,0.05919661733615222,28.0,0.35306553911205074,0.3333333333333333,0.019732205778717427,2.0,12.5,0.8969925316437553,-0.059322033898305086,0.17721518987341772,0.04680851063829787,0.0
2023-26,1,NY,HHHL,2.0,0.5,2,R3,473,0.16594537634123552,78.4921630094044,0.28964059196617337,0.25,0.039640591966173366,3.0,12.5,1.98444687226773,0.03389830508474576,0.2974352869595122,0.1478556659774562,0.0021141649048625794
2023-26,1,NY,HHHL,2.0,0.5,2,DOL,473,0.09038076403106006,42.750101386691405,0.40380549682875266,0.39644970414201186,0.007355792686740803,1.5223880597014925,12.5,1.3515428558362508,0.06599498344500919,0.11466365102814023,0.05822731189662039,0.0
2023-26,1,NY,NONE,1.0,0.5,2,R1,2766,-0.01012292118582791,-28.0,0.49493853940708604,0.5,-0.005061460592913958,1.0,13.5,-0.5323235458127583,-0.009427121102248005,-0.010814708002883922,-0.011219688744118711,0.0
2023-26,1,NY,NONE,1.0,0.5,2,R2,2766,-0.02935566735390488,-81.1977759009009,0.3232104121475054,0.3333333333333333,-0.010122921185827916,2.0,13.5,-1.100223472389404,-0.05307655371107148,-0.005771599375150206,-0.03155909370282337,0.0007230657989877079
2023-26,1,NY,NONE,1.0,0.5,2,R3,2766,0.011121223751333719,30.761304896189067,0.25054229934924077,0.25,0.0005422993492407713,3.0,13.5,0.3370738989270975,-0.023013704748156765,0.04505926729913283,0.007875969922616324,0.004338394793926247
2023-26,1,NY,NONE,1.0,0.5,2,DOL,2766,-0.0005131297683191888,-1.4193169391708764,0.4150397686189443,0.4742484269401072,-0.0592086583211629,1.1085995085995086,13.5,-0.02114575111883081,0.0011792626788119163,-0.002195760759374551,-0.006590891590945162,0.0
2023-26,1,NY,NONE,2.0,0.5,2,R1,1506,-0.005312084993359893,-8.0,0.49734395750332006,0.5,-0.0026560424966799445,1.0,12.75,-0.206081683124097,0.005319148936170213,-0.015915119363395226,-0.007318695941450432,0.0
2023-26,1,NY,NONE,2.0,0.5,2,R2,1506,0.0025281755859445096,3.8074324324324316,0.3339973439575033,0.3333333333333333,0.0006640106241699861,2.0,12.75,0.06932890915441227,-0.017543307935595172,0.022546419098143235,-0.001458794123464733,0.0006640106241699867
2023-26,1,NY,NONE,2.0,0.5,2,R3,1506,0.0505445842838665,76.12014393150295,0.26095617529880477,0.25,0.010956175298804771,3.0,12.75,1.1152222735614283,-0.011181893329499716,0.11210733118738295,0.044657447725550886,0.0026560424966799467
2023-26,1,NY,NONE,2.0,0.5,2,DOL,1506,0.016322943707313065,24.582353223213477,0.4103585657370518,0.45141886521949165,-0.04106029948243983,1.215237503452085,12.75,0.48113839340343245,0.030420607535780922,0.0022626742126077228,0.005254405547725764,0.0
2023-26,3,NY,SLOPE,1.0,0.5,2,R1,537,-0.04655493482309125,-25.0,0.4767225325884544,0.5,-0.023277467411545627,1.0,25.5,-1.0789945852258107,0.022388059701492536,-0.11524163568773234,-0.052434456928838954,0.0
2023-26,3,NY,SLOPE,1.0,0.5,2,R2,537,0.048522821779901124,26.0567552958069,0.33891992551210426,0.3333333333333333,0.005586592178770944,2.0,25.5,0.7917666675616086,0.15163467963854046,-0.05420572062201467,0.03755946684608035,0.0186219739292365
2023-26,3,NY,SLOPE,1.0,0.5,2,R3,537,0.09761075131846685,52.4169734580167,0.2346368715083799,0.25,-0.01536312849162011,3.0,25.5,1.31448562336166,0.24611313364142867,-0.050339577538610326,0.08130519374160439,0.07076350093109869
2023-26,3,NY,SLOPE,1.0,0.5,2,DOL,537,-0.021299742270652157,-11.437961599340209,0.41527001862197394,0.48958333333333326,-0.07431331471135932,1.0425531914893618,25.5,-0.4002832849195564,0.059821973463273094,-0.1021198902880944,-0.045170638803515004,0.00186219739292365
2023-26,3,NY,SLOPE,2.0,0.5,2,R1,305,-0.022950819672131147,-7.0,0.4885245901639344,0.5,-0.011475409836065598,1.0,24.75,-0.40026664662610584,0.05263157894736842,-0.09803921568627451,-0.033112582781456956,0.0
2023-26,3,NY,SLOPE,2.0,0.5,2,R2,305,0.05840417632958341,17.81327378052294,0.3442622950819672,0.3333333333333333,0.010928961748633892,2.0,24.75,0.7137672180658265,0.11432863655200994,0.0028452354550158937,0.03911680059775806,0.013114754098360656
2023-26,3,NY,SLOPE,2.0,0.5,2,R3,305,0.11937981419082096,36.41084332820039,0.2459016393442623,0.25,-0.0040983606557377095,3.0,24.75,1.1937393837634898,0.2358614437086465,0.003659502512981218,0.09076438188145837,0.05901639344262295
2023-26,3,NY,SLOPE,2.0,0.5,2,DOL,305,-0.01336355229636552,-4.075883450391483,0.4163934426229508,0.46825396825396826,-0.05186052563101745,1.1355932203389831,24.75,-0.1885394731895324,0.10607154332560446,-0.13201802637832263,-0.050666783289813395,0.0
2023-26,3,NY,SIDE,1.0,0.5,2,R1,330,0.012121212121212121,4.0,0.5060606060606061,0.5,0.0060606060606061,1.0,24.375,0.21987502754050803,0.07878787878787878,-0.05454545454545454,0.0030581039755351682,0.0
2023-26,3,NY,SIDE,1.0,0.5,2,R2,330,0.13459250961992,44.4155281745736,0.3696969696969697,0.3333333333333333,0.036363636363636376,2.0,24.375,1.6929259820185383,0.20935246929859444,0.0598325499412456,0.11747867943294682,0.01818181818181818
2023-26,3,NY,SIDE,1.0,0.5,2,R3,330,0.16265555679500235,53.67633374235078,0.24848484848484848,0.25,-0.001515151515151525,3.0,24.375,1.686335682573086,0.29416572567323124,0.03114538791677346,0.1366248738298189,0.07575757575757576
2023-26,3,NY,SIDE,1.0,0.5,2,DOL,330,0.029597192448501442,9.767073508005476,0.43333333333333335,0.4809503210993911,-0.04761698776605777,1.0792168257921682,24.375,0.42518169448000226,0.12303619764028817,-0.06384181274328529,-0.006611539631861751,0.0
2023-26,3,NY,SIDE,2.0,0.5,2,R1,201,0.04477611940298507,9.0,0.5223880597014925,0.5,0.02238805970149249,1.0,22.5,0.6338656910463873,0.12,-0.0297029702970297,0.030303030303030304,0.0
2023-26,3,NY,SIDE,2.0,0.5,2,R2,201,0.14646991420848512,29.44045275590551,0.3781094527363184,0.3333333333333333,0.04477611940298509,2.0,22.5,1.4281577720125451,0.1837795275590551,0.10952970297029703,0.11838612502982582,0.009950248756218905
2023-26,3,NY,SIDE,2.0,0.5,2,R3,201,0.14596724013175616,29.339415266482987,0.2537313432835821,0.25,0.0037313432835821003,3.0,22.5,1.1746164419217273,0.3126582722377998,-0.019073385715811835,0.10272431952769186,0.05970149253731343
2023-26,3,NY,SIDE,2.0,0.5,2,DOL,201,0.02884174158858129,5.797190059304839,0.43283582089552236,0.4586466165413534,-0.025810795645831053,1.180327868852459,22.5,0.32727120748032296,0.20755301161174244,-0.1481001099194991,-0.022051747382718503,0.0
2023-26,3,NY,HHHL,1.0,0.5,2,R1,289,-0.0657439446366782,-19.0,0.4671280276816609,0.5,-0.032871972318339104,1.0,24.25,-1.1181307840393493,-0.05555555555555555,-0.07586206896551724,-0.07692307692307693,0.0
2023-26,3,NY,HHHL,1.0,0.5,2,R2,289,0.024792062219395252,7.164905981405228,0.32525951557093424,0.3333333333333333,-0.008073817762399071,2.0,24.25,0.2984991472261586,0.1599049707602339,-0.1093890331590928,0.004073097837081261,0.02422145328719723
2023-26,3,NY,HHHL,1.0,0.5,2,R3,289,0.0451204547585906,13.039811425232683,0.23183391003460208,0.25,-0.018166089965397925,3.0,24.25,0.44828448886626404,0.17151170550898318,-0.08039913219352342,0.014125214773540807,0.05190311418685121
2023-26,3,NY,HHHL,1.0,0.5,2,DOL,289,-0.03403299118361147,-9.835534452063715,0.39100346020761245,0.45303867403314924,-0.062035213825536784,1.2073170731707317,24.25,-0.4432382190235495,0.01731193617692485,-0.08502381559683375,-0.07873669221608574,0.0
2023-26,3,NY,HHHL,2.0,0.5,2,R1,161,-0.08074534161490683,-13.0,0.45962732919254656,0.5,-0.04037267080745344,1.0,22.75,-1.0247026557856447,-0.05,-0.1111111111111111,-0.10126582278481013,0.0
2023-26,3,NY,HHHL,2.0,0.5,2,R2,161,0.08344919891066728,13.435321024617432,0.34782608695652173,0.3333333333333333,0.014492753623188415,2.0,22.75,0.7366524844252491,0.2375,-0.06869974043682182,0.04705899382669264,0.018633540372670808
2023-26,3,NY,HHHL,2.0,0.5,2,R3,161,0.09218961750061296,14.842528417598686,0.2484472049689441,0.25,-0.0015527950310559036,3.0,22.75,0.6686702482560608,0.281204433497537,-0.09449168224943548,0.036978027959485356,0.043478260869565216
