strategy,trades,win,PF,WL,maxDD_R,maxDD_pct,R,note
SMA20 flat 1R [2023-26],780,0.5153846153846153,0.9584961566206248,0.901272505479095,35.45850812640542,35.45850812640542,-0.021151734617183667,1m SIDE
SMA20 flat 1R [2020-22],510,0.5294117647058824,1.0094455448514423,0.8972849287568376,22.95478601091977,22.95478601091977,0.0046895841527500514,1m SIDE
SMA20 flat 1R [2017-19],69,0.5507246376811594,1.0669569697908015,0.8704122648293381,9.005875785427282,9.005875785427282,0.03213611578846306,1m SIDE
SMA20 flat 1R [ALL 9yrs],1359,0.5224429727740986,0.9826139186299425,0.8981921594237081,39.939390052060446,39.939390052060446,-0.00874854532310286,1m SIDE
SMA20 flat 3R [2023-26],780,0.28205128205128205,1.0942457430527368,2.7853528004978756,54.93224425736858,54.93224425736858,0.0711483425811467,1m SIDE
SMA20 flat 3R [2020-22],510,0.24901960784313726,0.9146358832346515,2.7583113644005635,58.11853906295131,58.11853906295131,-0.06763200466584375,1m SIDE
SMA20 flat 3R [2017-19],69,0.2608695652173913,0.9672909288229499,2.7406576316650244,20.588666554166533,20.588666554166533,-0.02583489870429058,1m SIDE
SMA20 flat 3R [ALL 9yrs],1359,0.26857983811626196,1.0183509335064687,2.7732625422066577,80.76735723643229,80.76735723643229,0.014143323637320139,1m SIDE
SMA20 half@1R -> 3R [2023-26],780,0.28205128205128205,1.047927083852377,2.66745075889696,41.93224425736853,41.93224425736853,0.02499830398198151,1m SIDE
SMA20 half@1R -> 3R [2020-22],510,0.24901960784313726,0.938518933921199,2.8303366274946393,35.94462601947302,35.94462601947302,-0.031471210256546846,1m SIDE
SMA20 half@1R -> 3R [2017-19],69,0.2608695652173913,1.006301420168849,2.8511873571450717,13.588666554166526,13.588666554166526,0.0031506085420862414,1m SIDE
SMA20 half@1R -> 3R [ALL 9yrs],1359,0.26857983811626196,1.0052188913517963,2.7375002137087274,53.05412801132054,53.05412801132054,0.0026973891571086305,1m SIDE
SMA20 half@1R BE ->3R [2023-26],780,0.5153846153846153,1.0370828493784825,0.9751674553857371,33.458508126405405,33.458508126405405,0.0188986494993483,1m SIDE
SMA20 half@1R BE ->3R [2020-22],510,0.5294117647058824,1.0094455448514426,0.8972849287568377,28.45478601091977,28.45478601091977,0.004689584152750053,1m SIDE
SMA20 half@1R BE ->3R [2017-19],69,0.5507246376811594,1.127349512120496,0.9196798651509309,9.42239752455772,9.42239752455772,0.06112162303483987,1m SIDE
SMA20 half@1R BE ->3R [ALL 9yrs],1359,0.5224429727740986,1.031220857266559,0.9426230089661928,37.93939005206046,37.93939005206046,0.01571010045386177,1m SIDE
SMA20 half@1R -> 5R [2023-26],780,0.19743589743589743,1.0401171733790482,4.228008769709637,47.932244257368524,47.932244257368524,0.021118999763468902,1m SIDE
SMA20 half@1R -> 5R [2020-22],510,0.19019607843137254,1.0361709614713355,4.411738217398573,30.44926188546085,30.44926188546085,0.018615673870189038,1m SIDE
SMA20 half@1R -> 5R [2017-19],69,0.17391304347826086,0.9216598918091741,4.377884486093576,13.880325654869422,13.880325654869422,-0.03965875600640873,1m SIDE
SMA20 half@1R -> 5R [ALL 9yrs],1359,0.19352465047829287,1.0328101453584573,4.304030111455777,51.780465473718714,51.780465473718714,0.01709371547083145,1m SIDE
SMA20 third@1R ->3R [2023-26],780,0.28205128205128205,1.0673059764259725,2.7167788490842932,46.24824425736854,46.24824425736854,0.040320116796904344,1m SIDE
SMA20 third@1R ->3R [2020-22],510,0.24901960784313726,0.9281348660231217,2.7990208951720916,43.30636514990782,43.30636514990782,-0.04347659400043344,1m SIDE
SMA20 third@1R ->3R [2017-19],69,0.2608695652173913,0.9891438969062466,2.802574374567699,15.912666554166533,15.912666554166533,-0.006472579863710865,1m SIDE
SMA20 third@1R ->3R [ALL 9yrs],1359,0.26857983811626196,1.0108086454445644,2.752722722114786,62.11394176870404,62.11394176870404,0.006497439404538836,1m SIDE
