sym,day,dir,risk,res,r
NQ,2023-01-04,1,56.5,TARGET,1.9867256637168142
NQ,2023-01-09,-1,34.25,STOP,-1.0218978102189782
NQ,2023-01-09,-1,29.0,STOP,-1.0258620689655173
NQ,2023-01-16,-1,11.25,TARGET,1.9333333333333333
NQ,2023-02-09,-1,36.0,TARGET,1.9791666666666667
NQ,2023-02-21,1,24.75,STOP,-1.0303030303030303
NQ,2023-03-01,1,35.75,STOP,-1.020979020979021
NQ,2023-03-01,1,26.75,TARGET,1.97196261682243
NQ,2023-03-15,-1,59.75,STOP,-1.0125523012552302
NQ,2023-03-23,-1,36.5,STOP,-1.0205479452054795
NQ,2023-03-30,-1,23.25,STOP,-1.032258064516129
NQ,2023-03-30,-1,41.0,STOP,-1.0182926829268293
NQ,2023-04-03,-1,26.75,TARGET,1.97196261682243
NQ,2023-04-04,1,46.75,STOP,-1.0160427807486632
NQ,2023-04-19,1,26.25,TARGET,1.9714285714285715
NQ,2023-04-19,1,26.5,TARGET,1.971698113207547
NQ,2023-04-24,-1,21.5,TARGET,1.9651162790697674
NQ,2023-05-01,1,23.25,STOP,-1.032258064516129
NQ,2023-05-03,-1,33.75,FLAT,-0.5555555555555556
NQ,2023-05-05,-1,17.5,STOP,-1.042857142857143
NQ,2023-05-08,1,18.25,TARGET,1.9589041095890412
NQ,2023-05-12,-1,24.5,TARGET,1.969387755102041
NQ,2023-05-18,-1,26.75,STOP,-1.02803738317757
NQ,2023-05-19,-1,25.0,TARGET,1.97
NQ,2023-05-29,1,3.75,STOP,-1.2
NQ,2023-06-09,-1,40.5,TARGET,1.9814814814814814
NQ,2023-06-13,-1,42.5,STOP,-1.0176470588235293
NQ,2023-06-19,1,6.5,STOP,-1.1153846153846154
NQ,2023-06-30,-1,37.75,FLAT,-0.08609271523178808
NQ,2023-07-13,-1,25.75,STOP,-1.029126213592233
NQ,2023-07-14,-1,39.25,FLAT,1.0955414012738853
NQ,2023-07-19,-1,49.0,STOP,-1.0153061224489797
NQ,2023-07-20,1,37.75,STOP,-1.0198675496688743
NQ,2023-07-26,1,35.5,STOP,-1.0211267605633803
NQ,2023-07-27,-1,43.75,TARGET,1.9828571428571429
NQ,2023-07-27,-1,37.0,STOP,-1.0202702702702702
NQ,2023-07-28,-1,31.5,STOP,-1.0238095238095237
NQ,2023-07-28,-1,31.75,STOP,-1.0236220472440944
NQ,2023-08-03,1,40.25,TARGET,1.9813664596273293
NQ,2023-08-04,-1,54.5,TARGET,1.9862385321100917
NQ,2023-08-28,-1,41.5,STOP,-1.0180722891566265
NQ,2023-08-28,-1,24.5,TARGET,1.969387755102041
NQ,2023-08-30,-1,22.0,TARGET,1.9659090909090908
NQ,2023-09-01,-1,45.5,TARGET,1.9835164835164836
NQ,2023-09-04,-1,15.0,TARGET,1.95
NQ,2023-09-07,1,54.5,FLAT,0.2798165137614679
NQ,2023-09-07,1,47.5,FLAT,0.5578947368421052
NQ,2023-09-11,-1,32.5,STOP,-1.023076923076923
NQ,2023-09-11,-1,31.0,STOP,-1.0241935483870968
NQ,2023-09-11,-1,33.0,STOP,-1.0227272727272727
NQ,2023-09-18,-1,30.0,STOP,-1.025
NQ,2023-09-26,1,41.25,STOP,-1.018181818181818
NQ,2023-09-27,-1,37.0,TARGET,1.9797297297297298
NQ,2023-10-02,-1,49.5,STOP,-1.0151515151515151
NQ,2023-10-02,-1,64.5,STOP,-1.0116279069767442
NQ,2023-10-05,1,22.5,STOP,-1.0333333333333334
NQ,2023-10-17,1,80.0,TARGET,1.990625
NQ,2023-10-18,1,22.25,TARGET,1.9662921348314606
NQ,2023-10-25,1,38.0,STOP,-1.019736842105263
NQ,2023-11-02,-1,40.25,STOP,-1.0186335403726707
NQ,2023-11-06,-1,38.5,FLAT,0.3181818181818182
NQ,2023-11-09,-1,70.5,STOP,-1.0106382978723405
NQ,2023-11-09,-1,20.75,STOP,-1.036144578313253
NQ,2023-11-10,-1,47.0,STOP,-1.0159574468085106
NQ,2023-11-14,-1,25.75,STOP,-1.029126213592233
NQ,2023-11-15,-1,25.75,STOP,-1.029126213592233
NQ,2023-11-16,-1,57.0,FLAT,-0.5921052631578947
NQ,2023-11-17,-1,31.25,STOP,-1.024
NQ,2023-12-06,-1,47.5,TARGET,1.9842105263157894
NQ,2023-12-06,1,28.0,STOP,-1.0267857142857142
NQ,2023-12-06,1,35.75,STOP,-1.020979020979021
NQ,2023-12-11,-1,23.5,TARGET,1.9680851063829787
NQ,2023-12-12,-1,21.5,STOP,-1.0348837209302326
NQ,2023-12-13,-1,46.75,FLAT,-0.0106951871657754
NQ,2023-12-14,1,28.75,STOP,-1.0260869565217392
NQ,2023-12-21,-1,35.0,FLAT,1.6785714285714286
NQ,2023-12-22,-1,21.0,TARGET,1.9642857142857142
NQ,2024-01-12,-1,56.75,FLAT,1.0088105726872247
NQ,2024-01-17,1,51.75,FLAT,1.2463768115942029
NQ,2024-01-31,1,34.5,STOP,-1.0217391304347827
NQ,2024-02-15,1,59.75,STOP,-1.0125523012552302
NQ,2024-02-22,-1,41.0,STOP,-1.0182926829268293
NQ,2024-02-27,1,49.5,FLAT,0.19696969696969696
NQ,2024-03-22,1,33.0,FLAT,0.5454545454545454
NQ,2024-03-22,1,23.0,STOP,-1.0326086956521738
NQ,2024-03-25,1,55.0,FLAT,1.3181818181818181
NQ,2024-04-02,1,42.5,FLAT,0.06470588235294118
NQ,2024-04-04,1,18.0,STOP,-1.0416666666666667
NQ,2024-04-09,-1,36.25,TARGET,1.9793103448275862
NQ,2024-04-11,-1,27.0,STOP,-1.0277777777777777
NQ,2024-04-12,1,23.0,STOP,-1.0326086956521738
NQ,2024-04-15,-1,37.5,STOP,-1.02
NQ,2024-04-22,-1,43.0,TARGET,1.9825581395348837
NQ,2024-04-25,1,63.5,FLAT,0.2047244094488189
NQ,2024-04-25,-1,27.25,TARGET,1.9724770642201834
NQ,2024-04-26,1,67.25,TARGET,1.9888475836431228
NQ,2024-04-29,-1,43.5,FLAT,1.1954022988505748
NQ,2024-04-29,1,37.25,FLAT,0.5637583892617449
NQ,2024-05-03,-1,35.5,STOP,-1.0211267605633803
NQ,2024-05-06,-1,20.5,STOP,-1.0365853658536586
NQ,2024-05-09,1,32.0,TARGET,1.9765625
NQ,2024-05-14,-1,37.0,STOP,-1.0202702702702702
NQ,2024-05-14,-1,68.5,FLAT,-0.0948905109489051
NQ,2024-05-20,1,30.75,TARGET,1.975609756097561
NQ,2024-05-23,1,60.25,STOP,-1.012448132780083
NQ,2024-05-23,1,32.75,STOP,-1.0229007633587786
NQ,2024-05-24,-1,40.0,STOP,-1.01875
NQ,2024-05-29,1,42.25,FLAT,0.9881656804733728
NQ,2024-06-10,1,23.25,TARGET,1.967741935483871
NQ,2024-06-20,1,39.0,STOP,-1.0192307692307692
NQ,2024-06-27,-1,40.5,TARGET,1.9814814814814814
NQ,2024-07-10,1,22.75,TARGET,1.967032967032967
NQ,2024-07-18,1,76.75,STOP,-1.009771986970684
NQ,2024-07-22,-1,41.25,TARGET,1.981818181818182
NQ,2024-07-29,-1,56.25,TARGET,1.9866666666666666
NQ,2024-07-31,-1,44.25,STOP,-1.0169491525423728
NQ,2024-08-02,1,71.5,TARGET,1.9895104895104896
NQ,2024-08-02,1,44.5,TARGET,1.9831460674157304
NQ,2024-08-09,1,65.5,FLAT,-0.0916030534351145
NQ,2024-08-14,1,50.0,STOP,-1.015
NQ,2024-08-26,1,54.25,FLAT,1.3317972350230414
NQ,2024-09-02,1,13.75,TARGET,1.9454545454545455
NQ,2024-09-05,-1,76.0,STOP,-1.0098684210526316
NQ,2024-09-09,-1,68.0,TARGET,1.9889705882352942
NQ,2024-09-18,-1,21.5,TARGET,1.9651162790697674
NQ,2024-09-19,-1,67.25,STOP,-1.0111524163568772
NQ,2024-09-24,1,54.5,STOP,-1.0137614678899083
NQ,2024-09-25,-1,43.25,STOP,-1.0173410404624277
NQ,2024-10-10,-1,43.0,STOP,-1.0174418604651163
NQ,2024-10-11,1,41.0,TARGET,1.9817073170731707
NQ,2024-10-21,-1,47.5,TARGET,1.9842105263157894
NQ,2024-10-29,-1,60.0,STOP,-1.0125
NQ,2024-11-06,-1,59.0,STOP,-1.0127118644067796
NQ,2024-11-08,-1,43.0,FLAT,-0.23255813953488372
NQ,2024-11-14,1,56.0,STOP,-1.0133928571428572
NQ,2024-11-14,1,48.5,FLAT,-0.788659793814433
NQ,2024-11-20,1,76.5,TARGET,1.9901960784313726
NQ,2024-11-26,-1,34.75,FLAT,-0.3597122302158273
NQ,2024-11-28,-1,10.25,STOP,-1.0731707317073171
NQ,2024-12-10,-1,54.75,STOP,-1.0136986301369864
NQ,2024-12-10,-1,28.25,TARGET,1.9734513274336283
NQ,2024-12-12,1,32.75,STOP,-1.0229007633587786
NQ,2024-12-12,1,53.5,FLAT,0.6822429906542056
NQ,2024-12-23,-1,48.5,STOP,-1.0154639175257731
NQ,2024-12-24,-1,41.25,STOP,-1.018181818181818
NQ,2024-12-27,1,59.75,STOP,-1.0125523012552302
NQ,2024-12-30,1,64.5,STOP,-1.0116279069767442
NQ,2024-12-30,1,54.25,TARGET,1.9861751152073732
NQ,2024-12-31,1,78.5,STOP,-1.0095541401273886
NQ,2025-01-07,-1,72.5,TARGET,1.9896551724137932
NQ,2025-01-10,1,53.0,STOP,-1.0141509433962264
NQ,2025-01-13,-1,57.25,FLAT,-0.33624454148471616
NQ,2025-01-28,-1,58.0,STOP,-1.0129310344827587
NQ,2025-01-29,1,56.25,FLAT,-0.18222222222222223
NQ,2025-02-06,-1,57.75,FLAT,-0.13852813852813853
NQ,2025-02-26,1,71.75,TARGET,1.9895470383275262
NQ,2025-02-28,-1,74.0,FLAT,0.24324324324324326
NQ,2025-03-11,1,61.25,TARGET,1.9877551020408164
NQ,2025-03-27,1,43.25,TARGET,1.9826589595375723
NQ,2025-03-27,1,62.75,FLAT,0.16733067729083664
NQ,2025-03-27,-1,37.5,STOP,-1.02
NQ,2025-04-16,1,36.75,TARGET,1.9795918367346939
NQ,2025-04-21,1,50.25,STOP,-1.0149253731343284
NQ,2025-04-25,-1,59.25,FLAT,-0.759493670886076
NQ,2025-04-25,-1,49.5,STOP,-1.0151515151515151
NQ,2025-04-28,-1,73.5,TARGET,1.989795918367347
