tape,tf,sess,trend,W,U,buf,tgt,dolk,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,3,NY,SIDE,1.0,0.5,2,R2,10,330,0.08555085788993981,28.231783103680137,0.3696969696969697,0.3333333333333333,0.036363636363636376,2.0,24.375,1.0740460918591372,0.14512661947100317,0.025975096308876525,0.06810022246786326,0.01818181818181818
2023-26,3,NY,SIDE,1.0,0.5,2,R3,10,330,0.11361390506502216,37.49258867145731,0.24848484848484848,0.25,-0.001515151515151525,3.0,24.375,1.1764069005714282,0.22993987584563996,-0.002712065715595581,0.0872516322358563,0.07575757575757576
2023-26,3,NY,SIDE,1.0,0.5,2,DOL,10,330,0.026531608371650316,8.755430762644604,0.4121212121212121,0.40322426482301593,0.008896947298196178,1.4800094816687737,24.375,0.3350856300652415,0.12203673986201637,-0.06897352311871573,-0.022521437364141327,0.0
2023-26,3,NY,SIDE,2.0,0.5,2,R2,10,201,0.09453382848319926,19.001299525123052,0.3781094527363184,0.3333333333333333,0.04477611940298509,2.0,22.5,0.9188150377691816,0.1148119504908887,0.0744564799607345,0.06586483691302845,0.009950248756218905
2023-26,3,NY,SIDE,2.0,0.5,2,R3,10,201,0.09403115440647031,18.900262035700532,0.2537313432835821,0.25,0.0037313432835821003,3.0,22.5,0.7550286174438631,0.24369069516963335,-0.054146608725374336,0.050225764366860694,0.05970149253731343
2023-26,3,NY,SIDE,2.0,0.5,2,DOL,10,201,0.013700816294074786,2.753864075109032,0.4129353233830846,0.3846153846153846,0.028319938767700004,1.6,22.5,0.13924093848479838,0.1822382870826298,-0.15316796666489055,-0.05036547326122683,0.0
2023-26,3,NY,HHHL,1.0,0.5,2,R2,10,289,-0.022244051880075624,-6.428530993341855,0.32525951557093424,0.3333333333333333,-0.008073817762399071,2.0,24.25,-0.26769268975995264,0.10216412012422078,-0.14579423649123896,-0.04331060156540284,0.02422145328719723
2023-26,3,NY,HHHL,1.0,0.5,2,R3,10,289,-0.0019156593408802907,-0.553625549514404,0.23183391003460208,0.25,-0.018166089965397925,3.0,24.25,-0.019021944757189095,0.11377085487297005,-0.11680433552566959,-0.03325629876779233,0.05190311418685121
2023-26,3,NY,HHHL,1.0,0.5,2,DOL,10,289,-0.0533806785006611,-15.427016086691058,0.35986159169550175,0.39108910891089105,-0.0312275172153893,1.5569620253164558,24.25,-0.6233934086721972,0.0009292607898877105,-0.10731606648575785,-0.10679673643661149,0.010380622837370242
2023-26,3,NY,HHHL,2.0,0.5,2,R2,10,161,0.033225245137342534,5.349264467112148,0.34782608695652173,0.3333333333333333,0.014492753623188415,2.0,22.75,0.29265857951087915,0.1756445216151435,-0.10743576866789296,-0.0038106414434495414,0.018633540372670808
2023-26,3,NY,HHHL,2.0,0.5,2,R3,10,161,0.0419656637272882,6.7564718600934,0.2484472049689441,0.25,-0.0015527950310559036,3.0,22.75,0.30406150737184356,0.21934895511268043,-0.13322771048050658,-0.013866238202093975,0.043478260869565216
2023-26,3,NY,HHHL,2.0,0.5,2,DOL,10,161,-0.05267072532015366,-8.47998677654474,0.35403726708074534,0.364406779661017,-0.010369512580271634,1.744186046511628,22.75,-0.4625526027350934,0.11218863748677685,-0.21549478735168998,-0.12921977916608263,0.012422360248447204
2020-22,3,NY,SIDE,1.0,0.5,2,R2,10,253,-0.026846097129364446,-6.792062573729205,0.3359683794466403,0.3333333333333333,0.0026350461133070047,2.0,20.5,-0.30060769428995593,-0.07999354430970448,0.02588286621490995,-0.05096060840320854,0.019762845849802372
2020-22,3,NY,SIDE,1.0,0.5,2,R3,10,253,0.032775055319685435,8.292088995880414,0.24110671936758893,0.25,-0.008893280632411071,3.0,20.5,0.301025219739223,0.027020341628815153,0.03848445630432838,-0.0026240021247704135,0.06324110671936758
2020-22,3,NY,SIDE,1.0,0.5,2,DOL,10,253,-0.03986416284626524,-10.085633200105105,0.4268774703557312,0.4823232323232324,-0.05544576196750117,1.0732984293193717,20.5,-0.4657694571933683,-0.10924222880336612,0.02896761912692151,-0.10856143913128125,0.0
2020-22,3,NY,SIDE,2.0,0.5,2,R2,10,137,0.03871250622681365,5.30361335307347,0.35766423357664234,0.3333333333333333,0.024330900243309028,2.0,18.25,0.31273790272302915,-0.005609458180205536,0.08239212332358618,-0.004762570347248268,0.021897810218978103
2020-22,3,NY,SIDE,2.0,0.5,2,R3,10,137,0.06928571426261208,9.492142853977855,0.25547445255474455,0.25,0.005474452554744547,3.0,18.25,0.45866272417305515,0.06444548687473949,0.07405579342747201,0.004120720717944894,0.058394160583941604
2020-22,3,NY,SIDE,2.0,0.5,2,DOL,10,137,0.02925395157692811,4.007791366039151,0.45255474452554745,0.5,-0.04744525547445255,1.0,18.25,0.23727037043695173,-0.04428975957415873,0.10173181184176737,-0.09361340540601346,0.0
2020-22,3,NY,HHHL,1.0,0.5,2,R2,10,212,-0.048589814977347885,-10.301040775197752,0.330188679245283,0.3333333333333333,-0.0031446540880503138,2.0,21.125,-0.5025640092736322,-0.1595147469772599,0.06233511702256418,-0.07775972989341172,0.018867924528301886
2020-22,3,NY,HHHL,1.0,0.5,2,R3,10,212,-0.11525138348436167,-24.433293298684674,0.21226415094339623,0.25,-0.037735849056603765,3.0,21.125,-1.014425757252542,-0.21150190073077252,-0.019000866237950817,-0.15971800659571025,0.05188679245283019
2020-22,3,NY,HHHL,1.0,0.5,2,DOL,10,212,-0.13690443900527005,-29.02374106911725,0.38207547169811323,0.4412685879721016,-0.05919311627398838,1.2661934868185614,21.125,-1.5620447502258632,-0.24628328437785985,-0.02752559363268023,-0.20059130284648677,0.0047169811320754715
2020-22,3,NY,HHHL,2.0,0.5,2,R2,10,121,-0.07409564292399831,-8.965572793803796,0.32231404958677684,0.3333333333333333,-0.011019283746556474,2.0,19.5,-0.5806750122170554,-0.2610166949575955,0.10976112956806437,-0.12638426164086913,0.024793388429752067
2020-22,3,NY,HHHL,2.0,0.5,2,R3,10,121,-0.07464469113067033,-9.03200762681111,0.23140495867768596,0.25,-0.018595041322314043,3.0,19.5,-0.4803799071748123,-0.32768336162426215,0.174245804436797,-0.15237099751381253,0.04132231404958678
2020-22,3,NY,HHHL,2.0,0.5,2,DOL,10,121,-0.17040767507757643,-20.619328684386748,0.35537190082644626,0.4119601328903654,-0.056588232063919164,1.4274193548387097,19.5,-1.4025248990321562,-0.35802312136363584,0.014132108154613226,-0.2840607619507224,0.008264462809917356
2017-19,3,NY,SIDE,1.0,0.5,2,R2,10,266,-0.13446223323045656,-35.766954039301446,0.34210526315789475,0.3333333333333333,0.00877192982456143,2.0,6.0,-1.5458540456330971,-0.09621584975833898,-0.17270861670257423,-0.15827053704919508,0.03383458646616541
2017-19,3,NY,SIDE,1.0,0.5,2,R3,10,266,-0.1460320637265955,-38.844528951274405,0.22180451127819548,0.25,-0.028195488721804524,3.0,6.0,-1.4103382760310967,-0.10497172519978332,-0.1870924022534078,-0.18137918690460583,0.08270676691729323
2017-19,3,NY,SIDE,1.0,0.5,2,DOL,10,266,-0.19182470897400378,-51.025372587085,0.42105263157894735,0.4408260524225576,-0.01977342084361028,1.2684684684684684,6.0,-2.479794464025273,-0.14234765536644914,-0.2413017625815584,-0.2314177664908174,0.0
2017-19,3,NY,SIDE,2.0,0.5,2,R2,10,159,-0.18125695394438815,-28.819855677157715,0.3270440251572327,0.3333333333333333,-0.0062893081761006275,2.0,5.5,-1.6255302874910629,-0.14671987369037065,-0.21536232069523048,-0.2218279410092721,0.03773584905660377
2017-19,3,NY,SIDE,2.0,0.5,2,R3,10,159,-0.22247631531858955,-35.37373413565574,0.2138364779874214,0.25,-0.03616352201257861,3.0,5.5,-1.683357795160175,-0.21702213265869996,-0.22786232069523052,-0.28307075164066964,0.06918238993710692
2017-19,3,NY,SIDE,2.0,0.5,2,DOL,10,159,-0.18577730966895137,-29.538592237363268,0.4025157232704403,0.4074074074074074,-0.004891684136967112,1.4545454545454546,5.5,-1.7490793481542748,-0.14281424463880193,-0.22820333638622387,-0.2524108476754056,0.0
2017-19,3,NY,HHHL,1.0,0.5,2,R2,10,224,-0.2132363216752559,-47.76493605525732,0.3169642857142857,0.3333333333333333,-0.016369047619047616,2.0,6.375,-2.2884713167238475,-0.2141317746685191,-0.2123408686819927,-0.2426327457214794,0.026785714285714284
2017-19,3,NY,HHHL,1.0,0.5,2,R3,10,224,-0.31155279630117355,-69.78782637146287,0.19196428571428573,0.25,-0.058035714285714274,3.0,6.375,-2.910667342011534,-0.3302134816843294,-0.2928921109180176,-0.3557557307599178,0.0625
2017-19,3,NY,HHHL,1.0,0.5,2,DOL,10,224,-0.2459990951857496,-55.103797321607914,0.36607142857142855,0.4247669773635153,-0.05869554879208677,1.35423197492163,6.375,-2.6891434097812947,-0.21515416464681944,-0.2768440257246798,-0.3118971943307265,0.004464285714285714
2017-19,3,NY,HHHL,2.0,0.5,2,R2,10,127,-0.09865922379878624,-12.529721422445851,0.36220472440944884,0.3333333333333333,0.028871391076115527,2.0,5.75,-0.764393761548609,-0.15340657534751173,-0.04476729961800954,-0.14809011490139012,0.023622047244094488
2017-19,3,NY,HHHL,2.0,0.5,2,R3,10,127,-0.32349291244837697,-41.08359988094387,0.1889763779527559,0.25,-0.0610236220472441,3.0,5.75,-2.2496987792373693,-0.38442051913319464,-0.2635172996180095,-0.4018727698754279,0.06299212598425197
2017-19,3,NY,HHHL,2.0,0.5,2,DOL,10,127,-0.15060257274913522,-19.12652673914017,0.4251968503937008,0.4303797468354431,-0.005182896441742302,1.3235294117647058,5.75,-1.2502015179790715,-0.13450610816160913,-0.16644753007748128,-0.2501458128483406,0.0
