tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div
2023-26,2025-08-26,2025-08-26 10:13:00,937956,1,23497.5,9.0,TARGET,2.9166666666666665,-62.0,-0.14832535885167464,-41.0,-0.041456016177957536,0.42264914054600605,0.7133068878470971,
2023-26,2025-08-27,2025-08-27 09:30:00,939293,-1,23533.75,26.0,STOP,-1.0288461538461537,-304.0,-0.07495069033530571,-117.0,-0.02448210922787194,0.8487131198995606,7.458632532001249,
2023-26,2025-08-27,2025-08-27 09:35:00,939298,-1,23542.75,23.0,STOP,-1.0326086956521738,-171.0,-0.0929853181076672,5.0,0.0019723865877712033,0.7254437869822485,2.1756315518130265,
2023-26,2025-08-28,2025-08-28 10:18:00,940721,1,23649.75,13.5,STOP,-1.0555555555555556,-204.0,-0.15572519083969466,-159.0,-0.08225556130367305,0.677703052250388,1.0486322188449848,
2023-26,2025-08-29,2025-08-29 09:30:00,942053,-1,23650.5,18.0,TARGET,2.9583333333333335,-231.0,-0.11441307578008915,-374.0,-0.07156525066972828,0.38633754305396095,8.63110964332893,
2023-26,2025-09-02,2025-09-02 10:27:00,944630,-1,23206.25,13.5,STOP,-1.0555555555555556,-78.0,-0.1482889733840304,-19.0,-0.019895287958115182,0.5507853403141362,0.6036653386454184,
2023-26,2025-09-03,2025-09-03 09:45:00,945968,-1,23393.0,18.75,STOP,-1.04,-226.0,-0.14505776636713735,-107.0,-0.045903045903045905,0.6683826683826684,1.0492113991741692,
2023-26,2025-09-04,2025-09-04 10:00:00,947363,-1,23470.0,21.25,STOP,-1.035294117647059,-84.0,-0.38181818181818183,96.0,0.050686378035902854,0.11615628299894404,1.1913839115516585,
2023-26,2025-09-05,2025-09-05 09:30:00,948713,-1,23853.0,49.5,TARGET,2.984848484848485,-267.0,-0.05125743904780188,217.0,0.027745812555939137,0.6660273622298939,7.624963318008413,
2023-26,2025-09-08,2025-09-08 10:00:00,950123,1,23847.25,9.75,STOP,-1.0769230769230769,-16.0,-0.011644832605531296,110.0,0.05193578847969783,0.6487252124645893,1.1222906074391223,
2023-26,2025-09-08,2025-09-08 10:03:00,950126,1,23850.0,13.0,STOP,-1.0576923076923077,-74.0,-0.11178247734138973,96.0,0.07920792079207921,0.5462046204620462,0.6650530832279002,
2023-26,2025-09-08,2025-09-08 10:04:00,950127,1,23856.75,13.0,STOP,-1.0576923076923077,-70.0,-0.18229166666666666,211.0,0.13048855905998763,0.23747680890538034,0.8855481180730824,
2023-26,2025-09-10,2025-09-10 09:50:00,952873,-1,23937.0,16.5,STOP,-1.0454545454545454,-179.0,-0.12508735150244585,8.0,0.0034423407917383822,0.6157487091222031,0.8474170183748319,
2023-26,2025-09-16,2025-09-16 09:30:00,958370,-1,24585.75,15.25,TARGET,2.9508196721311477,-106.0,-0.03793843951324266,144.0,0.02456499488229273,0.47662913681337427,9.40381069452981,
2023-26,2025-09-16,2025-09-16 10:01:00,958401,-1,24537.5,10.75,STOP,-1.069767441860465,20.0,0.03003003003003003,211.0,0.14132618888144674,0.44608171466845276,0.6870090853150903,
2023-26,2025-09-16,2025-09-16 10:20:00,958420,1,24550.75,16.75,STOP,-1.044776119402985,-249.0,-0.1263318112633181,-146.0,-0.05793650793650794,0.7821428571428571,1.4576154376292212,
2023-26,2025-09-17,2025-09-17 09:32:00,959752,-1,24518.5,16.25,TARGET,2.953846153846154,-20.0,-0.013089005235602094,-54.0,-0.023893805309734513,0.6761061946902654,2.9285772457040475,
2023-26,2025-09-17,2025-09-17 09:59:00,959779,-1,24477.0,13.25,TARGET,2.943396226415094,-21.0,-0.0584958217270195,138.0,0.06983805668016195,0.18168016194331985,0.8904149791629982,
2023-26,2025-09-17,2025-09-17 10:13:00,959793,-1,24465.75,10.25,STOP,-1.0731707317073171,-112.0,-0.21875,-63.0,-0.05398457583547558,0.4387317909168809,0.6546299996367203,
2023-26,2025-09-18,2025-09-18 09:34:00,961134,1,24698.25,20.5,STOP,-1.0365853658536586,-300.0,-0.1058574453069866,-273.0,-0.0931422722620266,0.9669054930058001,1.8190367961127003,
2023-26,2025-09-18,2025-09-18 09:55:00,961155,-1,24655.75,17.5,STOP,-1.042857142857143,-44.0,-0.04564315352697095,169.0,0.06992139015308234,0.3988415390980554,0.8083982901684688,
2023-26,2025-09-19,2025-09-19 09:46:00,962526,-1,24753.75,13.25,STOP,-1.0566037735849056,-53.0,-0.06362545018007203,86.0,0.055269922879177376,0.5353470437017995,0.6212172662445319,
2023-26,2025-09-23,2025-09-23 09:34:00,965273,-1,24992.25,18.0,TARGET,2.9583333333333335,-59.0,-0.03973063973063973,214.0,0.08008982035928144,0.5557634730538922,3.0122927709484606,
2023-26,2025-09-23,2025-09-23 09:53:00,965292,-1,24962.25,9.75,TARGET,2.923076923076923,-77.0,-0.06067769897557131,4.0,0.0025906735751295338,0.8218911917098446,0.755788340104753,
2023-26,2025-09-23,2025-09-23 10:19:00,965318,1,24957.75,10.25,STOP,-1.0731707317073171,27.0,0.039301310043668124,89.0,0.0696945967110415,0.5379796397807362,0.8697725105571448,
2023-26,2025-09-29,2025-09-29 09:38:00,970797,-1,24875.5,13.0,STOP,-1.0576923076923077,-64.0,-0.09968847352024922,15.0,0.009404388714733543,0.4025078369905956,1.2122594874134915,
2023-26,2025-09-29,2025-09-29 09:39:00,970798,-1,24873.25,10.75,STOP,-1.069767441860465,-8.0,-0.0110803324099723,-29.0,-0.02333065164923572,0.580852775543041,0.9071984222636135,
2023-26,2025-09-30,2025-09-30 10:24:00,972223,-1,24769.75,16.5,STOP,-1.0454545454545454,-38.0,-0.08370044052863436,107.0,0.08149276466108149,0.3457730388423458,0.9626973270730895,
2023-26,2025-09-30,2025-09-30 10:28:00,972227,-1,24771.25,10.25,STOP,-1.0731707317073171,-14.0,-0.04794520547945205,31.0,0.048513302034428794,0.4569640062597809,0.5589084229860929,
2023-26,2025-10-01,2025-10-01 09:46:00,973565,1,24815.75,14.5,STOP,-1.0517241379310345,-149.0,-0.42939481268011526,-8.0,-0.004895960832313341,0.21236230110159118,0.8101920971434259,
2023-26,2025-10-02,2025-10-02 10:14:00,974973,1,25060.75,10.25,STOP,-1.0731707317073171,-53.0,-0.11804008908685969,8.0,0.008368200836820083,0.4696652719665272,0.5960451094936116,
2023-26,2025-10-02,2025-10-02 10:18:00,974977,1,25075.0,11.25,STOP,-1.0666666666666667,-118.0,-0.18042813455657492,-87.0,-0.0985277463193658,0.7406568516421291,0.6109795179044168,
2023-26,2025-10-02,2025-10-02 10:22:00,974981,1,25069.0,14.75,STOP,-1.0508474576271187,-15.0,-0.03896103896103896,121.0,0.1087151841868823,0.34591194968553457,0.7961088659203891,
2023-26,2025-10-03,2025-10-03 10:21:00,976360,-1,25073.0,11.0,STOP,-1.0681818181818181,-56.0,-0.17721518987341772,172.0,0.16475095785440613,0.30268199233716475,0.7181427343078246,
2023-26,2025-10-06,2025-10-06 09:38:00,977697,-1,25178.25,16.5,TARGET,2.9545454545454546,-61.0,-0.06955530216647662,-65.0,-0.03995082974800246,0.5390288875230486,1.1749837509929948,
2023-26,2025-10-06,2025-10-06 10:13:00,977732,1,25160.75,12.25,STOP,-1.0612244897959184,-64.0,-0.10847457627118644,17.0,0.018338727076591153,0.6364617044228694,0.7111419967570072,
2023-26,2025-10-07,2025-10-07 09:32:00,979071,-1,25225.5,22.5,STOP,-1.0333333333333334,-240.0,-0.12396694214876033,-60.0,-0.01890359168241966,0.6099558916194077,3.649231831520801,
2023-26,2025-10-07,2025-10-07 09:43:00,979082,1,25246.5,11.0,STOP,-1.0681818181818181,-3.0,-0.0033222591362126247,23.0,0.015323117921385743,0.6015989340439707,0.9858461134281304,
2023-26,2025-10-09,2025-10-09 09:53:00,981852,-1,25274.0,14.75,STOP,-1.0508474576271187,-46.0,-0.07590759075907591,137.0,0.06357308584686774,0.28120649651972157,1.0366557629401576,
2023-26,2025-10-14,2025-10-14 09:31:00,985970,-1,24597.5,30.5,TARGET,2.9754098360655736,-55.0,-0.02071563088512241,-2.0,-0.0004737091425864519,0.6288488867835149,4.129530890769456,
2023-26,2025-10-15,2025-10-15 09:37:00,987356,-1,24973.25,21.75,TARGET,2.9655172413793105,-118.0,-0.13258426966292136,-17.0,-0.007212558336868901,0.3775986423419601,1.7413468287096894,
2023-26,2025-10-15,2025-10-15 10:20:00,987399,1,25095.0,21.5,STOP,-1.0348837209302326,-67.0,-0.08712613784135241,96.0,0.06896551724137931,0.5524425287356322,0.8553946437905482,
