tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div,mult
2023-26,2023-09-15,2023-09-15 09:31:00,251300,-1,15617.0,11.0,TARGET,0.9318181818181818,-277.0,-0.09273518580515568,-232.0,-0.05128205128205128,0.6602564102564102,3.3476394849785405,,1.0
2023-26,2023-09-15,2023-09-15 10:03:00,251332,-1,15502.5,17.75,STOP,-1.0422535211267605,-281.0,-0.15830985915492957,-293.0,-0.10284310284310284,0.623025623025623,1.0381518055606165,,1.0
2023-26,2023-09-18,2023-09-18 09:30:00,252678,1,15367.5,25.0,TARGET,0.97,-225.0,-0.06512301013024602,91.0,0.013669821240799159,0.5190025537028692,10.129336579427875,,1.0
2023-26,2023-09-18,2023-09-18 09:31:00,252679,1,15375.25,20.0,TARGET,0.9625,-231.0,-0.10921985815602837,-183.0,-0.036977167104465546,0.42735906243685595,5.537962289486936,,1.0
2023-26,2023-09-18,2023-09-18 09:32:00,252680,1,15378.0,18.25,TARGET,0.958904109589041,-384.0,-0.1285140562248996,-380.0,-0.09679062659195109,0.761079979623026,3.6633386208827097,,1.0
2023-26,2023-09-18,2023-09-18 09:43:00,252691,1,15389.0,9.5,TARGET,0.9210526315789473,-131.0,-0.12073732718894009,-20.0,-0.00779423226812159,0.42283710054559626,0.9152028533214445,,1.0
2023-26,2023-09-19,2023-09-19 09:33:00,254061,-1,15337.5,21.0,STOP,-1.0357142857142858,-115.0,-0.03322739092747761,-98.0,-0.025179856115107913,0.8892600205549845,2.941243151331948,,1.0
2023-26,2023-09-19,2023-09-19 09:38:00,254066,-1,15343.25,12.75,STOP,-1.0588235294117647,-116.0,-0.0940032414910859,-29.0,-0.013583138173302109,0.5779859484777518,1.1696707390565935,,1.0
2023-26,2023-09-22,2023-09-22 10:12:00,258239,1,14940.0,12.5,STOP,-1.06,-55.0,-0.15942028985507245,29.0,0.01963439404197698,0.23358158429248477,0.7891011085882196,,1.0
2023-26,2023-09-26,2023-09-26 09:35:00,260961,-1,14815.0,13.5,STOP,-1.0555555555555556,-56.0,-0.03888888888888889,167.0,0.07055344317701732,0.6083650190114068,1.7314655645367762,,1.0
2023-26,2023-09-26,2023-09-26 10:06:00,260992,-1,14773.5,11.5,TARGET,0.9347826086956522,-36.0,-0.020156774916013438,-160.0,-0.05333333333333334,0.5953333333333334,1.203731567860367,,1.0
2023-26,2023-09-26,2023-09-26 10:09:00,260995,-1,14770.25,9.75,TARGET,0.9230769230769231,-227.0,-0.1690245718540581,-129.0,-0.06843501326259947,0.7124668435013263,0.8013603996173876,,1.0
2023-26,2023-09-27,2023-09-27 09:35:00,262341,-1,14758.0,23.5,STOP,-1.0319148936170213,-104.0,-0.04329725228975854,170.0,0.05176613885505481,0.7314250913520097,2.722938518303553,,1.0
2023-26,2023-09-27,2023-09-27 09:37:00,262343,-1,14759.25,12.0,STOP,-1.0625,-268.0,-0.13111545988258316,-186.0,-0.08129370629370629,0.8933566433566433,1.5933702426964726,,1.0
2023-26,2023-09-28,2023-09-28 10:13:00,263759,1,14759.25,12.25,STOP,-1.0612244897959184,-161.0,-0.11034955448937629,-92.0,-0.057001239157372985,0.9039653035935564,0.8629170230966637,,1.0
2023-26,2023-11-02,2023-11-02 09:31:00,298217,-1,14914.0,19.5,STOP,-1.0384615384615385,-182.0,-0.089128305582762,-7.0,-0.0017127477367262051,0.4996329826278444,4.334499946972107,,1.0
2023-26,2023-11-02,2023-11-02 10:03:00,298249,-1,14912.5,11.5,TARGET,0.9347826086956522,47.0,0.06064516129032258,196.0,0.10283315844700944,0.40661070304302205,0.8713929950421532,,1.0
2023-26,2023-11-02,2023-11-02 10:04:00,298250,-1,14911.0,8.5,TARGET,0.9117647058823529,-62.0,-0.04975922953451043,9.0,0.006263048016701462,0.8670842032011135,0.6722649762578653,,1.0
2023-26,2023-11-02,2023-11-02 10:06:00,298252,-1,14906.5,9.75,TARGET,0.9230769230769231,-89.0,-0.11603650586701435,-39.0,-0.02055877701634159,0.40432261465471797,0.9567278595924955,,1.0
