tape,tf,sess,trend,W,U,buf,tgt,dolk,minrisk,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,1,NY,SIDE,1.0,0.5,2,R2,10,0.0,959,-0.014399018965769408,-13.808659188172863,0.35140771637122004,0.3333333333333333,0.01807438303788672,2.0,12.75,-0.3104765600167507,-0.042641475385833065,0.013667289077453917,-0.020684234463582425,0.0
2023-26,1,NY,SIDE,1.0,0.5,2,R3,10,0.0,959,0.03668967781702277,35.185401026524836,0.27424400417101147,0.25,0.02424400417101147,3.0,12.75,0.6345775813391914,-0.015531435172883511,0.08858508739950759,0.02742694945362629,0.0031282586027111575
2023-26,1,NY,SIDE,2.0,0.5,2,R2,10,0.0,547,0.035333762198990044,19.327567922847553,0.3692870201096892,0.3333333333333333,0.03595368677635591,2.0,12.0,0.5690189757417106,0.02341510319762662,0.04720892244487402,0.02456310767277478,0.0
2023-26,1,NY,SIDE,2.0,0.5,2,R3,10,0.0,547,0.09749098340557139,53.32756792284755,0.29250457038391225,0.25,0.042504570383912255,3.0,12.0,1.2495352593636848,0.012426092208615614,0.18224541879523895,0.08154840179042194,0.0
2023-26,1,NY,HHHL,1.0,0.5,2,R2,10,0.0,861,-0.03908173839473463,-33.64937675786652,0.3426248548199768,0.3333333333333333,0.009291521486643473,2.0,13.25,-0.8040056372141166,-0.1763023911646786,0.09782053699059226,-0.04617481189485868,0.0
2023-26,1,NY,HHHL,1.0,0.5,2,R3,10,0.0,861,0.035630949180540834,30.67824724444566,0.27409988385598144,0.25,0.02409988385598144,3.0,13.25,0.5852349606528364,-0.06932564697863214,0.14034402655512174,0.02530551954512061,0.003484320557491289
2023-26,1,NY,HHHL,2.0,0.5,2,R2,10,0.0,473,-0.01229290090891343,-5.8145421299160525,0.35306553911205074,0.3333333333333333,0.019732205778717427,2.0,12.5,-0.18611344962781493,-0.14430500709899924,0.11916219217488506,-0.02506752920515541,0.0
2023-26,1,NY,HHHL,2.0,0.5,2,R3,10,0.0,473,0.09445585809616983,44.67762087948833,0.28964059196617337,0.25,0.039640591966173366,3.0,12.5,1.1282868567828246,-0.0510846681159484,0.23938228926097957,0.07599060212992076,0.0021141649048625794
2023-26,1,NY,SLOPE,1.0,0.5,2,R2,10,0.0,1518,-0.03768774482383574,-57.209996642582645,0.3425559947299078,0.3333333333333333,0.00922266139657446,2.0,13.25,-1.0286602467008477,-0.1041955533620215,0.028645043165565362,-0.041702735124498465,0.0006587615283267457
2023-26,1,NY,SLOPE,1.0,0.5,2,R3,10,0.0,1518,0.014374722185769025,21.82082827799738,0.26811594202898553,0.25,0.018115942028985532,3.0,13.25,0.3151034092343535,-0.06994938024620374,0.09847691908502611,0.008482627859382731,0.0032938076416337285
2023-26,1,NY,SLOPE,2.0,0.5,2,R2,10,0.0,854,-0.030123570268997972,-25.72552900972427,0.34660421545667447,0.3333333333333333,0.013270882123341154,2.0,12.5,-0.6147132866778058,-0.0860877615107025,0.025840620972706525,-0.03724245567475983,0.0
2023-26,1,NY,SLOPE,2.0,0.5,2,R3,10,0.0,854,0.020270767794096103,17.31123569615807,0.2716627634660422,0.25,0.02166276346604218,3.0,12.5,0.3318633206907872,-0.08140392076128798,0.12194545634948019,0.009804271359179436,0.00117096018735363
