ts_event,open,high,low,close,volume
2026-07-27 00:00:00+00:00,28728.25,28733.75,28705.25,28708.5,439.0
2026-07-27 00:01:00+00:00,28708.75,28712.25,28679.5,28681.75,565.0
2026-07-27 00:02:00+00:00,28680.25,28687.5,28661.0,28663.0,404.0
2026-07-27 00:03:00+00:00,28663.5,28663.75,28643.75,28646.75,444.0
2026-07-27 00:04:00+00:00,28647.0,28647.75,28622.75,28622.75,516.0
2026-07-27 00:05:00+00:00,28623.75,28654.0,28616.25,28644.25,534.0
2026-07-27 00:06:00+00:00,28643.25,28655.75,28640.25,28641.5,191.0
2026-07-27 00:07:00+00:00,28642.5,28647.0,28619.5,28624.0,285.0
2026-07-27 00:08:00+00:00,28623.25,28635.0,28615.0,28623.25,268.0
2026-07-27 00:09:00+00:00,28624.0,28632.0,28619.0,28631.0,179.0
2026-07-27 00:10:00+00:00,28632.25,28639.75,28620.0,28623.0,184.0
2026-07-27 00:11:00+00:00,28624.5,28645.0,28620.5,28635.0,376.0
2026-07-27 00:12:00+00:00,28637.5,28650.25,28637.0,28642.5,193.0
2026-07-27 00:13:00+00:00,28640.75,28665.5,28638.25,28659.0,216.0
2026-07-27 00:14:00+00:00,28657.5,28664.0,28651.0,28663.5,157.0
2026-07-27 00:15:00+00:00,28661.75,28662.5,28644.5,28647.25,321.0
2026-07-27 00:16:00+00:00,28647.25,28656.75,28632.0,28632.75,218.0
2026-07-27 00:17:00+00:00,28634.5,28635.75,28620.25,28624.5,204.0
2026-07-27 00:18:00+00:00,28624.0,28624.5,28601.75,28604.0,336.0
2026-07-27 00:19:00+00:00,28603.0,28603.25,28581.75,28595.75,448.0
2026-07-27 00:20:00+00:00,28595.0,28602.0,28583.75,28601.25,234.0
2026-07-27 00:21:00+00:00,28602.25,28606.75,28591.0,28592.0,269.0
2026-07-27 00:22:00+00:00,28592.75,28610.5,28588.75,28607.0,232.0
2026-07-27 00:23:00+00:00,28609.25,28615.5,28601.25,28602.25,127.0
2026-07-27 00:24:00+00:00,28601.75,28605.5,28592.0,28605.5,113.0
2026-07-27 00:25:00+00:00,28605.0,28621.5,28596.75,28618.5,162.0
2026-07-27 00:26:00+00:00,28619.25,28630.0,28617.0,28627.25,190.0
2026-07-27 00:27:00+00:00,28627.25,28644.0,28610.75,28617.75,412.0
2026-07-27 00:28:00+00:00,28620.0,28626.25,28613.75,28619.25,93.0
2026-07-27 00:29:00+00:00,28619.5,28626.0,28608.5,28619.25,117.0
2026-07-27 00:30:00+00:00,28618.25,28635.0,28616.0,28626.25,192.0
2026-07-27 00:31:00+00:00,28627.5,28635.5,28618.75,28627.75,154.0
2026-07-27 00:32:00+00:00,28628.75,28640.0,28623.25,28637.75,111.0
2026-07-27 00:33:00+00:00,28638.75,28656.0,28631.75,28642.75,235.0
2026-07-27 00:34:00+00:00,28643.0,28644.75,28632.25,28638.5,138.0
2026-07-27 00:35:00+00:00,28638.25,28641.75,28625.0,28635.0,87.0
2026-07-27 00:36:00+00:00,28634.0,28636.25,28618.0,28628.0,229.0
2026-07-27 00:37:00+00:00,28628.0,28628.0,28607.25,28608.75,177.0
2026-07-27 00:38:00+00:00,28610.0,28620.25,28602.75,28613.75,169.0
2026-07-27 00:39:00+00:00,28613.5,28615.0,28603.0,28605.5,110.0
2026-07-27 00:40:00+00:00,28605.25,28608.25,28599.5,28602.25,129.0
2026-07-27 00:41:00+00:00,28602.5,28614.5,28602.5,28614.25,108.0
2026-07-27 00:42:00+00:00,28615.0,28615.5,28604.25,28607.75,122.0
2026-07-27 00:43:00+00:00,28606.25,28617.25,28603.5,28617.25,53.0
2026-07-27 00:44:00+00:00,28616.75,28618.25,28597.25,28598.25,102.0
2026-07-27 00:45:00+00:00,28600.0,28621.0,28599.25,28612.25,126.0
2026-07-27 00:46:00+00:00,28613.25,28624.25,28605.5,28624.25,129.0
2026-07-27 00:47:00+00:00,28624.75,28628.75,28612.5,28612.5,126.0
2026-07-27 00:48:00+00:00,28612.0,28627.5,28609.0,28625.5,87.0
2026-07-27 00:49:00+00:00,28625.25,28626.0,28619.25,28621.75,47.0
2026-07-27 00:50:00+00:00,28624.25,28639.25,28620.0,28637.5,166.0
2026-07-27 00:51:00+00:00,28638.0,28651.0,28637.0,28651.0,191.0
2026-07-27 00:52:00+00:00,28648.5,28655.25,28633.0,28634.75,167.0
2026-07-27 00:53:00+00:00,28633.0,28635.25,28626.5,28630.0,84.0
2026-07-27 00:54:00+00:00,28626.75,28628.5,28614.5,28627.5,156.0
2026-07-27 00:55:00+00:00,28627.0,28629.5,28606.75,28611.0,135.0
2026-07-27 00:56:00+00:00,28609.0,28613.5,28596.75,28604.25,187.0
2026-07-27 00:57:00+00:00,28605.0,28620.5,28603.25,28617.0,131.0
2026-07-27 00:58:00+00:00,28619.25,28622.75,28609.75,28611.0,85.0
2026-07-27 00:59:00+00:00,28609.0,28611.75,28595.25,28598.25,99.0
2026-07-27 01:00:00+00:00,28599.75,28609.0,28595.75,28609.0,197.0
2026-07-27 01:01:00+00:00,28609.75,28634.5,28608.25,28631.25,194.0
2026-07-27 01:02:00+00:00,28630.75,28633.5,28619.75,28629.75,111.0
2026-07-27 01:03:00+00:00,28625.5,28626.25,28598.75,28600.5,168.0
2026-07-27 01:04:00+00:00,28600.5,28607.75,28595.0,28597.75,103.0
2026-07-27 01:05:00+00:00,28596.75,28600.5,28589.75,28600.5,115.0
2026-07-27 01:06:00+00:00,28601.0,28612.0,28595.0,28606.5,113.0
2026-07-27 01:07:00+00:00,28604.75,28625.0,28603.0,28619.5,162.0
