tape,tf,sess,trend,W,U,buf,tgt,dolk,minrisk,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,1,NY,SIDE,1.0,0.5,2,R2,10,8.0,780,0.009617496152047085,7.501646998596726,0.35384615384615387,0.3333333333333333,0.02051282051282055,2.0,14.75,0.18716915770768638,0.027016466919644492,-0.007692477322621416,0.0019770631140089675,0.0
2023-26,1,NY,SIDE,1.0,0.5,2,R3,10,8.0,780,0.0711483425811467,55.49570721329443,0.2782051282051282,0.25,0.028205128205128216,3.0,14.75,1.1066168857332266,0.09888947263118662,0.043549110894534074,0.059884774600304225,0.0038461538461538464
2023-26,1,NY,SIDE,1.0,0.5,2,DOL,10,8.0,780,-0.02333235204980685,-18.199234598849344,0.38974358974358975,0.4134179510426111,-0.02367436129902134,1.418859649122807,14.75,-0.440120944313682,-0.012495134201614565,-0.03411413655862221,-0.055619164644612015,0.001282051282051282
2023-26,1,NY,SIDE,2.0,0.5,2,R2,10,8.0,434,0.05180789060329565,22.484624521830312,0.3686635944700461,0.3333333333333333,0.03533026113671278,2.0,14.0,0.7452079094360761,0.09124561963139348,0.012731975602978524,0.0383280444848544,0.0
2023-26,1,NY,SIDE,2.0,0.5,2,R3,10,8.0,434,0.13475719935905597,58.4846245218303,0.29723502304147464,0.25,0.047235023041474644,3.0,14.0,1.5343337761744635,0.14217154555731937,0.12741087468554732,0.1148941697748776,0.0
2023-26,1,NY,SIDE,2.0,0.5,2,DOL,10,8.0,434,0.04529637425290486,19.65862642576071,0.391705069124424,0.38936768574798153,0.002337383376442459,1.5682665424044733,14.0,0.5792687013257827,0.05518170443725219,0.03550173517116621,-0.01243208794490379,0.002304147465437788
2023-26,1,NY,HHHL,1.0,0.5,2,R2,10,8.0,705,-0.012130329669706874,-8.551882417143347,0.34609929078014184,0.3333333333333333,0.012765957446808529,2.0,15.25,-0.22558288036173235,-0.14001144371758933,0.11538851493328074,-0.02068446476505058,0.0
2023-26,1,NY,HHHL,1.0,0.5,2,R3,10,8.0,705,0.05216417246123239,36.77574158516883,0.27375886524822696,0.25,0.023758865248226957,3.0,15.25,0.7761305837143281,-0.026375080081225747,0.13048093420328696,0.03961485770717483,0.00425531914893617
2023-26,1,NY,HHHL,1.0,0.5,2,DOL,10,8.0,705,0.005354191920973828,3.774705304286549,0.35602836879432626,0.39325842696629215,-0.037230058171965896,1.542857142857143,15.25,0.08117483897196846,-0.07122352970311939,0.0817149794894747,-0.047929413877303845,0.005673758865248227
2023-26,1,NY,HHHL,2.0,0.5,2,R2,10,8.0,379,0.014972144113596925,5.674442619053234,0.3562005277044855,0.3333333333333333,0.0228671943711522,2.0,14.5,0.2027336177110713,-0.10966115691870273,0.13894948040362132,-0.00077860100386626,0.0
2023-26,1,NY,HHHL,2.0,0.5,2,R3,10,8.0,379,0.1376427589141362,52.16660562845761,0.2955145118733509,0.25,0.04551451187335093,3.0,14.5,1.4642580287792286,0.017322970065424204,0.25732928571627595,0.11490576529263852,0.002638522427440633
2023-26,1,NY,HHHL,2.0,0.5,2,DOL,10,8.0,379,0.019465102120652344,7.377273703727239,0.3403693931398417,0.3597122302158273,-0.01934283707598561,1.78,14.5,0.2049058030560587,-0.07627769318728606,0.1147039879796016,-0.06577123500209807,0.005277044854881266
2023-26,1,NY,SLOPE,1.0,0.5,2,R2,10,8.0,1252,0.004656809776801715,5.830325840555746,0.3514376996805112,0.3333333333333333,0.01810436634717788,2.0,15.0,0.11500429219798972,-0.003900058168069631,0.013186383087080148,-0.00011154622135858025,0.0007987220447284345
2023-26,1,NY,SLOPE,1.0,0.5,2,R3,10,8.0,1252,0.06458558367502859,80.8611507611358,0.2763578274760383,0.25,0.02635782747603832,3.0,15.0,1.2756107078852912,0.05843370058679418,0.07071784353172156,0.057559250352364415,0.003993610223642172
