tape,tf,sess,trend,W,U,buf,tgt,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2023-26,1,NY,NONE,2.0,0.5,2,R1,1506,-0.12021487495144596,-181.0436016768776,0.49734395750332006,0.5,-0.0026560424966799445,1.0,12.75,-4.640250631903202,-0.13092704752401743,-0.10953111662973013,-0.12241773364817711,0.0
2023-26,1,NY,NONE,2.0,0.5,2,R2,1506,-0.11237461437214157,-169.2361692444452,0.3339973439575033,0.3333333333333333,0.0006640106241699861,2.0,12.75,-3.070477703063098,-0.15378950439578282,-0.07106957816819168,-0.11655739805257531,0.0006640106241699867
2023-26,1,NY,NONE,2.0,0.5,2,R3,1506,-0.06435820567421956,-96.92345774537466,0.26095617529880477,0.25,0.010956175298804771,3.0,12.75,-1.415899017578352,-0.14742808978968736,0.01849133392104806,-0.07043898360692084,0.0026560424966799467
2023-26,1,NY,NONE,2.0,0.5,2,DOL,1506,-0.09857984625077301,-148.46124845366415,0.4103585657370518,0.45141886521949165,-0.04106029948243983,1.215237503452085,12.75,-2.90106051707431,-0.10582558892440672,-0.09135332305372718,-0.10954384473507275,0.0
2023-26,3,NY,SLOPE,1.0,0.5,2,R1,537,-0.10439765653158091,-56.06154155745895,0.4767225325884544,0.5,-0.023277467411545627,1.0,25.5,-2.413354689915014,-0.05074710794862532,-0.15784876069601253,-0.11053839103421179,0.0
2023-26,3,NY,SLOPE,1.0,0.5,2,R2,537,-0.009319899928588561,-5.0047862616520575,0.33891992551210426,0.3333333333333333,0.005586592178770944,2.0,25.5,-0.15194836641326878,0.0784995119884226,-0.09681284563029485,-0.020543197957129878,0.0186219739292365
2023-26,3,NY,SLOPE,1.0,0.5,2,R3,537,0.03976802960997716,21.355431900557736,0.2346368715083799,0.25,-0.01536312849162011,3.0,25.5,0.5353756292949291,0.17297796599131077,-0.09294670254689051,0.023211549594506612,0.07076350093109869
2023-26,3,NY,SLOPE,1.0,0.5,2,DOL,537,-0.07914246397914183,-42.499503156799165,0.41527001862197394,0.48958333333333326,-0.07431331471135932,1.0425531914893618,25.5,-1.4853258905778968,-0.013313194186844771,-0.1447270152963746,-0.10292424880717393,0.00186219739292365
2023-26,3,NY,SLOPE,2.0,0.5,2,R1,305,-0.08244236535448164,-25.144921433116902,0.4885245901639344,0.5,-0.011475409836065598,1.0,24.75,-1.4326112644668278,-0.023869709550243198,-0.1406321933430061,-0.09307424867182806,0.0
2023-26,3,NY,SLOPE,2.0,0.5,2,R2,305,-0.0010873693527670718,-0.3316476525939569,0.3442622950819672,0.3333333333333333,0.010928961748633892,2.0,24.75,-0.013263121728352699,0.03782734805439834,-0.03974774220171571,-0.020844865292613143,0.013114754098360656
2023-26,3,NY,SLOPE,2.0,0.5,2,R3,305,0.059888268508470496,18.2659218950835,0.2459016393442623,0.25,-0.0040983606557377095,3.0,24.75,0.598237916516226,0.1593601552110349,-0.03893347514375035,0.030834643804984473,0.05901639344262295
2023-26,3,NY,SLOPE,2.0,0.5,2,DOL,305,-0.07285509797871602,-22.220804883508386,0.4163934426229508,0.46825396825396826,-0.05186052563101745,1.1355932203389831,24.75,-1.0258619785813783,0.02957025482799285,-0.17461100403505422,-0.11009927937975451,0.0
2023-26,3,NY,SIDE,1.0,0.5,2,R1,330,-0.04918085254126315,-16.22968133861684,0.5060606060606061,0.5,0.0060606060606061,1.0,24.375,-0.8877991098104495,-0.001494433496610367,-0.09686727158591592,-0.05868274313612768,0.0
2023-26,3,NY,SIDE,1.0,0.5,2,R2,330,0.07329044495744477,24.185846835956774,0.3696969696969697,0.3333333333333333,0.036363636363636376,2.0,24.375,0.9195526936033396,0.1290701570141053,0.017510732900784226,0.05575560822659212,0.01818181818181818
