card,n,win%,BE%,loss%,avgR,med_risk_pts,cost,exp,totR,maxDD,t,effect,t_net,effect_net,note
ash-unicorn-sb (MATCHED span),19,52.63157894736842,26.31578947368421,21.052631578947366,0.8421052631578947,22.25,0.05828651416350286,0.7838187489943919,16.0,1.0,2.818657053670577,0.6466442764972707,2.624619980654923,0.6021291189932887,comparison fairness only — NOT the card's baseline
ash-unicorn-sb (full log),24,50.0,20.833333333333336,29.166666666666668,0.7083333333333334,26.25,0.053514014411183385,0.65481931892215,17.0,3.0,2.5391216395224117,0.5182960343074129,2.3505206587227185,0.47979802031177154,the card's baseline
zxck-cisd,40,22.5,22.5,45.0,0.0676,65.75,0.02354591983697752,0.04405408016302247,2.7039999999999997,4.452999999999999,0.35082181586652594,0.05546979955072098,0.22853220906327015,0.03613411496748544,
zxck-10am-keyopen,115,22.608695652173914,24.347826086956523,53.04347826086957,-0.0782608695652174,15.0,0.08333333333333334,-0.16159420289855075,-9.0,16.0,-0.6990898224596209,-0.06519046208354638,-1.443491022300883,-0.13460623189472995,decidable sessions only; 73 ambiguous bounded separately
zxck-ifvg-50,186,19.892473118279568,3.763440860215054,76.34408602150538,-0.3655913978494624,5.0,0.25,-0.6155913978494624,-68.0,68.0,-4.164864292359256,-0.3053826664649675,-7.012896492281393,-0.5142105192682173,
zxck-wick-ce,38,13.157894736842104,2.631578947368421,84.21052631578947,-0.5789473684210527,7.0649999999999995,0.1659945834487362,-0.7449419518697888,-22.0,21.0,-3.4644885575142914,-0.5620142572912339,-4.37766996553939,-0.7101518430512561,
