stream,stack,n,sess,base_exp,subset_exp,improvement,null_pct
sw-open-drive-pcr,absorption_pre_5>p75 AND entry_min_into_window<=p25,25,25,-0.03096644308945471,0.1232861909135391,0.1542526340029938,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND dist_to_level_R>p25,38,38,-0.03096644308945471,0.07553647303620556,0.10650291612566026,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND risk_pts>p50,32,32,-0.03096644308945471,0.07483685894771977,0.10580330203717447,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND risk_pts>p25,41,41,-0.03096644308945471,-0.0945524752755656,-0.06358603218611089,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND news_day<=p75,51,51,-0.03096644308945471,-0.10605141132074425,-0.07508496823128955,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND news_day<=p50,39,39,-0.03096644308945471,-0.43915369342527555,-0.4081872503358208,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND news_day<=p25,39,39,-0.03096644308945471,-0.43915369342527555,-0.4081872503358208,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND dist_to_level_R<=p75,38,38,-0.03096644308945471,0.025327506090849106,0.056293949180303816,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND dist_to_level_R<=p50,26,26,-0.03096644308945471,-0.09897675401370418,-0.06801031092424947,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND dist_to_level_R>p50,25,25,-0.03096644308945471,-0.11340905492006595,-0.08244261183061125,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND risk_pts<=p75,32,32,-0.03096644308945471,-0.06546097472459261,-0.0344945316351379,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND atr_pct<=p50,33,33,-0.03096644308945471,-0.06780653868002587,-0.03684009559057116,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND atr_pct>p25,30,30,-0.03096644308945471,0.1369551299539528,0.1679215730434075,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND entry_min_into_window<=p75,50,50,-0.03096644308945471,0.045620224506460576,0.07658666759591529,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND entry_min_into_window<=p50,50,50,-0.03096644308945471,0.045620224506460576,0.07658666759591529,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND entry_min_into_window<=p25,50,50,-0.03096644308945471,0.045620224506460576,0.07658666759591529,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND value_area_location<=p75,39,39,-0.03096644308945471,-0.055873413752491975,-0.024906970663037264,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND value_area_location<=p50,25,25,-0.03096644308945471,-0.028446587866249935,0.0025198552232047755,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND vpoc_distance_at_entry>p50,29,29,-0.03096644308945471,-0.1684041009047574,-0.1374376578153027,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND value_area_location>p25,38,38,-0.03096644308945471,0.09571007236302043,0.12667651545247513,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND vpoc_distance_at_entry<=p75,37,37,-0.03096644308945471,0.21124004504798513,0.24220648813743983,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND vpoc_distance_at_entry>p25,35,35,-0.03096644308945471,-0.0651860657070559,-0.03421962261760119,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND volume_pace_at_entry<=p75,34,34,-0.03096644308945471,-0.38830988581537823,-0.3573434427259235,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND volume_pace_at_entry>p25,39,39,-0.03096644308945471,0.2460156858674263,0.276982128956881,0.0
sw-open-drive-pcr,absorption_pre_5<=p25 AND news_day<=p75,26,26,-0.03096644308945471,-0.10260416731637623,-0.07163772422692152,0.0
sw-open-drive-pcr,absorption_pre_5<=p25 AND htf_aligned<=p75,26,26,-0.03096644308945471,-0.10260416731637623,-0.07163772422692152,0.0
sw-open-drive-pcr,absorption_pre_5<=p25 AND entry_min_into_window<=p75,26,26,-0.03096644308945471,-0.10260416731637623,-0.07163772422692152,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND value_area_location>p50,25,25,-0.03096644308945471,0.11968703687917115,0.15065347996862585,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND vpoc_distance_at_entry>p25,40,40,-0.03096644308945471,-0.07830466317390013,-0.047338220084445416,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND volume_pace_at_entry<=p75,42,42,-0.03096644308945471,-0.1677024003974109,-0.1367359573079562,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND volume_pace_at_entry<=p50,31,31,-0.03096644308945471,-0.18602185587082637,-0.15505541278137167,0.0
sw-open-drive-pcr,absorption_pre_5<=p50 AND volume_pace_at_entry>p25,36,36,-0.03096644308945471,-0.056280657710110704,-0.025314214620655993,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND risk_pts<=p75,44,44,-0.03096644308945471,0.03154167906348005,0.06250812215293476,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND risk_pts<=p50,32,32,-0.03096644308945471,0.14534968382552554,0.17631612691498025,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND risk_pts>p25,34,34,-0.03096644308945471,0.034018556049452024,0.06498499913890673,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND news_day<=p75,50,50,-0.03096644308945471,0.045620224506460576,0.07658666759591529,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND atr_pct<=p75,43,43,-0.03096644308945471,0.057570017325861915,0.08853646041531663,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND news_day<=p25,35,35,-0.03096644308945471,0.25003911536146567,0.2810055584509204,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND dist_to_level_R<=p75,38,38,-0.03096644308945471,0.1799526630029171,0.2109191060923718,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND dist_to_level_R<=p50,25,25,-0.03096644308945471,0.011682363924561942,0.04264880701401665,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND dist_to_level_R>p50,25,25,-0.03096644308945471,0.07955808508835918,0.11052452817781389,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND dist_to_level_R>p25,37,37,-0.03096644308945471,0.018408944287513364,0.049375387376968075,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND htf_aligned<=p75,50,50,-0.03096644308945471,0.045620224506460576,0.07658666759591529,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND htf_aligned<=p50,27,27,-0.03096644308945471,0.002541626955766152,0.03350807004522086,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND htf_aligned<=p25,27,27,-0.03096644308945471,0.002541626955766152,0.03350807004522086,0.0
sw-open-drive-pcr,absorption_pre_5>p50 AND news_day<=p50,35,35,-0.03096644308945471,0.25003911536146567,0.2810055584509204,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND absorption_pre_5<=p50,36,36,-0.03096644308945471,-0.2489315944472032,-0.2179651513577485,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND absorption_pre_5>p50,40,40,-0.03096644308945471,0.01954963706380628,0.05051608015326099,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND absorption_pre_5>p25,58,58,-0.03096644308945471,-0.04732393113474478,-0.016357488045290067,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND cvd_price_divergence_pre<=p75,46,46,-0.03096644308945471,-0.07234973335912674,-0.04138329026967203,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND cvd_price_divergence_pre<=p50,30,30,-0.03096644308945471,-0.32913021693403927,-0.29816377384458453,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND cvd_price_divergence_pre>p25,45,45,-0.03096644308945471,0.19297217488788543,0.22393861797734013,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p75 AND news_day<=p75,25,25,-0.03096644308945471,0.20207764662048555,0.23304408970994026,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p75 AND absorption_pre_5<=p50,26,26,-0.03096644308945471,-0.4120315507991209,-0.3810651077096662,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p75 AND entry_min_into_window<=p75,25,25,-0.03096644308945471,0.20207764662048555,0.23304408970994026,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p75 AND entry_min_into_window<=p50,25,25,-0.03096644308945471,0.20207764662048555,0.23304408970994026,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p75 AND entry_min_into_window<=p25,25,25,-0.03096644308945471,0.20207764662048555,0.23304408970994026,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND risk_pts<=p75,40,40,-0.03096644308945471,-0.1318439479796125,-0.10087750489015779,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND risk_pts<=p50,25,25,-0.03096644308945471,-0.1176334311651612,-0.0866669880757065,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND risk_pts>p50,26,26,-0.03096644308945471,-0.2890001829146859,-0.25803373982523115,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND risk_pts>p25,40,40,-0.03096644308945471,-0.22334758285319514,-0.19238113976374044,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND news_day<=p75,51,51,-0.03096644308945471,-0.2049968732335464,-0.1740304301440917,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p75 AND htf_aligned<=p75,25,25,-0.03096644308945471,0.20207764662048555,0.23304408970994026,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND atr_pct>p25,58,58,-0.03096644308945471,-0.19924062738033063,-0.16827418429087593,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND entry_min_into_window<=p75,76,76,-0.03096644308945471,-0.10762568312561926,-0.07665924003616456,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND entry_min_into_window<=p50,76,76,-0.03096644308945471,-0.10762568312561926,-0.07665924003616456,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND entry_min_into_window<=p25,76,76,-0.03096644308945471,-0.10762568312561926,-0.07665924003616456,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND value_area_location<=p75,63,63,-0.03096644308945471,-0.1550727767950008,-0.1241063337055461,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND value_area_location<=p50,48,48,-0.03096644308945471,-0.11236984023081809,-0.08140339714136338,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND value_area_location>p50,28,28,-0.03096644308945471,-0.09949284237384981,-0.0685263992843951,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND value_area_location<=p25,25,25,-0.03096644308945471,-0.31153680078191454,-0.2805703576924598,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND absorption_pre_5<=p75,55,55,-0.03096644308945471,-0.19009019107558756,-0.15912374798613285,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND vpoc_distance_at_entry<=p75,60,60,-0.03096644308945471,0.004410579165627669,0.03537702225508238,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND vpoc_distance_at_entry<=p50,43,43,-0.03096644308945471,0.11322934455090164,0.14419578764035634,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND vpoc_distance_at_entry>p50,33,33,-0.03096644308945471,-0.3954064767647223,-0.36444003367526756,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND vpoc_distance_at_entry>p25,53,53,-0.03096644308945471,-0.17988735146512982,-0.14892090837567512,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND volume_pace_at_entry<=p75,56,56,-0.03096644308945471,-0.40145242332258346,-0.37048598023312873,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND volume_pace_at_entry<=p50,37,37,-0.03096644308945471,-0.4845486152333092,-0.4535821721438545,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND volume_pace_at_entry>p50,39,39,-0.03096644308945471,0.24996786784834293,0.28093431093779764,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND volume_pace_at_entry>p25,56,56,-0.03096644308945471,-0.012326057926892061,0.01864038516256265,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND value_area_location>p25,51,51,-0.03096644308945471,-0.007669252901945155,0.023297190187509555,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND vpoc_distance_at_entry>p25,34,34,-0.03096644308945471,-0.3519152230060359,-0.32094877991658116,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND volume_pace_at_entry<=p75,39,39,-0.03096644308945471,-0.3870586949539038,-0.3560922518644491,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND volume_pace_at_entry>p50,27,27,-0.03096644308945471,0.11781464496739302,0.14878108805684773,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND volume_pace_at_entry>p25,39,39,-0.03096644308945471,-0.20957686241725412,-0.17861041932779942,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND absorption_pre_5<=p75,37,37,-0.03096644308945471,-0.29773343987003165,-0.2667669967805769,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND absorption_pre_5>p50,28,28,-0.03096644308945471,-0.10031385978487212,-0.06934741669541741,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND absorption_pre_5>p25,39,39,-0.03096644308945471,-0.28608923850916007,-0.25512279541970534,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND news_day<=p50,37,37,-0.03096644308945471,-0.19196169427990034,-0.16099525119044564,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND cvd_price_divergence_pre>p25,28,28,-0.03096644308945471,0.1492965230381985,0.1802629661276532,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p50 AND risk_pts<=p75,36,36,-0.03096644308945471,0.12685668352196275,0.15782312661141745,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p50 AND risk_pts<=p50,26,26,-0.03096644308945471,-0.008129838543813182,0.02283660454564153,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p50 AND risk_pts>p25,35,35,-0.03096644308945471,0.17753950667174243,0.20850594976119713,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p50 AND news_day<=p75,50,50,-0.03096644308945471,0.14654459565751873,0.17751103874697344,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p50 AND news_day<=p50,37,37,-0.03096644308945471,-0.034406549123733234,-0.003440106034278523,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p50 AND news_day<=p25,37,37,-0.03096644308945471,-0.034406549123733234,-0.003440106034278523,0.0
sw-open-drive-pcr,cvd_slope_pre_15>p50 AND dist_to_level_R<=p75,37,37,-0.03096644308945471,0.24002744264910428,0.270993885738559,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND cvd_price_divergence_pre<=p75,30,30,-0.03096644308945471,-0.09601569518853559,-0.06504925209908088,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND news_day<=p25,37,37,-0.03096644308945471,-0.19196169427990034,-0.16099525119044564,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND dist_to_level_R<=p75,39,39,-0.03096644308945471,-0.02770176801163448,0.003264675077820231,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND dist_to_level_R>p50,29,29,-0.03096644308945471,-0.13605107038930492,-0.10508462729985021,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND dist_to_level_R>p25,42,42,-0.03096644308945471,-0.10128129804575142,-0.07031485495629672,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND htf_aligned<=p75,51,51,-0.03096644308945471,-0.2049968732335464,-0.1740304301440917,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND htf_aligned<=p50,29,29,-0.03096644308945471,-0.1657839046343255,-0.1348174615448708,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND htf_aligned<=p25,29,29,-0.03096644308945471,-0.1657839046343255,-0.1348174615448708,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND atr_pct<=p75,38,38,-0.03096644308945471,-0.16156454761538988,-0.13059810452593518,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND vpoc_distance_at_entry<=p50,27,27,-0.03096644308945471,0.08342600610012485,0.11439244918957955,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND atr_pct>p25,40,40,-0.03096644308945471,-0.22835329434655924,-0.19738685125710453,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND entry_min_into_window<=p75,51,51,-0.03096644308945471,-0.2049968732335464,-0.1740304301440917,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND entry_min_into_window<=p50,51,51,-0.03096644308945471,-0.2049968732335464,-0.1740304301440917,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND entry_min_into_window<=p25,51,51,-0.03096644308945471,-0.2049968732335464,-0.1740304301440917,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND value_area_location<=p75,45,45,-0.03096644308945471,-0.22866035252145067,-0.19769390943199597,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND value_area_location<=p50,36,36,-0.03096644308945471,-0.3066937008204328,-0.27572725773097806,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND value_area_location>p25,30,30,-0.03096644308945471,-0.026315106605262862,0.004651336484191849,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND vpoc_distance_at_entry<=p75,38,38,-0.03096644308945471,-0.05529761150531558,-0.024331168415860867,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p50 AND atr_pct<=p50,27,27,-0.03096644308945471,-0.2922548465559763,-0.26128840346652155,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND vpoc_distance_at_entry<=p75,30,30,-0.03096644308945471,-0.22979569355453083,-0.19882925046507613,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND vpoc_distance_at_entry>p25,30,30,-0.03096644308945471,-0.1969465610846583,-0.1659801179952036,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND volume_pace_at_entry<=p75,27,27,-0.03096644308945471,-0.5461252931006363,-0.5151588500111816,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND volume_pace_at_entry>p25,33,33,-0.03096644308945471,-0.12323576036836209,-0.09226931727890739,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND absorption_pre_5<=p75,26,26,-0.03096644308945471,-0.3326529004831803,-0.30168645739372557,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND absorption_pre_5>p25,32,32,-0.03096644308945471,-0.2501181954274917,-0.219151752338037,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p50 AND news_day<=p50,27,27,-0.03096644308945471,0.0390837928500622,0.07005023593951691,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND atr_pct>p50,37,37,-0.03096644308945471,-0.23891338853384836,-0.20794694544439365,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p50 AND vpoc_distance_at_entry>p25,30,30,-0.03096644308945471,0.09846958413490803,0.12943602722436273,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p50 AND volume_pace_at_entry<=p75,31,31,-0.03096644308945471,0.09737181579560028,0.12833825888505498,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND risk_pts<=p50,29,29,-0.03096644308945471,0.2656228064741109,0.29658924956356564,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND risk_pts>p50,31,31,-0.03096644308945471,0.2705475278876366,0.3015139709770913,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND risk_pts>p25,45,45,-0.03096644308945471,0.22151321247444397,0.2524796555638987,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND news_day<=p75,60,60,-0.03096644308945471,0.2681672458710992,0.2991336889605539,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND news_day<=p50,44,44,-0.03096644308945471,0.05799183874123567,0.08895828183069038,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND news_day<=p25,44,44,-0.03096644308945471,0.05799183874123567,0.08895828183069038,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p50 AND news_day<=p25,27,27,-0.03096644308945471,0.0390837928500622,0.07005023593951691,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p75 AND absorption_pre_5>p50,35,35,-0.03096644308945471,0.2801322013835679,0.31109864447302266,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p75 AND absorption_pre_5>p25,47,47,-0.03096644308945471,-0.012437488537198636,0.018528954552256074,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND risk_pts<=p75,32,32,-0.03096644308945471,-0.18970244428759753,-0.15873600119814282,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND risk_pts>p25,31,31,-0.03096644308945471,-0.44223003992565607,-0.41126359683620134,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND news_day<=p75,41,41,-0.03096644308945471,-0.22485045074433144,-0.19388400765487673,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND news_day<=p50,32,32,-0.03096644308945471,-0.12492250284045053,-0.09395605975099583,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND news_day<=p25,32,32,-0.03096644308945471,-0.12492250284045053,-0.09395605975099583,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND dist_to_level_R<=p75,36,36,-0.03096644308945471,-0.19688956840211702,-0.16592312531266232,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND value_area_location>p25,33,33,-0.03096644308945471,-0.18098067152430802,-0.15001422843485332,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND dist_to_level_R>p25,28,28,-0.03096644308945471,-0.031086882673304617,-0.00012043958384990588,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND htf_aligned<=p75,41,41,-0.03096644308945471,-0.22485045074433144,-0.19388400765487673,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND atr_pct<=p75,33,33,-0.03096644308945471,-0.1521276981911589,-0.1211612551017042,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND atr_pct>p25,27,27,-0.03096644308945471,-0.24735592603073672,-0.21638948294128202,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND entry_min_into_window<=p75,41,41,-0.03096644308945471,-0.22485045074433144,-0.19388400765487673,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND entry_min_into_window<=p50,41,41,-0.03096644308945471,-0.22485045074433144,-0.19388400765487673,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND entry_min_into_window<=p25,41,41,-0.03096644308945471,-0.22485045074433144,-0.19388400765487673,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND value_area_location<=p75,32,32,-0.03096644308945471,-0.2454915508454912,-0.2145251077560365,0.0
sw-open-drive-pcr,cvd_price_divergence_pre<=p50 AND dist_to_level_R<=p50,26,26,-0.03096644308945471,-0.44953402482953797,-0.41856758174008324,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND risk_pts<=p50,35,35,-0.03096644308945471,0.04656416201388749,0.0775306051033422,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND risk_pts>p50,41,41,-0.03096644308945471,-0.2392511606837348,-0.2082847175942801,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND risk_pts>p25,59,59,-0.03096644308945471,-0.2093751873005548,-0.1784087442111001,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND news_day<=p75,76,76,-0.03096644308945471,-0.10762568312561926,-0.07665924003616456,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND news_day<=p50,54,54,-0.03096644308945471,-0.10370190510168256,-0.07273546201222786,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND news_day<=p25,54,54,-0.03096644308945471,-0.10370190510168256,-0.07273546201222786,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND dist_to_level_R<=p75,59,59,-0.03096644308945471,0.056505541286869986,0.0874719843763247,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND dist_to_level_R<=p50,38,38,-0.03096644308945471,-0.18169574135680977,-0.15072929826735507,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND dist_to_level_R>p50,29,29,-0.03096644308945471,0.16579191333022847,0.19675835641968317,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND dist_to_level_R>p25,57,57,-0.03096644308945471,-0.06531731186666825,-0.03435086877721354,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND htf_aligned<=p75,76,76,-0.03096644308945471,-0.10762568312561926,-0.07665924003616456,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND htf_aligned<=p50,42,42,-0.03096644308945471,-0.12491575086674295,-0.09394930777728824,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND htf_aligned>p50,34,34,-0.03096644308945471,-0.08626736415129001,-0.0553009210618353,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND htf_aligned<=p25,42,42,-0.03096644308945471,-0.12491575086674295,-0.09394930777728824,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND htf_aligned>p25,34,34,-0.03096644308945471,-0.08626736415129001,-0.0553009210618353,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND atr_pct<=p75,55,55,-0.03096644308945471,0.005540142464216559,0.03650658555367127,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND atr_pct<=p50,38,38,-0.03096644308945471,-0.03454551354651705,-0.003579070457062336,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND dist_to_level_R>p50,38,38,-0.03096644308945471,-0.03355562489442884,-0.002589181804974132,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND htf_aligned<=p75,60,60,-0.03096644308945471,0.2681672458710992,0.2991336889605539,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND htf_aligned>p50,28,28,-0.03096644308945471,0.2187555935299494,0.2497220366194041,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND htf_aligned>p25,28,28,-0.03096644308945471,0.2187555935299494,0.2497220366194041,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND atr_pct<=p50,27,27,-0.03096644308945471,0.2185105549862305,0.2494769980756852,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND atr_pct>p50,31,31,-0.03096644308945471,0.2657034853117662,0.2966699284012209,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND atr_pct>p25,43,43,-0.03096644308945471,0.22737335190035282,0.2583397949898075,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND entry_min_into_window<=p75,60,60,-0.03096644308945471,0.2681672458710992,0.2991336889605539,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND entry_min_into_window<=p50,60,60,-0.03096644308945471,0.2681672458710992,0.2991336889605539,0.0
sw-open-drive-pcr,cvd_slope_pre_15<=p75 AND risk_pts<=p75,57,57,-0.03096644308945471,-0.0326183088449799,-0.0016518657555251864,0.0
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND value_area_location<=p75,46,46,-0.03096644308945471,0.2767489438792597,0.3077153869687144,0.0
