# Historical FF red-folder backfill 2023-01..2026-01, derived from data/reference/news_archive.csv (Brake, 18 Jul 2026).
# 2026-02+ intentionally excluded: config/news_calendar.csv owns that span.
datetime_ET,event,impact
2023-09-20 14:30,FOMC Press Conference,high
2023-09-29 08:30,Core PCE Price Index m/m,high
2023-10-02 10:00,ISM Manufacturing PMI,high
2023-10-04 10:00,ISM Services PMI,high
2023-10-06 08:30,Average Hourly Earnings m/m,high
2023-10-06 08:30,Non-Farm Employment Change,high
2023-10-06 08:30,Unemployment Rate,high
2023-10-11 14:00,FOMC Meeting Minutes,high
2023-10-12 08:30,Core CPI m/m,high
2023-10-12 08:30,CPI m/m,high
2023-10-12 08:30,CPI y/y,high
2023-10-17 08:30,Core Retail Sales m/m,high
2023-10-17 08:30,Retail Sales m/m,high
2023-10-26 08:30,Advance GDP q/q,high
2023-10-27 08:30,Core PCE Price Index m/m,high
2023-11-01 10:00,ISM Manufacturing PMI,high
2023-11-01 14:00,Federal Funds Rate,high
2023-11-01 14:00,FOMC Statement,high
2023-11-01 14:30,FOMC Press Conference,high
2023-11-03 08:30,Average Hourly Earnings m/m,high
2023-11-03 08:30,Non-Farm Employment Change,high
2023-11-03 08:30,Unemployment Rate,high
2023-11-03 10:00,ISM Services PMI,high
2023-11-14 08:30,Core CPI m/m,high
2023-11-14 08:30,CPI m/m,high
2023-11-14 08:30,CPI y/y,high
2023-11-15 08:30,Core Retail Sales m/m,high
2023-11-15 08:30,Retail Sales m/m,high
2023-11-21 14:00,FOMC Meeting Minutes,high
2023-11-30 08:30,Core PCE Price Index m/m,high
2023-12-01 10:00,ISM Manufacturing PMI,high
2023-12-05 10:00,ISM Services PMI,high
2023-12-08 08:30,Average Hourly Earnings m/m,high
2023-12-08 08:30,Non-Farm Employment Change,high
2023-12-08 08:30,Unemployment Rate,high
2023-12-12 08:30,Core CPI m/m,high
2023-12-12 08:30,CPI m/m,high
2023-12-12 08:30,CPI y/y,high
2023-12-13 14:00,Federal Funds Rate,high
2023-12-13 14:00,FOMC Economic Projections,high
2023-12-13 14:00,FOMC Statement,high
2023-12-13 14:30,FOMC Press Conference,high
2023-12-14 08:30,Core Retail Sales m/m,high
2023-12-14 08:30,Retail Sales m/m,high
2023-12-22 08:30,Core PCE Price Index m/m,high
2024-01-03 10:00,ISM Manufacturing PMI,high
2024-01-03 14:00,FOMC Meeting Minutes,high
2024-01-05 08:30,Average Hourly Earnings m/m,high
2024-01-05 08:30,Non-Farm Employment Change,high
2024-01-05 08:30,Unemployment Rate,high
2024-01-05 10:00,ISM Services PMI,high
