ts_event,ts_recv,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-05-13 07:00:00+00:00,2026-05-13 07:00:59.958659543+00:00,10,1,42004058,M,A,0,29315.0,1,128,12153,205172527,29313.75,29315.0,1,4,1,4,29313.5,29315.25,3,2,3,1,29313.25,29315.5,2,3,2,3,29312.75,29315.75,3,3,3,3,29312.5,29316.0,18,3,2,3,29312.25,29316.25,3,2,3,2,29312.0,29316.5,2,3,2,3,29311.75,29316.75,3,3,3,3,29311.5,29317.0,4,3,4,3,29311.25,29317.25,2,5,2,5,NQ.v.0
2026-05-13 07:01:00+00:00,2026-05-13 07:01:59.987302986+00:00,10,1,42004058,M,B,3,29309.25,1,128,10859,205199293,29310.0,29310.75,1,2,1,2,29309.75,29311.0,3,3,3,3,29309.5,29311.25,2,2,2,2,29309.25,29311.5,3,3,3,3,29309.0,29311.75,2,2,2,2,29308.75,29312.0,4,4,4,4,29308.25,29312.25,4,3,4,3,29308.0,29312.5,2,2,2,2,29307.75,29312.75,3,2,3,2,29307.5,29313.0,3,1,3,1,NQ.v.0
2026-05-13 07:02:00+00:00,2026-05-13 07:02:59.982105646+00:00,10,1,42004058,A,A,1,29319.75,1,128,13046,205225503,29318.75,29319.5,1,2,1,2,29318.5,29319.75,1,3,1,3,29318.25,29320.0,3,2,3,2,29318.0,29320.25,1,3,1,3,29317.75,29320.5,2,3,2,3,29317.5,29320.75,4,4,4,4,29317.25,29321.0,3,4,3,4,29317.0,29321.25,2,2,2,2,29316.75,29321.5,1,1,1,1,29316.25,29321.75,3,2,3,2,NQ.v.0
2026-05-13 07:03:00+00:00,2026-05-13 07:03:59.765083881+00:00,10,1,42004058,A,A,5,29321.0,1,128,13406,205248805,29319.0,29319.75,2,1,2,1,29318.75,29320.0,3,2,3,2,29318.5,29320.25,1,2,1,2,29318.25,29320.5,1,1,1,1,29318.0,29320.75,1,4,1,4,29317.75,29321.0,3,5,3,5,29317.5,29321.25,2,3,2,3,29317.25,29321.5,2,3,2,3,29317.0,29321.75,1,3,1,3,29316.75,29322.0,1,4,1,4,NQ.v.0
2026-05-13 07:04:00+00:00,2026-05-13 07:04:59.955041787+00:00,10,1,42004058,M,A,1,29393.75,1,128,12464,205272208,29317.75,29318.5,1,1,1,1,29317.5,29318.75,1,1,1,1,29317.25,29319.0,3,1,3,1,29317.0,29319.25,2,5,2,5,29316.75,29319.5,1,5,1,5,29316.5,29319.75,2,3,2,3,29316.25,29320.0,2,6,2,6,29316.0,29320.25,2,2,2,2,29315.75,29320.75,1,3,1,3,29315.5,29321.0,2,3,2,3,NQ.v.0
2026-05-13 07:05:00+00:00,2026-05-13 07:05:59.969262454+00:00,10,1,42004058,C,A,8,29309.0,1,128,12948,205305961,29306.0,29306.75,1,1,1,1,29305.75,29307.0,1,2,1,2,29305.5,29307.25,2,2,2,2,29305.0,29307.5,3,1,3,1,29304.25,29307.75,3,2,3,2,29303.75,29308.0,2,3,2,3,29303.5,29308.25,1,2,1,2,29303.25,29308.5,1,4,1,4,29303.0,29309.0,2,2,2,2,29302.75,29309.25,2,5,2,5,NQ.v.0
2026-05-13 07:06:00+00:00,2026-05-13 07:06:59.977349438+00:00,10,1,42004058,C,B,1,29314.0,1,128,12648,205329506,29314.25,29315.0,1,1,1,1,29314.0,29315.25,1,3,1,3,29313.75,29315.5,1,4,1,4,29313.5,29315.75,3,1,3,1,29313.25,29316.0,3,2,3,2,29312.75,29316.25,2,2,2,2,29312.5,29316.5,2,3,2,3,29312.25,29316.75,3,3,3,3,29312.0,29317.0,3,4,3,4,29311.75,29317.25,3,5,3,5,NQ.v.0
2026-05-13 07:07:00+00:00,2026-05-13 07:07:59.975112473+00:00,10,1,42004058,C,B,2,29314.75,1,128,12486,205350766,29315.25,29316.0,2,2,2,2,29315.0,29316.25,2,2,2,2,29314.75,29316.5,2,2,2,2,29314.5,29316.75,1,4,1,4,29314.25,29317.0,2,1,2,1,29314.0,29317.25,3,3,3,3,29313.75,29317.5,4,4,4,4,29313.5,29317.75,3,3,3,3,29313.25,29318.0,4,3,4,3,29313.0,29318.75,1,3,1,3,NQ.v.0
2026-05-13 07:08:00+00:00,2026-05-13 07:08:59.721531532+00:00,10,1,42004058,M,B,0,29307.5,1,128,11160,205375969,29307.5,29308.75,3,1,3,1,29307.25,29309.0,3,2,3,2,29307.0,29309.25,1,7,1,3,29306.75,29309.5,2,3,2,3,29306.5,29309.75,3,2,3,2,29306.25,29310.0,2,4,2,4,29306.0,29310.25,3,3,3,3,29305.75,29310.5,2,1,2,1,29305.5,29310.75,3,3,3,3,29305.0,29311.0,6,3,6,3,NQ.v.0
2026-05-13 07:09:00+00:00,2026-05-13 07:09:59.973702737+00:00,10,1,42004058,C,A,0,29302.75,1,128,11113,205399166,29301.75,29302.75,1,1,1,1,29301.5,29303.0,2,2,2,2,29301.25,29303.25,2,3,2,3,29301.0,29303.5,1,5,1,5,29300.75,29304.0,2,4,2,4,29300.5,29304.25,2,2,2,2,29300.25,29304.5,4,3,4,3,29300.0,29304.75,1,4,1,4,29299.75,29305.0,4,3,4,3,29299.5,29305.25,2,1,2,1,NQ.v.0
2026-05-13 07:10:00+00:00,2026-05-13 07:10:59.937902995+00:00,10,1,42004058,A,B,0,29295.75,1,128,11034,205429907,29295.75,29296.5,1,1,1,1,29295.5,29296.75,2,1,2,1,29295.25,29297.0,5,2,5,2,29295.0,29297.25,3,2,3,2,29294.5,29297.5,2,2,2,2,29294.25,29297.75,2,2,2,2,29294.0,29298.0,2,3,2,3,29293.75,29298.25,2,2,2,2,29293.5,29298.5,1,3,1,3,29293.25,29298.75,3,3,3,3,NQ.v.0
2026-05-13 07:11:00+00:00,2026-05-13 07:11:59.924216708+00:00,10,1,42004058,A,A,1,29292.25,1,128,10975,205460625,29291.25,29292.0,1,1,1,1,29291.0,29292.25,1,2,1,2,29290.75,29292.5,2,3,2,3,29290.5,29292.75,3,2,3,2,29290.25,29293.0,2,1,2,1,29290.0,29293.25,2,2,2,2,29289.25,29293.5,4,3,4,3,29289.0,29294.25,3,2,3,2,29288.75,29294.5,4,3,4,3,29288.5,29295.0,5,3,5,3,NQ.v.0
2026-05-13 07:12:00+00:00,2026-05-13 07:12:59.993188772+00:00,10,1,42004058,A,A,1,29295.5,1,128,12938,205490678,29294.25,29295.25,2,2,2,2,29294.0,29295.5,5,2,5,2,29293.75,29295.75,2,3,2,3,29293.25,29296.0,6,4,6,4,29293.0,29296.25,2,3,2,3,29292.75,29296.5,1,2,1,2,29292.25,29296.75,2,5,2,5,29292.0,29297.0,4,5,4,5,29291.75,29297.25,3,3,3,3,29291.5,29297.5,4,2,4,2,NQ.v.0
2026-05-13 07:13:00+00:00,2026-05-13 07:13:59.954849829+00:00,10,1,42004058,M,A,0,29309.25,1,128,11054,205519489,29308.25,29309.25,1,2,1,2,29308.0,29309.5,2,3,2,3,29307.75,29309.75,2,2,2,2,29307.5,29310.0,1,3,1,3,29307.25,29310.25,3,3,3,3,29307.0,29310.5,2,2,2,2,29306.75,29310.75,2,2,2,2,29306.5,29311.0,2,4,2,4,29306.25,29311.25,3,3,3,3,29306.0,29311.5,5,2,5,2,NQ.v.0
2026-05-13 07:14:00+00:00,2026-05-13 07:14:59.996902543+00:00,10,1,42004058,M,B,3,29308.75,1,128,10859,205539148,29309.5,29310.5,1,1,1,1,29309.25,29310.75,3,2,3,2,29309.0,29311.0,2,3,2,3,29308.75,29311.25,5,2,5,2,29308.25,29311.5,5,1,5,1,29308.0,29311.75,5,3,5,3,29307.75,29312.0,3,6,3,5,29307.5,29312.25,6,3,4,3,29307.25,29312.5,3,2,3,2,29306.75,29313.0,3,4,3,4,NQ.v.0
2026-05-13 07:15:00+00:00,2026-05-13 07:15:59.888116372+00:00,10,1,42004058,A,A,0,29313.0,1,128,12215,205562296,29312.25,29313.0,1,2,1,2,29312.0,29313.25,1,4,1,4,29311.5,29313.5,3,2,3,2,29311.25,29313.75,2,3,2,3,29311.0,29314.0,6,3,6,3,29310.75,29314.25,3,2,3,2,29310.5,29314.5,5,3,5,3,29310.25,29314.75,4,3,4,3,29310.0,29315.0,3,4,3,4,29309.75,29315.25,3,3,3,3,NQ.v.0
