trade_date,trigger_ts,tf,direction,kind,pattern,htf_flag,confluence,entry_variant,limit_price,fill_ts,entry,stop_initial,target_name,target_level,working_target,exit_ts,exit_price,exit_reason,points,r_multiple,size,dollars,slippage_ticks,mgmt_variant,mfe_r,mae_r
2026-04-01,2026-04-01T09:31:00-04:00,1min,long,rejection_block,A,range,4,E4,24083.5,2026-04-01T09:32:00-04:00,24071.25,24054.75,walkout_asia_session_high,24176.75,24174.25,2026-04-01T09:36:00-04:00,24174.25,partial+target,66.25,4.0152,1.0,1320.0,0,V8,6.52,-0.12
2026-04-01,2026-04-01T09:46:00-04:00,2min,short,rejection_block,A,counter_trend,3,E4,24087.0,2026-04-01T09:47:00-04:00,24091.5,24123.0,walkout_london_session_low,24003.5,24006.0,2026-04-01T09:52:00-04:00,24124.0,stop,-32.5,-1.0317,1.0,-655.0,4,V8,1.04,-1.05
2026-04-02,2026-04-02T08:49:00-04:00,1min,long,displacement,B,counter_trend,3,E4,23747.0,2026-04-02T08:50:00-04:00,23752.25,23736.75,walkout_profile_poc,23830.125,23827.5,2026-04-02T08:57:00-04:00,23743.0,partial+stop,-4.5,-0.2903,1.0,-95.0,1,V8,0.35,-0.92
2026-04-02,2026-04-02T09:00:00-04:00,5min,short,displacement,B,with_trend,3,E4,23725.5,2026-04-02T09:01:00-04:00,23731.25,23754.25,walkout_daily_vwap_lower_2,23582.24914876933,23584.75,2026-04-02T09:28:00-04:00,23754.5,stop,-23.25,-1.0109,1.0,-470.0,1,V8,1.04,-1.25
2026-04-06,2026-04-06T08:36:00-04:00,3min,long,displacement,B,range,3,E4,24325.0,2026-04-06T08:37:00-04:00,24324.25,24305.25,walkout_profile_vah,24378.125,24375.5,2026-04-06T08:52:00-04:00,24315.25,partial+stop,-3.25,-0.1711,1.0,-70.0,1,V8,0.72,-0.84
2026-04-06,2026-04-06T08:54:00-04:00,3min,short,displacement,B,range,3,E4,24310.75,2026-04-06T08:55:00-04:00,24309.75,24325.5,prior_day_high,24255.0,24257.5,2026-04-06T09:29:00-04:00,24257.5,target,52.25,3.3175,1.0,1040.0,0,V8,3.33,-0.27
2026-04-07,2026-04-07T08:22:00-04:00,2min,long,displacement,B,range,3,E4,24219.5,2026-04-07T08:23:00-04:00,24219.5,24195.5,asia_session_high,24384.0,24381.5,2026-04-07T08:43:00-04:00,24194.5,stop,-25.0,-1.0417,1.0,-505.0,4,V8,1.25,-1.07
2026-04-07,2026-04-07T08:54:00-04:00,3min,long,displacement,B,range,3,E4,24212.25,2026-04-07T08:55:00-04:00,24215.75,24186.0,asia_session_high,24384.0,24381.5,2026-04-07T09:31:00-04:00,24215.5,be_stop,-0.25,-0.0084,1.0,-10.0,1,V8,3.1,-0.66
2026-04-08,2026-04-08T08:01:00-04:00,1min,long,displacement,B,counter_trend,3,E4,25219.25,2026-04-08T08:02:00-04:00,25221.75,25209.25,london_session_high,25245.25,25242.75,2026-04-08T08:04:00-04:00,25242.75,partial+target,12.3125,0.985,1.0,241.25,0,V8,2.06,-0.06
2026-04-08,2026-04-08T08:05:00-04:00,5min,long,displacement,B,counter_trend,3,E4,25243.5,2026-04-08T08:06:00-04:00,25242.25,25209.25,walkout_daily_vwap_upper_2,25407.319845090267,25404.75,2026-04-08T08:11:00-04:00,25231.25,partial+stop,-2.875,-0.0871,1.0,-62.5,1,V8,0.45,-0.51
