status,0
vetoed_confluence,406
vetoed_window,380
vetoed_vault_max,273
skipped_position_open,121
vetoed_news_preopen,86
cancelled_tcancel,35
taken,33
vetoed_min_stop,14
skipped_order_working,5
cancelled_window_end,1
vetoed_bad_geometry,1
