day,stance,stance_asked,health_override,book,act,size,pl,oracle,hit,orc,e3,e4
2026-04-02,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-600,FLAT,False,0,-635,-600
2026-04-06,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-130,0
2026-04-07,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-95,FLAT,False,0,-300,-95
2026-04-08,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,415,MOMENTUM,True,415,-500,415
2026-04-09,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-5,ROTATION,False,120,120,-5
2026-04-10,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,195,ROTATION,False,980,980,195
2026-04-13,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,880,MOMENTUM,True,880,-430,880
2026-04-14,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,675,MOMENTUM,True,675,-20,675
2026-04-15,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-270,FLAT,False,0,-181,-270
2026-04-16,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-195,0
2026-04-17,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-885,0
2026-04-20,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-605,FLAT,False,0,-160,-605
2026-04-21,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-328,FLAT,False,0,0,-328
2026-04-22,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-90,FLAT,False,0,-205,-90
2026-04-23,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,310,-404,310
2026-04-24,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,ROTATION,False,505,505,0
2026-04-27,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,330,MOMENTUM,True,330,-95,330
2026-04-28,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-632,FLAT,False,0,-632,0
2026-04-29,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-45,FLAT,False,0,-610,-45
2026-04-30,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,1495,MOMENTUM,True,1495,978,1495
2026-05-01,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,635,MOMENTUM,True,635,0,635
2026-05-04,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-480,FLAT,False,0,-480,-645
2026-05-05,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-275,FLAT,False,0,-445,-275
2026-05-06,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-580,FLAT,False,0,-425,-580
2026-05-07,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,490,ROTATION,False,740,740,490
2026-05-08,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-310,FLAT,False,0,0,-310
2026-05-11,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,1935,MOMENTUM,True,1935,135,1935
2026-05-12,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,ROTATION,False,579,579,0
2026-05-13,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-390,0
2026-05-14,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-245,FLAT,False,0,-185,-245
2026-05-15,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-155,FLAT,False,0,-155,-195
2026-05-18,risk_on,risk_on,False,ROTATION,ROTATION,1.0,1545,ROTATION,True,1545,1545,-655
2026-05-19,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,30,MOMENTUM,True,30,-620,30
2026-05-20,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-322,0
2026-05-21,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-430,FLAT,False,0,-1350,-430
2026-05-22,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,485,MOMENTUM,True,485,-130,485
2026-05-26,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-10,MOMENTUM,False,450,-10,450
2026-05-27,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-255,FLAT,False,0,-358,-255
2026-05-28,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-705,0
2026-05-29,risk_on,risk_on,False,ROTATION,ROTATION,1.0,152,ROTATION,True,152,152,-55
2026-06-01,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,190,ROTATION,False,295,295,190
2026-06-02,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,0,-390
2026-06-04,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,ROTATION,False,889,889,0
2026-06-05,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-772,0
2026-06-08,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,475,ROTATION,False,3131,3131,475
2026-06-09,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,810,MOMENTUM,True,810,445,810
2026-06-10,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-10,FLAT,False,0,-10,0
2026-06-11,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-10,0
2026-06-12,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,1400,MOMENTUM,True,1400,-560,1400
2026-06-15,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-5,ROTATION,False,909,909,-5
2026-06-16,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,885,MOMENTUM,True,885,210,885
2026-06-17,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-465,ROTATION,False,211,211,-465
2026-06-18,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,1030,MOMENTUM,True,1030,-10,1030
2026-06-19,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-15,FLAT,False,0,-288,-15
2026-06-22,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-30,FLAT,False,0,-602,-30
2026-06-23,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-635,FLAT,False,0,-635,-640
2026-06-24,risk_on,risk_on,False,ROTATION,ROTATION,1.0,71,ROTATION,True,71,71,-280
2026-06-25,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,550,MOMENTUM,True,550,-515,550
2026-06-26,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,ROTATION,False,1060,1060,0
2026-06-29,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,450,MOMENTUM,True,450,368,450
2026-07-01,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,ROTATION,False,42,42,0
2026-07-02,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-18,0
2026-07-03,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-515,FLAT,False,0,-515,-515
2026-07-06,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-90,FLAT,False,0,-240,-90
2026-07-07,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-895,0
2026-07-08,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-505,FLAT,False,0,-505,0
2026-07-13,risk_on,risk_on,False,ROTATION,ROTATION,1.0,-218,FLAT,False,0,-218,0
2026-07-14,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-460,0
2026-07-15,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-405,0
