day,ft,direction,entry,stop,risk_pts,exit_price,k0,life_min,life_end_ts,stopped,micros,pl_mech,pl,R,mfe_R,mae_R,fillhm,rk,oos,px_0800,prev_close,gap_pts,gap_abs,expiry_week,big_R2,reach4,et,buck,seg,has_depth,wall_ahead_d,wall_ahead_sz,wall_behind_d,thick,imb,leak_wall_ahead_d,t_mfe,t_mae,eff30,crosses,mfe30,adverse_first,stalled_1_2R,gave_back,sl_no_1R,mfe15,mfeU15,_shift_mfe15,mfeU30,_shift_mfe30,mfe45,mfeU45,_shift_mfe45,mfe60,mfeU60,_shift_mfe60,mfe_life,gap15,gap30,gap45,gap60,gap_life,won
2025-07-02,2025-07-02 12:03:00+00:00,short,22651.75,22663.25,11.5,22663.5,884477,2,2025-07-02 12:05:00+00:00,True,4,-120.0,-96.0,-1.0434782608695652,0.3695652173913043,-1.2826086956521738,483,11.5,False,22652.75,22693.0,-40.25,40.25,False,False,False,2025-07-02 08:03:00-04:00,0,early 08:00-08:29,True,2.0,4.0,1.25,59.0,-0.0169491525423728,0.5,0,2,0.1435582822085889,1.0,0.3695652173913043,False,False,False,True,0.3695652173913043,1.0217391304347827,0.1956521739130435,3.630434782608696,0.1956521739130435,0.3695652173913043,6.065217391304348,0.1956521739130435,0.3695652173913043,6.065217391304348,0.1956521739130435,0.3695652173913043,1.4130434782608696,1.4130434782608696,1.4130434782608696,1.4130434782608696,1.4130434782608696,False
2025-07-07,2025-07-07 12:16:00+00:00,long,22994.5,22981.75,12.75,22981.5,888164,11,2025-07-07 12:27:00+00:00,True,4,-132.5,-106.0,-1.03921568627451,0.5686274509803921,-1.2745098039215683,496,12.75,False,22977.5,,,,False,False,False,2025-07-07 08:16:00-04:00,3,early 08:00-08:29,True,2.0,24.0,2.5,85.0,-0.3647058823529411,3.0,3,11,0.3374999999999999,3.0,0.5686274509803921,False,False,False,True,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5686274509803921,1.6078431372549022,1.6078431372549022,1.6078431372549022,1.6078431372549022,1.6078431372549022,False
2025-07-08,2025-07-08 13:19:00+00:00,short,22941.75,22951.25,9.5,22908.0,889607,186,2025-07-08 16:25:00+00:00,True,5,335.0,335.0,3.526315789473684,10.605263157894736,-1.0263157894736843,559,9.5,False,22937.0,22883.25,53.75,53.75,False,True,True,2025-07-08 09:19:00-04:00,15,late 09:00-09:29,True,1.75,14.0,1.25,136.0,0.1470588235294117,4.75,97,186,0.1820809248554913,12.0,5.5,False,False,False,False,4.605263157894737,4.605263157894737,4.605263157894737,5.5,5.5,7.315789473684211,7.315789473684211,7.815789473684211,7.921052631578948,7.921052631578948,7.921052631578948,10.605263157894736,1.078947368421053,1.973684210526316,3.7894736842105265,4.394736842105264,7.078947368421052,True
2025-07-10,2025-07-10 12:04:00+00:00,short,23061.5,23072.25,10.75,23047.25,892290,83,2025-07-10 13:27:00+00:00,True,5,186.875,186.875,1.7383720930232558,2.4651162790697674,-1.1395348837209305,484,10.75,False,23067.5,23051.0,16.5,16.5,False,False,False,2025-07-10 08:04:00-04:00,0,early 08:00-08:29,True,0.5,7.0,,88.0,-0.1136363636363636,2.0,44,83,0.1236749116607773,8.0,1.441860465116279,False,False,False,False,0.5581395348837209,0.5581395348837209,0.5581395348837209,1.441860465116279,1.441860465116279,2.4651162790697674,2.4651162790697674,2.4651162790697674,2.4651162790697674,2.4651162790697674,2.4651162790697674,2.4651162790697674,-1.1802325581395348,-0.2965116279069768,0.7267441860465116,0.7267441860465116,0.7267441860465116,True
2025-07-14,2025-07-14 12:16:00+00:00,long,22892.75,22884.25,8.5,22884.0,895062,86,2025-07-14 13:42:00+00:00,True,6,-90.0,-108.0,-1.0588235294117647,10.176470588235292,-1.9705882352941173,496,8.5,False,22887.25,22955.25,-68.0,68.0,False,False,True,2025-07-14 08:16:00-04:00,3,early 08:00-08:29,True,2.25,11.0,2.5,90.0,-0.1555555555555555,2.0,75,86,0.1736111111111111,6.0,1.911764705882353,False,False,True,False,1.911764705882353,1.911764705882353,1.911764705882353,1.911764705882353,1.911764705882353,1.911764705882353,1.911764705882353,1.911764705882353,1.911764705882353,1.911764705882353,1.911764705882353,10.176470588235292,2.9705882352941178,2.9705882352941178,2.9705882352941178,2.9705882352941178,11.235294117647056,False
2025-07-16,2025-07-16 12:11:00+00:00,long,23021.75,23012.25,9.5,23036.25,897817,90,2025-07-16 13:41:00+00:00,True,16,427.5,456.0,1.5,7.131578947368421,-1.0526315789473684,491,9.5,False,23020.75,23052.25,-31.5,31.5,False,False,True,2025-07-16 08:11:00-04:00,2,early 08:00-08:29,True,1.25,10.0,2.75,105.0,0.0095238095238095,3.25,79,90,0.2945891783567134,6.0,6.657894736842105,False,False,False,False,1.2105263157894737,1.2105263157894737,1.2105263157894737,6.657894736842105,6.657894736842105,6.657894736842105,6.657894736842105,6.657894736842105,6.657894736842105,6.657894736842105,6.657894736842105,7.131578947368421,-0.2894736842105263,5.157894736842105,5.157894736842105,5.157894736842105,5.631578947368421,True
2025-07-18,2025-07-18 12:06:00+00:00,short,23255.25,23270.25,15.0,23270.5,900572,42,2025-07-18 12:48:00+00:00,True,3,-155.0,-93.0,-1.0333333333333334,0.05,-1.0833333333333333,486,15.0,False,23269.5,23257.75,11.75,11.75,False,False,False,2025-07-18 08:06:00-04:00,1,early 08:00-08:29,True,0.75,8.0,2.75,104.0,-0.0384615384615384,,0,42,0.0040816326530612,11.0,0.05,False,False,False,True,0.05,0.05,0.03333333333333333,0.05,0.03333333333333333,0.05,0.05,0.03333333333333333,0.05,0.05,0.03333333333333333,0.05,1.0833333333333335,1.0833333333333335,1.0833333333333335,1.0833333333333335,1.0833333333333335,False
2025-07-21,2025-07-21 12:09:00+00:00,short,23272.25,23281.25,9.0,23281.5,901955,26,2025-07-21 12:35:00+00:00,True,6,-95.0,-114.0,-1.0555555555555556,0.1666666666666666,-1.0833333333333333,489,9.0,False,23276.75,23226.5,50.25,50.25,False,False,False,2025-07-21 08:09:00-04:00,1,early 08:00-08:29,True,0.25,15.0,2.75,117.0,0.1623931623931624,0.75,1,26,0.0059171597633136,3.0,0.16666666666666666,False,False,False,True,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,2.361111111111111,0.16666666666666666,0.16666666666666666,5.138888888888889,0.16666666666666666,0.1666666666666666,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.2222222222222223,1.222222222222222,False
2025-07-23,2025-07-23 12:33:00+00:00,short,23240.5,23251.0,10.5,23251.25,904739,48,2025-07-23 13:21:00+00:00,True,5,-47.5,-110.0,-1.0476190476190477,0.9761904761904762,-1.261904761904762,513,10.5,False,23260.0,23221.25,38.75,38.75,False,False,False,2025-07-23 08:33:00-04:00,6,mid 08:30-08:59,True,1.5,8.0,2.0,94.0,-0.1489361702127659,0.5,20,48,0.0251256281407035,13.0,0.9761904761904762,False,False,False,True,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9761904761904762,5.476190476190476,0.9761904761904762,0.9761904761904762,1.6666666666666667,2.0238095238095237,2.0238095238095237,2.0238095238095237,2.0238095238095237,False
2025-07-24,2025-07-24 12:07:00+00:00,long,23390.25,23380.75,9.5,23380.5,906093,13,2025-07-24 12:20:00+00:00,True,5,-27.5,-100.0,-1.0526315789473684,0.2105263157894736,-1.368421052631579,487,9.5,False,23382.75,23324.5,58.25,58.25,False,False,False,2025-07-24 08:07:00-04:00,1,early 08:00-08:29,True,1.75,6.0,1.75,82.0,0.024390243902439,1.5,0,13,0.3762057877813505,1.0,0.21052631578947367,False,False,False,True,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.2105263157894736,1.263157894736842,1.263157894736842,1.263157894736842,1.263157894736842,1.263157894736842,False
2025-07-25,2025-07-25 12:47:00+00:00,short,23370.75,23379.25,8.5,23351.25,907513,61,2025-07-25 13:48:00+00:00,True,6,166.875,200.25,1.963235294117647,4.705882352941177,-1.0588235294117647,527,8.5,False,23367.5,23376.75,-9.25,9.25,False,False,True,2025-07-25 08:47:00-04:00,9,mid 08:30-08:59,True,3.5,9.0,0.25,125.0,-0.024,2.25,51,61,0.0526315789473684,8.0,2.823529411764706,False,False,False,False,0.5294117647058824,0.5294117647058824,0.5294117647058824,2.823529411764706,2.823529411764706,3.264705882352941,3.264705882352941,3.264705882352941,4.705882352941177,4.705882352941177,4.705882352941177,4.705882352941177,-1.4338235294117645,0.8602941176470591,1.3014705882352942,2.74264705882353,2.74264705882353,True
2025-07-29,2025-07-29 12:01:00+00:00,long,23602.75,23592.75,10.0,23592.5,910227,26,2025-07-29 12:27:00+00:00,True,10,-210.0,-210.0,-1.05,1.075,-1.15,481,10.0,False,23602.5,23491.75,110.75,110.75,False,False,False,2025-07-29 08:01:00-04:00,0,early 08:00-08:29,True,2.25,23.0,1.25,124.0,-0.1935483870967742,2.25,6,26,0.1388888888888888,1.0,1.075,False,True,True,False,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,2.125,2.125,2.125,2.125,2.125,False
2025-07-30,2025-07-30 12:32:00+00:00,long,23482.25,23473.5,8.75,23495.0,911637,33,2025-07-30 13:05:00+00:00,True,11,-45.0,380.875,1.9785714285714289,2.628571428571429,-1.3428571428571427,512,8.75,False,23505.25,23457.0,48.25,48.25,False,False,False,2025-07-30 08:32:00-04:00,6,mid 08:30-08:59,True,3.25,6.0,2.25,75.0,0.1733333333333333,1.75,17,33,0.0027247956403269,2.0,2.6285714285714286,False,False,False,False,2.3714285714285714,2.3714285714285714,2.4,2.6285714285714286,2.6285714285714286,2.6285714285714286,2.6285714285714286,2.6285714285714286,2.6285714285714286,2.6285714285714286,2.6285714285714286,2.628571428571429,0.39285714285714257,0.6499999999999997,0.6499999999999997,0.6499999999999997,0.6500000000000001,True
2025-07-31,2025-07-31 12:35:00+00:00,long,23786.0,23772.25,13.75,23772.0,913020,50,2025-07-31 13:25:00+00:00,True,4,-142.5,-114.0,-1.0363636363636364,1.6727272727272726,-1.509090909090909,515,13.75,False,23761.5,23484.0,277.5,277.5,False,False,False,2025-07-31 08:35:00-04:00,7,mid 08:30-08:59,True,1.25,8.0,2.5,88.0,0.0,8.25,5,50,0.0662983425414364,8.0,1.6727272727272726,False,True,True,False,1.6727272727272726,1.6727272727272726,1.6727272727272726,1.6727272727272726,1.6727272727272726,1.6727272727272726,1.6727272727272726,1.6727272727272726,1.6727272727272726,1.6727272727272726,1.6727272727272726,1.6727272727272726,2.709090909090909,2.709090909090909,2.709090909090909,2.709090909090909,2.709090909090909,False
2025-08-04,2025-08-04 12:18:00+00:00,long,23053.75,23044.0,9.75,23075.5,915763,458,2025-08-04 19:56:00+00:00,False,10,433.75,433.75,2.2243589743589745,25.56410256410257,-0.1282051282051282,498,9.75,False,23050.25,22880.5,169.75,169.75,False,True,True,2025-08-04 08:18:00-04:00,3,early 08:00-08:29,True,0.75,8.0,,91.0,-0.0549450549450549,3.5,418,0,0.1329113924050633,9.0,2.871794871794872,True,False,False,False,2.871794871794872,2.871794871794872,2.871794871794872,2.871794871794872,2.871794871794872,2.8974358974358974,2.8974358974358974,2.9743589743589745,3.282051282051282,3.282051282051282,3.3333333333333335,25.56410256410257,0.6474358974358974,0.6474358974358974,0.6730769230769229,1.0576923076923075,23.339743589743595,True
2025-08-07,2025-08-07 12:08:00+00:00,long,23592.0,23578.0,14.0,23636.5,919893,97,2025-08-07 13:45:00+00:00,True,7,885.0,619.5,3.1607142857142856,4.0,-1.0535714285714286,488,14.0,False,23585.5,23424.75,160.75,160.75,False,True,True,2025-08-07 08:08:00-04:00,1,early 08:00-08:29,True,3.0,9.0,2.0,81.0,-0.1358024691358024,3.5,93,97,0.0508474576271186,18.0,1.5714285714285714,False,False,False,False,0.8571428571428571,0.8571428571428571,0.9642857142857143,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.8214285714285714,1.8214285714285714,1.8928571428571428,4.0,-2.3035714285714284,-1.5892857142857142,-1.5892857142857142,-1.3392857142857142,0.8392857142857144,True
2025-08-07,2025-08-07 12:11:00+00:00,long,23586.75,23578.0,8.75,23591.5,919896,94,2025-08-07 13:45:00+00:00,True,17,121.875,138.125,0.4642857142857143,7.0,-1.0857142857142856,491,8.75,False,23585.5,23424.75,160.75,160.75,False,False,True,2025-08-07 08:11:00-04:00,2,early 08:00-08:29,True,0.5,8.0,,60.0,0.0666666666666666,5.0,90,94,0.0966386554621848,18.0,3.1142857142857143,False,False,False,False,2.142857142857143,2.142857142857143,2.142857142857143,3.1142857142857143,3.1142857142857143,3.1142857142857143,3.1142857142857143,3.1142857142857143,3.6285714285714286,3.6285714285714286,3.6285714285714286,7.0,1.6785714285714284,2.65,2.65,3.164285714285714,6.535714285714286,True
2025-08-08,2025-08-08 12:06:00+00:00,short,23565.75,23576.25,10.5,23527.5,921271,91,2025-08-08 13:37:00+00:00,True,14,1140.0,1064.0,3.619047619047619,4.523809523809524,-1.1428571428571428,486,10.5,False,23575.5,23501.0,74.5,74.5,False,True,True,2025-08-08 08:06:00-04:00,1,early 08:00-08:29,True,2.25,10.0,2.25,104.0,0.1346153846153846,5.75,34,91,0.3140096618357487,10.0,4.4523809523809526,False,False,False,False,4.4523809523809526,4.4523809523809526,4.4523809523809526,4.4523809523809526,4.4523809523809526,4.523809523809524,4.523809523809524,4.523809523809524,4.523809523809524,4.523809523809524,4.523809523809524,4.523809523809524,0.8333333333333335,0.8333333333333335,0.9047619047619047,0.9047619047619047,0.9047619047619047,True
2025-08-11,2025-08-11 12:28:00+00:00,short,23730.75,23742.5,11.75,23725.0,922673,89,2025-08-11 13:57:00+00:00,True,4,93.125,74.5,0.7925531914893617,4.25531914893617,-1.0,508,11.75,False,23746.0,23714.5,31.5,31.5,False,False,True,2025-08-11 08:28:00-04:00,5,early 08:00-08:29,True,3.5,9.0,1.25,110.0,0.0363636363636363,,66,89,0.1671232876712328,20.0,1.9574468085106382,False,False,False,False,1.5957446808510638,1.5957446808510638,1.5957446808510638,1.9574468085106382,1.9574468085106382,2.0851063829787235,2.0851063829787235,2.0851063829787235,2.5531914893617023,2.5531914893617023,2.5531914893617023,4.25531914893617,0.8031914893617021,1.1648936170212765,1.292553191489362,1.7606382978723407,3.4627659574468086,True
2025-08-14,2025-08-14 12:01:00+00:00,long,23958.25,23947.25,11.0,23947.0,926785,6,2025-08-14 12:07:00+00:00,True,14,-345.0,-322.0,-1.0454545454545454,0.4090909090909091,-1.1590909090909092,481,11.0,False,23958.0,23943.0,15.0,15.0,False,False,False,2025-08-14 08:01:00-04:00,0,early 08:00-08:29,True,1.75,21.0,2.25,121.0,-0.2727272727272727,4.25,1,6,0.5572289156626506,1.0,0.4090909090909091,False,False,False,True,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.7727272727272727,0.4090909090909091,0.4090909090909091,0.7727272727272727,0.4090909090909091,0.4090909090909091,0.7727272727272727,0.4090909090909091,0.4090909090909091,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.4545454545454546,1.4545454545454546,False
