day,ft,direction,entry,stop,risk_pts,exit_price,k0,life_min,life_end_ts,stopped,micros,pl_mech,pl,R,mfe_R,mae_R,fillhm,rk,oos,px_0800,prev_close,gap_pts,gap_abs,expiry_week,big_R2,reach4,et,buck,seg,has_depth,wall_ahead_d,wall_ahead_sz,wall_behind_d,thick,imb,leak_wall_ahead_d,t_mfe,t_mae,eff30,crosses,mfe30,adverse_first,stalled_1_2R,gave_back,sl_no_1R
2025-07-02,2025-07-02 12:03:00+00:00,short,22651.75,22663.25,11.5,22663.5,884477,2,2025-07-02 12:05:00+00:00,True,4,-120.0,-96.0,-1.0434782608695652,0.3695652173913043,-1.2826086956521738,483,11.5,False,22652.75,22693.0,-40.25,40.25,False,False,False,2025-07-02 08:03:00-04:00,0,early 08:00-08:29,True,2.0,4.0,1.25,59.0,-0.01694915254237288,0.5,0,2,0.14355828220858893,1.0,3.630434782608696,False,False,False,True
2025-07-07,2025-07-07 12:16:00+00:00,long,22994.5,22981.75,12.75,22981.5,888164,11,2025-07-07 12:27:00+00:00,True,4,-132.5,-106.0,-1.03921568627451,0.5686274509803921,-1.2745098039215683,496,12.75,False,22977.5,,,,False,False,False,2025-07-07 08:16:00-04:00,3,early 08:00-08:29,True,2.0,24.0,2.5,85.0,-0.36470588235294116,3.0,3,11,0.3374999999999999,3.0,0.5686274509803921,False,False,False,True
2025-07-08,2025-07-08 13:19:00+00:00,short,22941.75,22951.25,9.5,22908.0,889607,186,2025-07-08 16:25:00+00:00,True,5,335.0,335.0,3.526315789473684,10.605263157894736,-1.0263157894736843,559,9.5,False,22937.0,22883.25,53.75,53.75,False,True,True,2025-07-08 09:19:00-04:00,15,late 09:00-09:29,True,1.75,14.0,1.25,136.0,0.14705882352941177,4.75,97,186,0.18208092485549135,12.0,5.5,False,False,False,False
2025-07-10,2025-07-10 12:04:00+00:00,short,23061.5,23072.25,10.75,23047.25,892290,83,2025-07-10 13:27:00+00:00,True,5,186.875,186.875,1.7383720930232558,2.4651162790697674,-1.1395348837209305,484,10.75,False,23067.5,23051.0,16.5,16.5,False,False,False,2025-07-10 08:04:00-04:00,0,early 08:00-08:29,True,0.5,7.0,,88.0,-0.11363636363636363,2.0,44,83,0.12367491166077739,8.0,1.441860465116279,False,False,False,False
2025-07-14,2025-07-14 12:16:00+00:00,long,22892.75,22884.25,8.5,22884.0,895062,86,2025-07-14 13:42:00+00:00,True,6,-90.0,-108.0,-1.0588235294117647,10.176470588235292,-1.9705882352941175,496,8.5,False,22887.25,22955.25,-68.0,68.0,False,False,True,2025-07-14 08:16:00-04:00,3,early 08:00-08:29,True,2.25,11.0,2.5,90.0,-0.15555555555555556,2.0,75,86,0.17361111111111116,6.0,1.911764705882353,False,False,True,False
2025-07-16,2025-07-16 12:11:00+00:00,long,23021.75,23012.25,9.5,23036.25,897817,90,2025-07-16 13:41:00+00:00,True,16,427.5,456.0,1.5,7.131578947368421,-1.0526315789473684,491,9.5,False,23020.75,23052.25,-31.5,31.5,False,False,True,2025-07-16 08:11:00-04:00,2,early 08:00-08:29,True,1.25,10.0,2.75,105.0,0.009523809523809525,3.25,79,90,0.29458917835671344,6.0,6.657894736842105,False,False,False,False
2025-07-18,2025-07-18 12:06:00+00:00,short,23255.25,23270.25,15.0,23270.5,900572,42,2025-07-18 12:48:00+00:00,True,3,-155.0,-93.0,-1.0333333333333334,0.05,-1.0833333333333333,486,15.0,False,23269.5,23257.75,11.75,11.75,False,False,False,2025-07-18 08:06:00-04:00,1,early 08:00-08:29,True,0.75,8.0,2.75,104.0,-0.038461538461538464,,0,42,0.004081632653061223,11.0,0.05,False,False,False,True
2025-07-21,2025-07-21 12:09:00+00:00,short,23272.25,23281.25,9.0,23281.5,901955,26,2025-07-21 12:35:00+00:00,True,6,-95.0,-114.0,-1.0555555555555556,0.1666666666666666,-1.0833333333333333,489,9.0,False,23276.75,23226.5,50.25,50.25,False,False,False,2025-07-21 08:09:00-04:00,1,early 08:00-08:29,True,0.25,15.0,2.75,117.0,0.1623931623931624,0.75,1,26,0.005917159763313612,3.0,0.16666666666666666,False,False,False,True
2025-07-23,2025-07-23 12:33:00+00:00,short,23240.5,23251.0,10.5,23251.25,904739,48,2025-07-23 13:21:00+00:00,True,5,-47.5,-110.0,-1.0476190476190477,0.9761904761904762,-1.261904761904762,513,10.5,False,23260.0,23221.25,38.75,38.75,False,False,False,2025-07-23 08:33:00-04:00,6,mid 08:30-08:59,True,1.5,8.0,2.0,94.0,-0.14893617021276595,0.5,20,48,0.025125628140703522,13.0,0.9761904761904762,False,False,False,True
2025-07-24,2025-07-24 12:07:00+00:00,long,23390.25,23380.75,9.5,23380.5,906093,13,2025-07-24 12:20:00+00:00,True,5,-27.5,-100.0,-1.0526315789473684,0.2105263157894736,-1.368421052631579,487,9.5,False,23382.75,23324.5,58.25,58.25,False,False,False,2025-07-24 08:07:00-04:00,1,early 08:00-08:29,True,1.75,6.0,1.75,82.0,0.024390243902439025,1.5,0,13,0.3762057877813505,1.0,0.21052631578947367,False,False,False,True
