month,regime,day,action,oracle,hit,agent_pl,oracle_pl,regret,e3,e4
2026-05,war,2026-05-29,ROTATION,ROTATION,True,152,152,0,152,-55
2026-06,war,2026-06-01,FLAT,ROTATION,False,0,295,295,295,190
2026-06,event_risk,2026-06-02,FLAT,FLAT,True,0,0,0,-335,-390
2026-06,war,2026-06-04,FLAT,ROTATION,False,0,889,889,889,0
2026-06,event_risk,2026-06-05,FLAT,FLAT,True,0,0,0,-772,0
2026-06,war,2026-06-08,FLAT,ROTATION,False,0,3131,3131,3131,475
2026-06,war,2026-06-09,MOMENTUM,MOMENTUM,True,810,810,0,445,810
2026-06,event_risk,2026-06-10,ROTATION,FLAT,False,-10,0,10,-10,0
2026-06,event_risk,2026-06-11,FLAT,FLAT,True,0,0,0,-10,0
2026-06,war,2026-06-12,MOMENTUM,MOMENTUM,True,1400,1400,0,-560,1400
2026-06,event_risk,2026-06-15,FLAT,ROTATION,False,0,909,909,909,-5
2026-06,event_risk,2026-06-16,FLAT,MOMENTUM,False,0,885,885,210,885
2026-06,event_risk,2026-06-17,FLAT,ROTATION,False,0,211,211,211,-465
2026-06,balance,2026-06-18,MOMENTUM,MOMENTUM,True,1030,1030,0,-10,1030
2026-06,balance,2026-06-19,ROTATION,FLAT,False,-288,0,288,-288,-15
2026-06,war,2026-06-22,FLAT,FLAT,True,0,0,0,-602,-30
2026-06,trap,2026-06-23,FLAT,FLAT,True,0,0,0,-635,-640
2026-06,balance,2026-06-24,ROTATION,ROTATION,True,71,71,0,71,-280
2026-06,event_risk,2026-06-25,FLAT,MOMENTUM,False,0,120,120,-515,120
2026-06,war,2026-06-26,MOMENTUM,ROTATION,False,0,1060,1060,1060,0
2026-06,war,2026-06-29,FLAT,MOMENTUM,False,0,450,450,368,450
2026-06,event_risk,2026-06-30,FLAT,FLAT,True,0,0,0,-315,0
2026-07,event_risk,2026-07-01,FLAT,ROTATION,False,0,42,42,42,-45
2026-07,event_risk,2026-07-02,FLAT,FLAT,True,0,0,0,-18,0
2026-07,balance,2026-07-03,FLAT,FLAT,True,0,0,0,-515,-515
2026-07,event_risk,2026-07-06,MOMENTUM,ROTATION,False,-90,468,558,468,-90
2026-07,balance,2026-07-07,FLAT,FLAT,True,0,0,0,-895,0
2026-07,war,2026-07-08,FLAT,FLAT,True,0,0,0,-505,0
2026-07,trap,2026-07-13,FLAT,FLAT,True,0,0,0,-218,0
2026-07,event_risk,2026-07-14,FLAT,FLAT,True,0,0,0,-765,0
2026-07,event_risk,2026-07-15,FLAT,FLAT,True,0,0,0,-405,0
