fib,side,score,R,fill,day,hm,hold_min,htf,has_sweep,span
0.71,long,2,2.4482758620689653,2023-08-30 22:15:00-04:00,2023-08-30,1335,7,premium,True,15.0
0.75,short,4,3.0,2023-08-31 03:33:00-04:00,2023-08-31,213,89,premium,True,35.75
0.71,short,4,2.4482758620689653,2023-08-31 03:33:00-04:00,2023-08-31,213,89,premium,True,35.75
0.75,long,2,-1.0,2023-08-31 05:01:00-04:00,2023-08-31,301,1,premium,True,31.75
0.71,long,2,-1.0,2023-08-31 05:01:00-04:00,2023-08-31,301,1,premium,True,31.75
0.75,short,4,-1.0,2023-08-31 07:22:00-04:00,2023-08-31,442,10,premium,True,51.25
0.71,short,4,-1.0,2023-08-31 07:20:00-04:00,2023-08-31,440,12,premium,True,51.25
0.75,long,3,3.0,2023-08-31 09:15:00-04:00,2023-08-31,555,18,premium,True,63.5
0.71,long,3,2.4482758620689653,2023-08-31 09:15:00-04:00,2023-08-31,555,18,premium,True,63.5
0.75,long,3,3.0,2023-08-31 12:45:00-04:00,2023-08-31,765,1125,premium,True,126.0
0.71,long,3,2.4482758620689653,2023-08-31 12:45:00-04:00,2023-08-31,765,1125,premium,True,126.0
0.75,long,3,-1.0,2023-08-31 16:33:00-04:00,2023-08-31,993,537,premium,True,76.75
0.71,long,3,-1.0,2023-08-31 16:30:00-04:00,2023-08-31,990,540,premium,True,76.75
0.75,short,4,-1.0,2023-09-01 07:17:00-04:00,2023-09-01,437,73,premium,True,56.75
0.71,short,4,-1.0,2023-09-01 07:15:00-04:00,2023-09-01,435,75,premium,True,56.75
0.75,short,4,-1.0,2023-09-01 07:15:00-04:00,2023-09-01,435,75,premium,True,64.75
0.71,short,4,-1.0,2023-09-01 05:24:00-04:00,2023-09-01,324,186,premium,True,64.75
0.75,short,4,-1.0,2023-09-01 07:15:00-04:00,2023-09-01,435,75,premium,True,62.0
0.71,short,4,-1.0,2023-09-01 07:04:00-04:00,2023-09-01,424,86,premium,True,62.0
0.75,short,3,-1.0,2023-09-01 03:33:00-04:00,2023-09-01,213,12,premium,False,57.5
0.71,short,3,-1.0,2023-09-01 03:33:00-04:00,2023-09-01,213,12,premium,False,57.5
0.75,long,2,-1.0,2023-09-01 09:46:00-04:00,2023-09-01,586,3,premium,False,79.5
0.71,long,2,-1.0,2023-09-01 09:45:00-04:00,2023-09-01,585,4,premium,False,79.5
0.75,long,3,-1.0,2023-09-04 21:16:00-04:00,2023-09-04,1276,314,premium,True,49.0
0.71,long,3,-1.0,2023-09-04 20:25:00-04:00,2023-09-04,1225,365,premium,True,49.0
0.75,long,2,-1.0,2023-09-05 02:30:00-04:00,2023-09-05,150,69,premium,False,77.0
0.71,long,2,-1.0,2023-09-05 02:28:00-04:00,2023-09-05,148,71,premium,False,77.0
0.75,long,2,-1.0,2023-09-04 20:09:00-04:00,2023-09-04,1209,15,premium,False,42.25
0.71,long,2,-1.0,2023-09-04 11:24:00-04:00,2023-09-04,684,240,premium,False,42.25
0.75,long,2,-1.0,2023-09-04 10:59:00-04:00,2023-09-04,659,250,premium,False,40.0
0.71,long,2,-1.0,2023-09-04 10:59:00-04:00,2023-09-04,659,250,premium,False,40.0
0.75,long,3,-1.0,2023-09-04 10:32:00-04:00,2023-09-04,632,24,premium,True,39.5
0.71,long,3,-1.0,2023-09-04 10:32:00-04:00,2023-09-04,632,24,premium,True,39.5
0.75,short,4,3.0,2023-09-05 11:06:00-04:00,2023-09-05,666,31,premium,True,66.5
0.71,short,4,2.4482758620689653,2023-09-05 11:04:00-04:00,2023-09-05,664,33,premium,True,66.5
0.75,short,4,-1.0,2023-09-05 11:04:00-04:00,2023-09-05,664,205,premium,True,90.75
0.71,short,4,-1.0,2023-09-05 11:04:00-04:00,2023-09-05,664,205,premium,True,90.75
0.75,long,1,-1.0,2023-09-05 02:01:00-04:00,2023-09-05,121,26,premium,False,25.5
0.71,long,1,-1.0,2023-09-05 02:01:00-04:00,2023-09-05,121,26,premium,False,25.5
0.75,short,4,-1.0,2023-09-05 06:53:00-04:00,2023-09-05,413,211,premium,True,91.25
0.71,short,4,-1.0,2023-09-05 06:20:00-04:00,2023-09-05,380,244,premium,True,91.25
0.75,long,2,-1.0,2023-09-06 10:01:00-04:00,2023-09-06,601,1,premium,False,71.0
0.71,long,2,2.4482758620689653,2023-09-05 08:39:00-04:00,2023-09-05,519,10,premium,False,71.0
0.75,short,4,3.0,2023-09-05 08:01:00-04:00,2023-09-05,481,37,premium,True,45.0
0.71,short,4,2.4482758620689653,2023-09-05 08:01:00-04:00,2023-09-05,481,37,premium,True,45.0
0.75,long,3,3.0,2023-09-06 03:16:00-04:00,2023-09-06,196,244,premium,True,70.25
0.71,long,3,2.4482758620689653,2023-09-06 03:15:00-04:00,2023-09-06,195,245,premium,True,70.25
0.75,long,3,3.0,2023-09-06 03:16:00-04:00,2023-09-06,196,244,premium,True,70.25
0.71,long,3,2.4482758620689653,2023-09-06 03:15:00-04:00,2023-09-06,195,245,premium,True,70.25
0.75,long,3,-1.0,2023-09-06 03:14:00-04:00,2023-09-06,194,2,premium,True,134.25
0.71,long,3,-1.0,2023-09-06 03:01:00-04:00,2023-09-06,181,15,premium,True,134.25
0.75,long,2,-1.0,2023-09-06 03:03:00-04:00,2023-09-06,183,13,premium,True,144.0
0.71,long,2,-1.0,2023-09-06 03:00:00-04:00,2023-09-06,180,16,premium,True,144.0
0.75,short,4,3.0,2023-09-06 07:12:00-04:00,2023-09-06,432,169,premium,True,77.25
0.71,short,4,2.4482758620689653,2023-09-06 04:07:00-04:00,2023-09-06,247,354,premium,True,77.25
0.75,long,1,-1.0,2023-09-06 10:00:00-04:00,2023-09-06,600,1,premium,False,71.75
0.71,long,1,-1.0,2023-09-06 10:00:00-04:00,2023-09-06,600,1,premium,False,71.75
0.75,long,2,-1.0,2023-09-07 00:44:00-04:00,2023-09-07,44,50,premium,True,46.75
0.71,long,2,-1.0,2023-09-07 00:43:00-04:00,2023-09-07,43,51,premium,True,46.75
0.75,long,2,-1.0,2023-09-07 00:42:00-04:00,2023-09-07,42,52,premium,True,60.5
0.71,long,2,-1.0,2023-09-07 00:38:00-04:00,2023-09-07,38,56,premium,True,60.5
0.75,short,4,3.0,2023-09-06 23:46:00-04:00,2023-09-06,1426,46,premium,True,26.25
0.71,short,4,2.4482758620689653,2023-09-06 23:45:00-04:00,2023-09-06,1425,47,premium,True,26.25
0.75,short,4,3.0,2023-09-08 10:05:00-04:00,2023-09-08,605,54,premium,True,87.5
0.71,short,4,2.4482758620689653,2023-09-08 09:52:00-04:00,2023-09-08,592,67,premium,True,87.5
0.75,short,3,-1.0,2023-09-07 14:56:00-04:00,2023-09-07,896,670,discount,True,185.25
0.71,short,3,-1.0,2023-09-07 14:02:00-04:00,2023-09-07,842,724,discount,True,185.25
0.75,short,3,-1.0,2023-09-08 01:23:00-04:00,2023-09-08,83,27,premium,True,58.5
0.71,short,3,-1.0,2023-09-08 01:18:00-04:00,2023-09-08,78,32,premium,True,58.5
0.75,long,3,-1.0,2023-09-08 04:26:00-04:00,2023-09-08,266,36,premium,True,84.75
0.71,long,3,-1.0,2023-09-08 04:26:00-04:00,2023-09-08,266,36,premium,True,84.75
0.75,long,3,-1.0,2023-09-08 03:35:00-04:00,2023-09-08,215,51,premium,True,60.75
0.71,long,3,-1.0,2023-09-08 03:31:00-04:00,2023-09-08,211,55,premium,True,60.75
0.75,short,3,-1.0,2023-09-08 09:32:00-04:00,2023-09-08,572,2,discount,True,113.25
0.71,short,3,-1.0,2023-09-08 09:31:00-04:00,2023-09-08,571,3,discount,True,113.25
0.75,long,3,3.0,2023-09-08 15:00:00-04:00,2023-09-08,900,120,premium,True,164.75
0.71,long,3,2.4482758620689653,2023-09-08 14:54:00-04:00,2023-09-08,894,126,premium,True,164.75
0.75,long,2,3.0,2023-09-12 11:11:00-04:00,2023-09-12,671,132,premium,False,106.0
0.71,long,2,2.4482758620689653,2023-09-12 11:10:00-04:00,2023-09-12,670,133,premium,False,106.0
0.75,short,3,-1.0,2023-09-11 07:00:00-04:00,2023-09-11,420,30,premium,False,39.25
0.71,short,3,-1.0,2023-09-11 07:00:00-04:00,2023-09-11,420,30,premium,False,39.25
0.75,short,4,-1.0,2023-09-11 13:21:00-04:00,2023-09-11,801,10,premium,True,109.5
0.71,short,4,-1.0,2023-09-11 13:18:00-04:00,2023-09-11,798,13,premium,True,109.5
0.75,short,3,-1.0,2023-09-11 12:45:00-04:00,2023-09-11,765,4,premium,True,45.25
0.71,short,3,-1.0,2023-09-11 12:45:00-04:00,2023-09-11,765,4,premium,True,45.25
0.75,long,3,-1.0,2023-09-12 10:30:00-04:00,2023-09-12,630,30,premium,True,155.75
0.71,long,3,-1.0,2023-09-12 10:27:00-04:00,2023-09-12,627,33,premium,True,155.75
0.75,long,3,-1.0,2023-09-12 00:45:00-04:00,2023-09-12,45,16,premium,True,16.5
0.71,long,3,-1.0,2023-09-12 00:45:00-04:00,2023-09-12,45,16,premium,True,16.5
0.75,short,4,3.0,2023-09-12 13:24:00-04:00,2023-09-12,804,86,premium,True,127.75
0.71,short,4,2.4482758620689653,2023-09-12 13:23:00-04:00,2023-09-12,803,87,premium,True,127.75
0.75,short,3,-1.0,2023-09-13 11:04:00-04:00,2023-09-13,664,132,premium,True,127.0
0.71,short,4,-1.0,2023-09-13 11:04:00-04:00,2023-09-13,664,132,premium,True,127.0
0.75,short,4,3.0,2023-09-13 00:56:00-04:00,2023-09-13,56,77,premium,True,42.0
0.71,short,4,2.4482758620689653,2023-09-13 00:56:00-04:00,2023-09-13,56,77,premium,True,42.0
0.75,long,3,-1.0,2023-09-13 04:43:00-04:00,2023-09-13,283,84,premium,True,62.5
0.71,long,3,-1.0,2023-09-13 04:42:00-04:00,2023-09-13,282,85,premium,True,62.5
0.75,short,4,-1.0,2023-09-13 07:48:00-04:00,2023-09-13,468,26,premium,True,55.75
0.71,short,4,-1.0,2023-09-13 07:47:00-04:00,2023-09-13,467,27,premium,True,55.75
0.75,long,3,3.0,2023-09-13 09:15:00-04:00,2023-09-13,555,15,premium,True,60.25
0.71,long,3,2.4482758620689653,2023-09-13 09:15:00-04:00,2023-09-13,555,15,premium,True,60.25
0.75,long,3,-1.0,2023-09-15 09:57:00-04:00,2023-09-15,597,54,premium,True,151.25
0.71,long,3,-1.0,2023-09-15 09:57:00-04:00,2023-09-15,597,54,premium,True,151.25
0.75,long,3,-1.0,2023-09-15 09:57:00-04:00,2023-09-15,597,54,premium,True,151.25
0.71,long,3,-1.0,2023-09-15 09:57:00-04:00,2023-09-15,597,54,premium,True,151.25
0.75,long,2,-1.0,2023-09-15 09:57:00-04:00,2023-09-15,597,54,premium,True,167.25
0.71,long,2,-1.0,2023-09-15 09:56:00-04:00,2023-09-15,596,55,premium,True,167.25
0.75,short,4,-1.0,2023-09-13 20:29:00-04:00,2023-09-13,1229,151,premium,True,103.75
0.71,short,4,-1.0,2023-09-13 19:51:00-04:00,2023-09-13,1191,189,premium,True,103.75
0.75,long,3,3.0,2023-09-14 04:24:00-04:00,2023-09-14,264,117,premium,True,48.5
0.71,long,3,2.4482758620689653,2023-09-14 04:24:00-04:00,2023-09-14,264,117,premium,True,48.5
0.75,long,3,3.0,2023-09-14 04:23:00-04:00,2023-09-14,263,144,premium,True,62.25
0.71,long,3,2.4482758620689653,2023-09-14 04:23:00-04:00,2023-09-14,263,144,premium,True,62.25
0.75,short,3,-1.0,2023-09-14 06:46:00-04:00,2023-09-14,406,92,premium,True,37.0
0.71,short,3,-1.0,2023-09-14 06:41:00-04:00,2023-09-14,401,97,premium,True,37.0
0.75,long,3,3.0,2023-09-14 07:45:00-04:00,2023-09-14,465,33,premium,True,38.0
0.71,long,3,2.4482758620689653,2023-09-14 07:45:00-04:00,2023-09-14,465,33,premium,True,38.0
0.75,long,3,-1.0,2023-09-15 09:39:00-04:00,2023-09-15,579,4,premium,True,163.75
0.71,long,3,-1.0,2023-09-15 09:33:00-04:00,2023-09-15,573,10,premium,True,163.75
0.75,long,3,-1.0,2023-09-15 09:37:00-04:00,2023-09-15,577,6,premium,True,178.25
0.71,long,3,-1.0,2023-09-15 09:32:00-04:00,2023-09-15,572,11,premium,True,178.25
0.75,long,3,-1.0,2023-09-15 09:37:00-04:00,2023-09-15,577,6,premium,True,183.5
0.71,long,3,-1.0,2023-09-15 09:32:00-04:00,2023-09-15,572,11,premium,True,183.5
0.75,long,3,-1.0,2023-09-15 03:30:00-04:00,2023-09-15,210,5,premium,True,43.75
0.71,long,3,-1.0,2023-09-15 03:30:00-04:00,2023-09-15,210,5,premium,True,43.75
0.75,long,3,-1.0,2023-09-15 03:30:00-04:00,2023-09-15,210,5,premium,True,45.0
0.71,long,3,-1.0,2023-09-15 03:29:00-04:00,2023-09-15,209,6,premium,True,45.0
0.75,long,3,-1.0,2023-09-15 03:30:00-04:00,2023-09-15,210,5,premium,True,45.0
0.71,long,3,-1.0,2023-09-15 03:29:00-04:00,2023-09-15,209,6,premium,True,45.0
0.75,long,3,-1.0,2023-09-18 07:32:00-04:00,2023-09-18,452,6,discount,True,60.0
0.71,long,3,-1.0,2023-09-18 07:32:00-04:00,2023-09-18,452,6,discount,True,60.0
0.75,short,3,-1.0,2023-09-18 04:00:00-04:00,2023-09-18,240,11,discount,True,27.0
0.71,short,3,-1.0,2023-09-18 04:00:00-04:00,2023-09-18,240,11,discount,True,27.0
0.75,short,3,-1.0,2023-09-18 04:00:00-04:00,2023-09-18,240,11,discount,True,27.0
0.71,short,3,-1.0,2023-09-18 04:00:00-04:00,2023-09-18,240,11,discount,True,27.0
0.75,long,3,-1.0,2023-09-18 07:06:00-04:00,2023-09-18,426,3,discount,True,36.0
0.71,long,3,-1.0,2023-09-18 06:10:00-04:00,2023-09-18,370,59,discount,True,36.0
0.75,short,4,-1.0,2023-09-18 09:34:00-04:00,2023-09-18,574,3,premium,True,96.75
0.71,short,4,-1.0,2023-09-18 09:33:00-04:00,2023-09-18,573,4,premium,True,96.75
0.75,long,2,-1.0,2023-09-19 09:15:00-04:00,2023-09-19,555,16,premium,False,109.0
0.71,long,2,-1.0,2023-09-19 09:07:00-04:00,2023-09-19,547,24,premium,False,109.0
0.75,long,3,-1.0,2023-09-19 09:05:00-04:00,2023-09-19,545,26,discount,False,130.5
0.71,long,3,-1.0,2023-09-19 09:04:00-04:00,2023-09-19,544,27,discount,False,130.5
0.75,long,3,-1.0,2023-09-19 09:05:00-04:00,2023-09-19,545,26,discount,False,130.5
0.71,long,3,-1.0,2023-09-19 09:04:00-04:00,2023-09-19,544,27,discount,False,130.5
0.75,short,3,3.0,2023-09-18 20:01:00-04:00,2023-09-18,1201,780,discount,True,70.75
0.71,short,3,2.4482758620689653,2023-09-18 16:23:00-04:00,2023-09-18,983,938,discount,True,70.75
0.75,short,3,-1.0,2023-09-19 03:39:00-04:00,2023-09-19,219,32,discount,True,26.5
0.71,short,3,-1.0,2023-09-19 03:39:00-04:00,2023-09-19,219,32,discount,True,26.5
0.75,short,3,-1.0,2023-09-19 03:17:00-04:00,2023-09-19,197,6,discount,True,37.0
0.71,short,3,-1.0,2023-09-19 03:17:00-04:00,2023-09-19,197,6,discount,True,37.0
0.75,long,3,-1.0,2023-09-19 08:41:00-04:00,2023-09-19,521,20,discount,False,57.75
0.71,long,3,-1.0,2023-09-19 08:35:00-04:00,2023-09-19,515,26,discount,False,57.75
0.75,long,3,-1.0,2023-09-19 08:35:00-04:00,2023-09-19,515,26,discount,False,62.0
0.71,long,3,-1.0,2023-09-19 08:35:00-04:00,2023-09-19,515,26,discount,False,62.0
0.75,long,2,-1.0,2023-09-19 12:15:00-04:00,2023-09-19,735,1558,discount,False,193.75
0.71,long,2,-1.0,2023-09-19 12:15:00-04:00,2023-09-19,735,1558,discount,False,193.75
0.75,short,3,3.0,2023-09-19 14:36:00-04:00,2023-09-19,876,1417,discount,True,193.5
0.71,short,3,2.4482758620689653,2023-09-19 14:35:00-04:00,2023-09-19,875,1418,discount,True,193.5
0.75,short,3,-1.0,2023-09-20 02:15:00-04:00,2023-09-20,135,82,discount,True,33.0
0.71,short,3,-1.0,2023-09-20 02:12:00-04:00,2023-09-20,132,85,discount,True,33.0
0.75,short,3,-1.0,2023-09-20 02:11:00-04:00,2023-09-20,131,86,discount,True,44.5
0.71,short,3,-1.0,2023-09-20 02:11:00-04:00,2023-09-20,131,86,discount,True,44.5
0.75,long,3,-1.0,2023-09-20 11:04:00-04:00,2023-09-20,664,15,discount,False,43.5
0.71,long,3,-1.0,2023-09-20 11:04:00-04:00,2023-09-20,664,15,discount,False,43.5
0.75,long,3,-1.0,2023-09-20 10:58:00-04:00,2023-09-20,658,21,discount,False,67.75
0.71,long,3,-1.0,2023-09-20 10:27:00-04:00,2023-09-20,627,52,discount,False,67.75
0.75,long,4,-1.0,2023-09-20 10:00:00-04:00,2023-09-20,600,5,discount,True,46.75
0.71,long,3,-1.0,2023-09-20 10:00:00-04:00,2023-09-20,600,5,discount,True,46.75
0.71,short,3,2.4482758620689653,2023-09-20 14:33:00-04:00,2023-09-20,873,8,discount,True,89.0
0.75,long,4,-1.0,2023-09-21 03:45:00-04:00,2023-09-21,225,33,discount,True,32.25
0.71,long,4,-1.0,2023-09-21 03:45:00-04:00,2023-09-21,225,33,discount,True,32.25
0.75,short,3,3.0,2023-09-21 10:45:00-04:00,2023-09-21,645,255,discount,True,101.25
0.71,short,2,2.4482758620689653,2023-09-21 10:45:00-04:00,2023-09-21,645,255,discount,True,101.25
0.75,long,3,-1.0,2023-09-21 14:25:00-04:00,2023-09-21,865,35,discount,True,82.0
0.71,long,3,-1.0,2023-09-21 14:25:00-04:00,2023-09-21,865,35,discount,True,82.0
0.75,short,3,-1.0,2023-09-22 08:13:00-04:00,2023-09-22,493,140,discount,True,141.0
0.71,short,3,-1.0,2023-09-22 08:00:00-04:00,2023-09-22,480,153,discount,True,141.0
0.75,short,3,-1.0,2023-09-22 08:12:00-04:00,2023-09-22,492,141,discount,True,145.75
0.71,short,3,-1.0,2023-09-22 06:52:00-04:00,2023-09-22,412,221,discount,True,145.75
0.75,short,2,-1.0,2023-09-22 05:37:00-04:00,2023-09-22,337,165,discount,False,125.25
0.71,short,2,-1.0,2023-09-22 03:18:00-04:00,2023-09-22,198,304,discount,False,125.25
0.75,long,4,3.0,2023-09-22 15:52:00-04:00,2023-09-22,952,9,discount,True,45.0
0.71,long,4,2.4482758620689653,2023-09-22 15:52:00-04:00,2023-09-22,952,9,discount,True,45.0
0.75,long,4,3.0,2023-09-22 15:51:00-04:00,2023-09-22,951,96,discount,True,71.25
0.71,long,4,2.4482758620689653,2023-09-22 15:51:00-04:00,2023-09-22,951,96,discount,True,71.25
0.75,long,3,3.0,2023-09-22 14:17:00-04:00,2023-09-22,857,50,discount,False,77.5
0.71,long,3,2.4482758620689653,2023-09-22 14:16:00-04:00,2023-09-22,856,51,discount,False,77.5
0.75,long,3,-1.0,2023-09-22 14:12:00-04:00,2023-09-22,852,4,discount,False,56.75
0.71,long,3,-1.0,2023-09-22 14:12:00-04:00,2023-09-22,852,4,discount,False,56.75
0.75,long,4,-1.0,2023-09-22 09:37:00-04:00,2023-09-22,577,3,discount,True,45.75
0.71,long,4,-1.0,2023-09-22 09:37:00-04:00,2023-09-22,577,3,discount,True,45.75
0.75,long,4,-1.0,2023-09-22 09:30:00-04:00,2023-09-22,570,1,discount,True,57.5
0.71,long,4,-1.0,2023-09-22 09:30:00-04:00,2023-09-22,570,1,discount,True,57.5
0.75,long,4,-1.0,2023-09-22 13:32:00-04:00,2023-09-22,812,39,discount,True,130.75
0.71,long,4,-1.0,2023-09-22 13:31:00-04:00,2023-09-22,811,40,discount,True,130.75
0.75,short,2,3.0,2023-09-25 16:14:00-04:00,2023-09-25,974,265,discount,False,111.25
0.71,short,2,2.4482758620689653,2023-09-25 16:01:00-04:00,2023-09-25,961,278,discount,False,111.25
0.75,long,4,-1.0,2023-09-25 04:27:00-04:00,2023-09-25,267,1,discount,True,62.25
0.71,long,4,-1.0,2023-09-25 04:27:00-04:00,2023-09-25,267,1,discount,True,62.25
0.75,long,3,-1.0,2023-09-25 04:27:00-04:00,2023-09-25,267,1,discount,False,60.25
0.71,long,3,-1.0,2023-09-25 04:24:00-04:00,2023-09-25,264,4,discount,False,60.25
0.75,short,3,-1.0,2023-09-25 09:57:00-04:00,2023-09-25,597,140,discount,True,131.25
0.71,short,3,-1.0,2023-09-25 09:56:00-04:00,2023-09-25,596,141,discount,True,131.25
0.75,short,3,-1.0,2023-09-25 09:57:00-04:00,2023-09-25,597,140,discount,True,131.25
0.71,short,3,-1.0,2023-09-25 09:56:00-04:00,2023-09-25,596,141,discount,True,131.25
0.75,short,3,-1.0,2023-09-25 11:16:00-04:00,2023-09-25,676,68,discount,True,136.75
0.71,short,3,-1.0,2023-09-25 09:57:00-04:00,2023-09-25,597,147,discount,True,136.75
0.75,short,3,-1.0,2023-09-25 11:16:00-04:00,2023-09-25,676,68,discount,True,134.75
0.71,short,3,-1.0,2023-09-25 09:57:00-04:00,2023-09-25,597,147,discount,True,134.75
0.75,short,3,-1.0,2023-09-25 09:57:00-04:00,2023-09-25,597,147,discount,True,151.5
0.71,short,3,-1.0,2023-09-25 09:56:00-04:00,2023-09-25,596,148,discount,True,151.5
0.75,long,4,3.0,2023-09-25 10:59:00-04:00,2023-09-25,659,17,discount,True,102.25
0.71,long,4,2.4482758620689653,2023-09-25 10:30:00-04:00,2023-09-25,630,46,discount,True,102.25
0.75,long,4,-1.0,2023-09-26 03:05:00-04:00,2023-09-26,185,405,discount,True,153.75
0.71,long,4,-1.0,2023-09-26 02:47:00-04:00,2023-09-26,167,423,discount,True,153.75
0.75,short,2,3.0,2023-09-25 14:37:00-04:00,2023-09-25,877,24,discount,True,66.5
0.71,short,2,2.4482758620689653,2023-09-25 14:36:00-04:00,2023-09-25,876,25,discount,True,66.5
0.75,long,4,-1.0,2023-09-25 20:49:00-04:00,2023-09-25,1249,54,discount,True,98.0
0.71,long,4,-1.0,2023-09-25 20:49:00-04:00,2023-09-25,1249,54,discount,True,98.0
0.75,short,3,-1.0,2023-09-26 04:05:00-04:00,2023-09-26,245,15,discount,True,85.75
0.71,short,3,-1.0,2023-09-26 04:05:00-04:00,2023-09-26,245,15,discount,True,85.75
0.75,long,4,-1.0,2023-09-26 08:48:00-04:00,2023-09-26,528,18,discount,True,57.25
0.71,long,4,-1.0,2023-09-26 08:47:00-04:00,2023-09-26,527,19,discount,True,57.25
0.75,long,4,-1.0,2023-09-26 08:48:00-04:00,2023-09-26,528,18,discount,True,57.25
0.71,long,4,-1.0,2023-09-26 08:47:00-04:00,2023-09-26,527,19,discount,True,57.25
0.75,short,2,-1.0,2023-09-28 11:30:00-04:00,2023-09-28,690,12,discount,True,164.75
0.71,short,2,2.4482758620689653,2023-09-27 15:13:00-04:00,2023-09-27,913,30,discount,True,164.75
0.75,short,2,3.0,2023-09-27 09:45:00-04:00,2023-09-27,585,137,discount,False,180.25
0.71,short,2,2.4482758620689653,2023-09-27 04:00:00-04:00,2023-09-27,240,482,discount,False,180.25
0.75,short,1,-1.0,2023-09-27 03:27:00-04:00,2023-09-27,207,378,discount,False,139.5
0.71,short,2,-1.0,2023-09-27 02:33:00-04:00,2023-09-27,153,432,discount,False,139.5
0.75,long,4,-1.0,2023-09-27 10:53:00-04:00,2023-09-27,653,54,discount,True,75.0
0.71,long,4,-1.0,2023-09-27 10:53:00-04:00,2023-09-27,653,54,discount,True,75.0
0.75,long,4,-1.0,2023-09-27 10:53:00-04:00,2023-09-27,653,54,discount,True,76.5
0.71,long,4,-1.0,2023-09-27 10:53:00-04:00,2023-09-27,653,54,discount,True,76.5
0.75,long,2,-1.0,2023-09-27 10:05:00-04:00,2023-09-27,605,3,discount,False,30.5
0.71,long,2,-1.0,2023-09-27 10:05:00-04:00,2023-09-27,605,3,discount,False,30.5
0.75,long,3,3.0,2023-09-27 08:24:00-04:00,2023-09-27,504,81,discount,False,73.0
0.71,long,3,2.4482758620689653,2023-09-27 08:24:00-04:00,2023-09-27,504,81,discount,False,73.0
0.75,long,3,3.0,2023-09-27 08:24:00-04:00,2023-09-27,504,81,discount,False,73.0
0.71,long,3,2.4482758620689653,2023-09-27 08:24:00-04:00,2023-09-27,504,81,discount,False,73.0
0.75,long,3,-1.0,2023-09-27 10:31:00-04:00,2023-09-27,631,11,discount,True,72.25
0.71,long,3,-1.0,2023-09-27 10:30:00-04:00,2023-09-27,630,12,discount,True,72.25
0.75,short,3,-1.0,2023-09-27 15:04:00-04:00,2023-09-27,904,7,discount,True,124.0
0.71,short,3,-1.0,2023-09-27 15:04:00-04:00,2023-09-27,904,7,discount,True,124.0
0.75,short,3,-1.0,2023-09-27 15:04:00-04:00,2023-09-27,904,7,discount,True,124.0
0.71,short,3,-1.0,2023-09-27 15:04:00-04:00,2023-09-27,904,7,discount,True,124.0
0.75,short,2,-1.0,2023-09-27 15:04:00-04:00,2023-09-27,904,7,discount,True,162.75
0.71,short,2,-1.0,2023-09-27 15:02:00-04:00,2023-09-27,902,9,discount,True,162.75
0.75,short,2,-1.0,2023-09-27 14:45:00-04:00,2023-09-27,885,26,discount,True,220.0
0.71,short,2,-1.0,2023-09-27 14:42:00-04:00,2023-09-27,882,29,discount,True,220.0
0.75,long,4,-1.0,2023-09-27 15:45:00-04:00,2023-09-27,945,1005,discount,True,148.75
0.71,long,4,-1.0,2023-09-27 15:45:00-04:00,2023-09-27,945,1005,discount,True,148.75
0.75,long,3,-1.0,2023-09-28 05:04:00-04:00,2023-09-28,304,266,discount,False,120.25
0.71,long,3,-1.0,2023-09-28 05:03:00-04:00,2023-09-28,303,267,discount,False,120.25
0.75,short,3,3.0,2023-09-28 01:30:00-04:00,2023-09-28,90,158,discount,True,68.25
0.71,short,3,2.4482758620689653,2023-09-28 01:30:00-04:00,2023-09-28,90,158,discount,True,68.25
0.75,long,3,-1.0,2023-09-28 03:07:00-04:00,2023-09-28,187,61,discount,False,63.25
0.71,long,3,-1.0,2023-09-28 03:06:00-04:00,2023-09-28,186,62,discount,False,63.25
0.75,short,2,3.0,2023-09-28 08:30:00-04:00,2023-09-28,510,15,discount,False,72.75
0.71,short,2,2.4482758620689653,2023-09-28 08:30:00-04:00,2023-09-28,510,15,discount,False,72.75
0.75,short,2,-1.0,2023-09-28 08:30:00-04:00,2023-09-28,510,4,discount,False,67.0
0.71,short,2,-1.0,2023-09-28 08:30:00-04:00,2023-09-28,510,4,discount,False,67.0
0.75,long,4,3.0,2023-09-28 20:52:00-04:00,2023-09-28,1252,362,discount,True,102.25
0.71,long,4,2.4482758620689653,2023-09-28 20:50:00-04:00,2023-09-28,1250,364,discount,True,102.25
0.75,long,3,-1.0,2023-09-29 13:18:00-04:00,2023-09-29,798,75,discount,True,83.25
0.71,long,3,-1.0,2023-09-29 13:15:00-04:00,2023-09-29,795,78,discount,True,83.25
0.75,short,3,-1.0,2023-09-28 22:36:00-04:00,2023-09-28,1356,59,discount,True,59.75
0.71,short,3,-1.0,2023-09-28 22:35:00-04:00,2023-09-28,1355,60,discount,True,59.75
0.75,long,3,-1.0,2023-09-29 13:02:00-04:00,2023-09-29,782,56,discount,False,139.75
0.71,long,3,-1.0,2023-09-29 13:02:00-04:00,2023-09-29,782,56,discount,False,139.75
0.75,long,4,-1.0,2023-09-29 11:29:00-04:00,2023-09-29,689,9,discount,True,138.0
0.71,long,4,-1.0,2023-09-29 11:29:00-04:00,2023-09-29,689,9,discount,True,138.0
0.75,long,4,-1.0,2023-09-29 11:29:00-04:00,2023-09-29,689,9,discount,True,138.0
0.71,long,4,-1.0,2023-09-29 11:29:00-04:00,2023-09-29,689,9,discount,True,138.0
