fib,side,score,R,fill,day,hm,hold_min,htf,has_sweep,span
0.75,short,2,-1.0,2023-01-11 04:18:00-05:00,2023-01-11,258,359,,False,242.25
0.71,short,2,-1.0,2023-01-10 19:14:00-05:00,2023-01-10,1154,903,,False,242.25
0.75,short,1,3.0,2023-01-10 03:33:00-05:00,2023-01-10,213,217,,False,95.0
0.71,short,1,2.4482758620689653,2023-01-10 03:31:00-05:00,2023-01-10,211,219,,False,95.0
0.75,long,2,-1.0,2023-01-10 06:42:00-05:00,2023-01-10,402,27,,True,38.25
0.71,long,2,-1.0,2023-01-10 06:42:00-05:00,2023-01-10,402,27,,True,38.25
0.75,short,3,-1.0,2023-01-10 09:05:00-05:00,2023-01-10,545,27,,True,106.0
0.71,short,3,-1.0,2023-01-10 09:05:00-05:00,2023-01-10,545,27,,True,106.0
0.75,short,3,-1.0,2023-01-10 23:09:00-05:00,2023-01-10,1389,5,,True,16.5
0.71,short,3,-1.0,2023-01-10 23:08:00-05:00,2023-01-10,1388,6,,True,16.5
0.75,short,2,-1.0,2023-01-11 04:03:00-05:00,2023-01-11,243,4,,True,50.5
0.71,short,3,-1.0,2023-01-11 04:03:00-05:00,2023-01-11,243,4,,True,50.5
0.75,long,3,3.0,2023-01-12 08:30:00-05:00,2023-01-12,510,0,,True,105.25
0.71,long,3,2.4482758620689653,2023-01-12 08:30:00-05:00,2023-01-12,510,0,,True,105.25
0.75,long,3,3.0,2023-01-12 08:30:00-05:00,2023-01-12,510,0,,True,105.25
0.71,long,3,2.4482758620689653,2023-01-12 08:30:00-05:00,2023-01-12,510,0,,True,105.25
0.75,long,2,-1.0,2023-01-12 01:59:00-05:00,2023-01-12,119,8,,True,31.0
0.71,long,2,-1.0,2023-01-12 01:59:00-05:00,2023-01-12,119,8,,True,31.0
0.75,short,2,-1.0,2023-01-12 09:15:00-05:00,2023-01-12,555,10,,True,198.75
0.71,short,2,-1.0,2023-01-12 09:15:00-05:00,2023-01-12,555,10,,True,198.75
0.75,long,3,-1.0,2023-01-13 07:21:00-05:00,2023-01-13,441,33,,True,160.25
0.71,long,3,-1.0,2023-01-13 06:53:00-05:00,2023-01-13,413,61,,True,160.25
0.75,long,3,-1.0,2023-01-13 07:21:00-05:00,2023-01-13,441,33,,True,160.25
0.71,long,3,-1.0,2023-01-13 06:53:00-05:00,2023-01-13,413,61,,True,160.25
0.75,short,2,3.0,2023-01-13 10:46:00-05:00,2023-01-13,646,30,,False,84.5
0.71,short,2,2.4482758620689653,2023-01-13 05:19:00-05:00,2023-01-13,319,79,,False,84.5
0.75,long,2,-1.0,2023-01-13 06:30:00-05:00,2023-01-13,390,8,,False,63.0
0.71,long,2,-1.0,2023-01-13 06:29:00-05:00,2023-01-13,389,9,,False,63.0
0.75,short,3,-1.0,2023-01-13 09:51:00-05:00,2023-01-13,591,9,,True,103.25
0.71,short,3,-1.0,2023-01-13 09:51:00-05:00,2023-01-13,591,9,,True,103.25
0.75,long,2,-1.0,2023-01-13 06:26:00-05:00,2023-01-13,386,5,,False,52.75
0.71,long,2,-1.0,2023-01-13 06:26:00-05:00,2023-01-13,386,5,,False,52.75
0.75,short,3,-1.0,2023-01-13 10:00:00-05:00,2023-01-13,600,30,,True,133.75
0.71,short,3,-1.0,2023-01-13 10:00:00-05:00,2023-01-13,600,30,,True,133.75
0.75,long,3,-1.0,2023-01-16 01:11:00-05:00,2023-01-16,71,21,,True,55.25
0.71,long,3,-1.0,2023-01-16 01:10:00-05:00,2023-01-16,70,22,,True,55.25
0.75,short,2,-1.0,2023-01-17 09:55:00-05:00,2023-01-17,595,5,,False,58.75
0.71,short,2,-1.0,2023-01-17 09:54:00-05:00,2023-01-17,594,6,,False,58.75
0.75,short,2,-1.0,2023-01-16 09:31:00-05:00,2023-01-16,571,1169,,False,118.75
0.71,short,2,-1.0,2023-01-16 08:42:00-05:00,2023-01-16,522,1218,,False,118.75
0.75,long,2,3.0,2023-01-17 00:26:00-05:00,2023-01-17,26,544,premium,False,101.0
0.71,long,2,2.4482758620689653,2023-01-17 00:15:00-05:00,2023-01-17,15,555,premium,False,101.0
0.75,long,2,3.0,2023-01-17 00:26:00-05:00,2023-01-17,26,544,premium,False,101.0
0.71,long,2,2.4482758620689653,2023-01-17 00:15:00-05:00,2023-01-17,15,555,premium,False,101.0
0.75,short,4,3.0,2023-01-16 18:15:00-05:00,2023-01-16,1095,142,premium,True,44.0
0.71,short,4,2.4482758620689653,2023-01-16 18:05:00-05:00,2023-01-16,1085,152,premium,True,44.0
0.75,short,4,-1.0,2023-01-17 07:25:00-05:00,2023-01-17,445,122,premium,True,60.0
0.71,short,4,-1.0,2023-01-17 07:25:00-05:00,2023-01-17,445,122,premium,True,60.0
0.75,short,3,-1.0,2023-01-17 07:19:00-05:00,2023-01-17,439,126,premium,False,66.25
0.71,short,3,-1.0,2023-01-17 05:56:00-05:00,2023-01-17,356,209,premium,False,66.25
0.75,long,3,3.0,2023-01-17 08:03:00-05:00,2023-01-17,483,27,premium,True,47.0
0.71,long,3,2.4482758620689653,2023-01-17 08:03:00-05:00,2023-01-17,483,27,premium,True,47.0
0.75,long,3,3.0,2023-01-17 09:40:00-05:00,2023-01-17,580,2,premium,True,50.0
0.71,long,3,2.4482758620689653,2023-01-17 09:40:00-05:00,2023-01-17,580,2,premium,True,50.0
0.75,long,2,3.0,2023-01-17 11:07:00-05:00,2023-01-17,667,577,premium,True,136.75
0.71,long,2,2.4482758620689653,2023-01-17 11:06:00-05:00,2023-01-17,666,578,premium,True,136.75
0.75,long,2,3.0,2023-01-17 11:07:00-05:00,2023-01-17,667,577,premium,True,136.75
0.71,long,2,2.4482758620689653,2023-01-17 11:06:00-05:00,2023-01-17,666,578,premium,True,136.75
0.75,long,1,-1.0,2023-01-18 11:12:00-05:00,2023-01-18,672,12,premium,False,100.5
0.71,long,2,-1.0,2023-01-18 11:07:00-05:00,2023-01-18,667,17,premium,False,100.5
0.75,long,1,-1.0,2023-01-18 11:12:00-05:00,2023-01-18,672,12,premium,False,99.25
0.71,long,2,-1.0,2023-01-18 11:07:00-05:00,2023-01-18,667,17,premium,False,99.25
0.75,long,2,-1.0,2023-01-17 21:34:00-05:00,2023-01-17,1294,5,premium,True,12.0
0.71,long,2,-1.0,2023-01-17 21:34:00-05:00,2023-01-17,1294,5,premium,True,12.0
0.75,long,2,3.0,2023-01-17 22:52:00-05:00,2023-01-17,1372,578,premium,True,97.75
0.71,long,2,2.4482758620689653,2023-01-17 22:37:00-05:00,2023-01-17,1357,593,premium,True,97.75
0.75,long,3,3.0,2023-01-18 03:35:00-05:00,2023-01-18,215,295,premium,True,97.75
0.71,long,3,2.4482758620689653,2023-01-18 03:31:00-05:00,2023-01-18,211,299,premium,True,97.75
0.75,long,2,-1.0,2023-01-18 10:50:00-05:00,2023-01-18,650,5,premium,False,71.75
0.71,long,2,-1.0,2023-01-18 10:50:00-05:00,2023-01-18,650,5,premium,False,71.75
0.75,short,4,-1.0,2023-01-18 06:56:00-05:00,2023-01-18,416,47,premium,True,46.5
0.71,short,4,-1.0,2023-01-18 06:52:00-05:00,2023-01-18,412,51,premium,True,46.5
0.75,short,3,-1.0,2023-01-18 07:04:00-05:00,2023-01-18,424,39,premium,True,40.75
0.71,short,3,-1.0,2023-01-18 06:55:00-05:00,2023-01-18,415,48,premium,True,40.75
0.75,long,3,-1.0,2023-01-18 10:43:00-05:00,2023-01-18,643,7,premium,True,60.0
0.71,long,3,-1.0,2023-01-18 10:43:00-05:00,2023-01-18,643,7,premium,True,60.0
0.75,long,3,-1.0,2023-01-18 10:43:00-05:00,2023-01-18,643,7,premium,True,60.0
0.71,long,3,-1.0,2023-01-18 10:43:00-05:00,2023-01-18,643,7,premium,True,60.0
0.75,long,3,-1.0,2023-01-18 10:45:00-05:00,2023-01-18,645,5,premium,True,145.5
0.71,long,3,-1.0,2023-01-18 10:45:00-05:00,2023-01-18,645,5,premium,True,145.5
0.75,short,2,-1.0,2023-01-20 13:50:00-05:00,2023-01-20,830,73,premium,False,172.0
0.71,short,3,-1.0,2023-01-20 13:50:00-05:00,2023-01-20,830,73,premium,False,172.0
0.75,short,3,-1.0,2023-01-20 11:20:00-05:00,2023-01-20,680,61,premium,False,97.25
0.71,short,3,-1.0,2023-01-20 11:16:00-05:00,2023-01-20,676,65,premium,False,97.25
0.75,long,3,-1.0,2023-01-19 01:56:00-05:00,2023-01-19,116,5,premium,True,28.5
0.71,long,3,-1.0,2023-01-19 01:06:00-05:00,2023-01-19,66,55,premium,True,28.5
0.75,short,4,-1.0,2023-01-19 03:07:00-05:00,2023-01-19,187,7,premium,True,48.5
0.71,short,4,-1.0,2023-01-19 03:05:00-05:00,2023-01-19,185,9,premium,True,48.5
0.75,short,4,3.0,2023-01-19 09:40:00-05:00,2023-01-19,580,7,premium,True,103.25
0.71,short,4,2.4482758620689653,2023-01-19 09:32:00-05:00,2023-01-19,572,15,premium,True,103.25
0.75,short,4,3.0,2023-01-19 09:40:00-05:00,2023-01-19,580,7,premium,True,103.25
0.71,short,4,2.4482758620689653,2023-01-19 09:32:00-05:00,2023-01-19,572,15,premium,True,103.25
0.75,short,4,-1.0,2023-01-19 14:28:00-05:00,2023-01-19,868,1104,premium,True,126.5
0.71,short,4,-1.0,2023-01-19 14:24:00-05:00,2023-01-19,864,1108,premium,True,126.5
0.75,long,2,-1.0,2023-01-19 10:15:00-05:00,2023-01-19,615,17,premium,True,85.5
0.71,long,2,-1.0,2023-01-19 10:15:00-05:00,2023-01-19,615,17,premium,True,85.5
0.75,short,4,-1.0,2023-01-19 13:21:00-05:00,2023-01-19,801,19,premium,True,102.75
0.71,short,4,-1.0,2023-01-19 13:03:00-05:00,2023-01-19,783,37,premium,True,102.75
0.75,short,4,-1.0,2023-01-19 13:21:00-05:00,2023-01-19,801,19,premium,True,102.75
0.71,short,4,-1.0,2023-01-19 13:03:00-05:00,2023-01-19,783,37,premium,True,102.75
0.75,short,3,-1.0,2023-01-20 01:24:00-05:00,2023-01-20,84,29,premium,True,18.5
0.71,short,3,-1.0,2023-01-20 01:15:00-05:00,2023-01-20,75,38,premium,True,18.5
0.75,short,2,-1.0,2023-01-20 05:16:00-05:00,2023-01-20,316,20,discount,True,39.25
0.71,short,2,-1.0,2023-01-20 05:15:00-05:00,2023-01-20,315,21,discount,True,39.25
0.75,short,3,-1.0,2023-01-20 05:18:00-05:00,2023-01-20,318,75,discount,True,43.75
0.71,short,2,-1.0,2023-01-20 05:18:00-05:00,2023-01-20,318,75,discount,True,43.75
0.75,long,2,3.0,2023-01-20 09:35:00-05:00,2023-01-20,575,16,premium,True,83.25
0.71,long,2,2.4482758620689653,2023-01-20 09:34:00-05:00,2023-01-20,574,17,premium,True,83.25
0.75,short,4,-1.0,2023-01-23 01:00:00-05:00,2023-01-23,60,32,premium,True,11.5
0.71,short,4,-1.0,2023-01-23 01:00:00-05:00,2023-01-23,60,32,premium,True,11.5
0.75,long,3,3.0,2023-01-23 01:25:00-05:00,2023-01-23,85,23,premium,True,19.5
0.71,long,3,2.4482758620689653,2023-01-23 01:24:00-05:00,2023-01-23,84,24,premium,True,19.5
0.75,long,3,-1.0,2023-01-23 03:30:00-05:00,2023-01-23,210,1,premium,True,35.0
0.71,long,3,2.4482758620689653,2023-01-23 02:47:00-05:00,2023-01-23,167,18,premium,True,35.0
0.75,long,3,-1.0,2023-01-23 05:45:00-05:00,2023-01-23,345,21,premium,True,47.0
0.71,long,3,-1.0,2023-01-23 05:45:00-05:00,2023-01-23,345,21,premium,True,47.0
0.75,short,3,-1.0,2023-01-23 07:43:00-05:00,2023-01-23,463,22,premium,True,50.75
0.71,short,3,-1.0,2023-01-23 07:42:00-05:00,2023-01-23,462,23,premium,True,50.75
0.71,long,3,2.4482758620689653,2023-01-23 09:31:00-05:00,2023-01-23,571,4,premium,True,71.25
0.75,long,3,-1.0,2023-01-25 08:36:00-05:00,2023-01-25,516,78,premium,True,305.0
0.71,long,3,-1.0,2023-01-25 06:54:00-05:00,2023-01-25,414,180,premium,True,305.0
0.75,long,2,-1.0,2023-01-25 06:51:00-05:00,2023-01-25,411,161,premium,False,311.25
0.71,long,2,-1.0,2023-01-25 05:15:00-05:00,2023-01-25,315,257,premium,False,311.25
0.75,long,2,-1.0,2023-01-24 02:44:00-05:00,2023-01-24,164,8,premium,True,25.25
0.71,long,3,-1.0,2023-01-24 02:44:00-05:00,2023-01-24,164,8,premium,True,25.25
0.75,long,3,-1.0,2023-01-24 02:44:00-05:00,2023-01-24,164,8,premium,True,32.5
0.71,long,3,-1.0,2023-01-24 02:43:00-05:00,2023-01-24,163,9,premium,True,32.5
0.75,short,4,-1.0,2023-01-24 09:52:00-05:00,2023-01-24,592,1,premium,True,28.25
0.71,short,4,-1.0,2023-01-24 09:52:00-05:00,2023-01-24,592,1,premium,True,28.25
0.75,short,4,-1.0,2023-01-24 09:47:00-05:00,2023-01-24,587,6,premium,True,59.0
0.71,short,4,-1.0,2023-01-24 09:47:00-05:00,2023-01-24,587,6,premium,True,59.0
0.75,short,3,-1.0,2023-01-24 09:46:00-05:00,2023-01-24,586,6,premium,False,92.0
0.71,short,3,-1.0,2023-01-24 09:42:00-05:00,2023-01-24,582,10,premium,False,92.0
0.75,long,2,-1.0,2023-01-24 10:30:00-05:00,2023-01-24,630,6,premium,True,82.25
0.71,long,2,-1.0,2023-01-24 10:30:00-05:00,2023-01-24,630,6,premium,True,82.25
0.75,long,2,-1.0,2023-01-24 12:02:00-05:00,2023-01-24,722,218,premium,True,73.5
0.71,long,2,-1.0,2023-01-24 12:01:00-05:00,2023-01-24,721,219,premium,True,73.5
0.75,short,4,-1.0,2023-01-25 16:08:00-05:00,2023-01-25,968,465,premium,True,116.75
0.71,short,4,-1.0,2023-01-25 16:08:00-05:00,2023-01-25,968,465,premium,True,116.75
0.75,short,3,-1.0,2023-01-26 03:18:00-05:00,2023-01-26,198,347,premium,False,212.25
0.71,short,3,-1.0,2023-01-26 01:10:00-05:00,2023-01-26,70,475,premium,False,212.25
0.75,short,3,-1.0,2023-01-26 03:18:00-05:00,2023-01-26,198,347,premium,False,212.25
0.71,short,3,-1.0,2023-01-26 01:10:00-05:00,2023-01-26,70,475,premium,False,212.25
0.75,long,2,-1.0,2023-01-25 04:23:00-05:00,2023-01-25,263,27,premium,True,35.0
0.71,long,2,-1.0,2023-01-25 04:23:00-05:00,2023-01-25,263,27,premium,True,35.0
0.75,long,3,-1.0,2023-01-25 04:17:00-05:00,2023-01-25,257,33,premium,True,54.25
0.71,long,3,-1.0,2023-01-25 04:15:00-05:00,2023-01-25,255,35,premium,True,54.25
0.75,long,2,-1.0,2023-01-25 04:12:00-05:00,2023-01-25,252,35,premium,False,47.25
0.71,long,2,-1.0,2023-01-25 04:05:00-05:00,2023-01-25,245,42,premium,False,47.25
0.75,short,4,-1.0,2023-01-25 13:30:00-05:00,2023-01-25,810,42,premium,True,89.5
0.71,short,4,-1.0,2023-01-25 13:29:00-05:00,2023-01-25,809,43,premium,True,89.5
0.75,short,4,-1.0,2023-01-25 11:56:00-05:00,2023-01-25,716,136,premium,True,237.75
0.71,short,4,-1.0,2023-01-25 11:52:00-05:00,2023-01-25,712,140,premium,True,237.75
0.75,short,4,-1.0,2023-01-25 11:56:00-05:00,2023-01-25,716,136,premium,True,237.75
0.71,short,4,-1.0,2023-01-25 11:52:00-05:00,2023-01-25,712,140,premium,True,237.75
