month,regime,day,action,oracle,hit,agent_pl,oracle_pl,regret,e3,e4
2026-04,event_risk,2026-04-09,MOMENTUM,ROTATION,False,-5,120,125,120,-5
2026-04,war,2026-04-10,MOMENTUM,ROTATION,False,195,980,785,980,195
2026-04,war,2026-04-13,ROTATION,MOMENTUM,False,-430,880,1310,-430,880
2026-04,event_risk,2026-04-14,FLAT,MOMENTUM,False,0,675,675,-20,675
2026-04,war,2026-04-15,FLAT,FLAT,True,0,0,0,-181,-270
2026-04,war,2026-04-16,MOMENTUM,FLAT,False,0,0,0,-195,0
2026-04,war,2026-04-17,MOMENTUM,FLAT,False,0,0,0,-885,0
2026-04,war,2026-04-20,MOMENTUM,FLAT,False,-605,0,605,-160,-605
2026-04,war,2026-04-21,MOMENTUM,FLAT,False,-335,0,335,-165,-335
2026-04,war,2026-04-22,MOMENTUM,FLAT,False,-90,0,90,-205,-90
2026-04,war,2026-04-23,FLAT,MOMENTUM,False,0,310,310,-404,310
2026-04,war,2026-04-24,FLAT,ROTATION,False,0,505,505,505,0
2026-04,balance,2026-04-27,ROTATION,MOMENTUM,False,-95,330,425,-95,330
2026-04,event_risk,2026-04-28,ROTATION,FLAT,False,-632,0,632,-632,0
2026-04,war,2026-04-29,MOMENTUM,FLAT,False,-45,0,45,-610,-45
2026-04,event_risk,2026-04-30,MOMENTUM,MOMENTUM,True,1495,1495,0,978,1495
2026-05,balance,2026-05-01,ROTATION,MOMENTUM,False,0,635,635,0,635
2026-05,event_risk,2026-05-04,FLAT,FLAT,True,0,0,0,-215,-645
2026-05,event_risk,2026-05-05,FLAT,FLAT,True,0,0,0,-250,-275
2026-05,war,2026-05-06,MOMENTUM,FLAT,False,-580,0,580,-425,-580
2026-05,war,2026-05-07,MOMENTUM,ROTATION,False,490,740,250,740,490
2026-05,event_risk,2026-05-08,MOMENTUM,FLAT,False,-310,0,310,0,-310
2026-05,war,2026-05-11,MOMENTUM,MOMENTUM,True,1935,1935,0,135,1935
2026-05,event_risk,2026-05-12,FLAT,ROTATION,False,0,579,579,579,0
2026-05,event_risk,2026-05-13,FLAT,FLAT,True,0,0,0,-390,0
2026-05,event_risk,2026-05-14,FLAT,FLAT,True,0,0,0,-185,-340
2026-05,war,2026-05-15,MOMENTUM,FLAT,False,-195,0,195,-155,-195
2026-05,war,2026-05-18,FLAT,ROTATION,False,0,1545,1545,1545,-655
2026-05,event_risk,2026-05-19,FLAT,MOMENTUM,False,0,30,30,-620,30
2026-05,war,2026-05-20,MOMENTUM,FLAT,False,0,0,0,-322,0
2026-05,balance,2026-05-21,ROTATION,FLAT,False,-1350,0,1350,-1350,-430
2026-05,balance,2026-05-22,ROTATION,MOMENTUM,False,-130,485,615,-130,485
2026-05,war,2026-05-26,MOMENTUM,MOMENTUM,True,450,450,0,-10,450
2026-05,event_risk,2026-05-27,FLAT,FLAT,True,0,0,0,-358,-255
2026-05,war,2026-05-28,MOMENTUM,FLAT,False,-235,0,235,-705,-235
2026-05,balance,2026-05-29,ROTATION,ROTATION,True,152,152,0,152,-55
2026-06,war,2026-06-01,MOMENTUM,ROTATION,False,190,295,105,295,190
2026-06,war,2026-06-02,MOMENTUM,FLAT,False,-390,0,390,-335,-390
2026-06,event_risk,2026-06-04,FLAT,ROTATION,False,0,889,889,889,0
