ts,side,price,size
2023-11-02 08:00:00-04:00,ask,14872.25,2
2023-11-02 08:00:00-04:00,ask,14872.5,4
2023-11-02 08:00:00-04:00,ask,14872.75,6
2023-11-02 08:00:00-04:00,ask,14873.0,4
2023-11-02 08:00:00-04:00,ask,14873.25,3
2023-11-02 08:00:00-04:00,ask,14873.5,2
2023-11-02 08:00:00-04:00,ask,14873.75,1
2023-11-02 08:00:00-04:00,ask,14874.0,5
2023-11-02 08:00:00-04:00,ask,14874.25,2
2023-11-02 08:00:00-04:00,ask,14874.5,2
2023-11-02 08:00:00-04:00,bid,14869.25,4
2023-11-02 08:00:00-04:00,bid,14869.5,6
2023-11-02 08:00:00-04:00,bid,14869.75,5
2023-11-02 08:00:00-04:00,bid,14870.0,14
2023-11-02 08:00:00-04:00,bid,14870.25,5
2023-11-02 08:00:00-04:00,bid,14870.5,4
2023-11-02 08:00:00-04:00,bid,14870.75,11
2023-11-02 08:00:00-04:00,bid,14871.0,4
2023-11-02 08:00:00-04:00,bid,14871.25,4
2023-11-02 08:00:00-04:00,bid,14871.5,3
2023-11-02 08:01:00-04:00,ask,14882.25,1
2023-11-02 08:01:00-04:00,ask,14882.5,1
2023-11-02 08:01:00-04:00,ask,14882.75,5
2023-11-02 08:01:00-04:00,ask,14883.0,5
2023-11-02 08:01:00-04:00,ask,14883.25,4
2023-11-02 08:01:00-04:00,ask,14883.5,5
2023-11-02 08:01:00-04:00,ask,14883.75,5
2023-11-02 08:01:00-04:00,ask,14884.0,6
2023-11-02 08:01:00-04:00,ask,14884.25,4
2023-11-02 08:01:00-04:00,ask,14884.5,6
2023-11-02 08:01:00-04:00,bid,14879.5,12
2023-11-02 08:01:00-04:00,bid,14879.75,3
2023-11-02 08:01:00-04:00,bid,14880.0,3
2023-11-02 08:01:00-04:00,bid,14880.25,3
2023-11-02 08:01:00-04:00,bid,14880.5,3
2023-11-02 08:01:00-04:00,bid,14880.75,5
2023-11-02 08:01:00-04:00,bid,14881.0,7
2023-11-02 08:01:00-04:00,bid,14881.25,4
2023-11-02 08:01:00-04:00,bid,14881.5,3
2023-11-02 08:01:00-04:00,bid,14881.75,2
2023-11-02 08:02:00-04:00,ask,14881.0,2
2023-11-02 08:02:00-04:00,ask,14881.25,3
2023-11-02 08:02:00-04:00,ask,14881.5,3
