Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1676,Entry long,2025-07-29 04:05,L @ 23443,23442.75,1,468855,125,0.03,10,130,0.03,-60,-0.01,-12730,-1.27,1
1677,Exit short,2025-07-30 01:34,SAR,23490.25,1,469725,-90,-0.02,10,0,0.00,-110,-0.02,-12820,-1.28,1
1677,Entry short,2025-07-30 01:33,S @ 23486,23486.25,1,469725,-90,-0.02,10,0,0.00,-110,-0.02,-12820,-1.28,1
1678,Exit long,2025-07-30 02:22,SAR,23482.5,1,469715,-75,-0.02,10,225,0.05,-245,-0.05,-12895,-1.29,15
1678,Entry long,2025-07-30 02:07,L @ 23486,23485.75,1,469715,-75,-0.02,10,225,0.05,-245,-0.05,-12895,-1.29,15
1679,Exit short,2025-07-30 02:31,xS,23480.5,1,469725,105,0.02,10,110,0.02,-10,0.00,-12790,-1.28,1
1679,Entry short,2025-07-30 02:30,S @ 23486,23486.25,1,469725,105,0.02,10,110,0.02,-10,0.00,-12790,-1.28,1
1680,Exit long,2025-07-30 03:38,xL,23481,1,469715,-105,-0.02,10,0,0.00,-100,-0.02,-12895,-1.29,0
1680,Entry long,2025-07-30 03:38,L @ 23486,23485.75,1,469715,-105,-0.02,10,0,0.00,-100,-0.02,-12895,-1.29,0
1681,Exit short,2025-07-30 03:55,xS,23491.75,1,469725,-120,-0.03,10,0,0.00,-115,-0.02,-13015,-1.30,0
1681,Entry short,2025-07-30 03:55,S @ 23486,23486.25,1,469725,-120,-0.03,10,0,0.00,-115,-0.02,-13015,-1.30,0
1682,Exit long,2025-07-30 04:01,xL,23495.25,1,469715,180,0.04,10,185,0.04,-5,0.00,-12835,-1.28,1
1682,Entry long,2025-07-30 04:00,L @ 23486,23485.75,1,469715,180,0.04,10,185,0.04,-5,0.00,-12835,-1.28,1
1683,Exit long,2025-07-30 04:21,SAR,23481.5,1,469715,-95,-0.02,10,0,0.00,-90,-0.02,-12930,-1.29,1
1683,Entry long,2025-07-30 04:20,L @ 23486,23485.75,1,469715,-95,-0.02,10,0,0.00,-90,-0.02,-12930,-1.29,1
1684,Exit short,2025-07-30 04:32,SAR,23490.25,1,469725,-90,-0.02,10,55,0.01,-90,-0.02,-13020,-1.30,2
1684,Entry short,2025-07-30 04:30,S @ 23486,23486.25,1,469725,-90,-0.02,10,55,0.01,-90,-0.02,-13020,-1.30,2
1685,Exit long,2025-07-30 04:53,SAR,23479.75,1,469715,-130,-0.03,10,120,0.03,-135,-0.03,-13150,-1.31,6
1685,Entry long,2025-07-30 04:47,L @ 23486,23485.75,1,469715,-130,-0.03,10,120,0.03,-135,-0.03,-13150,-1.31,6
1686,Exit short,2025-07-30 18:37,xS,23483.25,1,469565,-110,-0.02,10,0,0.00,-105,-0.02,-13260,-1.33,2
1686,Entry short,2025-07-30 18:35,S @ 23478,23478.25,1,469565,-110,-0.02,10,0,0.00,-105,-0.02,-13260,-1.33,2
1687,Exit long,2025-07-30 19:49,xL,23483,1,469555,95,0.02,10,100,0.02,-60,-0.01,-13165,-1.32,5
1687,Entry long,2025-07-30 19:44,L @ 23478,23477.75,1,469555,95,0.02,10,100,0.02,-60,-0.01,-13165,-1.32,5
1688,Exit long,2025-07-30 22:10,xL,23473,1,469555,-105,-0.02,10,10,0.00,-100,-0.02,-13270,-1.33,1
1688,Entry long,2025-07-30 22:09,L @ 23478,23477.75,1,469555,-105,-0.02,10,10,0.00,-100,-0.02,-13270,-1.33,1
1689,Exit long,2025-07-30 23:05,xL,23473,1,469555,-105,-0.02,10,55,0.01,-100,-0.02,-13375,-1.34,2
1689,Entry long,2025-07-30 23:03,L @ 23478,23477.75,1,469555,-105,-0.02,10,55,0.01,-100,-0.02,-13375,-1.34,2
