Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
3000,Exit long,2026-06-10 04:11,xL,28841.25,1,576440,375,0.07,10,380,0.07,-70,-0.01,-24010,-2.40,0
3000,Entry long,2026-06-10 04:11,L @ 28822.25,28822,1,576440,375,0.07,10,380,0.07,-70,-0.01,-24010,-2.40,0
3001,Exit long,2026-06-11 09:45,xL,28400,1,568175,-185,-0.03,10,0,0.00,-180,-0.03,-24195,-2.42,0
3001,Entry long,2026-06-11 09:45,L @ 28409,28408.75,1,568175,-185,-0.03,10,0,0.00,-180,-0.03,-24195,-2.42,0
3002,Exit short,2026-06-11 09:47,xS,28423.25,1,568185,-290,-0.05,10,215,0.04,-285,-0.05,-24485,-2.45,1
3002,Entry short,2026-06-11 09:46,S @ 28409,28409.25,1,568185,-290,-0.05,10,215,0.04,-285,-0.05,-24485,-2.45,1
3003,Exit long,2026-06-11 09:48,xL,28398,1,568175,-225,-0.04,10,0,0.00,-220,-0.04,-24710,-2.47,0
3003,Entry long,2026-06-11 09:48,L @ 28409,28408.75,1,568175,-225,-0.04,10,0,0.00,-220,-0.04,-24710,-2.47,0
3004,Exit short,2026-06-11 10:01,xS,28391.75,1,568185,340,0.06,10,345,0.06,-140,-0.02,-24370,-2.44,0
3004,Entry short,2026-06-11 10:01,S @ 28409,28409.25,1,568185,340,0.06,10,345,0.06,-140,-0.02,-24370,-2.44,0
3005,Exit long,2026-06-12 03:46,xL,29230.5,1,584995,-395,-0.07,10,360,0.06,-390,-0.07,-24765,-2.48,1
3005,Entry long,2026-06-12 03:45,L @ 29250,29249.75,1,584995,-395,-0.07,10,360,0.06,-390,-0.07,-24765,-2.48,1
3006,Exit short,2026-06-12 04:01,xS,29231.75,1,585005,360,0.06,10,365,0.06,-90,-0.02,-24405,-2.44,0
3006,Entry short,2026-06-12 04:01,S @ 29250,29250.25,1,585005,360,0.06,10,365,0.06,-90,-0.02,-24405,-2.44,0
3007,Exit short,2026-06-12 04:48,SAR,29257,1,585005,-145,-0.02,10,160,0.03,-160,-0.03,-24550,-2.45,2
3007,Entry short,2026-06-12 04:46,S @ 29250,29250.25,1,585005,-145,-0.02,10,160,0.03,-160,-0.03,-24550,-2.45,2
3008,Exit long,2026-06-12 04:55,xL,29237,1,584995,-265,-0.05,10,65,0.01,-260,-0.04,-24815,-2.48,0
3008,Entry long,2026-06-12 04:55,L @ 29250,29249.75,1,584995,-265,-0.05,10,65,0.01,-260,-0.04,-24815,-2.48,0
3009,Exit long,2026-06-12 05:06,xL,29233.75,1,584995,-330,-0.06,10,0,0.00,-325,-0.06,-25145,-2.51,0
3009,Entry long,2026-06-12 05:06,L @ 29250,29249.75,1,584995,-330,-0.06,10,0,0.00,-325,-0.06,-25145,-2.51,0
3010,Exit short,2026-06-12 05:07,xS,29268.5,1,585005,-375,-0.06,10,40,0.01,-370,-0.06,-25520,-2.55,0
3010,Entry short,2026-06-12 05:07,S @ 29250,29250.25,1,585005,-375,-0.06,10,40,0.01,-370,-0.06,-25520,-2.55,0
3011,Exit short,2026-06-12 09:08,xS,29537.75,1,590890,125,0.02,10,130,0.02,-65,-0.01,-25395,-2.54,0
3011,Entry short,2026-06-12 09:08,S @ 29544.25,29544.5,1,590890,125,0.02,10,130,0.02,-65,-0.01,-25395,-2.54,0
3012,Exit short,2026-06-12 09:21,xS,29536.25,1,590890,155,0.03,10,160,0.03,-40,-0.01,-25240,-2.52,0
3012,Entry short,2026-06-12 09:21,S @ 29544.25,29544.5,1,590890,155,0.03,10,160,0.03,-40,-0.01,-25240,-2.52,0
3013,Exit long,2026-06-12 10:00,xL,29550.25,1,590880,115,0.02,10,120,0.02,-5,0.00,-25125,-2.51,0
3013,Entry long,2026-06-12 10:00,L @ 29544.25,29544,1,590880,115,0.02,10,120,0.02,-5,0.00,-25125,-2.51,0
3014,Exit long,2026-06-12 11:12,SAR,29544.5,1,590880,0,0.00,10,5,0.00,-85,-0.01,-25125,-2.51,1
3014,Entry long,2026-06-12 11:11,L @ 29544.25,29544,1,590880,0,0.00,10,5,0.00,-85,-0.01,-25125,-2.51,1
3015,Exit long,2026-06-12 11:13,xL,29553.5,1,590880,180,0.03,10,185,0.03,-15,0.00,-24945,-2.49,0
3015,Entry long,2026-06-12 11:13,L @ 29544.25,29544,1,590880,180,0.03,10,185,0.03,-15,0.00,-24945,-2.49,0
3016,Exit short,2026-06-12 11:59,SAR,29548.5,1,590890,-90,-0.02,10,110,0.02,-115,-0.02,-25035,-2.50,2
3016,Entry short,2026-06-12 11:57,S @ 29544.25,29544.5,1,590890,-90,-0.02,10,110,0.02,-115,-0.02,-25035,-2.50,2
3017,Exit long,2026-06-12 12:19,xL,29550.75,1,590880,125,0.02,10,130,0.02,-75,-0.01,-24910,-2.49,1
3017,Entry long,2026-06-12 12:18,L @ 29544.25,29544,1,590880,125,0.02,10,130,0.02,-75,-0.01,-24910,-2.49,1
3018,Exit short,2026-06-12 13:03,xS,29553,1,590890,-180,-0.03,10,0,0.00,-175,-0.03,-25090,-2.51,0
3018,Entry short,2026-06-12 13:03,S @ 29544.25,29544.5,1,590890,-180,-0.03,10,0,0.00,-175,-0.03,-25090,-2.51,0
3019,Exit long,2026-06-12 13:05,xL,29536,1,590880,-170,-0.03,10,0,0.00,-165,-0.03,-25260,-2.53,0
