Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
2590,Exit long,2025-04-15 03:30,xL,18870.75,1,377095,310,0.08,10,315,0.08,-10,0.00,-26990,-2.70,1
2590,Entry long,2025-04-15 03:29,L @ 18855,18854.75,1,377095,310,0.08,10,315,0.08,-10,0.00,-26990,-2.70,1
2591,Exit short,2025-04-15 03:33,SAR,18869,1,377105,-285,-0.08,10,0,0.00,-400,-0.11,-27275,-2.73,1
2591,Entry short,2025-04-15 03:32,S @ 18855,18855.25,1,377105,-285,-0.08,10,0,0.00,-400,-0.11,-27275,-2.73,1
2592,Exit long,2025-04-15 03:42,xL,18878.25,1,377095,460,0.12,10,465,0.12,-125,-0.03,-26815,-2.68,3
2592,Entry long,2025-04-15 03:39,L @ 18855,18854.75,1,377095,460,0.12,10,465,0.12,-125,-0.03,-26815,-2.68,3
2593,Exit long,2025-04-15 03:47,xL,18844.5,1,377095,-215,-0.06,10,0,0.00,-210,-0.06,-27030,-2.70,0
2593,Entry long,2025-04-15 03:47,L @ 18855,18854.75,1,377095,-215,-0.06,10,0,0.00,-210,-0.06,-27030,-2.70,0
2594,Exit short,2025-04-15 10:46,xS,18909.75,1,378305,100,0.03,10,105,0.03,-45,-0.01,-26930,-2.69,0
2594,Entry short,2025-04-15 10:46,S @ 18915,18915.25,1,378305,100,0.03,10,105,0.03,-45,-0.01,-26930,-2.69,0
2595,Exit long,2025-04-15 11:00,xL,18908.5,1,378295,-135,-0.04,10,60,0.02,-130,-0.03,-27065,-2.71,5
2595,Entry long,2025-04-15 10:55,L @ 18915,18914.75,1,378295,-135,-0.04,10,60,0.02,-130,-0.03,-27065,-2.71,5
2596,Exit short,2025-04-15 11:10,xS,18920,1,378305,-105,-0.03,10,0,0.00,-100,-0.03,-27170,-2.72,0
2596,Entry short,2025-04-15 11:10,S @ 18915,18915.25,1,378305,-105,-0.03,10,0,0.00,-100,-0.03,-27170,-2.72,0
2597,Exit long,2025-04-15 11:37,SAR,18909.5,1,378295,-115,-0.03,10,55,0.01,-120,-0.03,-27285,-2.73,2
2597,Entry long,2025-04-15 11:35,L @ 18915,18914.75,1,378295,-115,-0.03,10,55,0.01,-120,-0.03,-27285,-2.73,2
2598,Exit short,2025-04-15 11:56,xS,18901.75,1,378305,260,0.07,10,265,0.07,-15,0.00,-27025,-2.70,1
