Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
8292,Entry short,2025-08-29 00:16,S @ 23663.75,23664,1,473280,-200,-0.04,10,0,0.00,-195,-0.04,-107710,-10.77,0
8293,Exit long,2025-08-29 00:17,xL,23655.25,1,473270,-175,-0.04,10,0,0.00,-170,-0.04,-107885,-10.79,0
8293,Entry long,2025-08-29 00:17,L @ 23663.75,23663.5,1,473270,-175,-0.04,10,0,0.00,-170,-0.04,-107885,-10.79,0
8294,Exit short,2025-08-29 00:21,xS,23670,1,473275,-135,-0.03,10,0,0.00,-130,-0.03,-108020,-10.80,0
8294,Entry short,2025-08-29 00:21,S @ 23663.5,23663.75,1,473275,-135,-0.03,10,0,0.00,-130,-0.03,-108020,-10.80,0
8295,Exit long,2025-08-29 00:35,xL,23648.5,1,473220,-260,-0.05,10,35,0.01,-255,-0.05,-108280,-10.83,1
8295,Entry long,2025-08-29 00:34,L @ 23661.25,23661,1,473220,-260,-0.05,10,35,0.01,-255,-0.05,-108280,-10.83,1
8296,Exit short,2025-08-29 01:10,SAR,23714,1,474190,-100,-0.02,10,140,0.03,-140,-0.03,-108380,-10.84,4
8296,Entry short,2025-08-29 01:06,S @ 23709.25,23709.5,1,474190,-100,-0.02,10,140,0.03,-140,-0.03,-108380,-10.84,4
8297,Exit long,2025-08-29 02:18,xL,23727.25,1,474350,185,0.04,10,190,0.04,-30,-0.01,-108195,-10.82,1
8297,Entry long,2025-08-29 02:17,L @ 23717.75,23717.5,1,474350,185,0.04,10,190,0.04,-30,-0.01,-108195,-10.82,1
8298,Exit long,2025-08-29 23:48,xL,23552.5,1,470925,115,0.02,10,120,0.03,-10,0.00,-108080,-10.81,0
8298,Entry long,2025-08-29 23:48,L @ 23546.5,23546.25,1,470925,115,0.02,10,120,0.03,-10,0.00,-108080,-10.81,0
8299,Exit long,2025-08-30 00:07,xL,23467.25,1,469090,245,0.05,10,250,0.05,-20,0.00,-107835,-10.78,0
8299,Entry long,2025-08-30 00:07,L @ 23454.75,23454.5,1,469090,245,0.05,10,250,0.05,-20,0.00,-107835,-10.78,0
8300,Exit long,2025-08-30 00:26,xL,23460,1,469385,-195,-0.04,10,0,0.00,-190,-0.04,-108030,-10.80,0
