Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
8433,Entry short,2025-09-12 00:17,S @ 23963.5,23963.75,1,479275,-105,-0.02,10,0,0.00,-100,-0.02,-112760,-11.28,0
8434,Exit long,2025-09-12 00:19,xL,23950.25,1,479270,-275,-0.06,10,65,0.01,-270,-0.06,-113035,-11.30,1
8434,Entry long,2025-09-12 00:18,L @ 23963.75,23963.5,1,479270,-275,-0.06,10,65,0.01,-270,-0.06,-113035,-11.30,1
8435,Exit long,2025-09-12 00:26,xL,23969,1,479260,110,0.02,10,115,0.02,-40,-0.01,-112925,-11.29,1
8435,Entry long,2025-09-12 00:25,L @ 23963.25,23963,1,479260,110,0.02,10,115,0.02,-40,-0.01,-112925,-11.29,1
8436,Exit short,2025-09-12 00:45,xS,24018.75,1,480280,-105,-0.02,10,0,0.00,-100,-0.02,-113030,-11.30,1
8436,Entry short,2025-09-12 00:44,S @ 24013.75,24014,1,480280,-105,-0.02,10,0,0.00,-100,-0.02,-113030,-11.30,1
8437,Exit short,2025-09-12 00:55,xS,23978.5,1,479890,310,0.06,10,315,0.07,-70,-0.01,-112720,-11.27,1
8437,Entry short,2025-09-12 00:54,S @ 23994.25,23994.5,1,479890,310,0.06,10,315,0.07,-70,-0.01,-112720,-11.27,1
8438,Exit short,2025-09-12 01:49,xS,24007.5,1,480310,150,0.03,10,155,0.03,-20,0.00,-112570,-11.26,1
8438,Entry short,2025-09-12 01:48,S @ 24015.25,24015.5,1,480310,150,0.03,10,155,0.03,-20,0.00,-112570,-11.26,1
8439,Exit short,2025-09-12 03:25,xS,24028.75,1,480480,-105,-0.02,10,75,0.02,-100,-0.02,-112675,-11.27,3
8439,Entry short,2025-09-12 03:22,S @ 24023.75,24024,1,480480,-105,-0.02,10,75,0.02,-100,-0.02,-112675,-11.27,3
8440,Exit long,2025-09-12 03:35,xL,24029.5,1,480485,95,0.02,10,100,0.02,-15,0.00,-112580,-11.26,0
8440,Entry long,2025-09-12 03:35,L @ 24024.5,24024.25,1,480485,95,0.02,10,100,0.02,-15,0.00,-112580,-11.26,0
8441,Exit long,2025-09-12 03:44,xL,24030,1,480495,95,0.02,10,100,0.02,-65,-0.01,-112485,-11.25,2
8441,Entry long,2025-09-12 03:42,L @ 24025,24024.75,1,480495,95,0.02,10,100,0.02,-65,-0.01,-112485,-11.25,2
8442,Exit short,2025-09-12 03:59,xS,24033,1,480510,-160,-0.03,10,50,0.01,-155,-0.03,-112645,-11.26,2
8442,Entry short,2025-09-12 03:57,S @ 24025.25,24025.5,1,480510,-160,-0.03,10,50,0.01,-155,-0.03,-112645,-11.26,2
8443,Exit short,2025-09-12 04:43,xS,24032.25,1,480550,-105,-0.02,10,35,0.01,-100,-0.02,-112750,-11.27,5
8443,Entry short,2025-09-12 04:38,S @ 24027.25,24027.5,1,480550,-105,-0.02,10,35,0.01,-100,-0.02,-112750,-11.27,5
8444,Exit short,2025-09-12 05:14,xS,24023.75,1,480595,110,0.02,10,115,0.02,-35,-0.01,-112640,-11.26,3
