file,family,scale,scale_anomaly,n,joined,med_dev_pts,frac_within_5pts,order_violations,in_span,ok
condensed_glbx-mdp3-20250820.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250821.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250822.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250825.mbp-10.csv,A,fixed1e9,False,150,150,0.125,1.0,0,True,True
condensed_glbx-mdp3-20250826.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250827.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250828.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250829.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250901.mbp-10.csv,A,fixed1e9,False,150,150,0.125,1.0,0,True,True
condensed_glbx-mdp3-20250902.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250903.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250904.mbp-10.csv,A,fixed1e9,False,150,150,0.25,0.9933333333333333,0,True,True
condensed_glbx-mdp3-20250905.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250908.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250909.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250910.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250911.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250912.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250915.mbp-10.csv,A,fixed1e9,False,150,150,240.75,0.0,0,True,False
condensed_glbx-mdp3-20250916.mbp-10.csv,A,fixed1e9,False,150,150,244.0,0.0,0,True,False
condensed_glbx-mdp3-20250917.mbp-10.csv,A,fixed1e9,False,150,150,240.375,0.0,0,True,False
condensed_glbx-mdp3-20250918.mbp-10.csv,A,fixed1e9,False,150,150,243.625,0.0,0,True,False
condensed_glbx-mdp3-20250919.mbp-10.csv,A,fixed1e9,True,97,97,243.875,0.0,0,True,False
condensed_glbx-mdp3-20250922.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250923.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250924.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250925.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250926.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250929.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20250930.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251001.mbp-10.csv,A,fixed1e9,False,150,150,0.25,0.9933333333333333,0,True,True
condensed_glbx-mdp3-20251002.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251003.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251006.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251007.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251008.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251009.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251010.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
condensed_glbx-mdp3-20251024.mbp-10.csv,A,fixed1e9,False,150,150,0.25,0.9933333333333333,0,True,True
condensed_glbx-mdp3-20251027.mbp-10.csv,A,fixed1e9,False,150,150,0.25,1.0,0,True,True
