ts,tf,direction,kind,pattern,htf_flag,entry_ref,stop_ref,wick_low,wick_high,cluster_center,confluence_count,cluster_types,vwap_touched,close,ob_mid,ob_stop
2026-03-02T07:45:00-05:00,5min,short,rejection_block,A,counter_trend,24640.95,24650.0,24640.0,24650.0,24643.1208,2,"['bb', 'poc']",False,24640.0,24644.125,24655.5
2026-03-02T07:46:00-05:00,2min,long,rejection_block,B2,with_trend,24643.75,24639.0,24639.0,24646.75,24642.8917,2,"['bb', 'poc']",False,24653.25,24643.125,24631.25
2026-03-02T07:52:00-05:00,2min,short,displacement,B,counter_trend,24643.0875,24656.0,24655.25,24656.0,24643.8583,2,"['bb', 'poc']",False,24636.75,24648.5,24664.0
2026-03-02T07:55:00-05:00,5min,short,displacement,B,counter_trend,24642.175,24656.0,24655.25,24656.0,24642.7417,2,"['bb', 'poc']",False,24622.75,24642.75,24664.0
2026-03-02T08:00:00-05:00,5min,short,rejection_block,A,counter_trend,24638.5625,24638.75,24629.0,24638.75,24641.5125,2,"['bb', 'poc']",False,24629.0,24636.875,24664.0
2026-03-02T08:01:00-05:00,1min,long,displacement,B,with_trend,24638.7375,24629.5,24629.5,24630.0,24641.4406,2,"['bb', 'poc']",False,24641.0,,
2026-03-02T08:02:00-05:00,2min,long,displacement,B,with_trend,24645.625,24629.5,24629.5,24630.0,24641.6344,2,"['bb', 'poc']",False,24647.75,24629.375,24610.25
2026-03-02T08:03:00-05:00,3min,short,rejection_block,A,counter_trend,24638.1875,24652.75,24637.75,24652.75,24641.0219,2,"['bb', 'poc']",False,24637.75,24633.125,24652.75
2026-03-02T08:04:00-05:00,2min,short,displacement,B,counter_trend,24637.575,24652.75,24647.5,24652.75,24640.7344,2,"['bb', 'poc']",False,24632.5,24640.625,24652.75
2026-03-02T08:05:00-05:00,5min,short,rejection_block,A,counter_trend,24637.2875,24652.75,24634.25,24652.75,24640.6625,2,"['bb', 'poc']",False,24634.25,24631.25,24652.75
2026-03-02T08:06:00-05:00,1min,long,displacement,B,with_trend,24641.375,24631.75,24631.75,24633.5,24640.0594,2,"['bb', 'poc']",False,24641.75,24636.25,24628.5
2026-03-02T08:09:00-05:00,3min,long,rejection_block,B2,with_trend,24643.125,24634.5,24634.5,24640.25,24639.5719,2,"['bb', 'poc']",False,24654.25,,
2026-03-02T08:12:00-05:00,3min,long,rejection_block,B2,with_trend,24643.125,24640.0,24640.0,24647.75,24640.0563,2,"['bb', 'poc']",False,24647.75,,
2026-03-02T08:20:00-05:00,5min,long,rejection_block,B2,with_trend,24648.275,24645.25,24645.25,24649.5,24643.9688,2,"['bb', 'poc']",False,24665.75,,
2026-03-02T08:33:00-05:00,3min,long,rejection_block,unclassified,range,24688.225,24687.25,24687.25,24695.5,24687.2727,2,"['bb', 'vwap']",False,24695.5,24704.75,24687.25
2026-03-02T08:34:00-05:00,2min,short,displacement,B,range,24686.3166,24706.25,24706.25,24706.25,24687.8583,2,"['bb', 'vwap']",True,24679.5,24693.375,24710.25
2026-03-02T08:35:00-05:00,5min,long,rejection_block,unclassified,range,24691.725,24676.5,24676.5,24695.0,24689.0289,2,"['bb', 'vwap']",True,24695.0,24707.875,24676.5
2026-03-02T08:36:00-05:00,2min,short,rejection_block,unclassified,range,24686.3346,24704.25,24682.0,24704.25,24689.6985,2,"['bb', 'vwap']",True,24682.0,24693.625,24710.25
