file,family,date,session,scale_detected,n_minutes,n_joined,med_dev_pts,frac_within_5pts,ok
glbx-mdp3-20250729.mbp-10_condensed.csv,B,2025-07-29,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250807.mbp-10.csv,A,2025-08-07,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250807.mbp-10_condensed.csv,B,2025-08-07,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250826.mbp-10.csv,A,2025-08-26,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250826.mbp-10_condensed.csv,B,2025-08-26,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20250904.mbp-10.csv,A,2025-09-04,ny_am,fixed1e9,150,150,0.25,0.9933333333333333,True
glbx-mdp3-20250904.mbp-10_condensed.csv,B,2025-09-04,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250923.mbp-10.csv,A,2025-09-23,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250923.mbp-10_condensed.csv,B,2025-09-23,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20251002.mbp-10.csv,A,2025-10-02,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20251002.mbp-10_condensed.csv,B,2025-10-02,london,decimal,120,120,0.25,1.0,True
glbx-mdp3-20251021.mbp-10_condensed.csv,B,2025-10-21,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20251030.mbp-10.csv,A,2025-10-30,ny_am,fixed1e9,150,150,0.375,1.0,True
glbx-mdp3-20251030.mbp-10_condensed.csv,B,2025-10-30,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20251118.mbp-10.csv,A,2025-11-18,ny_am,fixed1e9,150,150,0.375,1.0,True
glbx-mdp3-20251118.mbp-10_condensed.csv,B,2025-11-18,london,decimal,120,120,0.5,1.0,True
glbx-mdp3-20251127.mbp-10_condensed.csv,B,2025-11-27,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20251216.mbp-10_condensed.csv,B,2025-12-16,london,decimal,120,120,247.375,0.0,False
glbx-mdp3-20260113.mbp-10_condensed.csv,B,2026-01-13,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20260122.mbp-10_condensed.csv,B,2026-01-22,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20250604.mbp-10.csv,A,2025-06-04,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250604.mbp-10_condensed.csv,B,2025-06-04,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250613.mbp-10.csv,A,2025-06-13,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250613.mbp-10_condensed.csv,B,2025-06-13,london,decimal,120,120,0.5,1.0,True
condensed_glbx-mdp3-20250623.mbp-10.csv,A,2025-06-23,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250623.mbp-10_condensed.csv,B,2025-06-23,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250702.mbp-10.csv,A,2025-07-02,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250702.mbp-10_condensed.csv,B,2025-07-02,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250711.mbp-10.csv,A,2025-07-11,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250711.mbp-10_condensed.csv,B,2025-07-11,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250721.mbp-10.csv,A,2025-07-21,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250721.mbp-10_condensed.csv,B,2025-07-21,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250730.mbp-10.csv,A,2025-07-30,ny_am,fixed1e9,150,150,0.25,1.0,True
