day,e3_base,e3_delay,e4_base,e4_delay,oracle_base,oracle_delay
2025-01-03,-547.5,0.0,-385.0,0.0,0.0,0.0
2025-01-07,-340.0,0.0,-415.0,0.0,0.0,0.0
2025-01-10,-570.0,-570.0,0.0,0.0,0.0,0.0
2025-01-15,-121.25,-121.25,-515.0,-515.0,0.0,0.0
2025-01-16,-110.0,-110.0,-590.0,-590.0,0.0,0.0
2025-01-30,-180.0,996.25,-380.0,265.0,0.0,996.25
2025-01-31,-340.0,385.0,-585.0,-155.0,0.0,385.0
2025-02-03,-480.0,0.0,-300.0,0.0,0.0,0.0
2025-02-05,-440.0,118.75,230.0,-320.0,230.0,118.75
2025-02-07,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-11,-440.0,102.5,-745.0,320.0,0.0,320.0
2025-02-12,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-14,-325.0,-325.0,-485.0,-485.0,0.0,0.0
2025-02-28,-315.0,-315.0,-670.0,-545.0,0.0,0.0
2025-03-03,-135.0,0.0,0.0,0.0,0.0,0.0
2025-03-05,-126.25,0.0,-585.0,0.0,0.0,0.0
2025-03-07,-200.0,-200.0,0.0,0.0,0.0,0.0
2025-03-12,400.62,400.62,-180.0,-180.0,400.62,400.62
2025-03-17,37.5,37.5,-380.0,-475.0,37.5,37.5
2025-03-28,-137.5,-525.0,-360.0,0.0,0.0,0.0
2025-04-01,1387.5,0.0,-365.0,0.0,1387.5,0.0
2025-04-03,-235.0,0.0,0.0,0.0,0.0,0.0
2025-04-04,-230.0,-230.0,0.0,0.0,0.0,0.0
2025-04-10,-135.0,-135.0,0.0,0.0,0.0,0.0
2025-04-16,-20.0,-20.0,0.0,0.0,0.0,0.0
2025-04-30,-430.0,0.0,615.0,0.0,615.0,0.0
2025-05-01,77.5,0.0,530.0,0.0,530.0,0.0
2025-05-02,-600.0,-600.0,0.0,0.0,0.0,0.0
2025-05-05,-460.0,0.0,-690.0,0.0,0.0,0.0
2025-05-13,0.0,0.0,-185.0,-185.0,0.0,0.0
2025-05-15,-55.0,-55.0,-200.0,-200.0,0.0,0.0
2025-05-30,-192.5,91.25,-690.0,-905.0,0.0,91.25
2025-06-02,705.0,-215.0,945.0,0.0,945.0,0.0
2025-06-04,-325.0,0.0,455.0,0.0,455.0,0.0
2025-06-06,98.75,98.75,470.0,470.0,470.0,470.0
2025-06-11,25.0,25.0,1275.0,1275.0,1275.0,1275.0
2025-06-17,1195.0,1195.0,-380.0,-380.0,1195.0,1195.0
2025-06-24,-330.0,0.0,145.0,-60.0,145.0,0.0
2025-06-25,-320.0,0.0,-305.0,-290.0,0.0,0.0
2025-06-27,-25.0,-25.0,-600.0,-600.0,0.0,0.0
2025-07-01,-77.5,0.0,-15.0,255.0,0.0,255.0
2025-07-03,-415.0,0.0,230.0,0.0,230.0,0.0
2025-07-15,605.0,605.0,175.0,175.0,605.0,605.0
2025-07-17,-220.0,95.0,165.0,960.0,165.0,960.0
2025-07-30,191.25,-450.0,455.0,-255.0,455.0,0.0
2025-07-31,-170.0,1150.0,-430.0,0.0,0.0,1150.0
2025-08-01,1506.25,0.0,0.0,0.0,1506.25,0.0
2025-08-05,-205.0,0.0,-185.0,0.0,0.0,0.0
2025-08-12,62.5,62.5,0.0,0.0,62.5,62.5
2025-08-15,-480.0,-385.0,-230.0,-865.0,0.0,0.0
2025-08-29,-155.0,0.0,-310.0,0.0,0.0,0.0
2025-09-02,-495.0,-215.0,0.0,0.0,0.0,0.0
2025-09-04,10.619999999999997,-25.0,30.0,0.0,30.0,0.0
2025-09-05,-450.0,-450.0,0.0,0.0,0.0,0.0
2025-09-11,-287.5,-287.5,-25.0,-25.0,0.0,0.0
2025-09-16,-375.0,-165.0,-465.0,-445.0,0.0,0.0
2025-09-26,-42.5,-452.5,1210.0,1095.0,1210.0,1095.0
2025-10-01,-550.0,0.0,910.0,0.0,910.0,0.0
2025-10-03,-116.25,0.0,-420.0,0.0,0.0,0.0
2025-10-24,687.5,687.5,285.0,285.0,687.5,687.5
2025-11-03,-210.0,0.0,-275.0,0.0,0.0,0.0
2025-11-05,-467.5,0.0,230.0,0.0,230.0,0.0
2025-11-20,-925.0,-925.0,-530.0,-530.0,0.0,0.0
2025-11-25,-380.0,418.75,315.0,1000.0,315.0,1000.0
2025-12-01,580.0,0.0,895.0,0.0,895.0,0.0
2025-12-03,1015.0,78.75,-400.0,0.0,1015.0,78.75
2025-12-05,-570.0,0.0,2190.0,0.0,2190.0,0.0
2025-12-16,-375.0,-375.0,-660.0,-660.0,0.0,0.0
2025-12-18,288.12,288.12,0.0,0.0,288.12,288.12
