window,day,month,fill_ts,direction,risk_pts,dollars,win,exit_reason,r_multiple
golden,2026-06-29,2026-06,2026-06-29T09:41:00-04:00,long,97.0,-977.5,False,stop,-1.0026
golden,2026-06-29,2026-06,2026-06-29T10:01:00-04:00,short,201.25,2915.0,True,target,1.4509
pre,2026-06-30,2026-06,2026-06-30T08:01:00-04:00,short,32.75,1080.0,True,target,1.6565
pre,2026-06-30,2026-06,2026-06-30T08:26:00-04:00,short,36.5,545.0,True,target,0.7534
pre,2026-07-01,2026-07,2026-07-01T08:06:00-04:00,short,27.5,-575.0,False,stop,-1.0364
pre,2026-07-01,2026-07,2026-07-01T08:17:00-04:00,long,20.0,-425.0,False,stop,-1.05
golden,2026-07-02,2026-07,2026-07-02T09:43:00-04:00,long,95.0,-957.5,False,stop,-1.0026
golden,2026-07-03,2026-07,2026-07-03T09:45:00-04:00,long,18.5,-380.0,False,stop,-1.0135
golden,2026-07-03,2026-07,2026-07-03T10:10:00-04:00,short,15.25,-315.0,False,stop,-1.0164
pre,2026-07-06,2026-07,2026-07-06T08:23:00-04:00,short,20.75,-425.0,False,stop,-1.012
pre,2026-07-06,2026-07,2026-07-06T09:27:00-04:00,short,4.0,-90.0,False,stop,-1.0625
golden,2026-07-06,2026-07,2026-07-06T09:41:00-04:00,long,118.0,602.5,True,eod,0.5148
pre,2026-07-07,2026-07,2026-07-07T08:01:00-04:00,long,33.0,-670.0,False,stop,-1.0076
pre,2026-07-07,2026-07,2026-07-07T09:09:00-04:00,long,27.25,-555.0,False,stop,-1.0092
golden,2026-07-07,2026-07,2026-07-07T09:42:00-04:00,long,44.5,-452.5,False,stop,-1.0056
golden,2026-07-07,2026-07,2026-07-07T09:49:00-04:00,short,52.0,2680.0,True,target,5.1635
golden,2026-07-08,2026-07,2026-07-08T10:07:00-04:00,long,25.0,-510.0,False,stop,-1.01
golden,2026-07-08,2026-07,2026-07-08T10:11:00-04:00,short,60.5,202.5,True,target,0.343
golden,2026-07-09,2026-07,2026-07-09T10:11:00-04:00,short,93.5,1157.5,True,target,1.2433
golden,2026-07-10,2026-07,2026-07-10T09:45:00-04:00,long,35.5,-720.0,False,stop,-1.007
golden,2026-07-13,2026-07,2026-07-13T10:06:00-04:00,short,87.25,-880.0,False,stop,-1.0029
golden,2026-07-14,2026-07,2026-07-14T09:41:00-04:00,long,77.0,-785.0,False,stop,-1.013
golden,2026-07-14,2026-07,2026-07-14T10:06:00-04:00,short,136.0,-1367.5,False,stop,-1.0018
golden,2026-07-15,2026-07,2026-07-15T09:41:00-04:00,short,118.5,1675.0,True,eod,1.4177
