window,day,month,fill_ts,direction,risk_pts,dollars,win,exit_reason,r_multiple
pre,2026-03-09,2026-03,2026-03-09T08:55:00-04:00,short,22.75,-465.0,False,stop,-1.011
pre,2026-03-09,2026-03,2026-03-09T09:01:00-04:00,long,30.75,1600.0,True,target,2.6098
golden,2026-03-10,2026-03,2026-03-10T09:41:00-04:00,long,30.5,-620.0,False,stop,-1.0082
golden,2026-03-10,2026-03,2026-03-10T09:42:00-04:00,long,2.5,-60.0,False,stop,-1.1
golden,2026-03-11,2026-03,2026-03-11T09:46:00-04:00,short,28.75,-585.0,False,stop,-1.0087
pre,2026-03-12,2026-03,2026-03-12T08:26:00-04:00,long,19.0,-405.0,False,stop,-1.0526
pre,2026-03-12,2026-03,2026-03-12T08:37:00-04:00,short,18.75,-400.0,False,stop,-1.0533
golden,2026-03-12,2026-03,2026-03-12T09:41:00-04:00,long,18.5,-380.0,False,stop,-1.0135
golden,2026-03-12,2026-03,2026-03-12T09:42:00-04:00,long,0.25,-15.0,False,stop,-2.0
pre,2026-03-13,2026-03,2026-03-13T08:29:00-04:00,long,22.0,-465.0,False,stop,-1.0455
pre,2026-03-13,2026-03,2026-03-13T08:43:00-04:00,long,19.25,1025.0,True,target,2.6753
golden,2026-03-13,2026-03,2026-03-13T09:42:00-04:00,long,34.5,560.0,True,target,0.8188
golden,2026-03-13,2026-03,2026-03-13T09:43:00-04:00,long,60.75,-622.5,False,stop,-1.0165
golden,2026-03-16,2026-03,2026-03-16T09:42:00-04:00,long,14.0,-290.0,False,stop,-1.0179
golden,2026-03-16,2026-03,2026-03-16T09:44:00-04:00,long,9.5,-200.0,False,stop,-1.0263
pre,2026-03-17,2026-03,2026-03-17T08:26:00-04:00,long,12.0,2580.0,True,target,10.7708
golden,2026-03-17,2026-03,2026-03-17T09:49:00-04:00,long,55.5,-562.5,False,stop,-1.0045
golden,2026-03-17,2026-03,2026-03-17T10:04:00-04:00,short,37.75,1870.0,True,target,2.4834
golden,2026-03-18,2026-03,2026-03-18T09:41:00-04:00,long,29.5,-600.0,False,stop,-1.0085
golden,2026-03-18,2026-03,2026-03-18T09:45:00-04:00,short,28.75,-585.0,False,stop,-1.0087
pre,2026-03-19,2026-03,2026-03-19T08:06:00-04:00,short,55.75,-565.0,False,stop,-1.0045
pre,2026-03-19,2026-03,2026-03-19T08:09:00-04:00,long,45.25,-467.5,False,stop,-1.0221
golden,2026-03-19,2026-03,2026-03-19T09:43:00-04:00,long,58.75,1762.5,True,target,3.0085
pre,2026-03-20,2026-03,2026-03-20T08:01:00-04:00,long,34.25,-695.0,False,stop,-1.0073
pre,2026-03-20,2026-03,2026-03-20T08:06:00-04:00,long,28.25,1310.0,True,target,2.3274
golden,2026-03-20,2026-03,2026-03-20T09:45:00-04:00,long,36.25,-735.0,False,stop,-1.0069
golden,2026-03-20,2026-03,2026-03-20T09:48:00-04:00,short,33.25,8615.0,True,target,12.9624
