day,E3,E4,best,oracle_sd,pick,month,year
2023-01-03,-480.0,430.0,430.0,430.0,E4,2023-01,2023
2023-01-04,-725.0,1155.0,1155.0,1155.0,E4,2023-01,2023
2023-01-05,77.5,-165.0,77.5,77.5,E3,2023-01,2023
2023-01-06,823.75,155.0,823.75,823.75,E3,2023-01,2023
2023-01-09,-132.5,110.0,110.0,110.0,E4,2023-01,2023
2023-01-10,-450.0,-395.0,-395.0,0.0,FLAT,2023-01,2023
2023-01-11,-235.0,225.0,225.0,225.0,E4,2023-01,2023
2023-01-12,-560.0,0.0,0.0,0.0,E4,2023-01,2023
2023-01-13,820.0,-480.0,820.0,820.0,E3,2023-01,2023
2023-01-16,-70.0,245.0,245.0,245.0,E4,2023-01,2023
2023-01-17,410.0,110.0,410.0,410.0,E3,2023-01,2023
2023-01-18,-135.0,-270.0,-135.0,0.0,FLAT,2023-01,2023
2023-01-19,-325.0,-465.0,-325.0,0.0,FLAT,2023-01,2023
2023-01-20,-65.0,-305.0,-65.0,0.0,FLAT,2023-01,2023
2023-01-23,190.0,160.0,190.0,190.0,E3,2023-01,2023
2023-01-24,-30.0,-345.0,-30.0,0.0,FLAT,2023-01,2023
2023-01-25,257.5,205.0,257.5,257.5,E3,2023-01,2023
2023-01-26,-93.75,780.0,780.0,780.0,E4,2023-01,2023
2023-01-27,221.25,-470.0,221.25,221.25,E3,2023-01,2023
2023-01-30,-555.0,-400.0,-400.0,0.0,FLAT,2023-01,2023
2023-01-31,-165.0,-375.0,-165.0,0.0,FLAT,2023-01,2023
2023-02-01,82.5,-325.0,82.5,82.5,E3,2023-02,2023
2023-02-02,-625.0,225.0,225.0,225.0,E4,2023-02,2023
2023-02-03,1916.25,2440.0,2440.0,2440.0,E4,2023-02,2023
2023-02-06,-410.0,-635.0,-410.0,0.0,FLAT,2023-02,2023
2023-02-07,-280.0,-35.0,-35.0,0.0,FLAT,2023-02,2023
2023-02-08,-350.0,-35.0,-35.0,0.0,FLAT,2023-02,2023
2023-02-09,-275.0,55.0,55.0,55.0,E4,2023-02,2023
2023-02-10,432.5,-360.0,432.5,432.5,E3,2023-02,2023
2023-02-13,-340.0,-440.0,-340.0,0.0,FLAT,2023-02,2023
2023-02-14,-206.25,-425.0,-206.25,0.0,FLAT,2023-02,2023
2023-02-15,-160.0,645.0,645.0,645.0,E4,2023-02,2023
2023-02-16,-115.0,2990.0,2990.0,2990.0,E4,2023-02,2023
2023-02-17,-480.0,90.0,90.0,90.0,E4,2023-02,2023
2023-02-20,-115.0,60.0,60.0,60.0,E4,2023-02,2023
2023-02-21,-176.25,-545.0,-176.25,0.0,FLAT,2023-02,2023
2023-02-22,-191.25,-380.0,-191.25,0.0,FLAT,2023-02,2023
2023-02-23,-547.5,45.0,45.0,45.0,E4,2023-02,2023
2023-02-24,-475.0,825.0,825.0,825.0,E4,2023-02,2023
