day,E3,E4,best,oracle_sd,pick,month,year
2023-02-27,-22.5,340.0,340.0,340.0,E4,2023-02,2023
2023-02-28,211.25,165.0,211.25,211.25,E3,2023-02,2023
2023-03-01,-270.0,-665.0,-270.0,0.0,FLAT,2023-03,2023
2023-03-02,308.75,45.0,308.75,308.75,E3,2023-03,2023
2023-03-03,-22.5,375.0,375.0,375.0,E4,2023-03,2023
2023-03-06,-255.0,150.0,150.0,150.0,E4,2023-03,2023
2023-03-07,-280.0,125.0,125.0,125.0,E4,2023-03,2023
2023-03-08,-166.25,-65.0,-65.0,0.0,FLAT,2023-03,2023
2023-03-09,195.0,140.0,195.0,195.0,E3,2023-03,2023
2023-03-10,-281.25,-480.0,-281.25,0.0,FLAT,2023-03,2023
2023-03-13,-100.0,590.0,590.0,590.0,E4,2023-03,2023
2023-03-14,-100.0,-390.0,-100.0,0.0,FLAT,2023-03,2023
2023-03-15,-23.75,-315.0,-23.75,0.0,FLAT,2023-03,2023
2023-03-16,-200.0,-380.0,-200.0,0.0,FLAT,2023-03,2023
2023-03-17,-340.0,695.0,695.0,695.0,E4,2023-03,2023
2023-03-20,-400.0,680.0,680.0,680.0,E4,2023-03,2023
2023-03-21,-15.0,225.0,225.0,225.0,E4,2023-03,2023
2023-03-22,397.5,215.0,397.5,397.5,E3,2023-03,2023
2023-03-23,256.25,-745.0,256.25,256.25,E3,2023-03,2023
2023-03-24,128.75,-600.0,128.75,128.75,E3,2023-03,2023
2023-03-27,-245.0,95.0,95.0,95.0,E4,2023-03,2023
2023-03-28,-105.0,-330.0,-105.0,0.0,FLAT,2023-03,2023
2023-03-29,-455.0,-400.0,-400.0,0.0,FLAT,2023-03,2023
2023-03-30,-495.0,-615.0,-495.0,0.0,FLAT,2023-03,2023
2023-03-31,-480.0,-505.0,-480.0,0.0,FLAT,2023-03,2023
2023-04-03,176.25,495.0,495.0,495.0,E4,2023-04,2023
2023-04-04,240.0,660.0,660.0,660.0,E4,2023-04,2023
2023-04-05,-265.0,-325.0,-265.0,0.0,FLAT,2023-04,2023
2023-04-06,1038.75,1195.0,1195.0,1195.0,E4,2023-04,2023
2023-04-07,-118.75,-155.0,-118.75,0.0,FLAT,2023-04,2023
2023-04-10,-300.0,-215.0,-215.0,0.0,FLAT,2023-04,2023
2023-04-11,-290.0,-385.0,-290.0,0.0,FLAT,2023-04,2023
2023-04-12,471.25,335.0,471.25,471.25,E3,2023-04,2023
2023-04-13,-10.0,-495.0,-10.0,0.0,FLAT,2023-04,2023
2023-04-14,197.5,45.0,197.5,197.5,E3,2023-04,2023
2023-04-17,-485.0,-485.0,-485.0,0.0,FLAT,2023-04,2023
2023-04-18,-140.0,-210.0,-140.0,0.0,FLAT,2023-04,2023
2023-04-19,-270.0,-465.0,-270.0,0.0,FLAT,2023-04,2023
2023-04-20,-55.0,-35.0,-35.0,0.0,FLAT,2023-04,2023
2023-04-21,-322.5,440.0,440.0,440.0,E4,2023-04,2023
2023-04-24,-305.0,-280.0,-280.0,0.0,FLAT,2023-04,2023
2023-04-25,-270.0,-340.0,-270.0,0.0,FLAT,2023-04,2023
2023-04-26,68.75,645.0,645.0,645.0,E4,2023-04,2023
2023-04-27,-467.5,260.0,260.0,260.0,E4,2023-04,2023
2023-04-28,-88.75,-385.0,-88.75,0.0,FLAT,2023-04,2023
2023-05-01,-180.0,-640.0,-180.0,0.0,FLAT,2023-05,2023
2023-05-02,-17.5,-270.0,-17.5,0.0,FLAT,2023-05,2023
2023-05-03,155.0,-430.0,155.0,155.0,E3,2023-05,2023
2023-05-04,-91.25,-230.0,-91.25,0.0,FLAT,2023-05,2023
2023-05-05,-20.0,-250.0,-20.0,0.0,FLAT,2023-05,2023
2023-05-08,473.75,160.0,473.75,473.75,E3,2023-05,2023
2023-05-09,-155.0,-265.0,-155.0,0.0,FLAT,2023-05,2023
2023-05-10,306.25,465.0,465.0,465.0,E4,2023-05,2023
2023-05-11,-295.0,400.0,400.0,400.0,E4,2023-05,2023
2023-05-12,-81.25,-245.0,-81.25,0.0,FLAT,2023-05,2023
2023-05-15,-405.0,365.0,365.0,365.0,E4,2023-05,2023
2023-05-16,-7.5,-205.0,-7.5,0.0,FLAT,2023-05,2023
2023-05-17,-78.75,-280.0,-78.75,0.0,FLAT,2023-05,2023
2023-05-18,-102.5,625.0,625.0,625.0,E4,2023-05,2023
2023-05-19,-81.25,-415.0,-81.25,0.0,FLAT,2023-05,2023
2023-05-22,-248.75,-300.0,-248.75,0.0,FLAT,2023-05,2023
2023-05-23,-42.5,-320.0,-42.5,0.0,FLAT,2023-05,2023
2023-05-24,-100.0,-445.0,-100.0,0.0,FLAT,2023-05,2023
2023-05-25,-290.0,-395.0,-290.0,0.0,FLAT,2023-05,2023
2023-05-26,-96.25,-180.0,-96.25,0.0,FLAT,2023-05,2023
2023-05-29,142.5,-195.0,142.5,142.5,E3,2023-05,2023
2023-05-30,-305.0,-305.0,-305.0,0.0,FLAT,2023-05,2023
2023-05-31,315.0,210.0,315.0,315.0,E3,2023-05,2023
2023-06-01,-510.0,-835.0,-510.0,0.0,FLAT,2023-06,2023
2023-06-02,-22.5,135.0,135.0,135.0,E4,2023-06,2023
2023-06-05,58.75,-310.0,58.75,58.75,E3,2023-06,2023
2023-06-06,-88.75,10.0,10.0,10.0,E4,2023-06,2023
2023-06-07,116.25,-360.0,116.25,116.25,E3,2023-06,2023
2023-06-08,57.5,-680.0,57.5,57.5,E3,2023-06,2023
2023-06-09,170.0,1935.0,1935.0,1935.0,E4,2023-06,2023
2023-06-12,-12.5,-300.0,-12.5,0.0,FLAT,2023-06,2023
2023-06-13,-430.0,-560.0,-430.0,0.0,FLAT,2023-06,2023
2023-06-14,252.5,-345.0,252.5,252.5,E3,2023-06,2023
2023-06-15,-260.0,-320.0,-260.0,0.0,FLAT,2023-06,2023
2023-06-16,-525.0,320.0,320.0,320.0,E4,2023-06,2023
2023-06-19,-145.0,-365.0,-145.0,0.0,FLAT,2023-06,2023
2023-06-20,55.0,-215.0,55.0,55.0,E3,2023-06,2023
2023-06-21,-440.0,1900.0,1900.0,1900.0,E4,2023-06,2023
2023-06-22,-460.0,1115.0,1115.0,1115.0,E4,2023-06,2023
2023-06-23,-335.0,310.0,310.0,310.0,E4,2023-06,2023
2023-06-26,-170.0,-420.0,-170.0,0.0,FLAT,2023-06,2023
2023-06-27,-305.0,-340.0,-305.0,0.0,FLAT,2023-06,2023
2023-06-28,43.75,-260.0,43.75,43.75,E3,2023-06,2023
2023-06-29,-325.0,-455.0,-325.0,0.0,FLAT,2023-06,2023
2023-06-30,505.0,1350.0,1350.0,1350.0,E4,2023-06,2023
2023-07-03,-195.0,-410.0,-195.0,0.0,FLAT,2023-07,2023
2023-07-05,-13.75,210.0,210.0,210.0,E4,2023-07,2023
2023-07-06,46.25,655.0,655.0,655.0,E4,2023-07,2023
2023-07-07,-293.75,-415.0,-293.75,0.0,FLAT,2023-07,2023
2023-07-10,-295.0,-465.0,-295.0,0.0,FLAT,2023-07,2023
2023-07-11,85.0,-455.0,85.0,85.0,E3,2023-07,2023
2023-07-12,523.75,-370.0,523.75,523.75,E3,2023-07,2023
2023-07-13,-460.0,-615.0,-460.0,0.0,FLAT,2023-07,2023
2023-07-14,-155.0,-320.0,-155.0,0.0,FLAT,2023-07,2023
2023-07-17,-185.0,-415.0,-185.0,0.0,FLAT,2023-07,2023
2023-07-18,-158.75,-235.0,-158.75,0.0,FLAT,2023-07,2023
2023-07-19,207.5,490.0,490.0,490.0,E4,2023-07,2023
2023-07-20,0.0,-235.0,0.0,0.0,E3,2023-07,2023
2023-07-21,320.0,-395.0,320.0,320.0,E3,2023-07,2023
2023-07-24,412.5,-990.0,412.5,412.5,E3,2023-07,2023
2023-07-25,805.0,-365.0,805.0,805.0,E3,2023-07,2023
2023-07-26,-325.0,-300.0,-300.0,0.0,FLAT,2023-07,2023
2023-07-27,-310.0,275.0,275.0,275.0,E4,2023-07,2023
2023-07-28,-300.0,-285.0,-285.0,0.0,FLAT,2023-07,2023
2023-07-31,351.25,-280.0,351.25,351.25,E3,2023-07,2023
2023-08-01,50.0,-235.0,50.0,50.0,E3,2023-08,2023
2023-08-02,495.0,290.0,495.0,495.0,E3,2023-08,2023
2023-08-03,-340.0,-195.0,-195.0,0.0,FLAT,2023-08,2023
2023-08-04,-150.0,-25.0,-25.0,0.0,FLAT,2023-08,2023
2023-08-07,-380.0,-260.0,-260.0,0.0,FLAT,2023-08,2023
2023-08-08,-100.0,-325.0,-100.0,0.0,FLAT,2023-08,2023
2023-08-09,-325.0,-495.0,-325.0,0.0,FLAT,2023-08,2023
2023-08-10,910.0,-270.0,910.0,910.0,E3,2023-08,2023
2023-08-11,-515.0,-275.0,-275.0,0.0,FLAT,2023-08,2023
2023-08-14,-55.0,430.0,430.0,430.0,E4,2023-08,2023
2023-08-15,-665.0,-510.0,-510.0,0.0,FLAT,2023-08,2023
2023-08-16,-230.0,-25.0,-25.0,0.0,FLAT,2023-08,2023
2023-08-17,-40.0,-45.0,-40.0,0.0,FLAT,2023-08,2023
2023-08-18,207.5,-400.0,207.5,207.5,E3,2023-08,2023
2023-08-22,-240.0,-300.0,-240.0,0.0,FLAT,2023-08,2023
2023-08-23,-115.0,-125.0,-115.0,0.0,FLAT,2023-08,2023
2023-08-24,-345.0,600.0,600.0,600.0,E4,2023-08,2023
2023-08-25,257.5,-205.0,257.5,257.5,E3,2023-08,2023
2023-08-28,-22.5,-570.0,-22.5,0.0,FLAT,2023-08,2023
2023-08-29,-168.75,590.0,590.0,590.0,E4,2023-08,2023
2023-08-30,30.0,235.0,235.0,235.0,E4,2023-08,2023
2023-08-31,-290.0,-255.0,-255.0,0.0,FLAT,2023-08,2023
2023-09-01,516.25,-385.0,516.25,516.25,E3,2023-09,2023
2023-09-04,25.0,90.0,90.0,90.0,E4,2023-09,2023
2023-09-05,-185.0,-225.0,-185.0,0.0,FLAT,2023-09,2023
2023-09-06,-295.0,-305.0,-295.0,0.0,FLAT,2023-09,2023
2023-09-07,745.0,-325.0,745.0,745.0,E3,2023-09,2023
2023-09-08,-20.0,1490.0,1490.0,1490.0,E4,2023-09,2023
2023-09-11,192.5,-515.0,192.5,192.5,E3,2023-09,2023
2023-09-12,278.75,370.0,370.0,370.0,E4,2023-09,2023
2023-09-13,-173.75,-675.0,-173.75,0.0,FLAT,2023-09,2023
2023-09-14,211.25,-405.0,211.25,211.25,E3,2023-09,2023
2023-09-15,-270.0,-370.0,-270.0,0.0,FLAT,2023-09,2023
2023-09-18,-330.0,205.0,205.0,205.0,E4,2023-09,2023
2023-09-19,610.0,1555.0,1555.0,1555.0,E4,2023-09,2023
2023-09-20,-238.75,-485.0,-238.75,0.0,FLAT,2023-09,2023
2023-09-21,-175.0,-185.0,-175.0,0.0,FLAT,2023-09,2023
2023-09-22,923.75,-15.0,923.75,923.75,E3,2023-09,2023
2023-09-25,-305.0,-500.0,-305.0,0.0,FLAT,2023-09,2023
2023-09-26,-62.5,285.0,285.0,285.0,E4,2023-09,2023
2023-09-27,615.0,-95.0,615.0,615.0,E3,2023-09,2023
2023-09-28,-205.0,1615.0,1615.0,1615.0,E4,2023-09,2023
2023-09-29,211.25,295.0,295.0,295.0,E4,2023-09,2023
2023-10-02,157.5,-447.5,157.5,157.5,E3,2023-10,2023
2023-10-03,7.5,1345.0,1345.0,1345.0,E4,2023-10,2023
2023-10-04,270.0,-460.0,270.0,270.0,E3,2023-10,2023
2023-10-05,-170.0,-325.0,-170.0,0.0,FLAT,2023-10,2023
2023-10-06,-58.75,-1607.5,-58.75,0.0,FLAT,2023-10,2023
2023-10-09,366.25,-225.0,366.25,366.25,E3,2023-10,2023
2023-10-10,-320.0,-435.0,-320.0,0.0,FLAT,2023-10,2023
2023-10-11,-48.75,-230.0,-48.75,0.0,FLAT,2023-10,2023
2023-10-12,-150.0,-435.0,-150.0,0.0,FLAT,2023-10,2023
2023-10-13,-140.0,365.0,365.0,365.0,E4,2023-10,2023
2023-10-16,-195.0,-285.0,-195.0,0.0,FLAT,2023-10,2023
2023-10-17,760.0,3595.0,3595.0,3595.0,E4,2023-10,2023
2023-10-18,158.75,-450.0,158.75,158.75,E3,2023-10,2023
2023-10-19,-250.0,-225.0,-225.0,0.0,FLAT,2023-10,2023
2023-10-20,875.0,1115.0,1115.0,1115.0,E4,2023-10,2023
2023-10-23,529.38,750.0,750.0,750.0,E4,2023-10,2023
2023-10-24,-430.0,-495.0,-430.0,0.0,FLAT,2023-10,2023
2023-10-25,673.75,345.0,673.75,673.75,E3,2023-10,2023
2023-10-26,475.0,465.0,475.0,475.0,E3,2023-10,2023
2023-10-27,-505.0,-530.0,-505.0,0.0,FLAT,2023-10,2023
2023-10-30,-276.25,595.0,595.0,595.0,E4,2023-10,2023
2023-10-31,-255.0,-480.0,-255.0,0.0,FLAT,2023-10,2023
2023-11-01,-151.25,1230.0,1230.0,1230.0,E4,2023-11,2023
2023-11-02,-137.5,-615.0,-137.5,0.0,FLAT,2023-11,2023
2023-11-03,-41.25,-510.0,-41.25,0.0,FLAT,2023-11,2023
2023-11-06,196.25,330.0,330.0,330.0,E4,2023-11,2023
2023-11-07,101.25,350.0,350.0,350.0,E4,2023-11,2023
2023-11-08,-87.5,-365.0,-87.5,0.0,FLAT,2023-11,2023
2023-11-09,-330.0,340.0,340.0,340.0,E4,2023-11,2023
2023-11-10,505.0,3270.0,3270.0,3270.0,E4,2023-11,2023
2023-11-13,-121.25,-295.0,-121.25,0.0,FLAT,2023-11,2023
2023-11-14,-122.5,-325.0,-122.5,0.0,FLAT,2023-11,2023
2023-11-15,443.75,-430.0,443.75,443.75,E3,2023-11,2023
2023-11-16,-197.5,-375.0,-197.5,0.0,FLAT,2023-11,2023
2023-11-17,258.75,310.0,310.0,310.0,E4,2023-11,2023
2023-11-20,52.5,270.0,270.0,270.0,E4,2023-11,2023
2023-11-21,132.5,845.0,845.0,845.0,E4,2023-11,2023
2023-11-22,110.0,40.0,110.0,110.0,E3,2023-11,2023
2023-11-23,83.75,-315.0,83.75,83.75,E3,2023-11,2023
2023-11-24,-148.75,-465.0,-148.75,0.0,FLAT,2023-11,2023
2023-11-27,393.75,70.0,393.75,393.75,E3,2023-11,2023
2023-11-28,-140.0,-525.0,-140.0,0.0,FLAT,2023-11,2023
2023-11-29,-230.0,-325.0,-230.0,0.0,FLAT,2023-11,2023
2023-11-30,-202.5,-410.0,-202.5,0.0,FLAT,2023-11,2023
2023-12-01,140.0,50.0,140.0,140.0,E3,2023-12,2023
2023-12-04,365.0,-405.0,365.0,365.0,E3,2023-12,2023
2023-12-05,-66.25,335.0,335.0,335.0,E4,2023-12,2023
2023-12-06,116.25,365.0,365.0,365.0,E4,2023-12,2023
2023-12-07,35.0,-355.0,35.0,35.0,E3,2023-12,2023
2023-12-08,-390.0,-225.0,-225.0,0.0,FLAT,2023-12,2023
2023-12-11,-375.0,-395.0,-375.0,0.0,FLAT,2023-12,2023
2023-12-12,148.75,-280.0,148.75,148.75,E3,2023-12,2023
2023-12-13,-175.0,180.0,180.0,180.0,E4,2023-12,2023
2023-12-14,-40.0,-325.0,-40.0,0.0,FLAT,2023-12,2023
2023-12-15,185.0,-40.0,185.0,185.0,E3,2023-12,2023
2023-12-18,-370.0,660.0,660.0,660.0,E4,2023-12,2023
2023-12-19,-58.75,-370.0,-58.75,0.0,FLAT,2023-12,2023
2023-12-20,422.5,790.0,790.0,790.0,E4,2023-12,2023
2023-12-21,-170.0,-315.0,-170.0,0.0,FLAT,2023-12,2023
2023-12-22,-520.0,65.0,65.0,65.0,E4,2023-12,2023
2023-12-26,-60.0,905.0,905.0,905.0,E4,2023-12,2023
2023-12-27,-300.0,430.0,430.0,430.0,E4,2023-12,2023
2023-12-28,-115.0,185.0,185.0,185.0,E4,2023-12,2023
2023-12-29,-202.5,-435.0,-202.5,0.0,FLAT,2023-12,2023
2024-01-02,-390.0,470.0,470.0,470.0,E4,2024-01,2024
2024-01-03,626.25,-450.0,626.25,626.25,E3,2024-01,2024
2024-01-04,-465.0,-240.0,-240.0,0.0,FLAT,2024-01,2024
2024-01-05,470.0,30.0,470.0,470.0,E3,2024-01,2024
2024-01-08,-275.0,-330.0,-275.0,0.0,FLAT,2024-01,2024
2024-01-09,502.5,80.0,502.5,502.5,E3,2024-01,2024
2024-01-10,41.25,-265.0,41.25,41.25,E3,2024-01,2024
2024-01-11,710.0,755.0,755.0,755.0,E4,2024-01,2024
2024-01-12,-292.5,-525.0,-292.5,0.0,FLAT,2024-01,2024
2024-01-15,-83.75,-485.0,-83.75,0.0,FLAT,2024-01,2024
2024-01-16,32.5,-155.0,32.5,32.5,E3,2024-01,2024
2024-01-17,280.0,1030.0,1030.0,1030.0,E4,2024-01,2024
2024-01-18,-465.0,-645.0,-465.0,0.0,FLAT,2024-01,2024
2024-01-19,-125.0,455.0,455.0,455.0,E4,2024-01,2024
2024-01-22,708.75,515.0,708.75,708.75,E3,2024-01,2024
2024-01-23,-50.0,-320.0,-50.0,0.0,FLAT,2024-01,2024
2024-01-24,-45.0,-680.0,-45.0,0.0,FLAT,2024-01,2024
2024-01-25,-87.5,-395.0,-87.5,0.0,FLAT,2024-01,2024
2024-01-26,186.25,-455.0,186.25,186.25,E3,2024-01,2024
2024-01-29,-310.0,-200.0,-200.0,0.0,FLAT,2024-01,2024
2024-01-30,25.0,1985.0,1985.0,1985.0,E4,2024-01,2024
2024-01-31,-430.0,-225.0,-225.0,0.0,FLAT,2024-01,2024
2024-02-01,160.0,405.0,405.0,405.0,E4,2024-02,2024
2024-02-02,-252.5,-470.0,-252.5,0.0,FLAT,2024-02,2024
2024-02-05,140.0,-625.0,140.0,140.0,E3,2024-02,2024
2024-02-06,0.0,170.0,170.0,170.0,E4,2024-02,2024
2024-02-07,182.5,240.0,240.0,240.0,E4,2024-02,2024
2024-02-08,-56.25,510.0,510.0,510.0,E4,2024-02,2024
2024-02-09,-107.5,-460.0,-107.5,0.0,FLAT,2024-02,2024
2024-02-12,-77.5,-55.0,-55.0,0.0,FLAT,2024-02,2024
2024-02-13,-386.25,-470.0,-386.25,0.0,FLAT,2024-02,2024
2024-02-14,-150.0,-590.0,-150.0,0.0,FLAT,2024-02,2024
2024-02-15,135.0,-465.0,135.0,135.0,E3,2024-02,2024
2024-02-16,1025.0,-270.0,1025.0,1025.0,E3,2024-02,2024
2024-02-19,-32.5,0.0,0.0,0.0,E4,2024-02,2024
2024-02-20,100.0,-520.0,100.0,100.0,E3,2024-02,2024
2024-02-21,-225.0,-295.0,-225.0,0.0,FLAT,2024-02,2024
2024-02-22,-325.0,-370.0,-325.0,0.0,FLAT,2024-02,2024
2024-02-23,-285.0,490.0,490.0,490.0,E4,2024-02,2024
2024-02-26,-275.0,275.0,275.0,275.0,E4,2024-02,2024
2024-02-27,-80.0,-355.0,-80.0,0.0,FLAT,2024-02,2024
2024-02-28,-280.0,-375.0,-280.0,0.0,FLAT,2024-02,2024
2024-02-29,-275.0,-265.0,-265.0,0.0,FLAT,2024-02,2024
2024-03-01,-460.0,-630.0,-460.0,0.0,FLAT,2024-03,2024
2024-03-04,-21.25,-155.0,-21.25,0.0,FLAT,2024-03,2024
2024-03-05,-161.25,-20.0,-20.0,0.0,FLAT,2024-03,2024
2024-03-06,90.0,205.0,205.0,205.0,E4,2024-03,2024
2024-03-07,45.0,-735.0,45.0,45.0,E3,2024-03,2024
2024-03-08,215.0,-355.0,215.0,215.0,E3,2024-03,2024
2024-03-11,-240.0,-380.0,-240.0,0.0,FLAT,2024-03,2024
2024-03-12,32.5,270.0,270.0,270.0,E4,2024-03,2024
2024-03-13,833.75,2230.0,2230.0,2230.0,E4,2024-03,2024
2024-03-14,-238.75,-225.0,-225.0,0.0,FLAT,2024-03,2024
2024-03-15,-117.5,-450.0,-117.5,0.0,FLAT,2024-03,2024
2024-03-18,-17.5,-440.0,-17.5,0.0,FLAT,2024-03,2024
2024-03-19,845.0,-315.0,845.0,845.0,E3,2024-03,2024
2024-03-20,-3.75,-495.0,-3.75,0.0,FLAT,2024-03,2024
2024-03-21,327.5,355.0,355.0,355.0,E4,2024-03,2024
2024-03-22,-297.5,-300.0,-297.5,0.0,FLAT,2024-03,2024
2024-03-25,1047.5,505.0,1047.5,1047.5,E3,2024-03,2024
2024-03-26,163.75,315.0,315.0,315.0,E4,2024-03,2024
2024-03-27,185.0,-320.0,185.0,185.0,E3,2024-03,2024
2024-03-28,200.0,195.0,200.0,200.0,E3,2024-03,2024
2024-04-01,-460.0,350.0,350.0,350.0,E4,2024-04,2024
2024-04-02,-340.0,-390.0,-340.0,0.0,FLAT,2024-04,2024
2024-04-03,298.75,705.0,705.0,705.0,E4,2024-04,2024
2024-04-04,-205.0,-425.0,-205.0,0.0,FLAT,2024-04,2024
2024-04-05,-313.12,-360.0,-313.12,0.0,FLAT,2024-04,2024
2024-04-08,-13.75,470.0,470.0,470.0,E4,2024-04,2024
2024-04-09,240.0,-305.0,240.0,240.0,E3,2024-04,2024
2024-04-10,-305.0,410.0,410.0,410.0,E4,2024-04,2024
2024-04-11,220.0,-365.0,220.0,220.0,E3,2024-04,2024
2024-04-12,920.0,-165.0,920.0,920.0,E3,2024-04,2024
2024-04-15,-725.0,345.0,345.0,345.0,E4,2024-04,2024
2024-04-16,1145.0,1445.0,1445.0,1445.0,E4,2024-04,2024
2024-04-17,141.25,-370.0,141.25,141.25,E3,2024-04,2024
2024-04-18,-550.0,1450.0,1450.0,1450.0,E4,2024-04,2024
2024-04-19,-265.0,235.0,235.0,235.0,E4,2024-04,2024
2024-04-22,496.25,695.0,695.0,695.0,E4,2024-04,2024
2024-04-23,1210.0,960.0,1210.0,1210.0,E3,2024-04,2024
2024-04-24,166.25,235.0,235.0,235.0,E4,2024-04,2024
2024-04-25,252.5,-420.0,252.5,252.5,E3,2024-04,2024
2024-04-26,38.75,-230.0,38.75,38.75,E3,2024-04,2024
2024-04-29,12.5,-550.0,12.5,12.5,E3,2024-04,2024
2024-04-30,-126.25,-470.0,-126.25,0.0,FLAT,2024-04,2024
2024-05-01,-270.0,-490.0,-270.0,0.0,FLAT,2024-05,2024
2024-05-02,325.0,-300.0,325.0,325.0,E3,2024-05,2024
2024-05-03,-202.5,-200.0,-200.0,0.0,FLAT,2024-05,2024
2024-05-06,115.0,130.0,130.0,130.0,E4,2024-05,2024
2024-05-07,131.25,0.0,131.25,131.25,E3,2024-05,2024
2024-05-08,482.5,-550.0,482.5,482.5,E3,2024-05,2024
2024-05-09,-345.0,-460.0,-345.0,0.0,FLAT,2024-05,2024
2024-05-10,-195.0,-475.0,-195.0,0.0,FLAT,2024-05,2024
2024-05-13,218.75,-465.0,218.75,218.75,E3,2024-05,2024
2024-05-14,133.75,-640.0,133.75,133.75,E3,2024-05,2024
2024-05-15,337.5,300.0,337.5,337.5,E3,2024-05,2024
2024-05-16,-70.0,-245.0,-70.0,0.0,FLAT,2024-05,2024
2024-05-17,-340.0,-345.0,-340.0,0.0,FLAT,2024-05,2024
2024-05-20,-47.5,565.0,565.0,565.0,E4,2024-05,2024
2024-05-21,-250.0,130.0,130.0,130.0,E4,2024-05,2024
2024-05-22,-250.0,-290.0,-250.0,0.0,FLAT,2024-05,2024
2024-05-23,325.0,50.0,325.0,325.0,E3,2024-05,2024
2024-05-24,-51.25,-530.0,-51.25,0.0,FLAT,2024-05,2024
2024-05-27,-125.0,-295.0,-125.0,0.0,FLAT,2024-05,2024
2024-05-28,142.5,-445.0,142.5,142.5,E3,2024-05,2024
2024-05-29,-242.5,-500.0,-242.5,0.0,FLAT,2024-05,2024
2024-05-30,-66.25,65.0,65.0,65.0,E4,2024-05,2024
2024-05-31,1352.5,347.5,1352.5,1352.5,E3,2024-05,2024
2024-06-03,-191.25,780.0,780.0,780.0,E4,2024-06,2024
2024-06-04,-91.25,530.0,530.0,530.0,E4,2024-06,2024
2024-06-05,356.25,-195.0,356.25,356.25,E3,2024-06,2024
2024-06-06,218.75,260.0,260.0,260.0,E4,2024-06,2024
2024-06-07,-285.0,-610.0,-285.0,0.0,FLAT,2024-06,2024
2024-06-10,341.25,485.0,485.0,485.0,E4,2024-06,2024
2024-06-11,-155.0,-425.0,-155.0,0.0,FLAT,2024-06,2024
2024-06-12,-265.0,-355.0,-265.0,0.0,FLAT,2024-06,2024
2024-06-13,-200.0,305.0,305.0,305.0,E4,2024-06,2024
2024-06-14,82.5,-355.0,82.5,82.5,E3,2024-06,2024
2024-06-17,-57.5,-350.0,-57.5,0.0,FLAT,2024-06,2024
2024-06-18,196.25,605.0,605.0,605.0,E4,2024-06,2024
2024-06-19,0.0,-385.0,0.0,0.0,E3,2024-06,2024
2024-06-20,72.5,340.0,340.0,340.0,E4,2024-06,2024
2024-06-21,-110.0,-295.0,-110.0,0.0,FLAT,2024-06,2024
