date,session,criterion,n_real_minutes,n_nominal_minutes,note
2025-08-17,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-08-17,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-09-14,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-09-14,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-10-12,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-10-12,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-11-09,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-11-09,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-12-07,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-12-07,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-12-16,london,flow_file_convention_mismatch,120,120,"glbx-mdp3-20251216.mbp-10_condensed.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-12-25,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-12-25,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2026-01-04,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2026-01-04,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-04-07,ny_am,session_window_incomplete,75,210,"calendar/coverage based, outcome-independent"
2024-03-31,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-03-31,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-04-28,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-04-28,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-05-26,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-05-26,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-06-23,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-06-23,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-07-21,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-07-21,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-08-18,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-08-18,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-09-15,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-09-15,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-10-13,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-10-13,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-11-10,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-11-10,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-12-08,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-12-08,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-01-05,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-01-05,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-02-02,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-02-02,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-03-02,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-03-02,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-03-30,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-03-30,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-09-15,ny_am,flow_file_convention_mismatch,150,150,"condensed_glbx-mdp3-20250915.mbp-10.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-09-15,london,flow_file_convention_mismatch,120,120,"glbx-mdp3-20250915.mbp-10_condensed.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-11-28,ny_am,session_window_incomplete,180,210,"calendar/coverage based, outcome-independent"
2025-11-28,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-01-15,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-01-15,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-02-12,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-02-12,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-03-12,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-03-12,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-04-09,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-04-09,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-05-07,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-05-07,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-06-04,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-06-04,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-07-02,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-07-02,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-07-30,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-07-30,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-08-27,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-08-27,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-09-24,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-09-24,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-10-22,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-10-22,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-11-19,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-11-19,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-12-17,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-12-17,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-01-07,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-01-07,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-02-04,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-02-04,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-03-03,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-03-03,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-04-20,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-04-20,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-05-18,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-05-18,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-06-15,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-06-15,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-07-13,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-07-13,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-08-10,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-08-10,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-09-07,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-09-07,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-09-16,ny_am,flow_file_convention_mismatch,150,150,"condensed_glbx-mdp3-20250916.mbp-10.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-09-16,london,flow_file_convention_mismatch,120,120,"glbx-mdp3-20250916.mbp-10_condensed.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-10-05,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-10-05,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-11-02,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-11-02,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-11-30,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-11-30,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-12-28,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-12-28,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2026-01-25,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2026-01-25,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-04-21,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-04-21,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-05-19,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-05-19,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-06-16,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-06-16,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-07-14,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-07-14,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-08-11,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-08-11,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-09-08,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-09-08,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-10-06,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-10-06,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-11-03,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-11-03,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-12-01,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-12-01,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2024-12-29,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2024-12-29,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-01-26,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-01-26,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-02-23,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-02-23,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-03-23,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2025-03-23,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2025-06-16,ny_am,flow_file_convention_mismatch,150,150,"condensed_glbx-mdp3-20250616.mbp-10.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-06-16,london,flow_file_convention_mismatch,120,120,"glbx-mdp3-20250616.mbp-10_condensed.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-09-17,ny_am,flow_file_convention_mismatch,150,150,"condensed_glbx-mdp3-20250917.mbp-10.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2025-09-17,london,flow_file_convention_mismatch,120,120,"glbx-mdp3-20250917.mbp-10_condensed.csv: book vs front-month bar deviation; flow_coverage forced false, rows kept"
2023-01-08,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-01-08,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-02-05,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-02-05,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-03-05,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-03-05,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-04-02,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-04-02,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-04-30,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-04-30,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
2023-05-28,ny_am,session_window_incomplete,0,210,"calendar/coverage based, outcome-independent"
2023-05-28,london,session_window_incomplete,0,300,"calendar/coverage based, outcome-independent"
