day,e3_base,e3_delay,e4_base,e4_delay,oracle_base,oracle_delay
2023-01-04,-725.0,0.0,1155.0,0.0,1155.0,0.0
2023-01-06,823.75,0.0,0.0,0.0,823.75,0.0
2023-01-12,-560.0,-560.0,0.0,0.0,0.0,0.0
2023-01-18,-150.0,-50.0,-315.0,-35.0,0.0,0.0
2023-01-26,-93.75,-93.75,780.0,0.0,780.0,0.0
2023-01-27,206.25,-225.0,-500.0,-410.0,206.25,0.0
2023-02-01,82.5,335.0,-325.0,115.0,82.5,335.0
2023-02-03,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-14,-495.0,-495.0,0.0,0.0,0.0,0.0
2023-02-15,-175.0,326.25,645.0,-580.0,645.0,326.25
2023-02-24,-475.0,-475.0,810.0,810.0,810.0,810.0
2023-03-01,-270.0,0.0,-665.0,0.0,0.0,0.0
2023-03-03,-30.0,0.0,375.0,0.0,375.0,0.0
2023-03-07,-280.0,0.0,125.0,0.0,125.0,0.0
2023-03-08,-166.25,-80.0,-65.0,-450.0,0.0,0.0
2023-03-10,-97.5,-97.5,0.0,0.0,0.0,0.0
2023-03-14,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-15,-46.25,-300.0,-375.0,-310.0,0.0,0.0
2023-03-31,-480.0,-480.0,-550.0,275.0,0.0,275.0
2023-04-03,176.25,0.0,495.0,-530.0,495.0,0.0
2023-04-05,-265.0,0.0,-325.0,305.0,0.0,305.0
2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-12,-145.0,-145.0,-345.0,-345.0,0.0,0.0
2023-04-14,182.5,560.0,15.0,730.0,182.5,730.0
2023-04-27,-467.5,-467.5,230.0,30.0,230.0,30.0
2023-04-28,-111.25,71.25,-445.0,-335.0,0.0,71.25
2023-05-01,-180.0,18.75,-640.0,-285.0,0.0,18.75
2023-05-03,155.0,-320.0,-430.0,-455.0,155.0,0.0
2023-05-05,-10.0,-10.0,0.0,0.0,0.0,0.0
2023-05-10,-270.0,-270.0,-130.0,-130.0,0.0,0.0
2023-05-16,-7.5,-7.5,-205.0,-205.0,0.0,0.0
2023-05-26,-96.25,-96.25,-180.0,-380.0,0.0,0.0
2023-06-01,-510.0,0.0,-835.0,-335.0,0.0,0.0
2023-06-02,561.25,561.25,0.0,0.0,561.25,561.25
2023-06-05,58.75,0.0,-310.0,-350.0,58.75,0.0
2023-06-13,-340.0,-340.0,-395.0,-395.0,0.0,0.0
2023-06-15,-290.0,-175.0,-380.0,820.0,0.0,820.0
2023-06-21,-440.0,0.0,1900.0,0.0,1900.0,0.0
2023-06-22,-460.0,0.0,1115.0,-300.0,1115.0,0.0
2023-06-30,505.0,505.0,1350.0,1350.0,1350.0,1350.0
2023-07-03,-195.0,-250.0,-410.0,-95.0,0.0,0.0
2023-07-06,46.25,0.0,655.0,0.0,655.0,0.0
2023-07-07,-520.0,-520.0,-305.0,-305.0,0.0,0.0
2023-07-12,-72.5,-72.5,-250.0,-250.0,0.0,0.0
2023-07-18,-173.75,-136.25,-265.0,-175.0,0.0,0.0
2023-07-27,-310.0,-310.0,275.0,275.0,275.0,275.0
2023-07-28,-300.0,-300.0,-285.0,-285.0,0.0,0.0
2023-08-01,42.5,0.0,-235.0,-260.0,42.5,0.0
2023-08-03,-340.0,-150.0,-195.0,-440.0,0.0,0.0
2023-08-04,-10.0,-10.0,570.0,570.0,570.0,570.0
2023-08-10,-500.0,-500.0,-75.0,-75.0,0.0,0.0
2023-08-15,-665.0,-450.0,-555.0,525.0,0.0,525.0
2023-08-31,-290.0,125.0,-285.0,-345.0,0.0,125.0
2023-09-01,640.0,0.0,-355.0,-355.0,640.0,0.0
2023-09-06,-295.0,0.0,-305.0,0.0,0.0,0.0
2023-09-13,-735.0,-735.0,0.0,0.0,0.0,0.0
2023-09-14,203.75,-205.0,-465.0,-290.0,203.75,0.0
2023-09-29,211.25,-290.0,295.0,-170.0,295.0,0.0
2023-10-02,157.5,0.0,-310.0,0.0,157.5,0.0
2023-10-04,262.5,0.0,-490.0,0.0,262.5,0.0
2023-10-06,-500.0,-500.0,2600.0,2600.0,2600.0,2600.0
2023-10-12,56.25,56.25,-215.0,-215.0,56.25,56.25
2023-10-17,760.0,760.0,3595.0,2885.0,3595.0,2885.0
2023-10-26,475.0,-190.0,465.0,-200.0,475.0,0.0
2023-10-27,-520.0,-375.0,-575.0,-100.0,0.0,0.0
2023-11-01,-151.25,0.0,1230.0,0.0,1230.0,0.0
2023-11-03,-78.75,131.25,-670.0,-250.0,0.0,131.25
2023-11-14,-365.0,-365.0,0.0,0.0,0.0,0.0
2023-11-15,428.75,-330.0,-430.0,-430.0,428.75,0.0
2023-11-30,-202.5,-405.0,-455.0,-465.0,0.0,0.0
2023-12-01,140.0,-170.0,50.0,-340.0,140.0,0.0
2023-12-05,-66.25,-170.0,335.0,0.0,335.0,0.0
2023-12-08,-530.0,-530.0,330.0,330.0,330.0,330.0
2023-12-12,486.25,486.25,-585.0,-585.0,486.25,486.25
2023-12-14,-55.0,-350.0,-370.0,-415.0,0.0,0.0
2023-12-22,-535.0,-550.0,65.0,-345.0,65.0,0.0
