thickness,imbalance,support_depth,resist_depth,support_minus_resist,thickness_vs_day,dist_wall_below,wall_below_size,support_wall_dist,support_wall_size,thickness_delta_5m,cvd_3m,cvd_1m,cvd_5m,risk_pts,win,dollars,dist_wall_above,wall_above_size
77.0,0.012987012987012988,39.0,38.0,1.0,1.3508771929824561,5.5,10.0,5.5,10.0,-12.0,-35.0,-180.0,-12.0,46.75,True,752.5,,
60.0,0.03333333333333333,29.0,31.0,-2.0,0.967741935483871,,,47.0,6.0,3.0,-429.0,-138.0,-217.0,95.25,False,-960.0,47.0,6.0
68.0,-0.11764705882352941,30.0,38.0,-8.0,1.096774193548387,0.25,5.0,0.25,5.0,-1.0,-601.0,-268.0,-522.0,34.0,True,1995.0,4.5,8.0
62.0,0.12903225806451613,35.0,27.0,8.0,1.087719298245614,,,,,-1.0,-232.0,-259.0,-370.0,62.0,True,1125.0,1.5,6.0
71.0,0.2112676056338028,28.0,43.0,-15.0,1.2456140350877194,25.75,12.0,,,18.0,168.0,-250.0,389.0,47.5,True,937.5,,
59.0,-0.22033898305084745,36.0,23.0,13.0,0.9365079365079365,2.5,3.0,2.5,7.0,2.0,-56.0,49.0,32.0,64.5,True,2150.0,2.5,7.0
,,,,,,,,,,,,,,49.5,False,-502.5,,
,,,,,,,,,,,,,,67.25,False,-680.0,,
97.0,0.17525773195876287,57.0,40.0,17.0,1.3661971830985915,,,,,24.0,-159.0,-224.0,-293.0,42.5,False,-432.5,14.5,13.0
70.0,0.0,35.0,35.0,0.0,0.9859154929577465,9.0,7.0,,,-3.0,-692.0,-721.0,-1061.0,47.5,True,535.0,,
88.0,-0.045454545454545456,46.0,42.0,4.0,1.2307692307692308,,,12.5,7.0,-12.0,-110.0,-94.0,94.0,13.25,False,-290.0,12.5,7.0
74.0,0.13513513513513514,42.0,32.0,10.0,1.034965034965035,2.25,7.0,2.25,7.0,-8.0,-17.0,-173.0,-191.0,31.0,False,-645.0,1.75,5.0
63.0,-0.047619047619047616,30.0,33.0,-3.0,0.8571428571428571,2.25,5.0,2.25,5.0,-5.0,-103.0,19.0,-170.0,17.75,False,-365.0,2.25,6.0
79.0,0.0379746835443038,38.0,41.0,-3.0,1.0748299319727892,13.0,9.0,,,6.0,-355.0,-56.0,-114.0,25.5,False,-520.0,,
100.0,-0.1,55.0,45.0,10.0,1.2345679012345678,,,8.25,13.0,10.0,-191.0,-60.0,-33.0,29.5,False,-600.0,8.25,13.0
75.0,-0.17333333333333334,44.0,31.0,13.0,1.0344827586206897,,,22.0,11.0,-1.0,-871.0,-641.0,-788.0,59.75,False,-605.0,22.0,11.0
75.0,0.12,33.0,42.0,-9.0,0.9375,16.5,7.0,,,-8.0,-1148.0,-1127.0,-1348.0,52.75,False,-535.0,,
70.0,-0.22857142857142856,43.0,27.0,16.0,0.9459459459459459,,,20.25,6.0,4.0,-486.0,60.0,-309.0,39.5,False,-800.0,20.25,6.0
,,,,,,,,,,,,,,66.5,True,1680.0,,
93.0,0.0967741935483871,51.0,42.0,9.0,1.1204819277108433,0.5,7.0,0.5,7.0,15.0,58.0,314.0,131.0,22.75,True,1880.0,2.0,6.0
87.0,0.08045977011494253,40.0,47.0,-7.0,1.0609756097560976,11.75,15.0,,,-27.0,-522.0,-604.0,-390.0,30.25,False,-615.0,,
80.0,-0.225,31.0,49.0,-18.0,1.0457516339869282,,,,,-8.0,61.0,137.0,-183.0,22.75,False,-480.0,8.25,15.0
101.0,-0.0297029702970297,52.0,49.0,3.0,1.3202614379084967,,,5.25,9.0,-6.0,-504.0,-347.0,-521.0,38.0,False,-770.0,5.25,9.0
77.0,0.09090909090909091,42.0,35.0,7.0,1.1159420289855073,3.25,6.0,3.25,6.0,7.0,-394.0,-190.0,-565.0,47.0,False,-477.5,1.5,5.0
78.0,0.07692307692307693,36.0,42.0,-6.0,1.1304347826086956,,,13.0,7.0,4.0,-622.0,-606.0,-736.0,45.0,False,-465.0,13.0,7.0
,,,,,,,,,,,,,,32.5,True,675.0,,
,,,,,,,,,,,,,,51.0,False,-517.5,,
56.0,-0.03571428571428571,27.0,29.0,-2.0,0.8,2.75,11.0,2.75,11.0,-33.0,-568.0,-621.0,-218.0,48.5,False,-492.5,,
,,,,,,,,,,,,,,0.25,False,-15.0,,
46.0,0.0,23.0,23.0,0.0,0.7301587301587301,4.5,4.0,,,-3.0,-522.0,-541.0,-406.0,42.75,True,1342.5,,
86.0,-0.27906976744186046,55.0,31.0,24.0,1.34375,6.75,18.0,,,18.0,-169.0,-169.0,-509.0,23.75,False,-500.0,,
108.0,0.1111111111111111,60.0,48.0,12.0,1.2781065088757397,,,,,33.0,-177.0,-312.0,-98.0,20.75,False,-440.0,1.0,11.0
59.0,0.01694915254237288,30.0,29.0,1.0,0.8805970149253731,,,,,7.0,64.0,-113.0,211.0,45.25,False,-460.0,10.75,7.0
70.0,-0.08571428571428572,38.0,32.0,6.0,1.044776119402985,,,13.75,7.0,1.0,-184.0,-239.0,-404.0,4.25,False,-95.0,13.75,7.0
83.0,-0.060240963855421686,44.0,39.0,5.0,0.9940119760479041,,,15.5,7.0,-2.0,-835.0,-847.0,-1280.0,70.5,False,-712.5,15.5,7.0
90.0,-0.06666666666666667,42.0,48.0,-6.0,1.1538461538461537,17.75,7.0,17.75,7.0,-31.0,11.0,-109.0,307.0,19.75,False,-420.0,,
99.0,-0.030303030303030304,48.0,51.0,-3.0,1.2692307692307692,0.25,8.0,0.25,8.0,23.0,88.0,114.0,511.0,2.25,False,-70.0,3.0,9.0
79.0,0.012658227848101266,39.0,40.0,-1.0,1.144927536231884,5.25,8.0,,,7.0,-311.0,-271.0,-551.0,35.25,False,-715.0,,
85.0,0.08235294117647059,46.0,39.0,7.0,1.2686567164179106,5.5,8.0,5.5,8.0,14.0,-826.0,-587.0,-760.0,94.5,False,-952.5,,
83.0,0.08433734939759036,38.0,45.0,-7.0,1.2388059701492538,16.75,8.0,,,3.0,-393.0,-37.0,-609.0,99.25,False,-122.5,,
73.0,-0.2054794520547945,44.0,29.0,15.0,1.042857142857143,,,27.25,6.0,3.0,-144.0,224.0,-432.0,33.25,False,-675.0,27.25,6.0
67.0,-0.2537313432835821,42.0,25.0,17.0,0.9571428571428572,24.75,7.0,,,-14.0,359.0,-19.0,583.0,28.25,True,1480.0,,
79.0,-0.24050632911392406,30.0,49.0,-19.0,1.1126760563380282,18.5,8.0,18.5,8.0,-3.0,-156.0,-117.0,105.0,18.0,False,-370.0,,
77.0,0.03896103896103896,37.0,40.0,-3.0,1.1846153846153846,19.0,16.0,,,0.0,857.0,676.0,733.0,17.5,False,-360.0,,
65.0,-0.1076923076923077,29.0,36.0,-7.0,1.0,,,,,-6.0,-710.0,-425.0,-643.0,88.75,False,-895.0,11.75,6.0
68.0,0.0,34.0,34.0,0.0,1.0303030303030303,,,,,2.0,69.0,-134.0,-71.0,121.25,False,-1220.0,7.25,7.0
69.0,0.21739130434782608,27.0,42.0,-15.0,1.0952380952380953,19.75,6.0,,,6.0,263.0,418.0,386.0,9.5,False,-215.0,,
61.0,-0.04918032786885246,32.0,29.0,3.0,0.9682539682539683,,,33.25,4.0,-19.0,195.0,199.0,462.0,75.0,False,-765.0,33.25,4.0
,,,,,,,,,,,,,,55.5,False,-562.5,,
57.0,-0.15789473684210525,24.0,33.0,-9.0,0.890625,8.75,5.0,8.75,5.0,-8.0,6.0,-92.0,386.0,34.5,False,-715.0,,
69.0,-0.10144927536231885,38.0,31.0,7.0,1.078125,,,23.25,8.0,-2.0,-74.0,-104.0,18.0,23.75,False,-500.0,23.25,8.0
57.0,-0.15789473684210525,24.0,33.0,-9.0,0.8636363636363636,,,,,-18.0,305.0,37.0,290.0,27.5,False,-575.0,22.75,5.0
72.0,-0.19444444444444445,43.0,29.0,14.0,1.0909090909090908,6.75,7.0,,,10.0,-490.0,-393.0,-985.0,39.5,True,2265.0,,
118.0,-0.15254237288135594,68.0,50.0,18.0,1.6388888888888888,4.25,19.0,0.25,35.0,34.0,-81.0,-69.0,-214.0,26.75,False,-545.0,0.25,35.0
99.0,0.030303030303030304,51.0,48.0,3.0,1.1511627906976745,,,,,5.0,-193.0,125.0,-444.0,11.5,True,1235.0,23.5,9.0
86.0,0.0,43.0,43.0,0.0,1.0,,,,,-9.0,484.0,630.0,796.0,46.5,True,135.0,19.5,11.0
58.0,0.06896551724137931,31.0,27.0,4.0,0.8467153284671532,28.25,5.0,28.25,5.0,-7.0,-403.0,-457.0,-891.0,14.0,False,-290.0,,
61.0,0.04918032786885246,32.0,29.0,3.0,0.8905109489051095,34.5,5.0,34.5,5.0,-20.0,-284.0,141.0,-490.0,1.0,False,-30.0,,
78.0,0.05128205128205128,37.0,41.0,-4.0,1.1555555555555554,6.25,6.0,,,-2.0,-380.0,-177.0,-608.0,53.0,False,-545.0,,
100.0,0.14,57.0,43.0,14.0,1.4814814814814814,,,,,10.0,-346.0,-387.0,-457.0,32.25,True,1620.0,14.75,10.0
106.0,0.03773584905660377,51.0,55.0,-4.0,1.2694610778443114,21.75,13.0,,,6.0,-425.0,-348.0,-332.0,43.5,True,887.5,,
53.0,-0.018867924528301886,27.0,26.0,1.0,0.8833333333333333,,,6.25,5.0,-4.0,-264.0,-104.0,-80.0,19.75,False,-405.0,6.25,5.0
63.0,0.015873015873015872,32.0,31.0,1.0,1.05,27.5,5.0,27.5,5.0,8.0,-387.0,-269.0,-5.0,39.25,False,-810.0,,
95.0,-0.031578947368421054,46.0,49.0,-3.0,1.3768115942028984,,,,,21.0,-364.0,-203.0,-801.0,40.25,True,1320.0,14.5,9.0
89.0,-0.033707865168539325,46.0,43.0,3.0,1.459016393442623,17.0,7.0,,,17.0,-1047.0,-794.0,-900.0,68.5,True,1057.5,,
84.0,-0.16666666666666666,35.0,49.0,-14.0,1.3770491803278688,6.25,7.0,6.25,7.0,-21.0,-480.0,-486.0,-740.0,86.75,True,812.5,,
44.0,0.0,22.0,22.0,0.0,0.7586206896551724,,,11.5,4.0,-6.0,69.0,-196.0,-8.0,41.0,False,-830.0,11.5,4.0
52.0,-0.07692307692307693,24.0,28.0,-4.0,0.896551724137931,1.5,4.0,1.5,4.0,-6.0,-355.0,-261.0,-159.0,63.0,False,-637.5,0.5,5.0
58.0,-0.06896551724137931,31.0,27.0,4.0,0.9830508474576272,,,16.25,6.0,-21.0,-570.0,-272.0,-346.0,59.25,False,-600.0,16.25,6.0
68.0,0.0,34.0,34.0,0.0,1.152542372881356,,,,,-6.0,-715.0,-537.0,-443.0,69.0,False,-697.5,18.75,8.0
,,,,,,,,,,,,,,171.75,True,1265.0,,
48.0,-0.041666666666666664,25.0,23.0,2.0,0.9696969696969697,,,9.75,5.0,4.0,-585.0,-107.0,21.0,115.0,False,-1157.5,9.75,5.0
62.0,-0.12903225806451613,27.0,35.0,-8.0,1.2525252525252526,,,,,11.0,-183.0,147.0,42.0,123.5,False,-1242.5,6.75,8.0
35.0,-0.3142857142857143,12.0,23.0,-11.0,0.7954545454545454,22.75,6.0,22.75,6.0,-11.0,359.0,411.0,312.0,35.0,False,-710.0,,
26.0,0.07692307692307693,12.0,14.0,-2.0,0.5909090909090909,,,61.0,2.0,-25.0,-985.0,-480.0,-839.0,208.5,False,-2100.0,61.0,2.0
48.0,-0.08333333333333333,26.0,22.0,4.0,1.263157894736842,275.0,5.0,,,6.0,-717.0,-431.0,-913.0,81.0,False,-817.5,,
37.0,-0.02702702702702703,19.0,18.0,1.0,0.9024390243902439,286.0,3.0,,,-5.0,-495.0,-386.0,-714.0,19.75,False,-405.0,,
49.0,-0.10204081632653061,22.0,27.0,-5.0,1.1951219512195121,294.0,9.0,294.0,9.0,4.0,101.0,-421.0,117.0,61.25,False,-620.0,,
43.0,-0.3023255813953488,15.0,28.0,-13.0,1.2285714285714286,329.0,5.0,329.0,5.0,13.0,-301.0,-276.0,-836.0,60.5,False,-612.5,,
38.0,-0.05263157894736842,20.0,18.0,2.0,1.0857142857142856,289.5,3.0,,,-1.0,-426.0,-525.0,-581.0,101.25,False,-1020.0,,
57.0,-0.3684210526315789,18.0,39.0,-21.0,2.28,389.75,6.0,389.75,6.0,0.0,-472.0,-59.0,-454.0,76.5,False,-772.5,92.75,25.0
57.0,-0.3684210526315789,39.0,18.0,21.0,2.28,299.25,6.0,183.25,25.0,0.0,-464.0,-361.0,-720.0,109.0,False,-1097.5,183.25,25.0
50.0,0.16,29.0,21.0,8.0,1.0869565217391304,2.5,6.0,2.5,6.0,7.0,-23.0,-67.0,2.0,30.25,False,-615.0,3.0,4.0
62.0,-0.16129032258064516,36.0,26.0,10.0,1.0689655172413792,6.0,8.0,,,11.0,-545.0,-352.0,-298.0,120.75,False,-1215.0,,
46.0,0.17391304347826086,27.0,19.0,8.0,0.8518518518518519,43.75,4.0,43.75,4.0,-7.0,-975.0,-795.0,-1348.0,131.25,True,2140.0,,
43.0,-0.11627906976744186,19.0,24.0,-5.0,0.8958333333333334,49.75,4.0,49.75,4.0,5.0,-221.0,-201.0,-502.0,56.0,False,-567.5,,
48.0,0.08333333333333333,26.0,22.0,4.0,1.0,28.75,5.0,28.75,5.0,0.0,138.0,151.0,-38.0,59.5,False,-602.5,,
38.0,-0.21052631578947367,15.0,23.0,-8.0,0.76,,,,,-17.0,17.0,341.0,-183.0,34.0,True,3990.0,56.0,4.0
33.0,0.21212121212121213,20.0,13.0,7.0,0.7674418604651163,15.25,4.0,15.25,4.0,2.0,-227.0,-295.0,-142.0,97.0,False,-977.5,,
32.0,-0.125,18.0,14.0,4.0,0.7441860465116279,,,12.25,3.0,-1.0,65.0,-140.0,-98.0,201.25,True,2915.0,12.25,3.0
51.0,0.2549019607843137,32.0,19.0,13.0,1.1590909090909092,,,,,9.0,-384.0,-301.0,212.0,95.0,False,-957.5,17.75,5.0
50.0,0.08,27.0,23.0,4.0,1.0638297872340425,,,,,-8.0,-114.0,3.0,-128.0,18.5,False,-380.0,6.25,5.0
65.0,0.015384615384615385,32.0,33.0,-1.0,1.3829787234042554,9.0,7.0,,,19.0,-109.0,-60.0,-150.0,15.25,False,-315.0,,
43.0,0.023255813953488372,22.0,21.0,1.0,0.8865979381443299,,,,,0.0,-314.0,-285.0,102.0,118.0,True,602.5,4.25,4.0
37.0,-0.02702702702702703,18.0,19.0,-1.0,0.7708333333333334,9.25,4.0,9.25,4.0,-8.0,-1042.0,-867.0,-414.0,44.5,False,-452.5,,
43.0,0.11627906976744186,19.0,24.0,-5.0,0.8958333333333334,36.0,4.0,,,-1.0,-130.0,246.0,-199.0,52.0,True,2680.0,,
36.0,-0.05555555555555555,17.0,19.0,-2.0,0.8181818181818182,11.5,4.0,11.5,4.0,-6.0,-41.0,-21.0,127.0,25.0,False,-510.0,,
54.0,0.1111111111111111,24.0,30.0,-6.0,1.2272727272727273,19.5,6.0,,,4.0,-463.0,-525.0,-643.0,60.5,True,202.5,,
,,,,,,,,,,,,,,93.5,True,1157.5,,
,,,,,,,,,,,,,,35.5,False,-720.0,,
,,,,,,,,,,,,,,87.25,False,-880.0,,
,,,,,,,,,,,,,,77.0,False,-785.0,,
,,,,,,,,,,,,,,136.0,False,-1367.5,,
,,,,,,,,,,,,,,118.5,True,1675.0,,
