ts,side,price,size
2025-06-02 08:00:00-04:00,ask,21264.25,4
2025-06-02 08:00:00-04:00,ask,21264.5,3
2025-06-02 08:00:00-04:00,ask,21264.75,5
2025-06-02 08:00:00-04:00,ask,21265.0,6
2025-06-02 08:00:00-04:00,ask,21265.25,3
2025-06-02 08:00:00-04:00,ask,21265.5,2
2025-06-02 08:00:00-04:00,ask,21265.75,6
2025-06-02 08:00:00-04:00,ask,21266.0,1
2025-06-02 08:00:00-04:00,ask,21266.25,2
2025-06-02 08:00:00-04:00,ask,21266.5,6
2025-06-02 08:00:00-04:00,bid,21261.0,5
2025-06-02 08:00:00-04:00,bid,21261.25,11
2025-06-02 08:00:00-04:00,bid,21261.5,5
2025-06-02 08:00:00-04:00,bid,21262.0,3
2025-06-02 08:00:00-04:00,bid,21262.25,2
2025-06-02 08:00:00-04:00,bid,21262.5,4
2025-06-02 08:00:00-04:00,bid,21262.75,2
2025-06-02 08:00:00-04:00,bid,21263.0,4
2025-06-02 08:00:00-04:00,bid,21263.25,3
2025-06-02 08:00:00-04:00,bid,21263.5,1
2025-06-02 08:01:00-04:00,ask,21265.75,1
2025-06-02 08:01:00-04:00,ask,21266.0,4
2025-06-02 08:01:00-04:00,ask,21266.25,1
2025-06-02 08:01:00-04:00,ask,21266.5,2
2025-06-02 08:01:00-04:00,ask,21266.75,4
2025-06-02 08:01:00-04:00,ask,21267.0,3
2025-06-02 08:01:00-04:00,ask,21267.25,4
2025-06-02 08:01:00-04:00,ask,21267.5,4
2025-06-02 08:01:00-04:00,ask,21268.0,3
2025-06-02 08:01:00-04:00,ask,21268.5,3
2025-06-02 08:01:00-04:00,bid,21263.0,3
2025-06-02 08:01:00-04:00,bid,21263.25,3
2025-06-02 08:01:00-04:00,bid,21263.5,5
2025-06-02 08:01:00-04:00,bid,21263.75,4
2025-06-02 08:01:00-04:00,bid,21264.0,2
2025-06-02 08:01:00-04:00,bid,21264.25,2
2025-06-02 08:01:00-04:00,bid,21264.5,1
2025-06-02 08:01:00-04:00,bid,21264.75,2
2025-06-02 08:01:00-04:00,bid,21265.0,3
2025-06-02 08:01:00-04:00,bid,21265.25,1
2025-06-02 08:02:00-04:00,ask,21266.25,1
2025-06-02 08:02:00-04:00,ask,21266.5,2
2025-06-02 08:02:00-04:00,ask,21266.75,4
2025-06-02 08:02:00-04:00,ask,21267.0,3
2025-06-02 08:02:00-04:00,ask,21267.25,6
2025-06-02 08:02:00-04:00,ask,21267.5,4
2025-06-02 08:02:00-04:00,ask,21267.75,2
2025-06-02 08:02:00-04:00,ask,21268.0,2
2025-06-02 08:02:00-04:00,ask,21268.25,3
2025-06-02 08:02:00-04:00,ask,21268.5,5
2025-06-02 08:02:00-04:00,bid,21263.0,5
2025-06-02 08:02:00-04:00,bid,21263.25,5
2025-06-02 08:02:00-04:00,bid,21263.5,4
2025-06-02 08:02:00-04:00,bid,21263.75,3
2025-06-02 08:02:00-04:00,bid,21264.0,3
2025-06-02 08:02:00-04:00,bid,21264.25,2
2025-06-02 08:02:00-04:00,bid,21264.75,4
2025-06-02 08:02:00-04:00,bid,21265.0,4
2025-06-02 08:02:00-04:00,bid,21265.25,3
2025-06-02 08:02:00-04:00,bid,21265.5,2
2025-06-02 08:03:00-04:00,ask,21270.25,2
2025-06-02 08:03:00-04:00,ask,21270.5,4
2025-06-02 08:03:00-04:00,ask,21270.75,1
2025-06-02 08:03:00-04:00,ask,21271.0,3
2025-06-02 08:03:00-04:00,ask,21271.25,5
2025-06-02 08:03:00-04:00,ask,21271.5,4
2025-06-02 08:03:00-04:00,ask,21271.75,6
2025-06-02 08:03:00-04:00,ask,21272.0,3
2025-06-02 08:03:00-04:00,ask,21272.25,10
2025-06-02 08:03:00-04:00,ask,21272.5,5
2025-06-02 08:03:00-04:00,bid,21266.75,3
2025-06-02 08:03:00-04:00,bid,21267.0,2
2025-06-02 08:03:00-04:00,bid,21267.25,2
2025-06-02 08:03:00-04:00,bid,21267.5,3
2025-06-02 08:03:00-04:00,bid,21267.75,1
2025-06-02 08:03:00-04:00,bid,21268.0,4
2025-06-02 08:03:00-04:00,bid,21268.5,2
2025-06-02 08:03:00-04:00,bid,21268.75,1
2025-06-02 08:03:00-04:00,bid,21269.0,4
2025-06-02 08:03:00-04:00,bid,21269.25,2
2025-06-02 08:04:00-04:00,ask,21270.0,2
2025-06-02 08:04:00-04:00,ask,21270.25,3
2025-06-02 08:04:00-04:00,ask,21270.5,2
2025-06-02 08:04:00-04:00,ask,21270.75,4
2025-06-02 08:04:00-04:00,ask,21271.0,3
2025-06-02 08:04:00-04:00,ask,21271.25,4
2025-06-02 08:04:00-04:00,ask,21271.5,2
2025-06-02 08:04:00-04:00,ask,21271.75,7
2025-06-02 08:04:00-04:00,ask,21272.0,4
2025-06-02 08:04:00-04:00,ask,21272.25,8
2025-06-02 08:04:00-04:00,bid,21266.75,2
2025-06-02 08:04:00-04:00,bid,21267.0,3
2025-06-02 08:04:00-04:00,bid,21267.25,2
2025-06-02 08:04:00-04:00,bid,21267.5,3
2025-06-02 08:04:00-04:00,bid,21267.75,1
2025-06-02 08:04:00-04:00,bid,21268.0,4
2025-06-02 08:04:00-04:00,bid,21268.25,3
2025-06-02 08:04:00-04:00,bid,21268.5,4
2025-06-02 08:04:00-04:00,bid,21268.75,3
2025-06-02 08:04:00-04:00,bid,21269.0,4
2025-06-02 08:05:00-04:00,ask,21266.25,1
2025-06-02 08:05:00-04:00,ask,21266.5,2
2025-06-02 08:05:00-04:00,ask,21266.75,2
2025-06-02 08:05:00-04:00,ask,21267.0,1
2025-06-02 08:05:00-04:00,ask,21267.25,2
2025-06-02 08:05:00-04:00,ask,21267.5,4
2025-06-02 08:05:00-04:00,ask,21267.75,2
2025-06-02 08:05:00-04:00,ask,21268.0,3
2025-06-02 08:05:00-04:00,ask,21268.5,3
2025-06-02 08:05:00-04:00,ask,21268.75,2
2025-06-02 08:05:00-04:00,bid,21263.25,5
2025-06-02 08:05:00-04:00,bid,21263.5,3
2025-06-02 08:05:00-04:00,bid,21263.75,5
2025-06-02 08:05:00-04:00,bid,21264.0,4
2025-06-02 08:05:00-04:00,bid,21264.25,5
2025-06-02 08:05:00-04:00,bid,21264.5,3
