ts,side,price,size
2025-08-04 08:00:00-04:00,ask,23050.5,1
2025-08-04 08:00:00-04:00,ask,23050.75,2
2025-08-04 08:00:00-04:00,ask,23051.0,3
2025-08-04 08:00:00-04:00,ask,23051.25,3
2025-08-04 08:00:00-04:00,ask,23051.5,9
2025-08-04 08:00:00-04:00,ask,23051.75,8
2025-08-04 08:00:00-04:00,ask,23052.0,7
2025-08-04 08:00:00-04:00,ask,23052.25,6
2025-08-04 08:00:00-04:00,ask,23052.5,7
2025-08-04 08:00:00-04:00,ask,23052.75,8
2025-08-04 08:00:00-04:00,bid,23047.5,5
2025-08-04 08:00:00-04:00,bid,23047.75,5
2025-08-04 08:00:00-04:00,bid,23048.0,5
2025-08-04 08:00:00-04:00,bid,23048.25,6
2025-08-04 08:00:00-04:00,bid,23048.5,6
2025-08-04 08:00:00-04:00,bid,23048.75,5
2025-08-04 08:00:00-04:00,bid,23049.0,3
2025-08-04 08:00:00-04:00,bid,23049.25,3
2025-08-04 08:00:00-04:00,bid,23049.5,3
2025-08-04 08:00:00-04:00,bid,23049.75,4
2025-08-04 08:01:00-04:00,ask,23052.0,2
2025-08-04 08:01:00-04:00,ask,23052.25,3
2025-08-04 08:01:00-04:00,ask,23052.5,4
2025-08-04 08:01:00-04:00,ask,23052.75,7
2025-08-04 08:01:00-04:00,ask,23053.0,7
2025-08-04 08:01:00-04:00,ask,23053.25,6
2025-08-04 08:01:00-04:00,ask,23053.5,8
2025-08-04 08:01:00-04:00,ask,23053.75,7
2025-08-04 08:01:00-04:00,ask,23054.0,6
2025-08-04 08:01:00-04:00,ask,23054.25,6
2025-08-04 08:01:00-04:00,bid,23049.0,5
2025-08-04 08:01:00-04:00,bid,23049.25,2
2025-08-04 08:01:00-04:00,bid,23049.5,5
2025-08-04 08:01:00-04:00,bid,23049.75,4
2025-08-04 08:01:00-04:00,bid,23050.0,2
2025-08-04 08:01:00-04:00,bid,23050.25,4
2025-08-04 08:01:00-04:00,bid,23050.5,2
2025-08-04 08:01:00-04:00,bid,23050.75,4
2025-08-04 08:01:00-04:00,bid,23051.0,2
