card_id,tv_replay_datetime,window,direction,shape,trigger_price,second_legs,call(take/skip),why
C144,2025-12-15 03:12 ET,LONDON,DOWN,same_candle,25493.0,daily_poc,,
C145,2026-05-04 10:32 ET,NY_AM,UP,same_candle,27891.0,bb_ma_60m,,
C146,2025-09-23 04:42 ET,LONDON,DOWN,same_candle,25016.5,vwap_p2,,
C147,2026-02-25 09:33 ET,NY_AM,UP,sequential,25211.75,"vwap_p1,daily_vah,vwap_p2",,
C148,2026-04-24 04:00 ET,LONDON,UP,sequential,27109.0,"vwap_p1,daily_vah",,
C149,2025-10-27 04:40 ET,LONDON,UP,same_candle,25787.0,"vwap_p1,bb_ma_15m",,
C150,2026-01-27 09:36 ET,NY_AM,DOWN,same_candle,25951.0,"daily_val,bb_ma_60m,vwap,daily_poc",,
C151,2025-09-24 10:48 ET,NY_AM,UP,same_candle,24820.25,"vwap_m1,daily_poc",,
C152,2025-10-27 09:51 ET,NY_AM,DOWN,same_candle,25820.25,"daily_poc,bb_ma_15m,vwap_p1",,
C153,2025-12-11 10:15 ET,NY_AM,UP,same_candle,25556.0,vwap,,
C154,2025-09-22 03:04 ET,LONDON,UP,same_candle,24830.25,"vwap_m2,bb_ma_60m",,
C155,2025-10-09 03:28 ET,LONDON,DOWN,same_candle,25336.25,bb_ma_15m,,
C156,2025-12-24 03:42 ET,LONDON,DOWN,sequential,25791.75,"daily_poc,bb_ma_15m",,
C157,2025-12-12 03:45 ET,LONDON,DOWN,same_candle,25665.5,"vwap,daily_poc,bb_ma_15m",,
C158,2026-04-13 09:51 ET,NY_AM,UP,same_candle,25291.5,"vwap_p1,daily_vah,vwap_p2",,
C159,2025-10-24 10:27 ET,NY_AM,DOWN,same_candle,25497.25,daily_poc,,
C160,2026-01-16 03:24 ET,LONDON,DOWN,same_candle,25813.5,vwap_p1,,
C161,2026-04-07 03:33 ET,LONDON,UP,same_candle,24233.75,bb_ma_15m,,
C162,2026-07-13 10:12 ET,NY_AM,UP,same_candle,29641.0,daily_poc,,
C163,2026-04-07 10:28 ET,NY_AM,DOWN,same_candle,24087.5,vwap_m1,,
