day,ft,cvd_5,cvd_15,cvd_30,cvd_norm_15,delta_div_15,fp_imb_15,absorp_15,stack_bid,stack_ask,vol_15,vol_30,abs_cvd_15,two_sided_share_30
2025-06-02,2025-06-02 12:22:00+00:00,-168.0,-284.0,-346.0,-0.13333333333333333,0.0,-0.06666666666666665,66.04651162790698,4,5,2130.0,3958.0,284.0,1.0
2025-06-03,2025-06-03 12:46:00+00:00,-110.0,-111.0,3.0,-0.04218928164196123,0.0,-0.021094640820980615,70.63087248322148,0,3,2631.0,5335.0,111.0,1.0
2025-06-04,2025-06-04 12:43:00+00:00,-135.0,139.0,-696.0,0.029183287843795928,0.0,0.014591643921897934,151.20634920634922,0,5,4763.0,14960.0,139.0,1.0
2025-06-05,2025-06-05 12:26:00+00:00,-30.0,-60.0,-88.0,-0.04225352112676056,0.0,-0.021126760563380254,109.23076923076923,0,0,1420.0,2960.0,60.0,1.0
2025-06-05,2025-06-05 12:31:00+00:00,-188.0,-229.0,-228.0,-0.070875889817394,0.0,-0.035437944908697006,46.489208633093526,4,15,3231.0,4842.0,229.0,1.0
2025-06-09,2025-06-09 12:19:00+00:00,11.0,-31.0,19.0,-0.01641079936474325,0.0,-0.008205399682371606,99.42105263157895,4,0,1889.0,3427.0,31.0,1.0
2025-06-10,2025-06-10 12:11:00+00:00,104.0,191.0,245.0,0.10652537646402677,0.0,0.05326268823201341,149.41666666666666,0,0,1793.0,3433.0,191.0,1.0
2025-06-12,2025-06-12 12:29:00+00:00,-175.0,-346.0,-307.0,-0.17010816125860373,0.0,-0.08505408062930186,81.36,3,3,2034.0,3799.0,346.0,1.0
2025-06-17,2025-06-17 12:01:00+00:00,200.0,268.0,412.0,0.13786008230452676,0.0,0.06893004115226342,65.89830508474576,3,3,1944.0,4514.0,268.0,1.0
2025-06-18,2025-06-18 12:40:00+00:00,-244.0,-511.0,-415.0,-0.16770594026911717,0.0,-0.08385297013455861,99.90163934426229,3,0,3047.0,5509.0,511.0,1.0
2025-06-19,2025-06-19 12:01:00+00:00,4.0,14.0,-59.0,0.015053763440860216,0.0,0.007526881720430145,37.95918367346939,0,4,930.0,1507.0,14.0,1.0
2025-06-19,2025-06-19 13:02:00+00:00,24.0,-145.0,-422.0,-0.05868069607446378,0.0,-0.0293403480372319,79.072,3,4,2471.0,4128.0,145.0,1.0
2025-06-20,2025-06-20 12:21:00+00:00,-31.0,36.0,141.0,0.010380622837370242,0.0,0.00519031141868509,137.34653465346534,0,3,3468.0,7103.0,36.0,1.0
2025-06-23,2025-06-23 13:12:00+00:00,-290.0,-238.0,-284.0,-0.04592821304515631,0.0,-0.02296410652257813,154.6865671641791,3,3,5182.0,7302.0,238.0,1.0
2025-06-27,2025-06-27 12:32:00+00:00,-194.0,18.0,100.0,0.0041802136553646075,1.0,0.002090106827682292,159.4814814814815,4,3,4306.0,6960.0,18.0,1.0
2025-06-30,2025-06-30 12:51:00+00:00,-226.0,-454.0,-819.0,-0.17874015748031497,0.0,-0.08937007874015745,109.24731182795699,0,5,2540.0,4627.0,454.0,1.0
2025-07-02,2025-07-02 12:03:00+00:00,-44.0,-154.0,-376.0,-0.03770812928501469,0.0,-0.01885406464250733,97.23809523809524,4,3,4084.0,5528.0,154.0,1.0
2025-07-07,2025-07-07 12:16:00+00:00,73.0,180.0,207.0,0.09782608695652174,0.0,0.048913043478260865,72.87128712871286,4,4,1840.0,2931.0,180.0,1.0
2025-07-08,2025-07-08 13:19:00+00:00,-50.0,-5.0,118.0,-0.0022192632046160675,0.0,-0.0011096316023080366,143.04761904761904,0,3,2253.0,4232.0,5.0,1.0
2025-07-10,2025-07-10 12:04:00+00:00,-177.0,-51.0,194.0,-0.026799789805570153,0.0,-0.013399894902785092,90.61904761904762,5,5,1903.0,3530.0,51.0,1.0
2025-07-14,2025-07-14 12:16:00+00:00,67.0,89.0,128.0,0.08388312912346843,0.0,0.04194156456173426,75.78571428571429,0,0,1061.0,3290.0,89.0,1.0
2025-07-16,2025-07-16 12:11:00+00:00,20.0,15.0,132.0,0.010155721056194989,0.0,0.005077860528097444,123.08333333333333,3,0,1477.0,2592.0,15.0,1.0
2025-07-17,2025-07-17 12:01:00+00:00,53.0,5.0,25.0,0.003450655624568668,0.0,0.001725327812284294,69.0,4,0,1449.0,2687.0,5.0,1.0
2025-07-18,2025-07-18 12:06:00+00:00,-111.0,-27.0,15.0,-0.01641337386018237,0.0,-0.00820668693009119,88.91891891891892,0,10,1645.0,2725.0,27.0,1.0
2025-07-21,2025-07-21 12:09:00+00:00,-102.0,-114.0,-142.0,-0.08892355694227769,0.0,-0.04446177847113886,104.65306122448979,0,4,1282.0,2162.0,114.0,1.0
2025-07-23,2025-07-23 12:33:00+00:00,-207.0,-309.0,-291.0,-0.11039657020364416,0.0,-0.055198285101822064,108.69902912621359,5,5,2799.0,4459.0,309.0,1.0
2025-07-24,2025-07-24 12:07:00+00:00,98.0,-44.0,-13.0,-0.03293413173652695,1.0,-0.016467065868263464,124.27906976744185,4,0,1336.0,3075.0,44.0,1.0
2025-07-25,2025-07-25 12:47:00+00:00,-13.0,-205.0,-83.0,-0.08042369556688897,0.0,-0.0402118477834445,137.78378378378378,0,0,2549.0,4613.0,205.0,1.0
2025-07-29,2025-07-29 12:01:00+00:00,167.0,223.0,33.0,0.12663259511641112,0.0,0.06331629755820556,96.4931506849315,0,3,1761.0,3587.0,223.0,1.0
2025-07-30,2025-07-30 12:32:00+00:00,-61.0,-61.0,-280.0,-0.018031333136269583,0.0,-0.009015666568134795,104.0923076923077,4,3,3383.0,7474.0,61.0,1.0
2025-07-31,2025-07-31 12:13:00+00:00,151.0,231.0,213.0,0.06820194862710363,0.0,0.03410097431355186,83.62962962962963,0,4,3387.0,5593.0,231.0,1.0
2025-08-04,2025-08-04 12:18:00+00:00,84.0,91.0,-17.0,0.054654654654654654,0.0,0.027327327327327344,70.85106382978724,5,0,1665.0,3413.0,91.0,1.0
2025-08-07,2025-08-07 12:08:00+00:00,-32.0,11.0,-19.0,0.005071461502996773,0.0,0.0025357307514983773,120.5,5,0,2169.0,4647.0,11.0,1.0
2025-08-07,2025-08-07 12:11:00+00:00,35.0,-21.0,19.0,-0.009808500700607193,1.0,-0.004904250350303618,111.22077922077922,6,3,2141.0,4401.0,21.0,1.0
2025-08-08,2025-08-08 12:06:00+00:00,-96.0,-62.0,-63.0,-0.04874213836477988,0.0,-0.02437106918238996,89.26315789473684,0,0,1272.0,2357.0,62.0,1.0
2025-08-11,2025-08-11 12:28:00+00:00,-120.0,-109.0,136.0,-0.04680120223271791,0.0,-0.023400601116358943,84.69090909090909,0,0,2329.0,4530.0,109.0,1.0
2025-08-14,2025-08-14 12:01:00+00:00,105.0,289.0,211.0,0.20687186828919113,0.0,0.10343593414459562,80.98550724637681,4,0,1397.0,2321.0,289.0,1.0
2025-08-15,2025-08-15 12:06:00+00:00,-71.0,-138.0,-20.0,-0.11694915254237288,0.0,-0.05847457627118646,51.86813186813187,0,0,1180.0,2056.0,138.0,1.0
2025-08-18,2025-08-18 12:03:00+00:00,-89.0,-11.0,-187.0,-0.006034009873834339,0.0,-0.0030170049369171448,87.855421686747,0,6,1823.0,3297.0,11.0,1.0
2025-08-20,2025-08-20 12:01:00+00:00,102.0,160.0,-67.0,0.05291005291005291,0.0,0.02645502645502651,84.58741258741259,6,3,3024.0,5711.0,160.0,1.0
2025-08-21,2025-08-21 12:03:00+00:00,-95.0,-48.0,-325.0,-0.017366136034732273,0.0,-0.008683068017366125,121.49450549450549,3,0,2764.0,4713.0,48.0,1.0
2025-08-22,2025-08-22 12:04:00+00:00,-64.0,-18.0,10.0,-0.01764705882352941,1.0,-0.00882352941176473,65.80645161290323,4,3,1020.0,1828.0,18.0,1.0
2025-08-25,2025-08-25 13:11:00+00:00,-55.0,29.0,104.0,0.012559549588566478,0.0,0.0062797747942832105,144.3125,0,0,2309.0,3998.0,29.0,1.0
2025-08-26,2025-08-26 12:01:00+00:00,57.0,131.0,68.0,0.07371975239167136,0.0,0.03685987619583564,62.902654867256636,3,0,1777.0,3686.0,131.0,1.0
2025-08-27,2025-08-27 12:10:00+00:00,84.0,78.0,76.0,0.06598984771573604,1.0,0.032994923857868064,96.48979591836735,0,0,1182.0,1800.0,78.0,1.0
2025-08-29,2025-08-29 12:05:00+00:00,-53.0,-80.0,-80.0,-0.05037783375314862,0.0,-0.02518891687657432,115.49090909090908,0,0,1588.0,2576.0,80.0,1.0
2025-08-29,2025-08-29 12:32:00+00:00,292.0,334.0,161.0,0.06990372540812055,0.0,0.034951862704060255,86.09009009009009,3,5,4778.0,7257.0,334.0,1.0
2025-09-01,2025-09-01 12:16:00+00:00,42.0,103.0,131.0,0.13975576662143827,0.0,0.06987788331071909,62.723404255319146,0,0,737.0,1369.0,103.0,1.0
2025-09-04,2025-09-04 12:32:00+00:00,14.0,-116.0,-69.0,-0.029233870967741934,0.0,-0.014616935483870941,121.16030534351145,0,7,3968.0,6377.0,116.0,1.0
2025-09-09,2025-09-09 12:02:00+00:00,-125.0,-76.0,420.0,-0.0397489539748954,0.0,-0.01987447698744771,127.46666666666667,3,3,1912.0,3922.0,76.0,1.0
2025-09-15,2025-09-15 12:35:00+00:00,1.0,266.0,570.0,0.056764831412718736,0.0,0.028382415706359354,162.9913043478261,3,3,4686.0,9506.0,266.0,1.0
2025-09-16,2025-09-16 12:38:00+00:00,-279.0,80.0,117.0,0.01639344262295082,0.0,0.008196721311475419,253.5064935064935,7,5,4880.0,8671.0,80.0,1.0
2025-09-17,2025-09-17 12:02:00+00:00,-33.0,-44.0,-294.0,-0.027707808564231738,1.0,-0.013853904282115859,107.66101694915254,4,0,1588.0,3402.0,44.0,1.0
