day,ft,oos,R,pl,big_R2,reach4,gap_abs,gap_pts,expiry_week,cvd_5,cvd_15,cvd_30,cvd_norm_15,abs_cvd_15,delta_div_15,absorp_15,vol_15,vol_30,stack_bid_bin,stack_ask_bin,absorp_atr,absorp_rel,vol_15_rel,vol_30_rel,stack_bid_exc,stack_ask_exc
2025-07-02,2025-07-02 12:03:00+00:00,False,-1.0434782608695652,-96.0,False,False,40.25,-40.25,False,-44.0,-154.0,-379.0,-0.03770812928501469,154.0,0.0,97.23809523809524,4084.0,5523.0,1.0,1.0,14.9343084759044,1.039466235206955,2.2663706992230854,1.6417954815695601,0.43333333333333335,0.4
2025-07-07,2025-07-07 12:16:00+00:00,False,-1.03921568627451,-106.0,False,False,,,False,73.0,177.0,199.0,0.09635274904735983,177.0,0.0,72.75247524752476,1837.0,2923.0,1.0,1.0,7.429190438362101,0.754709219809586,1.0276923076923077,0.9345376069059228,0.4666666666666667,0.4
2025-07-08,2025-07-08 13:19:00+00:00,False,3.526315789473684,335.0,True,True,53.75,53.75,False,-50.0,-5.0,116.0,-0.0022192632046160675,5.0,0.0,143.04761904761904,2253.0,4226.0,0.0,1.0,9.505612898365102,1.0393745253354594,0.8000710227272727,0.7568729291662936,-0.55,0.41666666666666674
2025-07-10,2025-07-10 12:04:00+00:00,False,1.7383720930232558,186.875,False,False,16.5,16.5,False,-177.0,-52.0,193.0,-0.027339642481598318,52.0,0.0,90.57142857142857,1902.0,3529.0,1.0,1.0,9.25225851285615,1.0015207027451074,1.0848424354769712,1.181650761761259,0.5,0.5166666666666666
2025-07-14,2025-07-14 12:16:00+00:00,False,-1.0588235294117647,-108.0,False,True,68.0,-68.0,False,67.0,89.0,128.0,0.08388312912346843,89.0,0.0,75.78571428571429,1061.0,3290.0,0.0,0.0,5.275326289620883,0.8380232378647943,0.631359714370723,1.1016239745521514,-0.5,-0.4666666666666667
2025-07-16,2025-07-16 12:11:00+00:00,False,1.5,456.0,False,True,31.5,-31.5,False,20.0,15.0,132.0,0.010155721056194989,15.0,0.0,123.08333333333333,1477.0,2592.0,1.0,0.0,6.738797458041389,1.4385183175167828,0.9258736875097947,0.8679055750878956,0.5166666666666666,-0.4666666666666667
2025-07-18,2025-07-18 12:06:00+00:00,False,-1.0333333333333334,-93.0,False,False,11.75,11.75,False,-108.0,-24.0,19.0,-0.014616321559074299,24.0,0.0,88.75675675675676,1642.0,2721.0,0.0,1.0,7.280443388756928,1.077279295967097,1.1001675041876047,0.9373062349293834,-0.48333333333333334,0.5333333333333333
2025-07-21,2025-07-21 12:09:00+00:00,False,-1.0555555555555556,-114.0,False,False,50.25,50.25,False,-102.0,-114.0,-142.0,-0.08892355694227769,114.0,0.0,104.65306122448979,1282.0,2162.0,0.0,1.0,6.387756917875255,1.2702196456512287,0.820086358547897,0.744746813641061,-0.48333333333333334,0.5333333333333333
2025-07-23,2025-07-23 12:33:00+00:00,False,-1.0476190476190477,-110.0,False,False,38.75,38.75,False,-206.0,-296.0,-277.0,-0.10632183908045977,296.0,0.0,108.11650485436893,2784.0,4437.0,1.0,1.0,13.002835696413678,0.9759142785969803,1.471264367816092,1.2069364161849712,0.5166666666666666,0.5
2025-07-24,2025-07-24 12:07:00+00:00,False,-1.0526315789473684,-100.0,False,False,58.25,58.25,False,97.0,-45.0,-14.0,-0.033707865168539325,45.0,1.0,124.18604651162791,1335.0,3074.0,1.0,0.0,6.124856627887924,1.4669662622038018,0.9278887923544744,1.130354844640559,0.55,-0.43333333333333335
