day,ft,direction,risk_pts,R,pl,mfe_R,min_to_open,exit_et,exit_after_open,hold_min,touched_1R,exited_on_touch_bar,dd_R,floor_R,samebar_entry_touch,be_hit
2025-06-02,2025-06-02 12:22:00+00:00,short,26.25,-1.019047619047619,-214.0,0.3333333333333333,68.0,2025-06-02 08:41:00-04:00,False,19,False,,,,,
2025-06-03,2025-06-03 12:46:00+00:00,short,14.0,-1.0357142857142858,-116.0,0.2678571428571428,44.0,2025-06-03 08:52:00-04:00,False,6,False,,,,,
2025-06-04,2025-06-04 12:43:00+00:00,short,11.75,-1.0425531914893618,-98.0,0.851063829787234,47.0,2025-06-04 08:46:00-04:00,False,3,False,,,,,
2025-06-05,2025-06-05 12:26:00+00:00,short,7.25,4.172413793103448,1270.5,8.068965517241379,64.0,2025-06-05 08:30:00-04:00,False,4,True,False,6.96551724137931,1.103448275862069,False,never
2025-06-05,2025-06-05 12:31:00+00:00,short,39.75,-0.2075471698113207,-49.5,0.0566037735849056,59.0,2025-06-05 08:31:00-04:00,False,0,False,,,,,
2025-06-09,2025-06-09 12:19:00+00:00,long,12.75,-1.03921568627451,-106.0,0.9411764705882352,71.0,2025-06-09 09:31:00-04:00,True,72,False,,,,,
2025-06-10,2025-06-10 12:11:00+00:00,long,8.75,-1.0571428571428572,-203.5,0.8,79.0,2025-06-10 08:33:00-04:00,False,22,False,,,,,
2025-06-12,2025-06-12 12:29:00+00:00,short,12.25,-1.0408163265306123,-204.0,3.63265306122449,61.0,2025-06-12 08:30:00-04:00,False,1,True,True,0.0,,True,exited_on_touch_bar
2025-06-17,2025-06-17 12:01:00+00:00,long,20.0,-1.0625,-212.5,1.5375,89.0,2025-06-17 08:30:00-04:00,False,29,True,False,3.05,-1.5125,False,exit_bar_ambiguous
2025-06-18,2025-06-18 12:40:00+00:00,short,23.5,-1.0212765957446808,-192.0,0.1702127659574468,50.0,2025-06-18 09:11:00-04:00,False,31,False,,,,,
2025-06-19,2025-06-19 12:01:00+00:00,short,10.0,2.75,825.0,2.825,89.0,2025-06-19 08:35:00-04:00,False,34,True,False,3.525,-0.975,False,pre_exit
2025-06-19,2025-06-19 13:02:00+00:00,short,8.5,-1.0588235294117647,-324.0,3.2058823529411766,28.0,2025-06-19 09:05:00-04:00,False,3,True,False,4.676470588235294,-1.4705882352941178,False,exit_bar_ambiguous
2025-06-20,2025-06-20 12:21:00+00:00,long,16.5,-1.0303030303030305,-204.0,0.0,69.0,2025-06-20 08:24:00-04:00,False,3,False,,,,,
2025-06-23,2025-06-23 13:12:00+00:00,short,17.0,-1.0294117647058822,-35.0,0.1764705882352941,18.0,2025-06-23 09:17:00-04:00,False,5,False,,,,,
2025-06-27,2025-06-27 12:32:00+00:00,short,27.0,1.7407407407407407,188.0,2.009259259259259,58.0,2025-06-27 09:30:00-04:00,True,58,True,False,0.9351851851851851,0.6944444444444444,False,never
2025-06-30,2025-06-30 12:51:00+00:00,short,8.0,-1.0625,-51.0,0.625,39.0,2025-06-30 08:52:00-04:00,False,1,False,,,,,
2025-07-02,2025-07-02 12:03:00+00:00,short,11.5,-1.0434782608695652,-48.0,0.3695652173913043,87.0,2025-07-02 08:05:00-04:00,False,2,False,,,,,
