day,ft,stamp_edge,cvd_5,cvd_15,cvd_30,cvd_norm_15,delta_div_15,fp_imb_15,absorp_15,stack_bid_bin,stack_ask_bin,vol_15,vol_30,abs_cvd_15
2025-06-02,2025-06-02 12:22:00+00:00,0,-168.0,-284.0,-347.0,-0.13333333333333333,0.0,-0.06666666666666665,66.04651162790698,1,1,2130.0,3957.0,284.0
2025-06-03,2025-06-03 12:46:00+00:00,0,-111.0,-112.0,2.0,-0.04258555133079848,0.0,-0.02129277566539922,70.60402684563758,0,1,2630.0,5334.0,112.0
2025-06-04,2025-06-04 12:43:00+00:00,0,-130.0,138.0,-681.0,0.02957565366480926,0.0,0.014787826832404649,148.12698412698413,0,1,4666.0,14737.0,138.0
2025-06-05,2025-06-05 12:26:00+00:00,0,-28.0,-61.0,-90.0,-0.043170559094125975,0.0,-0.021585279547062963,108.6923076923077,0,0,1413.0,2952.0,61.0
2025-06-05,2025-06-05 12:31:00+00:00,0,-188.0,-227.0,-230.0,-0.07078266292485189,0.0,-0.03539133146242596,46.143884892086334,1,1,3207.0,4812.0,227.0
2025-06-09,2025-06-09 12:19:00+00:00,0,9.0,-37.0,-1.0,-0.019670388091440724,0.0,-0.009835194045720363,99.0,1,0,1881.0,3395.0,37.0
2025-06-10,2025-06-10 12:11:00+00:00,0,102.0,186.0,236.0,0.10426008968609865,0.0,0.052130044843049284,148.66666666666666,0,0,1784.0,3408.0,186.0
2025-06-12,2025-06-12 12:29:00+00:00,0,-86.0,-240.0,-53.0,-0.12917115177610333,0.0,-0.0645855758880517,74.32,1,1,1858.0,3453.0,240.0
2025-06-17,2025-06-17 12:01:00+00:00,0,152.0,222.0,253.0,0.17591125198098256,0.0,0.08795562599049123,42.779661016949156,1,1,1262.0,2419.0,222.0
2025-06-18,2025-06-18 12:40:00+00:00,0,-143.0,-383.0,-262.0,-0.14491108588724932,0.0,-0.07245554294362466,86.65573770491804,1,0,2643.0,5012.0,383.0
2025-06-19,2025-06-19 12:01:00+00:00,0,-4.0,-12.0,-86.0,-0.013513513513513514,1.0,-0.006756756756756743,36.244897959183675,0,1,888.0,1426.0,12.0
2025-06-19,2025-06-19 13:02:00+00:00,0,21.0,-150.0,-387.0,-0.0641025641025641,0.0,-0.03205128205128205,74.88,1,1,2340.0,3791.0,150.0
2025-06-20,2025-06-20 12:21:00+00:00,0,-16.0,211.0,346.0,0.06550760633343682,0.0,0.03275380316671839,127.56435643564356,0,1,3221.0,6738.0,211.0
2025-06-23,2025-06-23 13:12:00+00:00,0,-295.0,-236.0,-278.0,-0.0456656346749226,0.0,-0.022832817337461286,154.26865671641792,1,1,5168.0,7284.0,236.0
2025-06-27,2025-06-27 12:32:00+00:00,0,-194.0,16.0,100.0,0.0037313432835820895,1.0,0.001865671641791078,158.8148148148148,1,1,4288.0,6928.0,16.0
