day,ft,ec_delta,ec_fp_imb,ec_delta_hi_lo,ec_aggr_flip,oos
2025-10-20,2025-10-20 12:11:00+00:00,34.0,0.13043478260869565,0.01639344262295082,0.0,False
2025-10-21,2025-10-21 12:01:00+00:00,60.0,0.47619047619047616,0.065,1.0,False
2025-10-22,2025-10-22 12:04:00+00:00,-31.0,-0.2,0.014084507042253521,0.0,False
2025-10-23,2025-10-23 12:01:00+00:00,-28.0,-0.09803921568627451,0.007075471698113208,0.0,False
2025-10-23,2025-10-23 12:20:00+00:00,-235.0,-0.5,0.03023758099352052,0.0,False
2025-10-27,2025-10-27 12:03:00+00:00,24.0,0.1875,0.01639344262295082,1.0,False
2025-10-28,2025-10-28 12:12:00+00:00,83.0,0.5,0.012987012987012988,0.0,False
2025-10-29,2025-10-29 12:11:00+00:00,6.0,0.07142857142857142,0.025974025974025976,1.0,False
2025-10-30,2025-10-30 12:06:00+00:00,3.0,0.06666666666666667,0.03305785123966942,1.0,False
2025-10-30,2025-10-30 12:11:00+00:00,-65.0,-0.4444444444444444,0.03225806451612903,0.0,False
2025-10-30,2025-10-30 13:02:00+00:00,-26.0,0.04081632653061224,0.026,1.0,False
2025-10-31,2025-10-31 12:01:00+00:00,43.0,0.3023255813953488,0.031088082901554404,0.0,False
2025-11-03,2025-11-03 13:01:00+00:00,-54.0,-0.06060606060606061,0.04032258064516129,1.0,False
2025-11-03,2025-11-03 13:55:00+00:00,19.0,0.10526315789473684,0.049689440993788817,1.0,False
2025-11-04,2025-11-04 13:36:00+00:00,38.0,0.23076923076923078,0.010309278350515464,1.0,False
2025-11-05,2025-11-05 13:03:00+00:00,7.0,0.0,0.04132231404958678,1.0,False
2025-11-06,2025-11-06 13:22:00+00:00,8.0,-0.05263157894736842,0.032467532467532464,1.0,False
2025-11-10,2025-11-10 14:06:00+00:00,0.0,-0.13043478260869565,0.010526315789473684,1.0,False
2025-11-11,2025-11-11 13:21:00+00:00,-14.0,-0.3333333333333333,0.018867924528301886,1.0,False
2025-11-12,2025-11-12 13:39:00+00:00,-13.0,-0.15789473684210525,0.07339449541284404,1.0,False
2025-11-13,2025-11-13 13:34:00+00:00,-197.0,-0.4854368932038835,0.024817518248175182,0.0,False
2025-11-21,2025-11-21 13:01:00+00:00,72.0,0.14563106796116504,0.008680555555555556,0.0,False
2025-11-24,2025-11-24 13:06:00+00:00,6.0,0.0,0.013888888888888888,1.0,False
2025-11-24,2025-11-24 13:59:00+00:00,-53.0,-0.21052631578947367,0.018726591760299626,0.0,False
2025-11-26,2025-11-26 13:06:00+00:00,266.0,0.45588235294117646,0.008012820512820512,0.0,False
2025-11-27,2025-11-27 13:23:00+00:00,1.0,0.058823529411764705,0.022988505747126436,1.0,False
2025-12-01,2025-12-01 13:06:00+00:00,-87.0,-0.4117647058823529,0.018957345971563982,0.0,False
2025-12-03,2025-12-03 13:05:00+00:00,-20.0,-0.17647058823529413,0.0660377358490566,0.0,False
2025-12-04,2025-12-04 13:01:00+00:00,-9.0,-0.07142857142857142,0.07792207792207792,1.0,False
2025-12-05,2025-12-05 13:21:00+00:00,-66.0,-0.20512820512820512,0.0189873417721519,0.0,False
2025-12-09,2025-12-09 13:02:00+00:00,-85.0,-0.4444444444444444,0.0,0.0,False
2025-12-09,2025-12-09 13:17:00+00:00,28.0,0.10344827586206896,0.011363636363636364,0.0,False
2025-12-10,2025-12-10 13:04:00+00:00,58.0,0.5,0.03508771929824561,0.0,False
2025-12-10,2025-12-10 14:21:00+00:00,-37.0,-0.08,0.011799410029498525,1.0,False
2025-12-11,2025-12-11 13:32:00+00:00,-146.0,-0.38095238095238093,0.00510204081632653,0.0,False
2025-12-12,2025-12-12 13:13:00+00:00,74.0,0.36363636363636365,0.04326923076923077,0.0,False
2025-12-17,2025-12-17 13:52:00+00:00,-35.0,-0.225,0.017543859649122806,0.0,False
2025-12-19,2025-12-19 13:01:00+00:00,-65.0,-0.17777777777777778,0.013123359580052493,0.0,False
2025-12-23,2025-12-23 13:04:00+00:00,-7.0,-0.125,0.02564102564102564,0.0,True
2025-12-23,2025-12-23 13:05:00+00:00,-5.0,-0.08333333333333333,0.02564102564102564,1.0,True
2025-12-23,2025-12-23 13:32:00+00:00,-21.0,-0.07692307692307693,0.045662100456621,1.0,True
2025-12-24,2025-12-24 13:04:00+00:00,-6.0,0.09090909090909091,0.16666666666666666,1.0,True
2025-12-26,2025-12-26 14:00:00+00:00,-9.0,-0.5714285714285714,0.0,1.0,True
2025-12-29,2025-12-29 13:29:00+00:00,1.0,-0.05263157894736842,0.05063291139240506,1.0,True
2025-12-30,2025-12-30 13:10:00+00:00,-1.0,0.36363636363636365,0.08571428571428572,1.0,True
2025-12-31,2025-12-31 13:25:00+00:00,23.0,0.13333333333333333,0.02531645569620253,0.0,True
2025-12-31,2025-12-31 13:40:00+00:00,3.0,0.25,0.0761904761904762,1.0,True
2026-02-02,2026-02-02 13:01:00+00:00,-22.0,-0.017543859649122806,0.009433962264150943,0.0,True
2026-02-05,2026-02-05 13:40:00+00:00,-79.0,-0.3125,0.0060790273556231,1.0,True
2026-02-09,2026-02-09 14:20:00+00:00,-116.0,0.11428571428571428,0.004761904761904762,1.0,True
2026-02-10,2026-02-10 13:35:00+00:00,22.0,0.0625,0.013157894736842105,1.0,True
2026-02-12,2026-02-12 13:34:00+00:00,-24.0,0.05263157894736842,0.03070175438596491,1.0,True
2026-02-16,2026-02-16 14:01:00+00:00,-39.0,-0.3333333333333333,-0.006289308176100629,0.0,True
2026-02-17,2026-02-17 13:01:00+00:00,5.0,-0.058823529411764705,0.03597122302158273,1.0,True
2026-02-19,2026-02-19 13:39:00+00:00,92.0,-0.02631578947368421,0.0048543689320388345,0.0,True
2026-02-23,2026-02-23 13:05:00+00:00,30.0,0.27586206896551724,0.022058823529411766,0.0,True
2026-02-24,2026-02-24 13:03:00+00:00,-81.0,-0.35,0.0106951871657754,0.0,True
2026-02-24,2026-02-24 13:03:00+00:00,-81.0,-0.35,0.0106951871657754,0.0,True
2026-02-25,2026-02-25 13:21:00+00:00,-18.0,-0.1875,0.024390243902439025,1.0,True
2026-02-25,2026-02-25 14:23:00+00:00,-8.0,0.10526315789473684,0.011235955056179775,1.0,True
2026-03-09,2026-03-09 12:55:00+00:00,-7.0,0.03508771929824561,0.007957559681697613,1.0,True
2026-03-09,2026-03-09 13:01:00+00:00,25.0,0.18181818181818182,0.011185682326621925,0.0,True
2026-03-12,2026-03-12 12:37:00+00:00,-42.0,-0.058823529411764705,0.008771929824561403,1.0,True
2026-03-13,2026-03-13 12:31:00+00:00,40.0,0.07339449541284404,0.012129380053908356,1.0,True
2026-03-17,2026-03-17 12:26:00+00:00,20.0,-0.2222222222222222,0.02142857142857143,1.0,True
2026-03-17,2026-03-17 12:56:00+00:00,1.0,-0.06666666666666667,0.042735042735042736,1.0,True
2026-03-20,2026-03-20 12:01:00+00:00,28.0,0.08333333333333333,0.003484320557491289,1.0,True
2026-03-20,2026-03-20 12:06:00+00:00,68.0,0.1411764705882353,0.004878048780487805,0.0,True
2026-03-24,2026-03-24 12:06:00+00:00,-48.0,-0.12962962962962962,0.010714285714285714,0.0,True
2026-03-25,2026-03-25 12:01:00+00:00,-6.0,0.15384615384615385,0.005244755244755245,1.0,True
2026-03-26,2026-03-26 13:21:00+00:00,19.0,0.0,0.010452961672473868,1.0,True
2026-03-31,2026-03-31 12:59:00+00:00,-34.0,-0.24074074074074073,0.002631578947368421,0.0,True
2026-03-31,2026-03-31 13:21:00+00:00,77.0,0.2857142857142857,0.007905138339920948,0.0,True
2026-04-02,2026-04-02 13:01:00+00:00,8.0,0.015384615384615385,0.0084985835694051,0.0,True
2026-04-06,2026-04-06 12:47:00+00:00,82.0,0.32727272727272727,0.007194244604316547,0.0,True
2026-04-07,2026-04-07 12:01:00+00:00,-51.0,-0.2549019607843137,0.0,0.0,True
2026-04-07,2026-04-07 12:06:00+00:00,-48.0,-0.17307692307692307,0.010344827586206896,1.0,True
2026-04-08,2026-04-08 12:02:00+00:00,-21.0,-0.07894736842105263,-0.004338394793926247,0.0,True
2026-04-08,2026-04-08 12:06:00+00:00,-24.0,-0.11764705882352941,0.014925373134328358,1.0,True
2026-04-10,2026-04-10 12:05:00+00:00,-10.0,0.08333333333333333,0.12,1.0,True
2026-04-13,2026-04-13 12:35:00+00:00,10.0,0.05660377358490566,0.012121212121212121,1.0,True
2026-04-15,2026-04-15 12:03:00+00:00,71.0,0.11475409836065574,0.02564102564102564,0.0,True
2026-04-16,2026-04-16 12:58:00+00:00,-3.0,0.05263157894736842,0.013793103448275862,1.0,True
