day,stance,stance_asked,health_override,book,act,size,pl,oracle,hit,orc,e3,e4
2024-01-23,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-320,FLAT,False,0,-50,-320
2024-01-24,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-680,FLAT,False,0,-45,-680
2024-01-25,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-380,FLAT,False,0,-110,-380
2024-01-26,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,745,171,745
2024-01-29,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-200,FLAT,False,0,-310,-200
2024-01-30,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,1985,25,1985
2024-01-31,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-225,FLAT,False,0,-430,-225
2024-02-01,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,405,MOMENTUM,True,405,0,405
2024-02-02,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-600,FLAT,False,0,-645,-600
2024-02-05,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-625,FLAT,False,0,-25,-625
2024-02-06,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,170,MOMENTUM,True,170,0,170
2024-02-07,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,240,MOMENTUM,True,240,182,240
2024-02-08,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,510,MOMENTUM,True,510,-56,510
2024-02-09,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-460,FLAT,False,0,-108,-460
2024-02-12,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-55,FLAT,False,0,-78,-55
2024-02-13,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-550,FLAT,False,0,-386,-550
2024-02-14,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-590,FLAT,False,0,-150,-590
2024-02-15,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,155,MOMENTUM,True,155,112,155
2024-02-16,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-270,ROTATION,False,1025,1025,-270
2024-02-19,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-32,0
2024-02-20,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-520,ROTATION,False,100,100,-520
2024-02-21,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-295,FLAT,False,0,-225,-295
2024-02-22,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-370,FLAT,False,0,-325,-370
2024-02-23,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,490,MOMENTUM,True,490,-285,490
2024-02-26,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,275,-275,275
2024-02-27,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-80,-355
2024-02-28,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-280,-375
2024-02-29,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,300,MOMENTUM,True,300,-275,300
2024-03-01,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-630,FLAT,False,0,0,-630
2024-03-04,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-21,-155
2024-03-05,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,0,-20
2024-03-06,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,205,MOMENTUM,True,205,0,205
2024-03-07,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-765,FLAT,False,0,-190,-765
2024-03-08,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-735,FLAT,False,0,-68,-735
2024-03-11,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-380,FLAT,False,0,-240,-380
2024-03-12,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,ROTATION,False,106,106,0
2024-03-13,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,2230,MOMENTUM,True,2230,834,2230
