date,weekday,fill_t,direction,htf,risk,dollars,win,cvd
2026-04-14,Tuesday,09:59,short,counter_trend,15.25,-315.0,False,-85.0
2026-04-14,Tuesday,10:08,long,with_trend,19.0,740.0,True,-518.0
2026-04-15,Wednesday,08:02,long,counter_trend,0.75,-25.0,False,143.0
2026-04-15,Wednesday,08:09,long,counter_trend,11.75,-245.0,False,-5.0
2026-04-20,Monday,09:06,long,range,17.0,-350.0,False,-24.0
2026-04-20,Monday,09:21,short,range,12.25,-255.0,False,90.0
2026-04-21,Tuesday,08:33,short,counter_trend,5.5,-135.0,False,104.0
2026-04-21,Tuesday,09:27,long,with_trend,9.5,-200.0,False,-23.0
2026-04-22,Wednesday,08:29,short,range,3.25,-75.0,False,22.0
2026-04-22,Wednesday,09:09,long,range,0.25,-15.0,False,-56.0
2026-04-23,Thursday,08:04,long,with_trend,11.25,805.0,True,-42.0
2026-04-23,Thursday,08:22,short,counter_trend,23.5,-495.0,False,-219.0
2026-04-27,Monday,08:25,short,counter_trend,25.5,420.0,True,-135.0
2026-04-27,Monday,09:43,short,counter_trend,33.75,335.0,True,-550.0
2026-04-29,Wednesday,08:03,short,counter_trend,8.5,260.0,True,12.0
2026-04-29,Wednesday,08:15,short,counter_trend,14.75,-305.0,False,-25.0
2026-04-30,Thursday,09:08,long,with_trend,8.0,-170.0,False,75.0
2026-04-30,Thursday,09:14,short,counter_trend,11.0,1665.0,True,-73.0
2026-05-01,Friday,09:03,long,with_trend,9.5,695.0,True,-19.0
2026-05-01,Friday,09:26,long,with_trend,2.5,-60.0,False,-18.0
2026-05-04,Monday,08:13,long,counter_trend,20.0,-410.0,False,-53.0
2026-05-04,Monday,09:21,short,range,11.25,-235.0,False,-51.0
2026-05-05,Tuesday,08:03,short,range,7.25,-155.0,False,-97.0
2026-05-05,Tuesday,10:00,long,with_trend,4.75,-120.0,False,136.0
2026-05-06,Wednesday,09:18,long,with_trend,1.75,-45.0,False,24.0
2026-05-06,Wednesday,10:07,short,counter_trend,52.75,-535.0,False,-755.0
2026-05-07,Thursday,08:06,long,counter_trend,4.5,490.0,True,43.0
2026-05-11,Monday,08:35,short,counter_trend,9.25,795.0,True,48.0
2026-05-11,Monday,08:57,long,with_trend,12.5,1140.0,True,-136.0
2026-05-14,Thursday,08:02,long,counter_trend,13.25,-290.0,False,-8.0
2026-05-14,Thursday,09:18,long,counter_trend,2.0,-50.0,False,-53.0
2026-05-15,Friday,09:22,long,counter_trend,5.75,-125.0,False,109.0
2026-05-15,Friday,09:24,short,with_trend,3.0,-70.0,False,-111.0
2026-05-19,Tuesday,09:08,short,with_trend,47.0,30.0,True,-342.0
2026-05-21,Thursday,09:07,long,counter_trend,7.0,-150.0,False,11.0
2026-05-21,Thursday,09:19,short,with_trend,13.5,-280.0,False,60.0
2026-05-22,Friday,08:01,long,counter_trend,8.75,-185.0,False,39.0
2026-05-22,Friday,08:31,long,counter_trend,14.75,670.0,True,-125.0
2026-05-25,Monday,08:03,long,range,2.5,-60.0,False,14.0
2026-05-25,Monday,08:10,short,range,15.5,-320.0,False,-90.0
2026-05-26,Tuesday,08:26,long,with_trend,13.75,435.0,True,-34.0
2026-05-26,Tuesday,09:45,long,with_trend,33.5,15.0,True,60.0
2026-05-27,Wednesday,10:07,long,with_trend,12.25,-255.0,False,157.0
2026-05-28,Thursday,08:23,long,range,10.5,-235.0,False,42.0
2026-05-29,Friday,08:03,short,counter_trend,15.0,-310.0,False,14.0
2026-05-29,Friday,09:26,long,range,18.5,255.0,True,-64.0
2026-06-01,Monday,08:28,long,range,13.0,-270.0,False,-117.0
2026-06-01,Monday,09:01,short,with_trend,10.75,460.0,True,-16.0
2026-06-02,Tuesday,08:05,long,range,9.5,-200.0,False,-30.0
2026-06-02,Tuesday,08:10,long,range,9.0,-190.0,False,-39.0
2026-06-08,Monday,08:55,long,with_trend,21.75,475.0,True,66.0
2026-06-09,Tuesday,08:29,long,range,13.75,1005.0,True,-85.0
2026-06-09,Tuesday,09:20,short,counter_trend,9.25,-195.0,False,-16.0
2026-06-12,Friday,08:15,short,counter_trend,12.5,1400.0,True,-9.0
2026-06-15,Monday,08:20,short,counter_trend,14.5,-300.0,False,-130.0
2026-06-15,Monday,09:25,long,with_trend,17.75,295.0,True,-10.0
2026-06-16,Tuesday,08:40,short,counter_trend,13.25,725.0,True,60.0
2026-06-17,Wednesday,08:12,long,counter_trend,5.0,-110.0,False,-9.0
2026-06-17,Wednesday,08:15,long,counter_trend,16.5,-355.0,False,65.0
2026-06-18,Thursday,09:07,long,counter_trend,16.25,1030.0,True,-31.0
2026-06-19,Friday,08:06,long,counter_trend,0.25,-15.0,False,4.0
2026-06-22,Monday,09:47,short,counter_trend,19.25,-395.0,False,174.0
2026-06-22,Monday,09:57,long,with_trend,53.75,-130.0,False,-129.0
2026-06-23,Tuesday,09:43,long,counter_trend,30.75,-640.0,False,-140.0
2026-06-24,Wednesday,08:06,short,with_trend,0.5,-20.0,False,16.0
2026-06-24,Wednesday,08:07,long,counter_trend,12.5,-260.0,False,-35.0
2026-06-25,Thursday,08:18,short,with_trend,20.25,-430.0,False,-38.0
2026-06-25,Thursday,09:08,short,with_trend,19.25,550.0,True,-83.0
2026-06-29,Monday,08:53,short,counter_trend,7.75,-165.0,False,9.0
2026-06-29,Monday,08:57,long,with_trend,19.5,615.0,True,-18.0
2026-07-01,Wednesday,08:12,long,with_trend,0.5,-45.0,False,-23.0
2026-07-03,Friday,09:47,long,with_trend,11.25,-235.0,False,-42.0
2026-07-03,Friday,09:50,short,counter_trend,13.5,-280.0,False,-117.0
2026-07-06,Monday,09:27,short,counter_trend,4.0,-90.0,False,-7.0
